m,n,k,avg
0,303,574,2199,0.0246403
0,2741,845,845,0.111378
0,1929,303,845,0.0310228
0,32,32,2199,0.00161424
0,845,1658,3012,0.284643
0,1929,3283,1116,0.413763
0,3283,1387,303,0.087086
0,1658,1658,3012,0.444172
0,4096,3554,32,0.0849503
0,2199,1116,3554,0.506552
0,3012,32,2470,0.0428001
0,1387,3283,1387,0.35582
0,574,4096,3554,0.383703
0,303,1929,574,0.0196192
0,303,2741,1387,0.053534
0,3554,574,4096,0.568793
0,32,1116,2741,0.0203572
0,1929,2470,3825,0.944148
0,845,303,1116,0.0186818
0,1658,1387,1929,0.252829
0,2199,2199,1929,0.520931
0,3012,1387,303,0.056602
0,3825,2470,574,0.338619
0,3012,2199,1658,0.704914
0,303,4096,3554,0.164711
0,32,1929,1116,0.0160613
0,3554,2741,3283,1.92318
0,32,3283,1387,0.0309319
0,845,574,1658,0.0515351
0,4096,2741,3283,1.83706
0,2199,3012,845,0.31909
0,3283,2470,1116,0.545058
0,574,1658,4096,0.19916
0,1387,32,32,0.000896682
0,3825,303,4096,0.239932
0,2741,2470,1387,0.519526
0,303,845,1929,0.0282801
0,2741,574,1116,0.113145
0,1116,1658,4096,0.435539
0,1929,1658,574,0.111838
0,32,4096,2470,0.0785864
0,845,1929,2199,0.242573
0,3283,1116,3825,0.785226
0,1658,303,2741,0.0758357
0,4096,574,303,0.0411221
0,1658,2741,845,0.223678
0,3012,303,1658,0.101238
0,1387,1929,3012,0.432727
0,303,32,845,0.00178795
0,3554,845,2199,0.370833
0,32,845,3012,0.0173424
0,32,2199,574,0.00853823
0,1658,1116,1116,0.12492
0,1658,2470,1929,0.437916
0,574,303,3554,0.0388946
0,3012,574,32,0.00938736
0,3825,2199,303,0.131997
0,2741,1658,303,0.0775084
0,3554,32,574,0.0125457
0,32,1658,1929,0.0217793
0,845,1116,3554,0.231801
0,845,3283,1116,0.166297
0,32,3012,1116,0.0219347
0,845,845,1387,0.0571132
0,2199,2741,32,0.0331834
0,3283,2199,845,0.391022
0,1658,3283,3012,0.829538
0,574,2470,3825,0.279619
0,1387,303,845,0.021712
0,3825,32,3283,0.0584486
0,2741,2199,1658,0.515951
0,303,3283,1658,0.10296
0,2741,1387,1387,0.302144
0,1929,1929,303,0.0651015
0,32,3825,2741,0.0666555
0,845,1116,2470,0.133172
0,1658,32,2470,0.0250749
0,4096,845,574,0.140147
0,574,3825,2470,0.308131
0,303,303,32,0.000575459
0,32,574,2199,0.00895611
0,3554,4096,32,0.0419598
0,1658,1929,1387,0.2578
0,2199,1658,1387,0.308154
0,1658,2199,1116,0.230374
0,574,32,3825,0.0150779
0,3012,845,845,0.114686
0,3825,3012,32,0.0701481
0,2741,3283,3012,1.40114
0,3825,3012,1929,1.12303
0,303,2470,4096,0.152651
0,2470,845,1658,0.196501
0,3554,303,303,0.0199674
0,32,1387,1658,0.0155318
0,3554,3283,2741,1.81332
0,32,2741,1929,0.0329138
0,845,32,1116,0.00678199
0,4096,2199,3825,2.28709
0,2199,2470,303,0.0868282
0,3283,4096,574,0.492091
0,574,2199,3554,0.240399
0,1387,574,574,0.0283962
0,2741,3012,1929,0.838974
0,303,3554,1387,0.0903811
0,2741,1116,1658,0.227054
0,1116,1387,1658,0.155742
0,1929,1116,32,0.0112237
0,32,3554,3012,0.060777
0,845,1387,3825,0.247389
0,1658,845,2199,0.181
0,4096,32,845,0.0268548
0,2199,303,3825,0.163662
0,1387,4096,2199,0.733666
0,303,574,303,0.00313968
0,1116,3283,32,0.0216941
0,3554,1387,2741,0.684375
0,32,303,2470,0.00496258
0,2470,1658,3283,0.710845
0,1658,1658,574,0.0969759
0,2199,1387,1116,0.194508
0,1387,1116,1387,0.111503
0,574,845,4096,0.142482
0,3012,32,574,0.0111618
0,303,2199,2470,0.0928749
0,2470,3012,3012,1.2688
0,303,2741,3825,0.203724
