m,n,k,avg
0,32,2935,2935,0.0863119
0,1774,32,1774,0.0291365
0,613,2354,2354,0.181273
0,4096,613,1774,0.259786
0,2354,4096,3515,1.85594
0,2935,1193,613,0.11283
0,32,1193,613,0.00678705
0,613,4096,1193,0.171492
0,1193,3515,4096,0.949126
0,1193,32,4096,0.0476001
0,2935,2935,2935,1.37878
0,1774,613,2354,0.158257
0,1774,4096,32,0.0415027
0,613,1193,32,0.00530661
0,3515,32,3515,0.106826
0,1193,2935,1774,0.355883
0,32,4096,2354,0.0894951
0,3515,3515,1774,1.21374
0,1774,1193,3515,0.485218
0,4096,1774,2354,1.00813
0,2354,613,613,0.0470012
0,4096,2354,4096,2.28709
0,2935,32,32,0.00367864
0,32,2354,1193,0.0251488
0,613,1774,4096,0.260317
0,613,2935,4096,0.420582
0,4096,3515,1193,1.01879
0,2354,3515,2935,1.29585
0,2935,1774,3515,1.05152
0,32,613,32,0.00111383
0,613,32,1774,0.0101464
0,4096,2935,32,0.0910553
0,1193,1774,3515,0.43374
0,2935,3515,2354,1.34
0,3515,2354,2354,1.15929
0,1774,2354,613,0.148228
0,3515,1774,4096,1.38548
0,2354,1774,32,0.0353993
0,1193,2354,32,0.0220334
0,32,32,4096,0.00515362
0,32,3515,4096,0.136875
0,3515,613,1193,0.147439
0,1774,1774,2935,0.47326
0,4096,32,2935,0.121403
0,2354,32,3515,0.0724663
0,2935,4096,1774,1.2105
0,2935,613,1774,0.175223
0,32,1774,1774,0.0284168
0,3515,1193,32,0.032032
0,613,3515,3515,0.400416
0,4096,4096,613,0.445948
0,2354,2935,2354,0.929705
0,1193,613,2935,0.119818
0,2935,2354,4096,1.66598
0,1774,3515,32,0.0492762
0,613,613,32,0.00278668
0,1193,1193,613,0.0482681
0,3515,4096,2935,2.08622
0,1774,2935,3515,0.930926
0,2354,2354,1774,0.561619
0,4096,1193,2354,0.664677
0,2354,1193,1774,0.271091
0,1193,4096,613,0.155487
0,32,2935,3515,0.104877
0,3515,32,613,0.0177662
0,1774,32,2354,0.0382616
0,613,2354,2935,0.22262
0,4096,613,1193,0.171767
0,2354,4096,4096,1.72812
0,2935,1193,1193,0.226458
0,32,1193,32,0.00233075
0,613,4096,613,0.0863202
0,1193,3515,3515,0.765519
0,4096,2354,32,0.0709007
0,1193,32,3515,0.0395495
0,2935,2935,2354,1.0729
0,1774,613,1774,0.11384
0,3515,2935,2354,1.37496
0,1774,4096,1774,0.770413
0,613,1193,613,0.0242741
0,1193,2935,32,0.0274136
0,32,4096,2935,0.0875862
0,3515,3515,1193,0.847768
0,1774,1193,4096,0.484768
0,4096,1774,4096,1.35956
0,2354,613,1193,0.0953011
0,2935,32,613,0.0153825
0,32,2354,613,0.0132121
0,613,1774,3515,0.212776
0,3515,1774,32,0.0476069
0,613,2935,3515,0.375578
0,2354,3515,2354,0.979342
0,2935,1774,2935,0.833188
0,32,613,613,0.00340295
0,613,32,32,0.00076864
0,1193,1774,4096,0.469715
0,3515,1193,4096,0.96905
0,2935,3515,2935,1.61113
0,3515,2354,4096,1.79813
0,1774,2354,1193,0.266889
0,2354,1774,613,0.136445
0,1193,2354,1774,0.263618
0,32,32,3515,0.00493884
0,32,3515,3515,0.111666
0,3515,613,1774,0.192856
0,1774,1774,2354,0.419793
0,4096,32,3515,0.102768
0,2354,32,2935,0.0594668
0,2935,4096,1193,0.865475
0,2935,613,1193,0.11693
0,32,1774,32,0.00342885
0,613,3515,4096,0.441903
0,4096,4096,32,0.0629079
0,2354,2935,2935,1.15955
0,1193,613,1193,0.0472577
0,2935,2354,2354,0.827423
0,1774,3515,613,0.209835
0,613,613,1774,0.0383373
0,1193,1193,32,0.0112574
0,3515,4096,3515,2.86731
0,1774,2935,2935,0.874203
0,2354,2354,1193,0.38968
0,4096,1193,2935,0.763375
0,2354,1193,1193,0.178895
0,1193,4096,1193,0.303692
0,32,2935,4096,0.100302
0,3515,32,32,0.00450604
0,1774,32,2935,0.052678
0,613,2354,1193,0.0919449
0,4096,613,613,0.0753813
0,2354,4096,2354,1.17129
0,2935,1193,1774,0.342635
0,32,1193,1774,0.0183851
0,613,4096,32,0.0168269
0,1193,3515,2935,0.701694
0,4096,2354,613,0.339902
0,2935,32,3515,0.0935876
0,1193,32,613,0.00665044
0,1774,613,1193,0.072025
0,3515,2935,2935,1.62607
0,1774,4096,1193,0.638928
0,613,1193,1193,0.0495328
0,1193,2935,613,0.118714
0,32,4096,1193,0.0436593
0,3515,3515,613,0.458996
0,4096,2935,3515,1.98303
0,1774,1193,2354,0.270215
