m,n,k,avg
0,4096,1343,1212,0.390706
0,3178,1474,556,0.14735
0,2785,3441,1998,1.05162
0,1867,163,1998,0.0456865
0,819,1081,1998,0.0921221
0,294,1736,1343,0.0452057
0,2261,687,687,0.0690684
0,1474,3703,32,0.0232137
0,163,819,3047,0.0212976
0,163,1081,294,0.00321864
0,3441,1605,819,0.246647
0,2916,32,2785,0.0470095
0,32,687,4096,0.0164237
0,1212,3703,163,0.0434669
0,425,425,3047,0.0373864
0,1605,294,32,0.00211408
0,1998,1081,950,0.116552
0,294,2392,294,0.0130036
0,3965,3965,3572,3.02862
0,2261,32,556,0.0061332
0,2654,1867,687,0.220839
0,2261,1343,2523,0.45851
0,3047,2654,294,0.13693
0,163,3047,1343,0.0479423
0,3834,425,425,0.0559784
0,1343,1081,2130,0.190371
0,32,2654,2392,0.0354086
0,3703,32,1474,0.0255053
0,950,3309,163,0.0334682
0,1605,3834,425,0.177927
0,294,950,2392,0.0465587
0,2261,556,687,0.0610638
0,687,3309,32,0.00852781
0,163,294,3441,0.0138339
0,32,1736,3047,0.0294461
0,556,3441,1081,0.130134
0,950,32,1998,0.0107408
0,32,163,294,0.000475231
0,425,1212,1998,0.0660457
0,2785,163,1867,0.0532531
0,1998,1605,1343,0.254147
0,1081,687,1736,0.0831915
0,294,2916,950,0.0479339
0,3965,3441,32,0.0672119
0,2261,1605,425,0.0909628
0,1474,425,2785,0.105556
0,687,1343,4096,0.236475
0,163,2523,4096,0.099906
0,3309,1867,2523,0.92361
0,2130,1998,3572,0.896601
0,3309,32,819,0.0118876
0,3703,3965,425,0.312347
0,3441,3965,2785,2.09582
0,32,2130,3047,0.0369859
0,2654,819,3834,0.45443
0,2785,3178,294,0.127933
0,294,1867,1605,0.0750682
0,950,3047,3834,0.647989
0,950,32,3178,0.0157221
0,819,2130,687,0.0763416
0,687,425,1605,0.0269468
0,556,32,556,0.00172015
0,32,950,2392,0.0130404
0,2916,1081,1474,0.28235
0,32,1736,687,0.00631414
0,1212,294,1081,0.0244364
0,1867,2130,2392,0.563562
0,2785,687,425,0.0437124
0,3965,3703,2654,2.12927
0,1081,163,32,0.000927364
0,3441,1998,2916,1.12701
0,1867,1736,294,0.0650908
0,3834,163,3703,0.159693
