m,n,k,avg
0,1064,1064,161,0.0113608
0,484,32,1903,0.00437871
0,32,3580,2290,0.0320437
0,419,1387,3386,0.114779
0,3064,1129,2225,0.448469
0,1645,935,97,0.00977973
0,1838,97,2677,0.0398788
0,2225,97,484,0.0086293
0,871,32,3838,0.0131817
0,3128,32,3515,0.0443652
0,97,2548,871,0.0159911
0,1064,484,935,0.0303542
0,548,419,2806,0.0435639
0,161,97,1322,0.00199023
0,742,548,419,0.0108172
0,97,290,1838,0.0042554
0,1645,3709,3580,1.23316
0,32,484,290,0.00199284
0,613,161,1451,0.0109387
0,32,1838,2096,0.0149527
0,226,1774,2806,0.0785283
0,548,97,2999,0.00886192
0,2483,32,1000,0.0111188
0,613,2548,97,0.00732346
0,355,871,419,0.00900155
0,1258,161,1387,0.0226069
0,97,3902,2419,0.0789745
0,355,1129,2290,0.052287
0,161,32,2999,0.00245425
0,3838,2161,97,0.0377209
0,355,3322,1516,0.116657
0,806,32,1064,0.00370203
0,2354,1258,97,0.0183553
0,1258,161,1451,0.0202511
0,742,355,1580,0.0289116
0,97,1129,2483,0.0219579
0,226,3451,484,0.0323219
0,97,2806,1709,0.0428468
0,2483,290,161,0.00841721
0,3580,226,1967,0.119279
0,290,1258,1967,0.0435256
0,742,2483,1129,0.11871
0,1838,613,1322,0.089304
0,548,2419,2741,0.213192
0,1838,1064,32,0.00717114
0,742,1064,806,0.0368611
0,97,806,419,0.00270204
0,1387,613,1645,0.0894483
0,1967,161,2032,0.050049
0,1322,677,97,0.00454608
0,226,2419,2225,0.0837375
0,548,3193,548,0.0572659
0,1516,290,2870,0.0770144
0,1322,3451,548,0.145496
0,2677,677,548,0.0638921
0,419,548,290,0.00464585
0,2161,290,1000,0.036277
0,1193,2483,419,0.0823551
0,355,355,1838,0.0159327
0,3193,32,1967,0.0235824
0,2354,2161,1322,0.38812
0,1387,1193,3838,0.380731
0,290,419,1322,0.0109027
0,3128,226,2483,0.114152
0,226,226,2870,0.0129676
0,548,613,97,0.00203172
0,1129,32,1000,0.00443021
0,1258,2032,2870,0.420261
0,3257,1451,677,0.195177
0,2419,3451,548,0.279441
0,1451,32,290,0.00166857
0,226,2999,32,0.00274053
0,2999,2419,1516,0.596186
0,161,3193,548,0.0231313
0,3773,742,97,0.0189031
0,1709,2870,1774,0.48456
0,484,32,1451,0.00321279
0,2032,1903,97,0.0272634
0,1387,97,484,0.0046395
0,1193,355,871,0.023961
0,1709,742,1193,0.0899024
0,226,3967,1322,0.0746356
0,355,1580,3451,0.134172
0,2225,97,1838,0.0215095
0,1580,871,161,0.0142694
0,2161,290,290,0.0108411
0,97,2548,290,0.00626623
0,2741,484,1451,0.124331
0,484,1516,161,0.00863417
0,32,2354,806,0.0104679
0,742,3193,419,0.0731347
0,3386,1193,226,0.047419
0,97,290,1387,0.00332261
0,677,484,484,0.0109172
0,32,484,1903,0.00449436
0,613,161,2032,0.015388
0,1000,677,355,0.0158153
0,548,97,1516,0.00882965
0,161,290,2741,0.00944405
0,1258,1516,677,0.0818251
0,161,355,2999,0.0155293
0,2935,226,1064,0.0441842
0,2354,2677,484,0.205652
0,1064,1580,226,0.0214096
0,2741,677,2612,0.289151
0,226,742,97,0.00134022
0,32,4096,2225,0.0416805
0,161,1322,613,0.00814181
0,1709,226,548,0.0133063
0,97,1129,1129,0.0097676
0,1645,419,32,0.00233614
0,1193,32,2419,0.0105574
0,355,97,419,0.00126814
0,1129,355,2935,0.0758075
0,2225,2354,355,0.104682
0,161,613,1516,0.0100139
0,742,1064,355,0.0202719
0,32,1000,484,0.00259447
0,2741,2096,32,0.021623
0,1258,1000,32,0.00550183
0,355,3644,290,0.022335
0,3451,290,1322,0.0944512
0,2096,2032,742,0.18129
0,32,3902,3193,0.0502952
0,3644,161,1580,0.075385
0,161,1645,2612,0.0883388
0,355,355,484,0.0043063
0,226,2999,419,0.0215719
0,290,419,2032,0.0192308
0,1129,161,3709,0.0496838
0,871,742,1645,0.061692
0,226,484,1451,0.0112871
0,226,226,1516,0.0063949
0,1129,32,290,0.00132541
0,1516,1322,161,0.0186435
0,871,2612,32,0.00841475
0,1193,548,3322,0.143484
0,2548,32,1967,0.0228203
0,161,3193,97,0.00361018
0,97,3386,613,0.0144887
0,484,32,1000,0.00202209
0,32,3580,1129,0.0236434
0,1387,97,935,0.00715593
0,290,1709,3838,0.112778
0,97,2548,1258,0.0209884
0,871,2354,613,0.088657
0,32,2354,1774,0.0249832
0,2677,161,1516,0.0469596
0,484,32,1580,0.00254131
0,419,1064,355,0.0107672
0,1193,2999,484,0.1157
0,355,1903,871,0.0385953
0,161,2677,2483,0.0727566
0,32,484,1193,0.003367
0,3902,1322,290,0.0880005
0,613,161,548,0.00441123
0,1193,871,419,0.0299483
0,3838,1129,1838,0.475134
0,548,97,32,0.000240445
0,935,871,161,0.00793221
0,97,97,2935,0.00245084
0,1322,484,1903,0.07432
0,2935,226,1000,0.052842
0,2548,548,2354,0.228278
0,3773,226,32,0.00365509
0,1709,2354,548,0.253729
0,97,3902,1258,0.0367598
0,355,3322,2419,0.173191
0,2032,1387,161,0.0240032
0,161,1322,32,0.000933926
0,2225,161,3902,0.0938653
0,742,355,935,0.0164016
0,97,1129,548,0.00481719
0,32,1193,1064,0.00542943
0,1580,355,97,0.00346899
0,1193,32,1838,0.00743282
0,97,3064,355,0.00743923
0,226,1451,2354,0.053002
0,548,1967,3322,0.211696
