nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,4,32,3,56,16,1,1,1,112,56,32,32,32,1,1,0.1335,0.371757,0.917675,2.84329,1.45968,75.3098,0.00236276,68.2484,5.08503
0,1,32,4,1,40,32,1,1,1,96,40,32,32,32,4,0,0.108122,1.78226,4.0372,0.103202,9.77156,18.2731,0.00163771,2.34383,1.78353
0,1,4,32,0,32,8,1,1,1,64,96,32,32,32,3,1,0.187372,0.514582,0.436185,0.759368,1.58631,23.346,0.00119302,19.1486,1.36492
0,1,8,16,0,24,2,1,1,1,96,120,32,32,32,2,1,0.0823205,0.430717,0.441918,1.61356,1.99647,11.3054,0.00127734,6.23135,2.24231
0,1,16,4,0,48,16,1,1,1,96,96,32,32,32,0,0,0.0778834,0.0619191,0.0737222,0.133589,0.318108,4.56209,0.00167381,3.40986,1.91778
0,1,32,4,0,32,2,1,1,1,80,32,32,32,32,0,1,0.0331881,0.0132413,0.0149808,0.0881812,0.152765,1.43949,0.00106258,1.04148,0.486835
0,1,16,4,5,56,16,1,1,1,96,56,32,32,32,0,1,0.0796105,0.304922,0.373926,1.56834,0.615824,31.1398,0.00152426,27.9596,4.1706
0,1,4,32,1,24,4,1,1,1,128,24,32,32,32,1,1,0.166176,0.0982354,0.112109,0.524165,1.54825,13.1314,0.00143706,10.5532,7.17973
0,1,64,2,5,8,2,1,1,1,16,16,32,32,32,2,0,0.0425686,0.0191895,0.0280785,0.0243101,0.0478402,0.21048,0.000247674,0.0746642,0.0503663
0,1,8,8,0,48,32,1,1,1,32,48,32,32,32,0,1,0.0993251,0.10102,0.0962442,1.02484,0.242772,23.5726,0.00114376,21.9359,2.08544
0,1,8,16,3,32,32,1,1,1,32,96,32,32,32,3,0,0.0936631,0.564503,1.0158,0.161295,0.527554,12.2755,0.00191274,9.59179,5.67341
0,1,32,2,2,64,16,1,1,1,64,64,32,32,32,3,0,0.0941321,0.266716,0.278178,0.0988927,1.84342,4.36036,0.0012391,1.69185,0.93753
0,1,4,16,0,8,8,1,1,1,24,64,32,32,32,4,0,0.0851279,0.247386,0.22699,0.0282131,0.445927,1.84443,0.000706927,0.623268,0.415483
0,1,2,64,2,24,16,1,1,1,16,96,32,32,32,0,0,0.101315,0.104899,0.25483,0.169963,0.289847,4.1655,0.00147987,2.64214,2.42596
0,1,32,4,5,24,8,1,1,1,8,24,32,32,32,2,1,0.0334268,0.0171332,0.0338539,0.0445616,0.0172648,0.496762,0.000299464,0.373443,0.180373
0,1,8,16,2,8,16,1,1,1,32,8,32,32,32,2,0,0.0380095,0.050034,0.0145939,0.0238576,0.30797,1.16662,0.000877961,0.68901,0.215617
0,1,4,16,5,56,16,1,1,1,48,112,32,32,32,3,0,0.126169,1.28066,1.80019,0.241605,1.29751,10.7722,0.00128009,4.83455,3.86095
0,1,32,4,1,64,8,1,1,1,8,64,32,32,32,1,1,0.0504602,0.100162,0.169121,0.274969,0.0190897,2.42172,0.000438906,1.83986,0.549587
0,1,4,16,3,40,2,1,1,1,24,40,32,32,32,2,1,0.0535512,0.123843,0.43136,0.196129,0.200894,2.57343,0.000856754,1.36136,0.422399
0,1,4,16,4,64,32,1,1,1,64,128,32,32,32,4,0,0.21405,6.45295,10.4013,0.399852,8.57727,37.8657,0.00253678,10.0212,7.56463
0,1,32,2,2,56,16,1,1,1,112,112,32,32,32,0,0,0.0932948,0.0821678,0.0764064,0.226064,0.389232,4.82549,0.00163691,3.52228,2.56469
0,1,4,16,1,16,8,1,1,1,32,48,32,32,32,3,1,0.0628908,1.45098,0.746923,0.583796,0.817744,7.89674,0.000815038,3.87351,1.56941
0,1,64,1,3,24,16,1,1,1,32,48,32,32,32,2,1,0.0750778,0.161782,0.290154,0.277426,0.317086,3.25568,0.00069474,2.16763,0.573116
0,1,8,8,5,64,2,1,1,1,8,64,32,32,32,0,0,0.0357481,0.029953,0.0335435,0.0891113,0.00564568,0.6386,0.000209376,0.413762,0.359524
0,1,2,64,3,40,2,1,1,1,56,80,32,32,32,3,1,0.157491,0.741582,1.9178,0.100299,4.01821,16.2259,0.00177122,8.40409,1.8291
0,1,2,64,2,64,4,1,1,1,8,64,32,32,32,3,0,0.093448,0.640212,0.0793007,0.160966,0.0481598,3.09764,0.000565868,1.89179,1.45701
0,1,64,1,1,16,4,1,1,1,8,64,32,32,32,1,1,0.0482699,0.0510812,0.0546309,0.0422149,0.0161974,0.442861,0.000247614,0.262744,0.163776
0,1,8,8,4,56,32,1,1,1,96,112,32,32,32,0,0,0.153423,0.600575,0.434904,0.348528,0.569516,12.3232,0.00239758,9.12428,6.34827
0,1,2,32,5,40,2,1,1,1,16,40,32,32,32,2,0,0.0846592,0.0903253,0.187601,0.0414337,0.0865961,1.42155,0.000397488,0.681475,0.618678
0,1,8,8,3,48,1,1,1,1,8,48,32,32,32,3,1,0.0329829,0.0848465,0.316325,0.0238718,0.0368178,0.81879,0.000451836,0.295933,0.133546
0,1,64,2,3,24,16,1,1,1,16,24,32,32,32,0,0,0.0657366,0.018205,0.0177074,0.0268743,0.021967,0.481041,0.00125444,0.38815,0.164177
0,1,32,2,0,24,1,1,1,1,80,24,32,32,32,2,0,0.0305512,0.0690272,0.103116,0.182343,1.61102,2.4709,0.00102223,0.419292,0.381154
0,1,16,4,3,16,16,1,1,1,48,16,32,32,32,1,1,0.0387179,0.0663576,0.174385,0.140236,0.393476,2.49354,0.00097929,1.65617,0.508342
0,1,32,4,3,56,8,1,1,1,112,56,32,32,32,4,1,0.0735157,1.11107,4.42215,0.154199,5.89323,22.0934,0.00111754,10.2276,1.55356
0,1,64,1,5,56,4,1,1,1,120,56,32,32,32,0,1,0.0722939,0.265501,0.296174,0.535517,0.633953,6.695,0.00115041,4.72066,1.48721
0,1,32,4,5,32,1,1,1,1,24,96,32,32,32,3,0,0.0304748,0.289569,0.337781,0.116692,0.172135,1.48421,0.000274555,0.454423,0.410419
0,1,8,8,2,48,4,1,1,1,16,48,32,32,32,1,1,0.0414114,0.029161,0.0190245,0.0630155,0.0307493,1.6874,0.000503474,1.44046,0.274502
0,1,4,32,1,56,8,1,1,1,96,56,32,32,32,1,0,0.102689,0.202471,0.261828,0.828426,0.90351,20.5955,0.00130403,17.1394,13.9852
0,1,2,32,4,24,8,1,1,1,24,120,32,32,32,4,0,0.231277,1.79414,2.17849,0.086581,0.900563,7.88658,0.00151092,2.30629,2.09443
0,1,64,1,3,40,32,1,1,1,96,40,32,32,32,1,0,0.151351,0.196082,0.587459,0.1649,1.19471,5.8513,0.00154252,3.59886,1.16374
0,1,16,8,4,64,1,1,1,1,80,128,32,32,32,2,1,0.0981471,0.312957,0.334995,1.28435,0.865882,9.1887,0.000799099,6.14739,2.53958
0,1,16,4,4,56,2,1,1,1,64,56,32,32,32,0,1,0.033479,0.0394061,0.0390793,0.316829,0.106123,4.40076,0.00104914,3.67272,1.53961
0,1,64,1,1,48,32,1,1,1,96,96,32,32,32,1,0,0.211744,0.71578,0.818321,0.191499,1.56846,8.90446,0.00179944,5.30328,1.86216
0,1,4,16,4,64,2,1,1,1,128,64,32,32,32,4,0,0.201867,1.32778,1.5043,0.510268,9.93033,18.6334,0.00205257,4.20988,2.83922
0,1,16,4,5,32,16,1,1,1,64,64,32,32,32,2,1,0.0590707,0.578361,0.859458,0.524862,1.50727,17.3522,0.00139412,13.5957,2.55154
0,1,32,2,1,8,16,1,1,1,16,32,32,32,32,2,0,0.035498,0.262123,0.302719,0.0295745,0.244209,1.07138,0.000735967,0.204989,0.171688
0,1,4,32,1,56,2,1,1,1,128,112,32,32,32,0,1,0.19133,0.0981298,0.086855,0.719759,0.284559,36.6017,0.00120924,34.0713,15.9256
0,1,64,2,2,24,32,1,1,1,32,24,32,32,32,1,1,0.0959843,0.0324285,0.0247581,0.329844,0.104937,3.1444,0.00101403,2.64033,0.398534
0,1,1,64,5,16,16,1,1,1,48,32,32,32,32,4,1,0.28535,0.519735,0.852302,0.138852,2.05031,17.7712,0.00206084,12.9027,2.83208
0,1,4,16,5,64,8,1,1,1,16,64,32,32,32,0,1,0.0735078,0.0730132,0.0769599,0.153203,0.0256077,8.59033,0.000675837,8.01853,1.51868
