nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,1,64,3,48,32,1,1,1,96,48,32,32,32,3,0,0.325538,1.19065,3.99409,0.866324,5.99166,45.6092,0.00480629,28.8572,28.2546
0,1,1,64,2,64,4,1,1,1,72,128,32,32,32,3,1,0.388534,1.55008,1.13061,0.185756,2.95912,76.4906,0.00151592,66.6972,4.28921
0,1,1,64,5,16,1,1,1,1,48,128,32,32,32,4,0,0.219544,1.77402,1.7414,0.0948182,1.78955,12.0626,0.00650052,3.76768,3.4905
0,1,1,64,3,8,2,1,1,1,8,128,32,32,32,3,0,0.148264,0.245058,0.254079,0.0188608,0.0425,3.41385,0.00189863,2.41768,2.33695
0,1,1,64,2,16,1,1,1,1,80,96,32,32,32,4,0,0.19965,1.25744,1.30719,0.0811542,4.56113,13.4837,0.00341325,2.40412,2.02192
0,1,1,64,3,8,8,1,1,1,8,16,32,32,32,4,0,0.14279,0.0576662,0.118629,0.0317289,0.0812246,2.26949,0.00260882,1.76001,1.73974
0,1,1,64,0,40,16,1,1,1,32,80,32,32,32,0,0,0.196972,0.241753,0.417685,0.363677,1.10831,11.3235,0.00163217,6.95817,6.67141
0,1,1,64,3,40,8,1,1,1,8,80,32,32,32,4,0,0.159634,0.249382,0.573693,0.152008,0.0760228,10.3967,0.00193036,8.69612,8.59878
0,1,1,64,4,56,4,1,1,1,8,56,32,32,32,4,0,0.152113,0.413678,0.860388,0.110745,0.162132,3.96184,0.00242035,1.92271,1.86824
0,1,1,64,0,40,2,1,1,1,88,40,32,32,32,3,1,0.23997,0.505379,0.465051,0.0600548,3.7576,15.663,0.0016211,8.91684,1.35887
0,1,1,64,5,8,4,1,1,1,8,32,32,32,32,2,0,0.1602,0.0412231,0.0439122,0.0178325,0.0332893,0.65847,0.000507544,0.405442,0.381799
0,1,1,64,4,32,16,1,1,1,32,128,32,32,32,4,0,0.60037,3.33749,4.94281,0.294793,2.2185,18.7735,0.00334596,6.44903,6.09718
0,1,1,64,2,16,16,1,1,1,16,80,32,32,32,2,0,0.21853,0.709701,0.412481,0.156977,0.657678,5.6878,0.00159147,2.87753,2.74522
0,1,1,64,3,8,32,1,1,1,96,16,32,32,32,1,0,0.336935,0.154318,0.248586,0.13869,1.92455,10.9258,0.00495663,7.54842,7.39416
0,1,1,64,4,24,16,1,1,1,32,48,32,32,32,2,1,0.1907,0.621849,0.901205,0.190264,0.824843,23.5138,0.00281894,19.5285,3.69355
0,1,1,64,3,24,16,1,1,1,48,96,32,32,32,2,0,0.504861,0.737258,0.981733,0.207748,0.993719,21.9116,0.00353472,17.3498,16.9534
0,1,1,64,0,48,1,1,1,1,72,48,32,32,32,0,1,0.203521,0.045411,0.0425684,0.0542954,0.238453,7.37056,0.00144585,5.73141,1.17148
0,1,1,64,1,40,32,1,1,1,32,120,32,32,32,1,0,0.236639,1.32978,1.44403,0.643113,0.618245,31.6663,0.0027846,24.2172,23.7405
0,1,1,64,1,40,16,1,1,1,16,80,32,32,32,4,1,0.194889,11.2069,3.18327,0.325231,0.831857,51.389,0.00149359,34.5541,11.8491
0,1,1,64,0,32,4,1,1,1,56,64,32,32,32,4,1,0.268853,0.941093,0.677645,0.0860841,2.56889,19.5484,0.00163571,13.3686,1.75383
0,1,1,64,4,16,4,1,1,1,16,16,32,32,32,2,0,0.141792,0.0765859,0.126058,0.033446,0.146025,1.34158,0.00292783,0.660865,0.632523
0,1,1,64,3,56,8,1,1,1,64,56,32,32,32,1,1,0.52647,0.33965,1.04078,0.297296,0.888605,53.092,0.00320865,49.4446,8.81568
0,1,1,64,4,32,1,1,1,1,8,96,32,32,32,4,0,0.15819,0.305703,0.376019,0.0225032,0.0681884,1.84905,0.00261497,0.707241,0.643142
0,1,1,64,1,16,2,1,1,1,8,16,32,32,32,3,0,0.13086,0.12657,0.105458,0.0180038,0.0627125,1.84584,0.000439446,1.35298,1.3378
0,1,1,64,4,64,8,1,1,1,96,64,32,32,32,0,0,0.628369,0.172346,0.158879,0.252711,0.397998,10.2402,0.00337979,7.37862,6.88636
0,1,1,64,2,24,32,1,1,1,32,72,32,32,32,3,0,0.218222,3.51345,0.818033,0.450845,2.50827,17.6038,0.00273792,8.15082,7.86527
0,1,1,64,1,8,8,1,1,1,88,112,32,32,32,0,0,0.25858,0.227563,0.295692,0.131393,0.326713,11.8361,0.00183671,7.26347,6.60431
0,1,1,64,0,56,2,1,1,1,88,56,32,32,32,4,0,0.26409,0.981882,0.903988,0.0800041,5.65452,12.6432,0.00158334,2.20131,1.85035
0,1,1,64,1,24,4,1,1,1,24,48,32,32,32,3,1,0.23146,0.975538,0.498339,0.0529364,0.476466,12.2456,0.000901707,9.68139,6.75988
0,1,1,64,2,8,8,1,1,1,64,16,32,32,32,2,0,0.211693,0.179811,0.110016,0.0417231,2.19398,3.97582,0.00189942,0.843894,0.75672
0,1,1,64,1,32,4,1,1,1,8,32,32,32,32,0,0,0.134478,0.0344065,0.0342229,0.0636106,0.010635,3.88695,0.00056586,3.51614,3.47532
0,1,1,64,3,32,1,1,1,1,56,32,32,32,32,0,0,0.17711,0.109916,0.112669,0.076231,1.16048,2.9753,0.00214668,0.857761,0.720006
0,1,1,64,3,8,2,1,1,1,48,56,32,32,32,1,0,0.164219,0.2418,0.190795,0.0412418,1.20422,3.98389,0.002912,1.27024,1.11449
