m,n,k,avg,std
1536,256,256,256,0.000179953,0.12935
1537,512,256,256,0.000266703,0.0967135
1538,1024,256,256,0.000369516,0.0615808
1539,2048,256,256,0.000658266,0.0696204
1540,4096,256,256,0.00112007,0.0327186
1541,8192,256,256,0.00214464,0.0279258
1542,16384,256,256,0.00505444,0.0208182
1543,32768,256,256,0.015953,0.0226982
1544,256,512,256,0.000218324,0.0784476
1545,512,512,256,0.000322492,0.0620388
1546,1024,512,256,0.000547021,0.0412278
1547,2048,512,256,0.00118167,0.0171815
1548,4096,512,256,0.00181021,0.00614691
1549,8192,512,256,0.00413414,0.00963776
1550,16384,512,256,0.0104742,0.0266397
1551,32768,512,256,0.0289953,0.0406681
1552,256,1024,256,0.000297806,0.0783105
1553,512,1024,256,0.000480282,0.0652684
1554,1024,1024,256,0.000895143,0.0202585
1555,2048,1024,256,0.00206037,0.0325995
1556,4096,1024,256,0.00511575,0.0288041
1557,8192,1024,256,0.00905029,0.0310137
1558,16384,1024,256,0.0179917,0.0384041
1559,32768,1024,256,0.0400105,0.0411322
1560,256,2048,256,0.00061255,0.0664417
1561,512,2048,256,0.00137186,1.30096
1562,1024,2048,256,0.00180911,0.00986692
1563,2048,2048,256,0.0045677,0.00889173
1564,4096,2048,256,0.0123536,0.0323993
1565,8192,2048,256,0.0234908,0.0650085
1566,16384,2048,256,0.0349119,0.0354102
1567,32768,2048,256,0.0755915,0.00879482
1568,256,4096,256,0.000880433,0.0264221
1569,512,4096,256,0.00179799,0.0093529
1570,1024,4096,256,0.00325822,0.00719085
1571,2048,4096,256,0.0090708,0.0112449
1572,4096,4096,256,0.0231748,0.0454067
1573,8192,4096,256,0.0324273,0.0745957
1574,16384,4096,256,0.0527894,0.0366694
1575,32768,4096,256,0.111466,0.0392047
1576,256,8192,256,0.00172746,0.0507051
1577,512,8192,256,0.00304491,0.00715914
1578,1024,8192,256,0.005514,0.0249895
1579,2048,8192,256,0.0142415,0.0176937
1580,4096,8192,256,0.0303969,0.0520121
1581,8192,8192,256,0.0531588,0.056681
1582,16384,8192,256,0.0910274,0.0667732
1583,32768,8192,256,0.188195,0.0588562
1584,256,16384,256,0.00336304,0.00603631
1585,512,16384,256,0.00616395,0.00501122
1586,1024,16384,256,0.0114627,0.0271315
1587,2048,16384,256,0.0300987,0.0523645
1588,4096,16384,256,0.0487284,0.0593689
1589,8192,16384,256,0.0918509,0.0556423
1590,16384,16384,256,0.169328,0.058692
1591,32768,16384,256,0.339169,0.024975
1592,256,32768,256,0.0060482,0.0236252
1593,512,32768,256,0.0108586,0.0322025
1594,1024,32768,256,0.0199808,0.0108599
1595,2048,32768,256,0.0639886,0.0350825
1596,4096,32768,256,0.0739471,0.0182736
1597,8192,32768,256,0.163258,0.0316213
1598,16384,32768,256,0.300487,0.01349
1599,32768,32768,256,0.599278,0.00985922
1600,256,256,512,0.000261064,0.0818565
1601,512,256,512,0.000482698,0.0629578
1602,1024,256,512,0.000753771,0.0285336
1603,2048,256,512,0.00113932,0.0151152
1604,4096,256,512,0.00193297,0.0135456
1605,8192,256,512,0.0040027,0.00625812
1606,16384,256,512,0.00945801,0.00756199
1607,32768,256,512,0.0286808,0.00754508
1608,256,512,512,0.000416526,0.0520884
1609,512,512,512,0.000626949,0.0320229
1610,1024,512,512,0.00105675,0.0101321
1611,2048,512,512,0.00179029,0.0111204
1612,4096,512,512,0.00305104,0.0364646
1613,8192,512,512,0.00732004,0.00558248
1614,16384,512,512,0.0226301,0.00662571
1615,32768,512,512,0.0714739,0.0216418
1616,256,1024,512,0.000551439,0.0492987
1617,512,1024,512,0.000943989,0.0244228
1618,1024,1024,512,0.00185026,0.0033377
1619,2048,1024,512,0.00390848,0.0108482
1620,4096,1024,512,0.0111753,0.0187295
1621,8192,1024,512,0.023517,0.0181443
1622,16384,1024,512,0.0474458,0.0533833
1623,32768,1024,512,0.110191,0.0467424
1624,256,2048,512,0.000982319,0.0408724
1625,512,2048,512,0.0016882,0.0179907
1626,1024,2048,512,0.00303626,0.00888506
1627,2048,2048,512,0.00860524,0.00499346
1628,4096,2048,512,0.0289783,0.00969922
1629,8192,2048,512,0.0581308,0.0243634
1630,16384,2048,512,0.110447,0.0481599
1631,32768,2048,512,0.2356,0.0400696
1632,256,4096,512,0.00172785,0.0272383
1633,512,4096,512,0.00314055,0.00930562
1634,1024,4096,512,0.00591094,0.00465404
1635,2048,4096,512,0.0177182,0.00329411
1636,4096,4096,512,0.054713,0.0110104
1637,8192,4096,512,0.0955193,0.0324382
1638,16384,4096,512,0.196115,0.0375183
1639,32768,4096,512,0.384303,0.0447572
