node ppn nthreads layout dset gset zsetx zsety zsetz groups quad zonex zoney zonez legendre solver k1 k2 k3 k4 k5 Solver k7 SweepSolver k9
0 1 32 2 5 24 8 1 1 1 48 24 24 24 24 0 0 0.0337104 0.0301303 0.0286549 0.0384391 0.058894 0.450269 0.000688197 0.274103 0.208441
0 1 32 2 1 8 4 2 2 2 64 8 16 16 16 4 0 0.0326201 0.0163839 0.019244 0.016862 0.3969 0.545654 0.000706522 0.0858169 0.0454464
0 1 32 2 5 8 1 2 2 2 8 8 16 16 16 2 1 0.0240078 0.00184137 0.00239739 0.00927156 0.00347833 0.0512706 0.000190293 0.0318125 0.0145146
0 1 32 2 3 8 8 2 2 2 24 16 16 16 16 0 0 0.0343391 0.0113677 0.00920905 0.0170138 0.0237874 0.246963 0.00135527 0.181469 0.0659274
0 1 32 2 5 16 8 1 1 1 8 16 16 16 16 3 1 0.0243753 0.00452035 0.00670044 0.0193805 0.00576935 0.126532 0.000184178 0.0874596 0.0444611
0 1 32 2 5 16 1 1 1 1 24 32 16 16 16 3 1 0.0239778 0.0171809 0.0255206 0.0117448 0.0342623 0.144485 0.000131304 0.0492626 0.0303202
0 1 32 2 2 8 4 2 2 2 56 8 16 16 16 1 0 0.0310933 0.00514966 0.00693467 0.0139409 0.0528688 0.17572 0.000767874 0.0927124 0.0407417
0 1 32 2 5 8 2 2 2 2 8 8 16 16 16 0 0 0.0243577 0.002652 0.00271705 0.0149876 0.00286323 0.0763348 0.000335358 0.0507572 0.026451
0 1 32 2 0 8 1 1 1 1 48 8 8 8 8 4 0 0.0232255 0.00155333 0.00315335 0.00316135 0.0345492 0.0539055 0.000293592 0.00793914 0.00332838
0 1 32 2 5 16 4 1 1 1 56 16 16 16 16 1 0 0.0250313 0.00976725 0.0152827 0.0122996 0.057129 0.165518 0.000233662 0.0646962 0.0477314
0 1 32 2 0 8 8 1 1 1 8 16 8 8 8 4 1 0.0237246 0.00159092 0.00261585 0.00812015 0.00326725 0.0421751 0.000455989 0.0226772 0.00713959
0 1 32 2 4 8 8 1 1 1 8 24 8 8 8 0 0 0.0220154 0.00173806 0.0019814 0.00279855 0.00248303 0.0435804 0.000734425 0.0301156 0.0138496
