,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,1,64,6698,cube,139,1,9,0.002044,0.004851,7e-06,0.003996,0.078998,0.014258,0.300233,0.002913,0.406351
0,1,16,4,4656,cube,48,4,14,0.000594,0.002974,6e-06,0.000899,0.073487,0.184051,2.69361,0.007012,2.96297
0,1,16,4,37568,cube,177,2,8,0.001153,0.004648,6e-06,0.00138,0.086278,0.067002,0.244665,0.002425,0.407348
0,1,4,32,44828,cube,39,3,15,0.002998,0.01173,8e-06,0.028219,0.067975,0.810356,17.6131,0.03027,18.5628
0,1,8,16,14768,cube,96,3,5,0.001249,0.003808,6e-06,0.001495,0.037231,0.142403,0.11754,0.000969,0.304585
0,1,64,1,6848,cube,103,3,13,0.000512,0.006233,5e-06,0.000322,0.203735,0.174914,1.02206,0.000793,1.409
0,1,2,64,39300,cube,82,4,14,0.004469,0.017515,7e-06,0.025235,0.082367,2.83809,7.70686,0.018939,10.6901
0,1,4,16,9048,cube,253,3,15,0.00082,0.003548,5e-06,0.001295,0.051751,0.03566,0.954942,0.00317,1.05132
0,1,2,64,15962,cube,84,2,9,0.002252,0.007295,7e-06,0.007143,0.065291,0.082804,0.822907,0.002903,0.989448
0,1,32,2,16512,cube,139,2,10,0.000622,0.003572,7e-06,0.000663,0.163472,0.054664,0.380899,0.001782,0.60601
0,1,16,8,63440,cube,148,2,7,0.001342,0.005952,6e-06,0.002319,0.079157,0.115701,0.232463,0.002745,0.439383
0,1,64,1,4096,cube,83,3,10,0.001066,0.006244,4e-06,0.000525,0.205993,0.171541,0.254974,0.000315,0.640602
0,1,2,64,30910,cube,128,3,15,0.00358,0.013345,7e-06,0.014099,0.073621,0.262213,4.9361,0.01459,5.3151
0,1,64,1,9664,cube,148,3,12,0.000575,0.006172,7e-06,0.000471,0.092725,0.325376,0.782935,0.000977,1.2096
0,1,2,64,9780,cube,62,2,14,0.00145,0.004805,7e-06,0.007413,0.073119,0.086946,3.509,0.006248,3.68859
0,1,64,1,17088,cube,249,2,7,0.000836,0.007398,6e-06,0.000439,0.187272,0.24221,0.117285,0.000901,0.556506
0,1,64,2,7744,cube,33,2,12,0.000727,0.006903,7e-06,0.000352,0.266957,0.110764,1.07374,0.002546,1.4624
0,1,1,64,12399,cube,155,3,5,0.002989,0.008723,6e-06,0.008761,0.085205,0.263439,0.12024,0.000621,0.488005
0,1,1,64,31949,cube,40,3,15,0.007034,0.021322,7e-06,0.096948,0.094473,2.00804,18.895,0.018415,21.1353
0,1,32,2,7552,cube,177,1,15,0.000601,0.00333,7e-06,0.000668,0.116107,0.038042,1.12135,0.00581,1.28622
0,1,32,2,15616,cube,107,1,6,0.000524,0.004065,5e-06,0.001655,0.121363,0.067057,0.192143,0.00265,0.389911
0,1,4,16,22364,cube,164,3,8,0.001875,0.006605,6e-06,0.004483,0.038346,0.114026,0.341612,0.001707,0.507788
0,1,4,16,41884,cube,154,3,14,0.002766,0.010246,6e-06,0.008531,0.04335,0.169723,1.92876,0.008053,2.16967
0,1,16,4,4272,cube,126,2,6,0.000691,0.002066,5e-06,0.00038,0.049161,0.045571,0.06362,0.000689,0.162379
0,1,2,32,28566,cube,247,3,14,0.003347,0.012599,7e-06,0.012661,0.064503,0.193189,2.56639,0.007244,2.85759
0,1,1,64,13300,cube,170,2,10,0.003643,0.008408,8e-06,0.012459,0.090236,0.064659,0.844899,0.002273,1.02407
0,1,2,32,12534,cube,117,4,15,0.001806,0.006403,7e-06,0.008969,0.053614,1.00219,3.24605,0.005543,4.32379
0,1,2,64,5082,cube,43,4,5,0.00098,0.003077,6e-06,0.002692,0.064184,1.02526,0.4137,0.002578,1.51251
0,1,64,1,11712,cube,192,4,6,0.000662,0.006892,7e-06,0.000599,0.247042,0.187908,0.258623,0.000437,0.702527
0,1,2,32,64446,cube,114,3,6,0.006945,0.025754,7e-06,0.030284,0.051751,0.976261,0.41605,0.003224,1.50433
0,1,1,64,14678,cube,237,2,14,0.003722,0.009604,7e-06,0.011793,0.083205,0.050672,1.83621,0.00526,1.99783
0,1,16,8,30288,cube,240,1,6,0.000895,0.004617,7e-06,0.003473,0.077188,0.097661,0.264832,0.002866,0.451734
0,1,8,16,15272,cube,176,4,5,0.001038,0.004199,6e-06,0.00147,0.055016,0.371335,0.123296,0.001256,0.557682
0,1,32,4,48192,cube,43,1,12,0.000718,0.005959,7e-06,0.011356,0.159832,0.380519,8.5499,0.03354,9.14223
0,1,16,8,9008,cube,96,4,10,0.000574,0.002853,5e-06,0.000835,0.034512,0.302247,0.746816,0.002137,1.09039
0,1,8,16,6624,cube,120,1,11,0.000755,0.002249,6e-06,0.000701,0.07171,0.027121,0.747522,0.007072,0.857387
0,1,16,4,11248,cube,185,3,12,0.000917,0.003085,6e-06,0.000648,0.080426,0.056869,0.521287,0.002267,0.665553
0,1,64,2,34944,cube,207,4,14,0.001752,0.007905,5e-06,0.000983,0.213501,0.295074,1.93199,0.009099,2.45961
0,1,8,16,49928,cube,43,2,9,0.002067,0.007619,6e-06,0.008874,0.076068,0.274856,2.57559,0.007915,2.95202
0,1,8,16,4336,cube,217,3,5,0.000791,0.002966,6e-06,0.000379,0.034263,0.057904,0.093794,0.001943,0.192366
0,1,1,64,5359,cube,208,3,15,0.001892,0.004712,7e-06,0.004293,0.087464,0.043666,1.96522,0.009353,2.11575
0,1,1,64,6317,cube,64,3,7,0.002092,0.005216,6e-06,0.007165,0.080113,0.250193,0.646096,0.002821,0.99273
0,1,4,16,4500,cube,155,2,9,0.000676,0.002044,5e-06,0.000719,0.048335,0.015432,0.28719,0.002657,0.35725
0,1,4,32,10428,cube,152,2,14,0.001227,0.00394,5e-06,0.003491,0.054129,0.078061,2.65059,0.005927,2.79717
0,1,4,16,7940,cube,81,1,5,0.001038,0.003201,6e-06,0.001825,0.041491,0.033745,0.093101,0.000667,0.175034
0,1,32,2,6208,cube,191,3,9,0.000571,0.003283,7e-06,0.000331,0.155153,0.048986,0.1732,0.000933,0.382848
0,1,64,1,35328,cube,240,2,15,0.000531,0.006821,6e-06,0.001157,0.157162,0.322558,1.42451,0.006664,1.91988
0,1,64,2,11712,cube,207,4,9,0.000756,0.007472,6e-06,0.000401,0.28708,0.139836,0.444546,0.00122,0.881679
0,1,32,4,56064,cube,203,1,11,0.000916,0.007055,8e-06,0.005868,0.13052,0.179693,1.29663,0.019937,1.64092
0,1,64,1,18816,cube,74,4,5,0.000858,0.006874,7e-06,0.00051,0.093404,0.280819,0.05439,0.000668,0.437669
0,1,2,64,17106,cube,168,3,11,0.002268,0.00808,7e-06,0.008229,0.071251,0.228272,1.4835,0.004992,1.80541
0,1,1,64,14319,cube,74,3,5,0.003766,0.010406,8e-06,0.010236,0.085356,0.265552,0.130185,0.000715,0.503582
0,1,2,64,25852,cube,180,3,15,0.003073,0.011411,7e-06,0.012405,0.066909,0.260816,5.47704,0.012865,5.84251
0,1,8,16,20440,cube,45,2,11,0.001287,0.004114,6e-06,0.00337,0.037811,0.177298,1.97037,0.006956,2.20106
0,1,2,32,12892,cube,143,2,9,0.002007,0.006086,6e-06,0.0064,0.050894,0.05629,0.536297,0.00166,0.658593
0,1,1,64,17360,cube,134,1,13,0.004356,0.010634,7e-06,0.018276,0.08672,0.056055,2.1596,0.004664,2.33702
0,1,2,32,5042,cube,206,1,5,0.000986,0.002621,7e-06,0.001343,0.047879,0.014163,0.091434,0.001368,0.159795
0,1,4,32,39220,cube,44,2,12,0.002679,0.009426,7e-06,0.020839,0.067432,0.336063,7.87992,0.015849,8.33067
0,1,2,64,9158,cube,144,3,5,0.001306,0.004978,6e-06,0.00276,0.065812,0.113655,0.127305,0.00081,0.316307
0,1,64,2,23488,cube,85,1,7,0.001013,0.006999,6e-06,0.002489,0.363196,0.12006,0.533378,0.008002,1.03529
0,1,8,8,13544,cube,102,3,14,0.000913,0.003407,5e-06,0.001947,0.05497,0.115347,1.56311,0.004163,1.74393
0,1,32,2,8672,cube,209,3,11,0.000622,0.003428,6e-06,0.000303,0.096891,0.047411,0.299141,0.001001,0.449118
0,1,64,1,13120,cube,182,1,13,0.001144,0.006302,6e-06,0.001976,0.326397,0.18224,3.27384,0.01913,3.81086
0,1,4,16,55088,cube,225,2,11,0.003371,0.011882,6e-06,0.009828,0.052641,0.117631,0.65366,0.006088,0.852668
0,1,1,64,42562,cube,126,4,12,0.00929,0.025775,8e-06,0.02867,0.088136,1.8812,1.66952,0.006531,3.70103
0,1,1,64,8145,cube,89,3,5,0.00233,0.006326,8e-06,0.006905,0.082962,0.25177,0.140601,0.000707,0.490316
0,1,4,32,4508,cube,190,1,9,0.000735,0.001984,5e-06,0.000741,0.053897,0.016408,0.454774,0.004031,0.53278
0,1,16,4,10464,cube,47,4,12,0.000617,0.003346,6e-06,0.000981,0.055713,0.199055,0.831223,0.002285,1.09355
0,1,2,32,19326,cube,128,1,9,0.002405,0.007858,6e-06,0.007611,0.051741,0.05391,0.523704,0.002087,0.647967
0,1,8,16,48160,cube,44,2,11,0.001989,0.007462,6e-06,0.01035,0.059245,0.32823,4.91343,0.013609,5.33343
0,1,8,16,52168,cube,168,3,13,0.002074,0.008268,6e-06,0.005212,0.070729,0.213861,1.78327,0.010197,2.09272
0,1,64,2,20800,cube,51,2,7,0.000856,0.006708,7e-06,0.000617,0.185573,0.14239,0.220407,0.001616,0.558374
0,1,8,16,41056,cube,226,4,15,0.001878,0.00727,6e-06,0.004579,0.067104,0.442225,3.63008,0.015407,4.16775
