,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,32,4,14432,cube,221,4,4,0.000569,0.003865,6e-06,0.000674,0.187245,0.146849,0.051727,0.000669,0.392001
0,1,32,4,15360,cube,70,3,11,0.000679,0.004456,6e-06,0.000568,0.155528,0.110712,0.873789,0.003422,1.14955
0,1,16,4,14480,cube,48,3,6,0.000808,0.003372,5e-06,0.000711,0.043688,0.079046,0.095383,0.000823,0.224252
0,1,16,4,15264,cube,90,2,7,0.000531,0.002688,6e-06,0.000735,0.074731,0.04747,0.150076,0.001016,0.277636
0,1,16,4,14336,cube,126,4,4,0.000563,0.003439,5e-06,0.000735,0.055943,0.176895,0.035979,0.000573,0.274611
0,1,16,4,14672,cube,62,4,8,0.001042,0.003872,6e-06,0.000818,0.072204,0.215989,0.222974,0.00121,0.518144
0,1,16,4,14240,cube,79,1,14,0.000546,0.002717,5e-06,0.00175,0.045068,0.096492,1.94602,0.007048,2.10008
0,1,16,4,14480,cube,252,3,4,0.000874,0.002915,5e-06,0.000586,0.05933,0.054088,0.048199,0.000491,0.166561
0,1,16,4,14336,cube,175,4,11,0.00054,0.003153,6e-06,0.001008,0.056047,0.210353,0.580889,0.002273,0.854772
0,1,16,4,14528,cube,87,4,13,0.000573,0.003157,6e-06,0.000994,0.057777,0.225186,1.03751,0.003263,1.32881
0,1,16,4,14336,cube,60,4,5,0.000895,0.00348,7e-06,0.000868,0.083102,0.189158,0.058341,0.000623,0.336551
0,1,16,4,14048,cube,50,4,9,0.000698,0.003156,6e-06,0.000998,0.072371,0.207519,0.332399,0.001498,0.618892
0,1,16,4,16224,cube,144,3,4,0.000901,0.00292,6e-06,0.00081,0.049423,0.06867,0.03681,0.000515,0.160093
0,1,16,4,15168,cube,205,3,12,0.000869,0.003405,6e-06,0.001166,0.074642,0.080129,0.773094,0.002844,0.936283
0,1,16,4,15648,cube,184,3,4,0.000918,0.00315,5e-06,0.000859,0.091258,0.053843,0.036519,0.000539,0.187105
0,1,16,4,14832,cube,203,1,15,0.00089,0.003244,7e-06,0.002386,0.073522,0.099836,2.44309,0.008562,2.63163
0,1,16,4,15824,cube,162,1,6,0.000599,0.003048,5e-06,0.00144,0.083896,0.055772,0.138757,0.00149,0.285419
0,1,16,8,16144,cube,113,3,15,0.000893,0.003518,6e-06,0.00148,0.075109,0.166978,3.03978,0.007043,3.29494
0,1,16,8,15744,cube,53,4,14,0.000748,0.003208,5e-06,0.001226,0.097768,0.317269,2.30721,0.007362,2.73511
0,1,16,8,16320,cube,198,4,9,0.000652,0.00299,5e-06,0.000891,0.099068,0.278712,0.564934,0.002462,0.950049
0,1,16,8,14832,cube,224,1,5,0.000753,0.003233,6e-06,0.001196,0.056839,0.061758,0.112454,0.001183,0.237781
0,1,16,8,16224,cube,169,2,15,0.000644,0.003175,6e-06,0.001349,0.051772,0.134481,3.00407,0.010111,3.20598
0,1,16,8,14864,cube,179,2,6,0.00051,0.002838,5e-06,0.000669,0.026827,0.117394,0.168052,0.001192,0.317956
0,1,16,8,14064,cube,157,3,7,0.000787,0.002888,6e-06,0.000792,0.060724,0.129482,0.265574,0.001411,0.461904
0,1,16,8,16112,cube,203,4,12,0.000579,0.003521,5e-06,0.00103,0.048411,0.30103,1.30911,0.006255,1.67051
0,1,16,8,14272,cube,50,1,8,0.000719,0.002993,6e-06,0.001368,0.060222,0.074498,0.476923,0.002332,0.619499
0,1,16,8,14096,cube,78,1,13,0.000689,0.003411,7e-06,0.001891,0.062584,0.109701,2.20575,0.006504,2.39092
0,1,16,8,15120,cube,218,3,15,0.000582,0.002926,6e-06,0.001041,0.071086,0.166727,2.71029,0.008838,2.96197
0,1,8,8,15360,cube,170,3,13,0.001195,0.003904,7e-06,0.002323,0.032629,0.115758,1.17918,0.003729,1.33848
0,1,8,8,14144,cube,64,2,5,0.001228,0.003827,7e-06,0.001269,0.061391,0.038421,0.067776,0.00065,0.174275
0,1,8,8,15688,cube,226,1,15,0.001214,0.003606,6e-06,0.002377,0.061411,0.067539,1.87756,0.005377,2.01883
0,1,8,8,15088,cube,227,1,10,0.001268,0.003754,5e-06,0.001583,0.052017,0.061247,0.424063,0.002052,0.54565
0,1,8,8,15808,cube,179,3,12,0.00108,0.003768,5e-06,0.001905,0.073374,0.088242,0.887122,0.00319,1.05852
0,1,8,8,16184,cube,224,1,10,0.001125,0.003649,5e-06,0.002011,0.03528,0.090178,0.477702,0.002149,0.611926
0,1,8,8,14920,cube,123,1,13,0.000919,0.003237,6e-06,0.002058,0.040289,0.069617,1.18219,0.003631,1.30195
0,1,8,8,16328,cube,126,1,5,0.001135,0.004078,5e-06,0.001538,0.030157,0.056253,0.069715,0.000699,0.163425
0,1,8,8,15048,cube,153,3,5,0.001176,0.003733,6e-06,0.001546,0.030748,0.085047,0.068467,0.000653,0.19119
0,1,8,8,14976,cube,205,2,13,0.001277,0.003804,5e-06,0.002287,0.034743,0.078867,1.16149,0.003676,1.28582
0,1,8,8,14040,cube,39,3,4,0.001151,0.003788,6e-06,0.001295,0.048079,0.069111,0.047049,0.0005,0.170818
0,1,8,8,14768,cube,141,2,10,0.000864,0.003411,5e-06,0.001632,0.030223,0.069106,0.486694,0.001994,0.593956
0,1,8,8,14152,cube,196,2,8,0.001162,0.003671,5e-06,0.001433,0.038674,0.052314,0.244554,0.001231,0.342856
0,1,8,8,15040,cube,156,2,9,0.000855,0.003892,6e-06,0.001563,0.042432,0.055675,0.357034,0.001668,0.463246
0,1,8,8,14032,cube,211,4,10,0.001144,0.003933,6e-06,0.001206,0.053253,0.238621,0.456912,0.001997,0.756878
0,1,8,16,15592,cube,127,3,10,0.001101,0.004539,7e-06,0.002013,0.046744,0.153795,0.839862,0.003443,1.05143
