,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,10240,cube,188,2,15,0.000978,0.006281,5e-06,0.000271,0.208828,0.191881,1.10285,0.001674,1.51271
0,1,64,1,31232,cube,40,1,9,0.000862,0.007099,7e-06,0.007577,0.279111,0.291649,6.9303,0.033069,7.5499
0,1,64,1,18944,cube,55,1,10,0.000999,0.006871,8e-06,0.00279,0.253134,0.159525,1.39627,0.014486,1.83414
0,1,64,1,47296,cube,255,3,14,0.001308,0.007121,6e-06,0.000832,0.094027,0.441938,1.13013,0.007314,1.68249
0,1,64,1,43328,cube,75,2,12,0.000628,0.006878,7e-06,0.001917,0.314071,0.289111,1.84149,0.007835,2.46231
0,1,64,1,43584,cube,250,3,5,0.001354,0.008024,6e-06,0.000645,0.325145,0.117555,0.068647,0.001294,0.522247
0,1,64,1,49472,cube,123,2,6,0.000671,0.007107,6e-06,0.000756,0.354085,0.087921,0.10786,0.002101,0.560978
0,1,64,1,52864,cube,217,3,15,0.001024,0.007524,7e-06,0.001066,0.221011,0.450427,1.44506,0.009508,2.13557
0,1,64,1,4416,cube,45,4,10,0.001032,0.006475,6e-06,0.000259,0.060101,0.450207,0.323418,0.000741,0.84208
0,1,64,1,11136,cube,171,2,14,0.000752,0.006129,7e-06,0.000702,0.135447,0.201905,0.995893,0.002804,1.34395
0,1,64,1,18880,cube,219,1,6,0.001594,0.006416,6e-06,0.001881,0.201737,0.078116,0.335367,0.006257,0.630817
0,1,64,1,28416,cube,171,3,4,0.000973,0.006843,6e-06,0.000746,0.204673,0.0738,0.035212,0.00074,0.323023
0,1,64,1,4480,cube,254,3,8,0.001037,0.006012,6e-06,0.00052,0.192474,0.074709,0.1484,0.000249,0.423348
0,1,64,1,59776,cube,87,3,12,0.000898,0.007743,6e-06,0.002123,0.190095,0.347582,2.518,0.011551,3.07813
0,1,64,1,32000,cube,135,1,15,0.000565,0.007806,7e-06,0.00437,0.271033,0.224865,5.69403,0.049565,6.25282
0,1,64,1,36224,cube,147,3,6,0.001142,0.007294,5e-06,0.000411,0.155953,0.206365,0.09046,0.001354,0.462847
0,1,64,1,24128,cube,150,1,6,0.000975,0.006869,6e-06,0.002454,0.172646,0.208821,0.361185,0.007525,0.7606
0,1,64,1,8320,cube,153,3,13,0.000447,0.005883,6e-06,0.000345,0.105228,0.325228,0.665086,0.000991,1.10374
0,1,64,1,6336,cube,154,1,7,0.000537,0.006511,7e-06,0.000591,0.211194,0.160841,0.14842,0.002411,0.530963
0,1,64,1,28416,cube,114,2,11,0.001435,0.006651,7e-06,0.000592,0.347558,0.10335,0.474423,0.002998,0.936597
