m,n,p,avg,std
4096,1024,16,1,0.00258271,2.27236
4097,1171,16,1,0.00234882,1.98051
4098,1339,16,1,0.00269616,2.1302
4099,1531,16,1,0.00266538,2.13211
4100,1751,16,1,0.00274189,2.02893
4101,2003,16,1,0.00283911,2.00181
4102,2290,16,1,0.00284239,1.99804
4103,2619,16,1,0.0030225,1.99892
4104,2995,16,1,0.00307909,1.90174
4105,3425,16,1,0.00313349,1.80543
4106,3917,16,1,0.00327045,1.73961
4107,4479,16,1,0.00341982,1.74937
4108,5122,16,1,0.003567,1.5978
4109,5858,16,1,0.00379701,1.65122
4110,6699,16,1,0.00391665,1.49768
4111,7661,16,1,0.00418438,1.41092
4112,8760,16,1,0.0043083,1.33881
4113,10018,16,1,0.00465449,1.25637
4114,11456,16,1,0.00493556,1.17563
4115,13101,16,1,0.00530989,1.0304
4116,14982,16,1,0.00558492,0.880072
4117,17133,16,1,0.00618756,0.84066
4118,19593,16,1,0.00663533,0.793251
4119,22406,16,1,0.00735438,0.710948
4120,25623,16,1,0.00830309,0.690664
4121,29302,16,1,0.00894718,0.524811
4122,33509,16,1,0.0100916,0.507565
4123,38320,16,1,0.0107518,0.339458
4124,43822,16,1,0.0120295,0.329518
4125,50113,16,1,0.0138319,0.387715
4126,57308,16,1,0.0155128,0.360685
4127,65536,16,1,0.0167533,0.214845
4128,1024,18,1,0.00344641,1.73683
4129,1171,18,1,0.00370661,1.5773
4130,1339,18,1,0.00346906,1.43123
4131,1531,18,1,0.00348896,1.66894
4132,1751,18,1,0.00342495,1.69999
4133,2003,18,1,0.00374974,1.56864
4134,2290,18,1,0.0036075,1.50925
4135,2619,18,1,0.00391562,1.48935
4136,2995,18,1,0.00394843,1.3201
4137,3425,18,1,0.00358579,1.17935
4138,3917,18,1,0.00383842,1.08459
4139,4479,18,1,0.00413936,1.28235
4140,5122,18,1,0.0039917,1.07077
4141,5858,18,1,0.00448976,1.18208
4142,6699,18,1,0.00460097,1.16825
4143,7661,18,1,0.00478801,1.18855
4144,8760,18,1,0.00511675,0.929421
4145,10018,18,1,0.00559013,1.04567
4146,11456,18,1,0.00590498,0.955421
4147,13101,18,1,0.00616933,0.931747
4148,14982,18,1,0.00651991,0.864676
4149,17133,18,1,0.00704051,0.701368
4150,19593,18,1,0.00773306,0.683613
4151,22406,18,1,0.0080541,0.659696
4152,25623,18,1,0.00891633,0.644012
4153,29302,18,1,0.00977933,0.54633
4154,33509,18,1,0.0106772,0.44881
4155,38320,18,1,0.011866,0.437041
4156,43822,18,1,0.0131787,0.425994
4157,50113,18,1,0.0141754,0.275556
4158,57308,18,1,0.0163962,0.294048
4159,65536,18,1,0.018124,0.257517
4160,1024,21,1,0.00342546,1.61117
4161,1171,21,1,0.00351356,1.64125
4162,1339,21,1,0.00350866,1.51245
4163,1531,21,1,0.00381858,1.55332
4164,1751,21,1,0.0035764,1.52914
4165,2003,21,1,0.00383377,1.51306
4166,2290,21,1,0.00392418,1.48896
4167,2619,21,1,0.00375007,1.52539
4168,2995,21,1,0.00413284,1.52691
4169,3425,21,1,0.00358222,1.17025
4170,3917,21,1,0.00413474,1.38373
4171,4479,21,1,0.00445399,1.20949
4172,5122,21,1,0.0041878,0.972732
4173,5858,21,1,0.00443981,1.1764
4174,6699,21,1,0.00491999,1.14246
4175,7661,21,1,0.00500505,1.22134
4176,8760,21,1,0.0053195,1.06514
4177,10018,21,1,0.00546252,0.981473
4178,11456,21,1,0.0059701,0.987769
4179,13101,21,1,0.00631734,0.904214
4180,14982,21,1,0.00677924,0.839961
4181,17133,21,1,0.00715047,0.718291
4182,19593,21,1,0.00771813,0.795289
4183,22406,21,1,0.00836498,0.617652
4184,25623,21,1,0.00969204,0.568138
4185,29302,21,1,0.0100503,0.514358
4186,33509,21,1,0.0112295,0.524069
4187,38320,21,1,0.0123555,0.465077
4188,43822,21,1,0.0134677,0.383988
4189,50113,21,1,0.0149552,0.355923
4190,57308,21,1,0.0168423,0.31491
4191,65536,21,1,0.0189675,0.283968
4192,1024,24,1,0.00387731,1.67824
4193,1171,24,1,0.00395936,1.58912
4194,1339,24,1,0.0038123,1.68651
4195,1531,24,1,0.00422674,1.59301
4196,1751,24,1,0.00413438,1.5547
4197,2003,24,1,0.00403008,1.64965
4198,2290,24,1,0.00406437,1.60231
4199,2619,24,1,0.00421709,1.71153
4200,2995,24,1,0.00417521,1.4147
4201,3425,24,1,0.00435545,1.44078
4202,3917,24,1,0.00469563,1.4781
4203,4479,24,1,0.00467138,1.40927
4204,5122,24,1,0.00486022,1.19686
4205,5858,24,1,0.00455554,1.13274
4206,6699,24,1,0.0054221,1.26324
4207,7661,24,1,0.00546559,1.2089
4208,8760,24,1,0.00558912,1.17966
4209,10018,24,1,0.00600641,1.09084
4210,11456,24,1,0.00659456,1.10178
4211,13101,24,1,0.00679097,0.938095
4212,14982,24,1,0.00710264,0.792891
4213,17133,24,1,0.00765871,0.849034
4214,19593,24,1,0.00794504,0.723999
4215,22406,24,1,0.00898585,0.73698
4216,25623,24,1,0.00985128,0.656472
4217,29302,24,1,0.0103691,0.581192
4218,33509,24,1,0.0113662,0.533924
4219,38320,24,1,0.0123475,0.409858
4220,43822,24,1,0.0138017,0.380358
4221,50113,24,1,0.0153562,0.375709
4222,57308,24,1,0.0173022,0.351931
4223,65536,24,1,0.0194122,0.309701
4224,1024,27,1,0.00366528,1.69632
4225,1171,27,1,0.00382237,1.65143
4226,1339,27,1,0.003952,1.65327
4227,1531,27,1,0.00426353,1.53911
4228,1751,27,1,0.00438747,1.64263
4229,2003,27,1,0.0043197,1.60468
4230,2290,27,1,0.00447388,1.38046
4231,2619,27,1,0.00446243,1.36523
4232,2995,27,1,0.00456882,1.47275
4233,3425,27,1,0.00459583,1.45382
4234,3917,27,1,0.00474406,1.33739
4235,4479,27,1,0.00450453,1.18112
4236,5122,27,1,0.0046577,1.09977
4237,5858,27,1,0.00498396,1.13824
4238,6699,27,1,0.00508155,1.00178
4239,7661,27,1,0.00538763,0.968717
4240,8760,27,1,0.00548692,0.991781
4241,10018,27,1,0.00601987,0.943276
4242,11456,27,1,0.00657816,0.89557
4243,13101,27,1,0.00694132,0.887745
4244,14982,27,1,0.00754483,0.832999
4245,17133,27,1,0.00779642,0.774963
4246,19593,27,1,0.0085433,0.690332
4247,22406,27,1,0.00973271,0.673399
4248,25623,27,1,0.0101487,0.615489
4249,29302,27,1,0.010889,0.530754
4250,33509,27,1,0.0124088,0.566672
4251,38320,27,1,0.0132884,0.443654
4252,43822,27,1,0.0147715,0.385739
4253,50113,27,1,0.0160932,0.350232
4254,57308,27,1,0.0183489,0.350483
4255,65536,27,1,0.0204683,0.272589
4256,1024,31,1,0.00381041,1.62932
4257,1171,31,1,0.00408742,1.52418
4258,1339,31,1,0.0041293,1.63447
4259,1531,31,1,0.00412354,1.45878
4260,1751,31,1,0.00435045,1.38149
4261,2003,31,1,0.00406755,1.41641
4262,2290,31,1,0.00428034,1.43
4263,2619,31,1,0.00427165,1.2968
4264,2995,31,1,0.00463952,1.43855
4265,3425,31,1,0.00475212,1.25071
4266,3917,31,1,0.00455861,1.28279
4267,4479,31,1,0.0048234,1.23462
4268,5122,31,1,0.00534343,1.35499
4269,5858,31,1,0.0054137,1.1263
4270,6699,31,1,0.00563259,1.22899
4271,7661,31,1,0.00614774,1.04858
4272,8760,31,1,0.00631502,1.04009
4273,10018,31,1,0.00649877,1.06573
4274,11456,31,1,0.00681322,1.05178
4275,13101,31,1,0.00729773,0.868497
4276,14982,31,1,0.00795267,0.78391
4277,17133,31,1,0.00829649,0.794145
4278,19593,31,1,0.00901629,0.699881
4279,22406,31,1,0.00929434,0.534485
4280,25623,31,1,0.0107137,0.570215
