5 8 8 0 2 0.15438
6 8 6 0 7 0.704285
5 0 1 1 5 0.230423
4 8 0 2 5 1.51851
5 6 7 0 6 0.2013
5 3 9 3 0 0.110898
2 5 1 4 7 2.8124
0 2 6 3 7 0.505044
6 1 6 1 8 0.434275
1 9 2 2 5 0.798478
5 7 0 0 2 0.339796
2 1 0 4 5 2.32331
6 9 6 4 5 2.04704
6 8 2 2 2 0.190543
1 6 8 0 2 0.12321
1 5 5 3 4 0.171272
2 8 4 2 7 1.08759
3 8 2 4 2 1.92441
3 4 4 2 1 0.079155
0 4 2 1 2 0.145503
6 7 1 4 8 3.1132
0 5 8 0 4 0.1923
3 6 5 4 7 0.475783
5 7 9 3 8 0.391026
5 1 4 0 6 0.341278
0 5 6 3 7 0.571526
4 6 7 2 5 0.149437
0 5 0 2 3 0.898773
3 6 6 1 6 0.184124
3 6 4 4 4 0.633356
5 2 3 3 0 0.110938
5 8 7 0 3 0.157028
0 6 8 1 3 0.188073
2 3 7 2 1 0.071589
4 4 3 0 5 0.129146
3 2 4 2 7 0.251442
1 2 9 1 7 0.177008
2 5 3 3 7 0.472356
2 6 7 3 0 0.124453
2 2 3 4 4 0.331491
3 4 6 1 0 0.071704
0 6 4 1 5 0.389023
1 9 0 1 6 7.62147
5 4 6 3 7 0.266088
3 7 0 0 3 0.440355
1 5 2 0 6 0.938677
0 9 3 0 3 0.514939
0 0 8 1 7 0.150291
6 0 3 4 3 0.35435
4 0 1 1 1 0.087767
4 8 0 1 8 5.12606
2 2 5 4 6 0.415984
5 3 4 1 2 0.086017
3 1 7 2 4 0.103764
6 1 0 3 5 1.05861
1 4 6 4 5 0.402446
1 9 6 2 7 1.87092
6 1 6 2 5 0.178239
2 7 5 2 7 0.559298
0 4 5 3 3 0.155776
4 7 4 3 1 0.323529
4 4 8 3 6 0.194065
0 3 1 0 3 0.271205
3 4 1 3 3 0.363677
4 8 0 3 3 2.02549
0 6 6 1 6 0.406451
4 3 7 2 6 0.168621
6 7 7 0 4 0.169906
2 8 5 1 5 0.443425
2 6 2 1 6 0.690561
4 5 7 1 4 0.112213
5 2 0 2 8 1.44931
5 4 3 1 7 0.237514
2 4 4 1 0 0.077473
1 7 4 2 7 1.614
1 0 7 2 6 0.12514
6 8 2 3 2 0.400428
3 4 3 3 3 0.113276
6 5 8 4 3 0.348132
1 9 1 2 4 0.941209
0 4 6 0 6 0.340521
5 3 5 0 6 0.175097
0 3 9 3 7 0.51533
1 0 8 0 3 0.079682
1 8 0 1 5 3.62548
1 8 0 2 4 2.26937
6 8 1 4 3 2.4273
1 4 5 3 1 0.115013
2 9 5 3 2 0.401493
5 9 5 2 5 0.277169
4 8 5 2 7 0.830476
5 4 6 1 1 0.088999
3 9 5 4 6 2.23556
2 5 2 2 2 0.152117
2 6 1 3 6 0.919585
4 4 7 0 0 0.075874
3 6 5 3 4 0.149163
0 7 5 2 7 1.27808
6 5 1 1 5 0.373753
2 5 7 4 0 0.31337
3 7 0 1 1 0.277391
2 7 1 2 5 0.472699
2 7 1 1 4 0.288555
3 2 7 1 3 0.078583
3 1 4 1 6 0.327783
6 5 0 3 8 3.17396
3 8 9 2 3 0.158923
2 4 9 1 6 0.189196
6 4 3 1 2 0.103222
1 7 1 2 8 2.71805
2 1 1 4 1 0.344434
1 4 5 2 2 0.094672
1 9 9 4 1 1.24229
0 8 2 2 5 1.27547
6 0 0 0 5 0.666449
1 0 1 1 7 0.486018
4 0 2 2 4 0.154728
4 4 5 1 3 0.089971
3 6 6 3 0 0.121203
5 0 1 3 5 0.256885
6 3 1 0 1 0.120497
1 1 2 1 3 0.112254
5 3 7 3 7 0.261706
3 2 5 1 0 0.068438
3 2 1 4 8 0.925871
0 8 4 1 6 2.05586
1 7 6 2 5 0.252906
6 7 4 1 6 0.574033
3 3 6 3 6 0.188242
2 6 8 2 2 0.106838
0 9 8 1 7 2.72522
0 0 3 1 0 0.07051
1 6 6 2 8 0.5273
6 3 3 4 5 0.377579
3 2 8 3 6 0.16116
