m,n,node,ppn,ob,ib,pc,avg,std
193,20036,468,4,8,192,24,1,0.116326,0.0539512
218,5238,42,4,8,16,8,1,0.0153544,0.427667
229,22913,82,4,8,80,16,1,0.020096,0.421154
232,39186,48,4,8,32,8,1,0.0253821,0.290748
254,114616,1047,4,8,112,8,2,1.08826,0.0137555
264,5238,1791,4,8,96,24,2,0.307684,0.0428242
266,39186,1047,4,8,96,32,4,0.699293,0.0368822
282,6850,42,4,8,16,16,2,0.0224396,0.554444
285,5238,48,4,8,16,16,2,0.0189714,0.534357
290,2342,94,4,8,80,32,1,0.00954669,0.183556
313,4005,160,4,8,144,40,1,0.0180184,0.0838035
324,114616,160,4,8,64,16,2,0.168718,0.0696057
354,8958,183,4,8,176,64,1,0.0302673,0.154029
370,100226,122,4,8,112,8,1,0.0547402,0.148724
382,13398,55,4,8,16,16,2,0.0513243,0.193429
438,7834,107,4,8,64,40,1,0.0149977,0.535054
450,2342,239,4,8,192,56,1,0.0277865,0.0922131
490,58604,55,4,8,48,24,1,0.0258327,0.217403
556,58604,1197,4,8,192,48,1,0.53689,0.0244316
579,44812,358,4,8,64,32,1,0.114598,0.0573566
638,87643,63,4,8,32,16,1,0.0463686,0.19625
654,2678,801,4,8,112,40,4,0.113241,0.22705
663,6850,183,4,8,96,40,1,0.0251635,0.315059
683,29965,55,4,8,48,32,1,0.0181716,0.434191
716,15321,32,4,8,16,16,2,0.0231109,0.487048
717,76640,72,4,8,64,32,1,0.0372004,0.71626
767,29965,82,4,8,64,32,1,0.0196758,0.369635
781,6850,209,4,8,144,40,1,0.0281342,0.192413
786,58604,535,4,8,224,24,2,0.308645,0.052662
812,26203,209,4,8,192,64,1,0.0527457,0.174856
814,5990,313,4,8,112,8,2,0.0564732,0.240631
828,34267,209,4,8,160,32,1,0.0538056,0.182112
829,3503,94,4,8,64,24,1,0.0110573,0.492421
845,34267,122,4,8,64,56,1,0.0288286,0.273337
860,3063,42,4,8,32,8,1,0.00960028,0.75001
861,44812,1197,4,8,192,40,1,0.477257,0.0215993
863,7834,48,4,8,48,16,1,0.00754839,0.79415
897,114616,801,4,8,176,64,1,0.462121,0.0300626
974,10245,37,4,8,16,16,1,0.0216044,0.330573
987,100226,94,4,8,80,56,1,0.0422945,0.187278
989,67018,700,4,8,160,32,2,0.467341,0.0273003
995,5990,140,4,8,128,24,1,0.0188908,0.272492
1001,5990,468,4,8,144,8,2,0.0962417,0.144072
1016,5238,1566,4,8,128,24,1,0.277245,0.0139872
1037,34267,183,4,8,112,48,1,0.0455561,0.170376
1057,13398,239,4,8,64,32,2,0.0580038,0.220996
1090,114616,37,4,8,32,32,1,0.0466882,0.137964
1091,34267,107,4,8,96,16,1,0.0287038,0.281579
1105,4581,1047,4,8,192,40,1,0.176578,0.0132844
1108,2342,612,4,8,96,40,2,0.0682631,0.114823
1134,13398,183,4,8,144,40,1,0.0318926,0.254345
1141,7834,1791,4,8,112,40,4,0.447424,0.0644971
1147,13398,1197,4,8,176,40,2,0.344247,0.0476381
1148,2342,916,4,8,256,24,1,0.157926,0.0161176
1177,17521,48,4,8,32,24,1,0.0170488,0.602853
1181,7834,1566,4,8,80,16,2,0.330167,0.0472876
1187,44812,468,4,8,192,64,2,0.237088,0.0568238
1234,17521,916,4,8,160,56,2,0.29589,0.0643247
1243,10245,32,4,8,32,8,1,0.00800552,0.70175
1283,34267,1197,4,8,192,24,4,0.798551,0.0286135
1297,29965,409,4,8,160,64,2,0.16572,0.0908932
1318,100226,94,4,8,80,56,1,0.041983,0.168817
1359,5990,63,4,8,48,48,1,0.00937583,0.772816
1365,51246,72,4,8,64,64,1,0.024174,0.228584
1393,2048,107,4,8,96,8,1,0.0115896,0.146691
1398,51246,94,4,8,80,40,1,0.0282755,0.158433
1403,131072,700,4,8,176,40,1,0.403593,0.0236242
1420,22913,1197,4,8,192,56,1,0.346622,0.028222
1444,39186,72,4,8,64,16,1,0.0227719,0.351349
1455,39186,37,4,8,16,8,2,0.0877837,0.12161
1457,26203,801,4,8,160,40,1,0.225185,0.0481697
1479,13398,48,4,8,48,48,1,0.0070628,0.771797
1519,6850,535,4,8,208,32,1,0.0925555,0.0647799
1549,100226,1047,4,8,64,24,2,1.15035,0.013481
1561,87643,274,4,8,144,32,1,0.110319,0.0684436
1576,100226,409,4,8,112,8,2,0.349383,0.042934
1616,8958,1369,4,8,240,16,2,0.405754,0.0389261
1655,4581,409,4,8,192,64,2,0.0702221,0.105658
1656,2678,1197,4,8,96,64,4,0.16277,0.179531
1659,10245,239,4,8,128,8,1,0.0421754,0.186166
1663,13398,535,4,8,112,8,4,0.187203,0.147058
1711,5238,122,4,8,96,64,1,0.0147803,0.318243
1722,5238,209,4,8,96,48,1,0.0265295,0.200106
1735,15321,32,4,8,32,8,1,0.00840298,0.663137
1736,8958,2048,4,8,192,16,2,0.545827,0.0329161
1740,114616,37,4,8,32,24,1,0.0478757,0.165804
1761,5990,535,4,8,144,32,2,0.0955333,0.13032
1766,7834,1369,4,8,256,64,1,0.318622,0.00877138
1781,67018,94,4,8,64,16,1,0.0337475,0.198076
1818,22913,82,4,8,80,64,1,0.0200753,0.381397
1819,44812,122,4,8,112,56,1,0.0348674,0.219643
1827,76640,63,4,8,48,24,1,0.0320721,0.169935
1842,100226,409,4,8,144,32,1,0.183746,0.0503799
1852,4005,32,4,8,16,16,2,0.0109615,1.07004
1861,15321,916,4,8,256,32,1,0.244357,0.0240885
1870,11715,107,4,8,80,56,1,0.0175395,0.486934
1881,11715,48,4,8,48,32,1,0.00877697,0.906928
1900,15321,274,4,8,112,16,2,0.0748878,0.205553
1904,34267,94,4,8,64,16,1,0.0242153,0.340422
1906,131072,48,4,8,48,32,1,0.0213761,0.34087
1916,2678,183,4,8,176,64,1,0.0205727,0.0793028
1926,3503,140,4,8,112,56,1,0.0142804,0.145447
1934,3503,1197,4,8,176,16,4,0.224492,0.0935031
1937,4581,209,4,8,128,40,1,0.0263469,0.205454
1946,114616,160,4,8,128,64,1,0.0699077,0.119639
2001,8958,122,4,8,64,24,1,0.0180021,0.494991
2008,11715,32,4,8,32,24,1,0.00736225,1.01711
2009,76640,72,4,8,64,56,1,0.033035,0.253934
2013,76640,1566,4,8,208,8,2,1.28502,0.0191423
2037,39186,94,4,8,80,64,1,0.0255844,0.294252
2049,11715,42,4,8,32,32,1,0.0119816,0.590139
2066,39186,2048,4,8,192,8,4,1.65413,0.0187836
2067,2342,1197,4,8,160,32,1,0.149292,0.00647408
2071,11715,239,4,8,160,16,1,0.044963,0.182206
2096,17521,409,4,8,96,24,2,0.121918,0.130482
2113,67018,37,4,8,32,32,1,0.0386826,0.700472
2145,39186,801,4,8,64,40,1,0.264315,0.0300057
2180,39186,107,4,8,80,48,1,0.0267395,0.309116
2186,2048,612,4,8,160,24,1,0.0721464,0.0175849
2225,6850,1369,4,8,128,40,2,0.259638,0.0468249
2261,26203,239,4,8,64,32,2,0.081704,0.142048
2267,10245,160,4,8,80,48,2,0.0328991,0.534229
2270,22913,183,4,8,144,8,1,0.043809,0.237117
2282,29965,1566,4,8,144,48,2,0.632097,0.0286533
2283,100226,239,4,8,96,24,1,0.100334,0.0793469
2291,67018,140,4,8,112,32,1,0.0457337,0.151811
2293,2678,209,4,8,80,48,1,0.021521,0.226977
2301,2678,1791,4,8,96,40,4,0.230573,0.115525
2307,20036,55,4,8,32,16,1,0.0180545,0.375923
2313,3063,55,4,8,32,16,1,0.00930403,0.68363
2350,15321,1047,4,8,192,48,4,0.426506,0.0674414
2368,67018,2048,4,8,144,8,2,1.5536,0.0128489
2403,7834,700,4,8,96,32,1,0.1109,0.0635815
2432,29965,37,4,8,16,8,2,0.0683873,0.153726
2433,131072,468,4,8,80,16,1,0.280206,0.0329161
2462,39186,239,4,8,224,48,1,0.0749452,0.127464
2480,17521,468,4,8,96,56,2,0.134051,0.131266
2491,11715,55,4,8,48,8,1,0.012547,0.569897
2505,131072,274,4,8,64,56,4,0.642868,0.0473139
2524,20036,612,4,8,128,24,1,0.142588,0.0668328
2531,3503,122,4,8,96,16,1,0.0149936,0.326407
2537,3503,358,4,8,80,24,1,0.0410642,0.11319
2599,20036,209,4,8,128,24,1,0.042229,0.22382
2607,3503,122,4,8,112,32,1,0.0135403,0.108732
2616,100226,42,4,8,16,16,1,0.131509,0.0543343
2663,26203,48,4,8,48,40,1,0.0111777,0.641834
2678,2678,107,4,8,80,56,1,0.0114788,0.487586
2680,76640,612,4,8,240,16,1,0.335384,0.0267
2686,76640,409,4,8,176,24,2,0.273655,0.0453288
2691,15321,700,4,8,112,8,4,0.2719,0.0959925
2704,7834,358,4,8,80,40,2,0.0655167,0.180627
2738,20036,32,4,8,16,16,2,0.0284953,0.328579
2746,11715,209,4,8,176,24,1,0.0399659,0.224367
2756,2048,107,4,8,80,32,1,0.0106458,0.202449
2757,114616,801,4,8,64,64,1,0.511581,0.0111748
2795,39186,107,4,8,80,16,1,0.0283908,0.297952
2804,7834,1197,4,8,240,48,4,0.354689,0.0617345
2818,44812,239,4,8,144,48,1,0.0694536,0.124218
2819,5990,700,4,8,80,48,2,0.113771,0.162161
2821,4581,358,4,8,96,32,2,0.0526187,0.248998
2829,3503,801,4,8,208,8,1,0.146022,0.0114677
2843,10245,700,4,8,80,24,2,0.160289,0.127888
2846,2048,612,4,8,192,48,2,0.0835051,0.0508733
2847,2342,107,4,8,80,48,1,0.0092645,0.150687
2848,11715,122,4,8,112,24,1,0.0208275,0.346454
2915,22913,535,4,8,112,40,2,0.176517,0.0854645
2968,67018,48,4,8,16,16,1,0.0983691,0.0732687
3021,44812,274,4,8,224,8,1,0.103405,0.0894763
3040,11715,700,4,8,176,48,1,0.13889,0.0505114
3071,5990,700,4,8,80,16,1,0.105298,0.0655837
3084,87643,700,4,8,224,48,2,0.558726,0.0360669
3087,20036,1047,4,8,240,16,4,0.571073,0.0441772
3124,2678,239,4,8,112,8,2,0.0321682,0.263527
3144,4581,160,4,8,96,48,1,0.0178699,0.274619
3147,2342,468,4,8,96,8,1,0.0562139,0.0135895
3163,29965,2048,4,8,144,32,4,1.11689,0.0271473
3184,2342,82,4,8,80,40,1,0.00800325,0.190779
3198,2342,63,4,8,32,24,1,0.00967267,0.794686
3218,51246,1791,4,8,208,24,4,1.63472,0.017976
3287,29965,612,4,8,192,40,1,0.185937,0.0519538
3307,17521,72,4,8,64,40,1,0.0158569,0.541396
3334,10245,313,4,8,64,64,2,0.0653812,0.145317
3341,2342,122,4,8,96,64,1,0.0116274,0.120923
3351,7834,535,4,8,64,16,4,0.140575,0.207565
3354,3503,239,4,8,176,8,1,0.0334541,0.0869901
3356,114616,1369,4,8,256,48,1,0.959788,0.0268833
3380,58604,1047,4,8,96,56,1,0.388833,0.0279245
3393,8958,409,4,8,64,48,2,0.0892769,0.215125
3445,2048,409,4,8,160,32,1,0.0435709,0.0314843
3455,8958,313,4,8,224,24,1,0.0555787,0.117529
3457,44812,63,4,8,48,8,1,0.0235541,0.277464
3468,5990,82,4,8,80,40,1,0.0120009,0.510646
3479,2342,409,4,8,64,24,2,0.0465551,0.277511
3493,131072,140,4,8,112,24,1,0.067574,0.106312
3495,6850,313,4,8,128,40,1,0.0446042,0.124377
3502,8958,313,4,8,96,40,2,0.0644106,0.220068
3505,67018,1197,4,8,80,48,4,1.3279,0.0239788
3513,20036,94,4,8,80,24,1,0.0201192,0.409402
3531,44812,183,4,8,64,48,1,0.054347,0.146574
3540,5990,358,4,8,112,24,1,0.0501915,0.0895532
3545,67018,612,4,8,192,48,2,0.400221,0.0353582
3554,26203,239,4,8,112,64,2,0.0852667,0.161805
3563,20036,468,4,8,80,24,2,0.138533,0.127052
3589,4581,468,4,8,256,16,1,0.0934512,0.0439999
3595,15321,1369,4,8,64,32,1,0.376716,0.0286186
3600,4005,37,4,8,16,16,2,0.0163682,0.734994
3611,6850,801,4,8,176,48,4,0.20275,0.140749
3613,2678,32,4,8,16,8,1,0.00805261,0.798025
3640,76640,63,4,8,32,16,1,0.0423001,0.1764
3656,15321,313,4,8,64,32,2,0.0798317,0.163036
3672,20036,37,4,8,32,8,1,0.0153391,0.421854
3674,58604,313,4,8,192,64,1,0.113661,0.0773558
3753,131072,313,4,8,144,56,2,0.307098,0.0369201
3755,10245,209,4,8,64,56,1,0.0350746,0.245654
3762,3063,1369,4,8,64,64,2,0.172365,0.0701432
3790,100226,32,4,8,32,24,1,0.0161874,0.461933
3802,51246,32,4,8,32,16,1,0.0109186,0.496765
3814,20036,700,4,8,96,24,1,0.164019,0.0513097
3818,76640,612,4,8,80,24,4,0.72201,0.0385506
3834,29965,2048,4,8,80,16,1,0.82253,0.0131453
3845,8958,209,4,8,176,64,1,0.0347142,0.184117
3851,29965,55,4,8,48,48,1,0.0175223,0.32895
3871,44812,122,4,8,64,32,1,0.0323864,0.236348
3893,26203,1791,4,8,64,8,1,0.719956,0.0193065
3899,8958,468,4,8,128,64,1,0.0759691,0.0846278
3911,13398,107,4,8,96,32,1,0.0190402,0.425555
3918,5238,72,4,8,64,8,1,0.010908,0.643023
3923,51246,239,4,8,112,56,2,0.123003,0.119674
3933,20036,1047,4,8,128,48,1,0.245863,0.0417217
3948,3503,612,4,8,80,24,1,0.0722133,0.0577715
3989,4005,1369,4,8,112,16,4,0.245075,0.119764
4009,29965,82,4,8,80,48,1,0.0214815,0.353955
4057,22913,274,4,8,112,56,2,0.0860195,0.15255
18,76640,122,4,16,80,64,1,0.0375422,0.184147
22,3063,274,4,16,128,40,2,0.0328939,0.0579376
41,34267,1047,4,16,80,24,1,0.339412,0.0273876
48,5990,274,4,16,64,32,4,0.0484462,0.38959
67,22913,274,4,16,240,48,1,0.0616265,0.106539
103,5990,468,4,16,112,64,4,0.0936775,0.234199
125,8958,1197,4,16,96,32,1,0.250545,0.0160656
138,5990,313,4,16,160,48,1,0.0439528,0.039306
172,131072,409,4,16,96,16,4,0.602301,0.0294479
180,8958,48,4,16,32,16,1,0.01084,0.444415
200,44812,209,4,16,80,48,1,0.0529024,0.173813
246,26203,1566,4,16,176,24,4,0.675406,0.0448864
250,100226,801,4,16,240,8,1,0.53206,0.0278054
298,131072,55,4,16,32,24,1,0.0541671,0.128457
355,10245,94,4,16,80,24,1,0.0139124,0.493626
361,2342,63,4,16,16,8,1,0.0173197,0.350677
367,5990,1566,4,16,160,40,4,0.312436,0.0661404
381,13398,63,4,16,32,24,1,0.014982,0.538957
385,29965,612,4,16,80,40,4,0.273608,0.0831228
410,3503,55,4,16,16,16,2,0.0189753,0.508183
418,29965,37,4,16,16,8,2,0.0541867,0.140428
426,4005,468,4,16,96,32,4,0.0707531,0.347571
457,13398,140,4,16,96,8,1,0.0241082,0.266189
461,13398,72,4,16,64,24,1,0.0140105,0.48752
545,17521,37,4,16,32,16,1,0.0126098,0.405611
550,51246,313,4,16,64,24,4,0.219324,0.0847756
552,11715,1047,4,16,80,24,4,0.266164,0.0961273
554,67018,274,4,16,112,56,1,0.0836128,0.0858894
558,11715,239,4,16,176,24,1,0.0402082,0.106646
591,13398,313,4,16,112,64,1,0.0499469,0.0766759
592,34267,1197,4,16,80,32,8,0.943322,0.0435892
593,22913,1369,4,16,144,32,4,0.510259,0.0418584
607,26203,107,4,16,80,8,1,0.0233356,0.29649
609,22913,1047,4,16,224,48,2,0.379978,0.0417299
615,67018,2048,4,16,144,16,8,2.952,0.0168442
616,17521,183,4,16,144,40,1,0.0305051,0.207866
624,29965,468,4,16,144,56,1,0.121063,0.0535334
634,10245,209,4,16,64,16,2,0.0425579,0.266073
665,22913,612,4,16,224,48,1,0.155385,0.0285873
670,5990,1369,4,16,80,48,4,0.244027,0.101116
672,131072,2048,4,16,112,48,8,6.40827,0.00998963
734,100226,140,4,16,128,56,1,0.0512617,0.124804
743,7834,409,4,16,160,16,1,0.0682277,0.0167968
745,11715,72,4,16,64,64,1,0.011842,0.515722
751,15321,358,4,16,176,48,2,0.09263,0.130098
778,20036,274,4,16,176,24,1,0.0521888,0.136792
785,17521,801,4,16,80,40,2,0.192747,0.0574341
789,44812,700,4,16,128,56,1,0.210534,0.0375724
832,2678,37,4,16,16,16,1,0.0119578,0.535727
836,3503,1566,4,16,240,24,1,0.298855,0.00639008
871,6850,2048,4,16,128,24,4,0.433261,0.0634413
889,76640,209,4,16,64,48,1,0.0881395,0.0731474
963,76640,1197,4,16,224,16,1,0.623133,0.0285846
991,5238,1369,4,16,80,8,4,0.257809,0.103466
1021,7834,48,4,16,32,16,1,0.0108948,0.582171
1025,44812,1369,4,16,256,32,4,0.971066,0.027494
1028,2678,55,4,16,32,16,1,0.00797381,0.518747
1049,5238,63,4,16,48,16,1,0.00900919,0.436446
1074,114616,55,4,16,16,16,2,0.281707,0.0387622
1110,76640,107,4,16,96,32,1,0.0344252,0.177044
1115,22913,63,4,16,32,24,1,0.018799,0.329954
1117,100226,358,4,16,80,56,1,0.155954,0.0381589
1126,44812,107,4,16,96,56,1,0.0272961,0.258396
1151,67018,160,4,16,160,32,1,0.041361,0.154111
1171,13398,409,4,16,208,24,1,0.0777259,0.0552456
1180,15321,409,4,16,64,32,2,0.0930194,0.162924
1204,131072,1369,4,16,144,64,1,0.75369,0.0139734
1227,100226,468,4,16,160,8,1,0.231416,0.0421821
1240,4581,1566,4,16,112,40,2,0.230666,0.0279625
1309,2342,358,4,16,64,16,1,0.0424289,0.0279507
1313,20036,107,4,16,64,48,1,0.0189097,0.40597
1315,29965,82,4,16,80,32,1,0.0192623,0.348937
1326,4005,37,4,16,32,8,1,0.00704619,0.76218
1335,44812,801,4,16,80,40,8,0.863649,0.0412702
1348,87643,313,4,16,64,32,4,0.345913,0.0479423
1352,3063,274,4,16,240,32,1,0.0356082,0.0471371
1392,4005,700,4,16,224,8,1,0.148647,0.00781014
1406,58604,122,4,16,112,16,1,0.0345449,0.193045
1417,29965,63,4,16,32,24,1,0.0209556,0.377404
1422,114616,42,4,16,16,16,2,0.188486,0.0503603
1426,44812,274,4,16,128,8,1,0.0835652,0.0964893
1430,22913,801,4,16,256,56,1,0.244612,0.025919
1452,131072,916,4,16,64,40,8,3.1192,0.0146789
1459,87643,1791,4,16,96,64,1,0.984427,0.0094167
1468,2342,94,4,16,64,40,1,0.00803744,0.187457
1483,6850,2048,4,16,256,24,4,0.576119,0.0244406
1502,58604,274,4,16,112,16,1,0.0811034,0.0782677
1517,4005,409,4,16,144,64,2,0.0525385,0.0246941
1572,26203,468,4,16,96,64,4,0.181978,0.130538
1618,67018,358,4,16,112,48,1,0.119191,0.0700313
1623,20036,535,4,16,256,24,2,0.188413,0.0671847
1631,51246,1791,4,16,80,64,8,2.41535,0.0197707
1638,100226,32,4,16,16,16,2,0.0879163,0.079146
1647,11715,140,4,16,112,64,1,0.0208065,0.323623
1653,39186,140,4,16,112,32,1,0.0314793,0.175421
1667,6850,72,4,16,64,16,1,0.010807,0.567661
1673,58604,535,4,16,224,32,1,0.197123,0.0359492
1678,2048,160,4,16,64,56,2,0.0137599,0.151309
1689,5990,409,4,16,64,24,2,0.065954,0.232925
1690,20036,94,4,16,80,56,1,0.0183385,0.391147
1700,29965,122,4,16,112,64,1,0.0268869,0.178914
1742,26203,409,4,16,112,40,1,0.095079,0.0682245
1748,2048,122,4,16,112,24,1,0.0115158,0.0877478
1772,5990,1047,4,16,240,48,1,0.209799,0.0127661
1777,6850,32,4,16,16,16,1,0.0105306,0.616206
1790,8958,612,4,16,240,8,2,0.16162,0.0417861
1794,2342,1197,4,16,160,40,2,0.149326,0.00995221
1840,100226,63,4,16,16,8,2,0.254896,0.0328036
1850,58604,313,4,16,176,56,1,0.0947505,0.0786277
1882,29965,160,4,16,64,40,2,0.047693,0.192008
1889,2048,274,4,16,64,56,2,0.0255415,0.0759605
1895,39186,140,4,16,96,48,1,0.0305842,0.208939
1931,29965,209,4,16,160,16,1,0.0467663,0.140794
1972,7834,1197,4,16,64,8,2,0.25923,0.0578477
1973,34267,2048,4,16,96,64,4,1.06142,0.0239508
1991,2342,63,4,16,16,8,2,0.0168396,0.530018
1997,131072,37,4,16,16,16,1,0.155744,0.0306134
2025,58604,122,4,16,80,16,1,0.0340189,0.149848
2052,131072,1791,4,16,160,56,4,3.12996,0.0112444
2053,114616,32,4,16,16,8,2,0.0999681,0.0615165
2070,2342,72,4,16,64,40,1,0.00666698,0.16255
2084,87643,48,4,16,32,32,1,0.0382915,0.167433
2104,26203,63,4,16,16,16,1,0.0605598,0.0744925
2118,13398,1566,4,16,224,64,2,0.427327,0.0216685
2122,26203,32,4,16,32,8,1,0.00814018,0.673774
2144,4581,1369,4,16,128,8,4,0.249604,0.0888442
2160,3503,209,4,16,96,48,2,0.0262611,0.313431
2162,11715,140,4,16,112,16,1,0.0214038,0.233516
2166,44812,183,4,16,144,64,1,0.0452932,0.146988
2170,4005,1369,4,16,176,40,4,0.228723,0.0599031
2176,2342,55,4,16,32,8,1,0.0081211,0.569848
2196,5990,1566,4,16,160,56,2,0.269687,0.0205312
2212,39186,358,4,16,80,24,4,0.191871,0.0992053
2222,5238,535,4,16,192,32,1,0.0807738,0.0146196
2268,10245,468,4,16,96,64,2,0.0918926,0.150085
2280,100226,63,4,16,16,8,2,0.257764,0.0423921
2329,58604,468,4,16,128,16,1,0.156685,0.0564851
2367,5990,94,4,16,80,8,1,0.0126567,0.349341
2376,2342,42,4,16,32,8,1,0.00744605,0.663592
2377,131072,409,4,16,160,24,1,0.188475,0.0464689
2414,2678,48,4,16,16,8,2,0.013001,0.735924
2422,13398,535,4,16,64,16,2,0.12761,0.111527
2424,6850,1047,4,16,240,64,1,0.214723,0.012884
2438,2048,122,4,16,96,24,1,0.0107372,0.115919
2452,100226,916,4,16,80,32,1,0.445689,0.0198478
2464,10245,468,4,16,80,40,4,0.0978119,0.165094
2507,87643,1197,4,16,80,8,4,1.38081,0.0192355
2551,67018,2048,4,16,128,48,2,1.10403,0.0388593
2566,6850,140,4,16,64,24,2,0.0248333,0.539518
2582,20036,82,4,16,80,24,1,0.0173671,0.43155
2588,51246,122,4,16,96,24,1,0.0307022,0.214578
2603,20036,2048,4,16,96,56,4,0.698424,0.0410494
2621,58604,1791,4,16,64,16,8,2.6286,0.0191928
2634,22913,612,4,16,224,48,1,0.153132,0.0305197
2651,67018,140,4,16,112,64,1,0.0413599,0.162992
2656,2048,107,4,16,64,40,1,0.00814416,0.178228
2664,17521,63,4,16,48,8,1,0.0146074,0.413619
2670,3503,94,4,16,80,16,1,0.0094389,0.096996
2696,15321,801,4,16,96,32,8,0.319946,0.119848
2717,6850,1369,4,16,80,56,2,0.2475,0.0604601
2718,131072,2048,4,16,176,48,4,3.46016,0.01603
2744,3503,1566,4,16,96,16,1,0.361621,0.0115778
2747,11715,140,4,16,96,16,1,0.0205397,0.338767
2771,34267,916,4,16,208,40,2,0.394312,0.066117
2776,2342,2048,4,16,128,16,1,0.414654,0.00813545
2786,4581,274,4,16,256,48,1,0.0451671,0.038126
2796,5238,37,4,16,32,16,1,0.00866834,0.725879
2802,29965,239,4,16,64,56,1,0.0576565,0.116591
2860,114616,468,4,16,256,64,1,0.23084,0.041793
2876,39186,2048,4,16,64,32,1,1.08241,0.0104828
2904,3503,535,4,16,112,32,4,0.0716016,0.223074
2917,131072,32,4,16,32,8,1,0.0178584,0.324704
2964,67018,1047,4,16,240,48,4,0.934827,0.0252625
2969,76640,140,4,16,128,64,1,0.0458462,0.149769
2977,2678,313,4,16,256,40,1,0.0445866,0.0404599
2996,29965,42,4,16,32,24,1,0.0187481,0.392182
3004,5238,274,4,16,240,64,1,0.0432374,0.0387895
3024,2048,94,4,16,64,24,1,0.00791233,0.224391
3031,17521,94,4,16,64,40,1,0.0165631,0.392633
3037,6850,1047,4,16,208,40,2,0.211979,0.0240895
3045,10245,1047,4,16,240,24,2,0.27036,0.0329852
3054,6850,48,4,16,32,32,1,0.00984496,0.674331
3068,76640,63,4,16,32,24,1,0.0392774,0.167465
3069,5238,700,4,16,112,40,4,0.122635,0.20705
3109,8958,468,4,16,256,24,1,0.101448,0.021923
3118,44812,122,4,16,80,8,1,0.030294,0.206124
3127,15321,42,4,16,16,16,1,0.0272061,0.209285
3137,22913,274,4,16,112,16,1,0.0617079,0.106251
3165,76640,107,4,16,80,16,1,0.0360911,0.200233
3178,26203,535,4,16,224,24,2,0.196878,0.0633718
3182,2342,37,4,16,32,8,1,0.00651188,0.722341
3183,76640,239,4,16,128,56,1,0.0751868,0.0947757
3185,58604,612,4,16,144,24,4,0.423314,0.0522136
3206,11715,358,4,16,144,16,2,0.0792452,0.146485
3213,39186,801,4,16,96,56,4,0.441572,0.0532476
3216,20036,1047,4,16,256,16,4,0.51132,0.0421972
3247,10245,468,4,16,208,64,1,0.0899034,0.0180637
3251,4581,916,4,16,128,24,2,0.13625,0.0508675
3263,114616,2048,4,16,176,24,2,1.62279,0.0132168
3279,4581,48,4,16,32,16,1,0.0089561,0.741941
3282,87643,32,4,16,16,16,2,0.0798268,0.126033
3284,67018,122,4,16,112,8,1,0.0398007,0.14731
3317,5238,1369,4,16,240,48,1,0.280959,0.00875879
3319,3063,183,4,16,128,24,1,0.0180019,0.0593565
3325,15321,63,4,16,16,8,2,0.0485479,0.254173
3330,5990,468,4,16,80,40,1,0.061933,0.0616073
3349,51246,1566,4,16,240,56,2,0.827987,0.0166152
3366,87643,801,4,16,144,48,2,0.498065,0.0312393
3405,5238,183,4,16,80,16,1,0.0244001,0.208696
3408,2678,122,4,16,96,32,1,0.0105614,0.104183
3430,44812,535,4,16,176,24,1,0.182864,0.0506081
3440,114616,409,4,16,80,48,4,0.605836,0.0414779
3452,44812,700,4,16,160,32,1,0.226114,0.0360939
3458,10245,1566,4,16,64,40,8,0.509656,0.0798217
3463,13398,916,4,16,160,56,1,0.186686,0.0168525
3503,87643,1047,4,16,128,56,2,0.681921,0.0250031
3506,22913,32,4,16,32,32,1,0.00646507,0.901918
3524,39186,612,4,16,192,32,1,0.201074,0.037064
3525,20036,107,4,16,80,24,1,0.0208017,0.331754
3527,51246,1047,4,16,144,8,4,0.759623,0.030112
3542,2048,209,4,16,176,8,1,0.023871,0.0665822
3556,2342,42,4,16,16,16,1,0.0114147,0.535318
3564,5238,107,4,16,96,16,1,0.0125337,0.073871
3631,13398,140,4,16,96,8,1,0.0242821,0.27717
3650,2342,82,4,16,80,40,1,0.00695988,0.141294
3655,5990,612,4,16,144,32,2,0.101623,0.0718331
3673,4005,160,4,16,80,24,1,0.0156645,0.107368
3692,44812,1566,4,16,240,56,2,0.782398,0.0188421
3698,39186,916,4,16,80,32,1,0.280756,0.025225
3703,3503,94,4,16,64,48,1,0.00882775,0.175431
3728,3063,72,4,16,64,8,1,0.00723351,0.113348
3744,4005,612,4,16,160,56,1,0.0847747,0.00505423
3751,26203,409,4,16,192,56,2,0.135266,0.0784479
3754,20036,72,4,16,64,40,1,0.0147703,0.38989
3757,5990,94,4,16,64,32,1,0.0110321,0.533649
3776,5238,1791,4,16,64,64,1,0.47999,0.0159334
3799,114616,409,4,16,128,64,1,0.185089,0.0288329
3800,7834,1197,4,16,160,48,1,0.226537,0.00983187
3816,76640,42,4,16,32,32,1,0.0339747,0.19335
3829,4581,94,4,16,80,40,1,0.00950937,0.104889
3830,26203,2048,4,16,256,16,4,1.17445,0.023399
3905,100226,612,4,16,240,32,2,0.409285,0.0265133
3906,10245,122,4,16,80,56,1,0.0157977,0.385664
3910,15321,1566,4,16,128,40,8,0.645195,0.0638975
3919,8958,63,4,16,48,16,1,0.010937,0.536369
3924,10245,82,4,16,64,24,1,0.013101,0.5295
3946,29965,700,4,16,256,32,2,0.286246,0.0365922
3982,15321,122,4,16,112,64,1,0.0219575,0.294637
4004,8958,313,4,16,112,8,2,0.0605425,0.219003
