m,n,node,ppn,ob,ib,pc,avg,std
1914,65536,234,1,8,64,16,1,0.19114,0.0514137
1941,13101,16,1,8,16,8,1,0.00604044,0.954792
1950,1531,895,1,8,104,64,2,0.114883,0.233052
1962,5858,47,1,8,24,16,1,0.0126322,0.68947
1968,6699,61,1,8,56,16,1,0.0123851,0.647189
2039,1531,179,1,8,128,8,1,0.0187557,0.289768
2073,1024,16,1,8,16,8,1,0.00292542,1.90029
2091,6699,268,1,8,88,16,1,0.0582219,0.199979
2102,5858,179,1,8,88,16,1,0.0342781,0.324639
2148,29302,27,1,8,8,8,2,0.351304,0.026007
2153,3917,16,1,8,8,8,2,0.0201471,0.525645
2188,25623,268,1,8,128,64,1,0.101864,0.0660742
2192,5122,70,1,8,64,32,1,0.0120164,0.500632
2209,1024,458,1,8,80,24,2,0.0482942,0.271768
2219,8760,70,1,8,64,40,1,0.0151002,0.669788
2232,38320,685,1,8,104,32,1,0.360875,0.0270373
2241,5122,105,1,8,72,16,1,0.0181621,0.753943
2259,13101,92,1,8,72,24,1,0.021336,0.383804
2265,3425,157,1,8,112,24,1,0.0201385,0.347519
2278,1339,179,1,8,80,64,2,0.0256608,0.874794
2286,10018,458,1,8,112,8,2,0.18979,0.11135
2292,11456,24,1,8,16,16,1,0.0169443,0.386676
2314,19593,306,1,8,112,16,2,0.180162,0.0952352
2316,43822,61,1,8,56,48,1,0.0382846,0.187552
2317,1024,61,1,8,32,24,1,0.00770035,1.11987
2339,1531,524,1,8,112,56,1,0.0477808,0.074009
2349,33509,24,1,8,8,8,1,0.128627,0.0468715
2353,50113,895,1,8,120,56,2,1.27385,0.0169842
2382,1171,458,1,8,80,32,2,0.0471592,0.246414
2397,2003,47,1,8,24,8,1,0.0085461,0.619828
2413,5858,599,1,8,88,64,2,0.147341,0.101653
2425,13101,685,1,8,96,8,1,0.195128,0.0383328
2428,1339,1024,1,8,112,8,1,0.102477,0.036987
2444,1751,1024,1,8,80,48,1,0.101182,0.0803247
2456,2619,306,1,8,88,64,2,0.0508109,0.248879
2468,2619,350,1,8,64,24,2,0.0631308,0.278731
2470,22406,120,1,8,96,16,1,0.0370611,0.180895
2473,5858,47,1,8,40,8,1,0.0114732,0.625132
2474,3917,179,1,8,64,16,1,0.02713,0.289587
2476,8760,350,1,8,72,24,2,0.11361,0.136515
2490,29302,120,1,8,88,56,1,0.0430313,0.180224
2494,10018,54,1,8,24,24,1,0.0214751,0.268266
2520,2290,21,1,8,16,16,1,0.00665215,0.970317
2521,2995,70,1,8,64,8,1,0.0103387,0.789805
2526,10018,21,1,8,8,8,2,0.0828099,0.0914357
2572,1024,268,1,8,96,24,1,0.0212848,0.216337
2577,5122,685,1,8,80,64,2,0.157998,0.108589
2593,57308,179,1,8,80,64,1,0.128508,0.0580653
2601,29302,70,1,8,64,56,1,0.0288373,0.247884
2602,33509,783,1,8,80,40,2,0.788347,0.0171461
2629,7661,105,1,8,80,48,1,0.0190649,0.379456
2631,10018,685,1,8,88,24,2,0.248661,0.0658699
2646,1024,16,1,8,16,16,1,0.00269957,2.02525
2647,8760,54,1,8,48,32,1,0.0125436,0.610661
2650,57308,92,1,8,72,24,1,0.0566911,0.1206
2666,2003,895,1,8,64,40,1,0.0959097,0.0723957
2667,25623,458,1,8,64,40,1,0.182855,0.0378533
2706,4479,105,1,8,72,24,1,0.0155479,0.532029
2723,5858,47,1,8,16,8,1,0.0180095,0.341496
2728,1024,205,1,8,88,40,1,0.0163732,0.31928
2743,1024,27,1,8,16,16,1,0.00553716,1.06389
2780,29302,268,1,8,72,40,2,0.233088,0.0581996
2792,22406,234,1,8,112,32,2,0.159924,0.0737557
2825,50113,54,1,8,8,8,2,1.0212,0.0100729
2826,2995,47,1,8,24,16,1,0.00989196,0.907874
2852,33509,350,1,8,120,32,1,0.157482,0.0465422
2853,3425,234,1,8,120,48,1,0.0312336,0.20829
2896,1751,783,1,8,104,8,2,0.11076,0.12036
2899,1171,31,1,8,24,8,1,0.00570731,1.10028
2901,8760,36,1,8,16,8,2,0.047492,0.197178
2908,2619,783,1,8,64,16,1,0.102964,0.0897222
2913,2003,92,1,8,64,32,1,0.00925723,0.681019
2920,1339,137,1,8,72,56,1,0.0125355,0.610537
2925,8760,179,1,8,104,8,1,0.0397099,0.21527
2927,2995,70,1,8,64,8,1,0.0102939,0.761921
2929,1024,137,1,8,88,56,1,0.0103072,0.452837
2955,19593,179,1,8,104,56,1,0.0498496,0.145977
2988,2995,31,1,8,16,16,1,0.00829998,0.788993
2995,17133,685,1,8,96,32,2,0.385442,0.0446222
2997,4479,179,1,8,104,56,1,0.0258376,0.336732
3007,25623,120,1,8,120,8,1,0.041561,0.214421
3020,22406,36,1,8,24,8,1,0.0249211,0.249064
3026,10018,36,1,8,8,8,1,0.0790148,0.068684
3041,57308,783,1,8,64,24,2,1.43893,0.0111079
3089,1751,16,1,8,16,16,1,0.00300591,1.8305
3100,2290,105,1,8,64,40,1,0.0115613,0.670113
3113,5122,92,1,8,72,40,1,0.0144723,0.569382
3128,22406,27,1,8,8,8,2,0.271243,0.0364822
3142,11456,80,1,8,80,24,1,0.0162825,0.480411
3151,1339,137,1,8,112,40,1,0.011763,0.376611
3171,1531,306,1,8,72,40,2,0.0387346,0.383838
3192,25623,21,1,8,8,8,1,0.0922789,0.0584489
3207,8760,458,1,8,72,16,2,0.160108,0.12327
3240,19593,18,1,8,16,8,1,0.0237438,0.245929
3254,57308,234,1,8,88,24,2,0.32019,0.0381923
3276,11456,524,1,8,112,8,1,0.143914,0.0630446
3300,1339,61,1,8,56,48,1,0.00707686,0.958775
3381,8760,685,1,8,80,56,2,0.227653,0.0664405
3384,4479,70,1,8,64,8,1,0.0118174,0.583923
3385,8760,205,1,8,112,8,1,0.0458751,0.168231
3410,3917,61,1,8,32,32,1,0.00962163,0.671494
3420,1171,41,1,8,40,32,1,0.00616236,1.05355
3443,25623,458,1,8,128,64,1,0.178384,0.0462829
3449,1339,18,1,8,8,8,2,0.0147355,0.650769
3512,33509,24,1,8,24,24,1,0.011079,0.457839
3549,2995,205,1,8,64,64,1,0.0247797,0.276944
3570,19593,105,1,8,80,64,1,0.0296831,0.219713
3578,6699,47,1,8,32,16,1,0.0119509,0.569865
3605,2290,21,1,8,16,16,1,0.00704809,1.01892
3620,5858,16,1,8,8,8,1,0.0144195,0.35786
3624,5858,783,1,8,88,8,2,0.207,0.0887323
3645,17133,1024,1,8,112,48,1,0.328249,0.0212049
3652,3917,27,1,8,24,8,1,0.00824206,0.788752
3668,43822,18,1,8,8,8,1,0.15718,0.0406753
3670,43822,41,1,8,16,8,1,0.0942007,0.063324
3671,43822,92,1,8,88,40,1,0.0458677,0.170282
3736,10018,268,1,8,96,64,1,0.0576798,0.129403
