,nbytes,nnodes,ppn,avg,std
17,147,2,1,1.17912e-05,1.51619
18,338,2,1,7.70785e-06,0.229084
19,776,2,1,8.49175e-06,0.394132
20,1783,2,1,9.7435e-06,0.438098
21,4096,2,1,9.04985e-06,0.315972
22,9410,2,1,1.42156e-05,0.661651
23,21619,2,1,1.73845e-05,0.341226
24,49667,2,1,3.24194e-05,0.630473
25,114105,2,1,5.57051e-05,0.364779
26,262144,2,1,0.000119418,0.473526
27,602249,2,1,0.000132465,0.216216
28,1383604,2,1,0.000238637,0.255548
29,3178688,2,1,0.000416613,0.0836483
30,7302707,2,1,0.000810331,0.0334203
31,16777216,2,1,0.00167432,0.00912862
112,64,2,2,5.06035e-06,1.80434
113,147,2,2,1.28056e-05,0.358886
114,338,2,2,1.63646e-05,0.364303
115,776,2,2,1.47227e-05,0.507878
116,1783,2,2,1.82623e-05,0.998658
117,4096,2,2,1.56523e-05,0.64601
118,9410,2,2,2.04917e-05,0.472001
119,21619,2,2,2.55354e-05,0.191712
120,49667,2,2,3.7907e-05,0.297188
121,114105,2,2,0.000154717,0.229411
122,262144,2,2,0.000274452,0.175477
123,602249,2,2,0.000427279,0.117233
124,1383604,2,2,0.00076027,0.0392492
125,3178688,2,2,0.00133803,0.030882
126,7302707,2,2,0.00263463,0.0204281
127,16777216,2,2,0.00538624,0.00699273
208,64,2,4,4.958e-06,1.87245
209,147,2,4,1.17269e-05,0.212216
210,338,2,4,1.70515e-05,0.737998
211,776,2,4,1.5099e-05,0.745601
212,1783,2,4,1.5945e-05,0.676334
213,4096,2,4,2.04324e-05,0.762363
214,9410,2,4,2.23758e-05,0.378004
215,21619,2,4,3.14069e-05,0.313121
216,49667,2,4,6.57468e-05,0.29383
217,114105,2,4,0.000110845,0.234622
218,262144,2,4,0.000194165,0.185195
219,602249,2,4,0.000435086,0.100936
220,1383604,2,4,0.00126681,0.412044
221,3178688,2,4,0.00211091,0.194941
222,7302707,2,4,0.00433475,0.155915
223,16777216,2,4,0.00936669,0.00599519
304,64,2,8,4.66995e-06,0.874808
305,147,2,8,1.2959e-05,0.481047
306,338,2,8,1.73551e-05,0.815826
307,776,2,8,1.98407e-05,1.12194
308,1783,2,8,1.62039e-05,0.453838
309,4096,2,8,1.8853e-05,0.529077
310,9410,2,8,2.73772e-05,0.371578
311,21619,2,8,3.49837e-05,0.529064
312,49667,2,8,6.25534e-05,0.293663
313,114105,2,8,9.93197e-05,0.158606
314,262144,2,8,0.000229722,0.181284
315,602249,2,8,0.00049313,0.0727913
316,1383604,2,8,0.000927899,0.0246408
317,3178688,2,8,0.00184703,0.0182519
318,7302707,2,8,0.00391663,0.00679442
319,16777216,2,8,0.00874334,0.00773281
400,64,2,16,5.43625e-06,1.04629
401,147,2,16,2.03463e-05,1.23171
402,338,2,16,1.41111e-05,0.3554
403,776,2,16,1.67849e-05,0.660592
404,1783,2,16,1.87369e-05,0.638584
405,4096,2,16,1.67188e-05,0.313754
406,9410,2,16,2.66155e-05,0.475752
407,21619,2,16,3.73425e-05,0.520253
408,49667,2,16,6.47613e-05,0.385529
409,114105,2,16,0.000109135,0.412246
410,262144,2,16,0.000198315,0.173085
411,602249,2,16,0.000496868,0.0902246
412,1383604,2,16,0.000963788,0.0305054
413,3178688,2,16,0.00190206,0.0319425
414,7302707,2,16,0.00396984,0.00560549
415,16777216,2,16,0.0089049,0.00516768
496,64,2,32,9.9627e-06,0.462013
497,147,2,32,2.23194e-05,0.661348
498,338,2,32,1.87319e-05,0.411217
499,776,2,32,2.24522e-05,0.550557
500,1783,2,32,2.49055e-05,0.742082
501,4096,2,32,2.01361e-05,0.210298
502,9410,2,32,3.65761e-05,0.229909
503,21619,2,32,4.22448e-05,0.215751
504,49667,2,32,5.89527e-05,0.167632
505,114105,2,32,0.000125304,0.244851
506,262144,2,32,0.000210542,0.14168
507,602249,2,32,0.000553329,0.0666149
508,1383604,2,32,0.00103729,0.0999449
509,3178688,2,32,0.00206295,0.0387741
510,7302707,2,32,0.00432004,0.0504393
511,16777216,2,32,0.009489,0.0128777
592,64,2,64,1.43458e-05,0.515155
593,147,2,64,2.43138e-05,0.446869
594,338,2,64,2.57347e-05,0.507244
595,776,2,64,2.07215e-05,0.408102
596,1783,2,64,2.43429e-05,0.437654
597,4096,2,64,2.45286e-05,0.56025
598,9410,2,64,3.02152e-05,0.303495
599,21619,2,64,4.69217e-05,0.306745
600,49667,2,64,7.05101e-05,0.274638
601,114105,2,64,0.000148021,0.250343
602,262144,2,64,0.000339523,0.0967832
603,602249,2,64,0.000643533,0.0651162
604,1383604,2,64,0.00136395,0.0943803
