nbytes,nnodes,ppn,avg,std
43,525,1,1,4.1395e-07,1.10066
109,13254,1,1,4.2595e-07,0.969134
44,551,1,1,4.186e-07,1.14217
110,13918,1,1,4.3005e-07,1.01218
45,579,1,1,4.0305e-07,1.06153
111,14616,1,1,4.3145e-07,1.01855
46,608,1,1,4.1555e-07,1.16982
112,15349,1,1,4.3045e-07,1.00564
47,638,1,1,4.1445e-07,1.15033
113,16119,1,1,4.265e-07,0.994685
48,670,1,1,4.259e-07,1.04194
114,16927,1,1,4.105e-07,1.08824
49,704,1,1,4.009e-07,0.992581
115,17776,1,1,4.275e-07,0.986235
50,739,1,1,4.0895e-07,1.11771
116,18667,1,1,4.3105e-07,0.956135
51,776,1,1,4.054e-07,1.0832
117,19603,1,1,4.3045e-07,1.0106
52,815,1,1,4.0045e-07,1.03574
118,20587,1,1,4.3495e-07,1.05694
53,856,1,1,4e-07,1.01886
119,21619,1,1,4.701e-07,1.30712
54,899,1,1,4.2505e-07,1.24939
120,22703,1,1,4.2695e-07,0.99308
55,944,1,1,4.1e-07,1.11473
121,23841,1,1,4.275e-07,0.997364
56,991,1,1,4.099e-07,1.09222
122,25037,1,1,4.2155e-07,1.16045
57,1041,1,1,4.3205e-07,1.02816
123,26292,1,1,4.5155e-07,0.958009
58,1093,1,1,4.2955e-07,1.00817
124,27611,1,1,4.34e-07,1.04898
59,1148,1,1,4.3045e-07,1.01618
125,28995,1,1,4.301e-07,1.02267
60,1205,1,1,4.4755e-07,1.15749
126,30449,1,1,4.3045e-07,1.01594
61,1266,1,1,4.4205e-07,1.11119
127,31976,1,1,4.5e-07,0.951733
62,1329,1,1,4.496e-07,0.937381
128,33580,1,1,4.2505e-07,1.03237
63,1396,1,1,4.27e-07,0.987601
129,35263,1,1,4.175e-07,0.9646
64,1466,1,1,4.2295e-07,0.955085
130,37032,1,1,4.2445e-07,1.02262
65,1539,1,1,4.285e-07,0.994597
131,38889,1,1,4.2505e-07,1.02692
66,1617,1,1,4.37e-07,1.06182
132,40839,1,1,4.1695e-07,0.955235
67,1698,1,1,4.671e-07,1.09434
133,42886,1,1,4.0845e-07,1.12953
68,1783,1,1,1.44795e-06,2.8935
134,45037,1,1,4.2045e-07,0.973522
69,1872,1,1,4.5105e-07,0.959032
135,47295,1,1,4.2395e-07,1.0079
70,1966,1,1,4.109e-07,1.0871
136,49667,1,1,3.9485e-07,1.00429
71,2065,1,1,4.336e-07,1.02924
137,52158,1,1,4.1535e-07,0.931722
72,2168,1,1,4.0745e-07,1.08062
138,54773,1,1,4.2395e-07,1.01857
73,2277,1,1,4.285e-07,0.999685
139,57520,1,1,4.0255e-07,1.06825
74,2391,1,1,4.4655e-07,0.923451
140,60404,1,1,4.2245e-07,1.00087
75,2511,1,1,4.42e-07,1.11135
141,63433,1,1,4.1e-07,0.889893
76,2637,1,1,4.21e-07,0.932411
142,66614,1,1,4.204e-07,1.00217
77,2769,1,1,4.3345e-07,1.03997
143,69954,1,1,4.165e-07,0.956483
78,2908,1,1,4.6305e-07,1.19522
144,73462,1,1,4.18e-07,0.963472
79,3054,1,1,4.2555e-07,0.97513
145,77145,1,1,4.475e-07,0.968942
80,3207,1,1,4.3745e-07,1.0872
146,81014,1,1,4.2955e-07,1.00862
81,3368,1,1,4.51e-07,0.964622
147,85076,1,1,4.621e-07,1.05445
82,3537,1,1,4.329e-07,1.03608
148,89342,1,1,4.215e-07,0.992529
83,3714,1,1,4.4205e-07,1.09059
149,93823,1,1,4.2395e-07,1.0188
84,3900,1,1,4.455e-07,1.12729
150,98527,1,1,4.345e-07,0.859822
85,4096,1,1,4.2345e-07,0.959225
151,103468,1,1,4.2095e-07,0.989031
86,4301,1,1,4.3095e-07,1.02019
152,108656,1,1,4.3205e-07,1.06056
87,4517,1,1,4.295e-07,1.00776
153,114105,1,1,4.591e-07,1.05118
88,4744,1,1,4.5505e-07,0.984651
154,119827,1,1,4.2295e-07,0.987812
89,4981,1,1,4.551e-07,0.994733
155,125835,1,1,4.1895e-07,0.948562
90,5231,1,1,4.27e-07,0.97696
156,132145,1,1,4.2155e-07,0.964401
91,5494,1,1,4.54e-07,0.961664
157,138772,1,1,4.305e-07,1.0435
92,5769,1,1,4.345e-07,1.05834
158,145730,1,1,4.23e-07,0.977041
93,6058,1,1,4.6655e-07,1.13772
159,153038,1,1,4.3455e-07,0.93918
94,6362,1,1,4.5255e-07,1.1906
160,160712,1,1,4.4105e-07,0.986367
95,6681,1,1,4.3755e-07,1.04912
161,168771,1,1,4.3745e-07,0.9689
96,7016,1,1,4.275e-07,1.00245
162,177234,1,1,4.746e-07,1.03901
97,7368,1,1,4.5655e-07,0.996213
163,186121,1,1,4.38e-07,0.962152
98,7737,1,1,4.2555e-07,0.980376
164,195454,1,1,4.43e-07,1.00668
99,8125,1,1,6.0035e-07,1.82437
165,205255,1,1,5.493e-07,1.01838
100,8533,1,1,4.3355e-07,1.0618
166,215548,1,1,4.43e-07,1.00742
101,8961,1,1,5.2965e-07,1.44212
167,226356,1,1,4.144e-07,1.01307
102,9410,1,1,4.174e-07,1.13971
168,237707,1,1,4.525e-07,1.0749
103,9882,1,1,4.4005e-07,1.09087
169,249627,1,1,4.5605e-07,0.873849
104,10378,1,1,4.6665e-07,1.06113
170,262144,1,1,4.6155e-07,1.07688
105,10898,1,1,4.054e-07,1.0527
171,275289,1,1,4.4655e-07,1.0394
106,11444,1,1,4.19e-07,0.92674
172,289093,1,1,4.39e-07,0.959855
107,12018,1,1,4.3155e-07,1.02959
173,303590,1,1,4.315e-07,0.925716
108,12621,1,1,4.286e-07,1.0109
174,318813,1,1,4.791e-07,1.04655
109,13254,1,1,4.43e-07,1.11364
175,334800,1,1,4.8265e-07,1.05261
110,13918,1,1,4.5855e-07,1.0214
176,351589,1,1,4.491e-07,1.03264
111,14616,1,1,4.36e-07,1.0698
177,369219,1,1,4.41e-07,1.00781
112,15349,1,1,4.595e-07,1.02886
178,387734,1,1,4.2495e-07,0.865362
113,16119,1,1,4.395e-07,1.05557
179,407176,1,1,4.3305e-07,0.896737
114,16927,1,1,4.1785e-07,0.918106
180,427594,1,1,4.5755e-07,1.05267
115,17776,1,1,4.25e-07,0.971178
181,449036,1,1,4.39e-07,0.970097
116,18667,1,1,4.27e-07,0.98242
182,471552,1,1,3.38135e-06,3.93664
117,19603,1,1,4.4305e-07,1.11356
183,495198,1,1,5.8035e-07,1.63974
118,20587,1,1,4.2545e-07,0.980903
119,21619,1,1,4.44e-07,0.909023
184,520030,1,1,4.7665e-07,1.03319
120,22703,1,1,4.3695e-07,1.07259
185,546107,1,1,4.4e-07,0.968232
121,23841,1,1,4.245e-07,0.96705
186,573491,1,1,4.324e-07,0.928435
122,25037,1,1,4.2795e-07,0.995797
187,602249,1,1,4.5355e-07,1.01785
123,26292,1,1,4.47e-07,1.14883
188,632448,1,1,4.2955e-07,0.897912
124,27611,1,1,4.3095e-07,1.02019
189,664162,1,1,4.8105e-07,1.05599
125,28995,1,1,4.27e-07,0.976798
190,697467,1,1,4.5555e-07,1.10232
126,30449,1,1,4.405e-07,1.0541
191,732441,1,1,4.601e-07,0.895347
127,31976,1,1,4.2805e-07,0.957113
192,769169,1,1,4.6155e-07,0.937205
128,33580,1,1,4.5805e-07,1.04907
193,807739,1,1,4.485e-07,1.03848
129,35263,1,1,5.0415e-07,1.32542
194,848243,1,1,5.2975e-07,1.27307
130,37032,1,1,4.3855e-07,0.896887
195,890778,1,1,4.2655e-07,1.02857
131,38889,1,1,4.42e-07,0.936196
196,935446,1,1,4.4305e-07,0.991835
132,40839,1,1,4.184e-07,0.962918
197,982353,1,1,4.269e-07,0.866323
133,42886,1,1,4.194e-07,0.954661
198,1031613,1,1,4.3655e-07,0.934823
134,45037,1,1,4.38e-07,1.09799
199,1083343,1,1,4.65e-07,1.16643
135,47295,1,1,4.1745e-07,0.948516
200,1137667,1,1,4.6655e-07,1.15305
136,49667,1,1,4.15e-07,0.933144
201,1194715,1,1,4.8765e-07,1.23209
137,52158,1,1,4.1795e-07,0.95859
202,1254624,1,1,4.315e-07,0.893509
138,54773,1,1,4.485e-07,0.971452
203,1317537,1,1,4.44e-07,1.01024
139,57520,1,1,4.28e-07,1.0299
204,1383604,1,1,4.386e-07,0.971386
140,60404,1,1,4.245e-07,1.0178
205,1452985,1,1,4.3345e-07,0.936461
141,63433,1,1,4.1085e-07,0.898422
206,1525844,1,1,5.919e-07,0.862818
