,nbytes,nnodes,ppn,avg,std
0,64,1,1,4.375e-07,1.09882
7,16777216,1,1,4.671e-07,0.98306
48,64,1,2,1.49755e-06,1.18279
55,16777216,1,2,0.00556047,0.00508922
96,64,1,4,2.0794e-06,1.20448
103,16777216,1,4,0.00665538,0.00651995
144,64,1,8,6.9159e-06,1.6549
151,16777216,1,8,0.00702084,0.0094739
192,64,1,16,3.07855e-06,0.583499
199,16777216,1,16,0.00707636,0.00924036
240,64,1,32,9.1867e-06,0.397578
247,16777216,1,32,0.0076824,0.0158117
288,64,1,64,7.2553e-06,0.667152
295,16777216,1,64,0.0115558,0.00599493
8,64,2,1,1.33615e-06,0.828434
15,16777216,2,1,0.00168268,0.0190383
56,64,2,2,2.83365e-06,0.538616
63,16777216,2,2,0.00525316,0.00989689
104,64,2,4,3.48915e-06,0.477379
111,16777216,2,4,0.00931287,0.00904728
152,64,2,8,9.2024e-06,0.862452
159,16777216,2,8,0.00879744,0.00921279
200,64,2,16,6.01745e-06,0.984772
207,16777216,2,16,0.00902852,0.0102399
248,64,2,32,1.02348e-05,0.49612
255,16777216,2,32,0.00956252,0.01438
296,64,2,64,1.40479e-05,0.439402
303,16777216,2,64,0.0137006,0.00670516
16,64,4,1,2.62415e-06,0.538661
23,16777216,4,1,0.00359764,0.0280316
64,64,4,2,4.3247e-06,0.640643
71,16777216,4,2,0.0052661,0.0504861
112,64,4,4,4.4612e-06,0.448546
119,16777216,4,4,0.00839071,0.0916905
160,64,4,8,6.5307e-06,0.900505
167,16777216,4,8,0.0106139,0.0182582
208,64,4,16,8.37245e-06,0.552045
215,16777216,4,16,0.0107362,0.0142576
256,64,4,32,1.34076e-05,0.473033
263,16777216,4,32,0.0115142,0.00608291
304,64,4,64,1.36487e-05,0.987439
311,16777216,4,64,0.0157572,0.0400172
24,64,8,1,3.4099e-06,0.560934
31,16777216,8,1,0.00386355,0.0835
72,64,8,2,4.6713e-06,0.408315
79,16777216,8,2,0.00537963,0.0925174
120,64,8,4,5.849e-06,0.533862
127,16777216,8,4,0.00874493,0.0455623
168,64,8,8,7.43105e-06,0.724105
175,16777216,8,8,0.0110822,0.0242619
216,64,8,16,1.17607e-05,0.825145
223,16777216,8,16,0.01122,0.0160679
264,64,8,32,1.26969e-05,0.647991
271,16777216,8,32,0.0120531,0.0179381
312,64,8,64,1.7961e-05,0.552598
319,16777216,8,64,0.0159434,0.0130133
32,64,16,1,4.5376e-06,0.484444
39,16777216,16,1,0.0042766,0.0850729
80,64,16,2,6.3564e-06,0.371514
87,16777216,16,2,0.00578933,0.0693855
128,64,16,4,9.2273e-06,0.51345
135,16777216,16,4,0.00870541,0.0973128
176,64,16,8,1.20771e-05,0.45309
183,16777216,16,8,0.0149618,0.0857016
224,64,16,16,1.10817e-05,0.551397
231,16777216,16,16,0.0116349,0.023535
272,64,16,32,1.61213e-05,0.629212
279,16777216,16,32,0.0129636,0.00945295
320,64,16,64,1.9185e-05,0.462937
327,16777216,16,64,0.0171238,0.0438721
40,64,32,1,5.36485e-06,0.390371
47,16777216,32,1,0.00478678,0.0684253
88,64,32,2,7.162e-06,0.532846
95,16777216,32,2,0.00615215,0.0540175
136,64,32,4,9.0914e-06,0.347001
143,16777216,32,4,0.00868864,0.111261
184,64,32,8,1.02636e-05,0.275307
191,16777216,32,8,0.012009,0.0291022
232,64,32,16,1.42346e-05,0.807667
239,16777216,32,16,0.0121717,0.0178422
280,64,32,32,1.29375e-05,0.268282
287,16777216,32,32,0.0126208,0.024431
328,64,32,64,1.30453e-05,0.616724
335,16777216,32,64,0.0169541,0.0247439
