m,n,k,avg,std
5745,82,61,203,9.18972e-05,0.0988486
5777,32,83,38,1.05714e-05,0.259458
5889,111,242,38,0.000121309,0.166605
5921,200,1698,229,0.00501368,0.0220633
5937,118,54,34,8.15786e-05,0.137154
5953,239,32,438,0.00041429,0.0923102
6065,2217,142,114,0.00289821,0.0174425
6129,577,143,101,0.000768324,0.0498296
6145,238,109,2305,0.00532856,0.00469141
6193,133,335,34,0.000170455,0.149886
6225,46,3298,78,0.00422149,0.00789366
6289,56,45,3953,0.00111013,0.0385682
6353,73,165,233,0.000249366,0.116493
6401,77,91,69,0.000115493,0.0937459
6417,144,44,68,0.000172789,0.0795244
6433,34,1240,64,0.00107384,0.0224326
6449,33,81,176,0.000156837,0.0879414
6529,171,67,582,0.000597369,0.0585068
6593,64,1579,43,0.00152404,0.0350588
6641,125,54,1152,0.000784042,0.0374417
6689,2566,32,91,0.000734083,0.0515676
6785,67,2038,238,0.0114323,0.0104663
6801,204,49,561,0.000551639,0.053344
6881,50,52,439,0.000110401,0.146642
6897,66,47,3419,0.00123178,0.0354797
6929,57,92,3602,0.00188107,0.0236075
7089,100,109,925,0.00101228,0.00475418
7105,71,208,37,0.000147786,0.0602604
7153,162,250,157,0.000545682,0.0655232
7169,112,491,93,0.000428074,0.0609375
7377,41,215,804,0.000791972,0.0521074
7393,181,564,153,0.00121388,0.0363854
7425,32,33,469,0.0002731,0.0592396
7441,34,463,38,0.000198548,0.0816209
7473,227,357,36,0.000318065,0.141622
7505,34,2000,169,0.00497278,0.00767682
7553,211,1542,57,0.0016111,0.0418692
7569,96,319,114,0.00027639,0.0993067
7585,187,1471,63,0.00153488,0.0402403
7617,41,70,2114,0.000714876,0.0745229
7681,196,60,96,9.25567e-05,0.24947
7713,1091,217,46,0.00107346,0.0460998
7729,1614,47,91,0.000649087,0.102972
7793,247,227,151,0.000754177,0.0465306
7825,128,90,3594,0.00350299,0.00949459
7857,76,157,1249,0.00140963,0.0331658
7889,34,2494,37,0.00125517,0.0204751
7985,387,176,42,0.000285952,0.109369
8129,1995,54,119,0.00106705,0.0592642
8145,715,47,200,0.000633643,0.0621513
8161,93,1146,51,0.00182275,0.0193604
8193,49,3365,65,0.0042624,0.0293354
8209,127,109,32,6.92678e-05,0.219434
8241,178,3609,188,0.00807994,0.0043288
8289,86,109,33,0.000115813,0.110271
8337,97,43,987,0.000491112,0.0878136
8369,254,2545,146,0.00640786,0.00991594
8385,77,48,965,0.000374352,0.117348
8417,752,170,41,0.00049687,0.0847618
8433,169,179,60,0.000155864,0.120863
8449,143,184,149,0.000362163,0.0966477
8545,49,419,33,0.000256398,0.0611444
8561,988,113,86,0.00096914,0.0019704
8593,49,58,1180,0.000396069,0.0645852
8609,191,124,54,0.000127641,0.128369
8625,138,825,192,0.00162595,0.0174393
8737,109,169,2047,0.00386631,0.013323
8769,609,245,53,0.000787265,0.0459551
8785,171,208,93,0.000285412,0.0838346
8801,251,244,127,0.000672076,0.062278
8833,144,148,48,8.74363e-05,0.170898
8881,38,41,514,8.05403e-05,0.144264
8961,130,1659,82,0.00147932,0.0316408
8993,54,115,331,0.000177409,0.104978
9009,56,101,83,0.000174336,0.0857215
9025,82,240,440,0.000825021,0.0400801
9041,109,163,627,0.00123492,0.0449266
9089,243,79,42,0.000217093,0.0786821
9105,82,933,246,0.00187285,0.0210442
9137,32,116,82,0.000101197,0.0491065
9185,54,64,54,5.92624e-05,0.203397
9233,472,107,58,0.000277893,0.0897206
9329,53,113,231,0.000492701,0.0419597
9345,63,300,45,0.000264146,0.068335
9377,33,1250,129,0.00255274,0.0197563
9441,82,56,68,0.00011145,0.0906357
9505,1277,68,186,0.00134756,0.0232294
9569,101,2085,74,0.00149038,0.0497054
9585,57,116,822,0.000565531,0.0628576
9665,102,77,59,0.000124224,0.0789662
9681,61,149,2573,0.00211239,0.0147534
9713,38,1969,79,0.00222832,0.0419373
9761,345,145,59,0.00026967,0.0770475
9921,3329,43,62,0.000823815,0.0472428
9937,61,76,144,0.000207744,0.140561
9969,44,255,145,0.000559744,0.0606773
9985,482,57,166,0.000386787,0.0728442
10097,108,2013,137,0.00233516,0.0175063
10161,65,345,51,0.000354611,0.0472711
10209,132,68,436,0.000341688,0.0833242
10241,95,653,238,0.00140699,0.027902
10289,56,1065,83,0.00169967,0.0257392
10321,113,40,1730,0.000965877,0.0235066
10337,80,325,43,0.000328439,0.0596746
10353,90,2885,55,0.00464342,0.00487247
10417,434,193,153,0.00104182,0.0424983
10545,52,36,103,0.000100504,0.0685121
10673,3139,248,249,0.0127471,0.00295006
10705,220,109,33,8.42905e-05,0.113866
10753,1233,56,162,0.000962631,0.0280666
10785,57,36,38,4.27305e-05,0.218108
10801,33,194,626,0.000465292,0.0703098
10817,99,177,176,0.000286379,0.086686
10833,1659,53,95,0.000715211,0.0664884
10849,227,254,3445,0.0150304,0.00617944
10881,149,185,42,0.000118351,0.140623
10913,96,345,125,0.000354594,0.152534
10977,817,43,137,0.000461528,0.0882437
10993,37,41,247,0.000198965,0.126813
11009,77,227,251,0.000397009,0.0955354
11137,550,33,47,7.61315e-05,0.185154
11153,159,340,133,0.00064818,0.0509204
11265,40,2059,111,0.00321391,0.00987594
11313,246,98,161,0.00034277,0.0922524
11345,59,1346,125,0.00324784,0.0140868
11377,56,557,139,0.00146495,0.022799
11393,3973,226,53,0.00430079,0.00643192
11409,1455,44,185,0.00108738,0.0222147
11425,217,1909,57,0.00191269,0.0176034
11457,217,100,78,0.00013652,0.0774582
11489,538,216,49,0.00057207,0.075718
11569,76,42,43,6.34313e-05,0.16788
11617,63,115,120,0.000299631,0.0605084
11633,99,1145,78,0.000878554,0.0431857
11649,68,117,2850,0.00215362,0.0196165
11681,68,179,1999,0.00227376,0.0288651
11697,1524,37,59,0.000329418,0.109821
11729,48,65,247,0.000233282,0.07197
11745,1740,48,50,0.000389948,0.095039
11777,201,670,94,0.00101909,0.0114099
11809,37,68,61,5.0616e-05,0.185117
11857,3134,194,64,0.0031565,0.0142832
11969,214,719,50,0.000742498,0.0574541
12001,250,34,37,0.000154852,0.0771892
12049,68,1813,39,0.00156825,0.0219947
12065,2081,238,48,0.00236254,0.0137923
12097,2390,191,125,0.00444993,0.0124162
12113,96,874,179,0.00117616,0.0214283
12129,50,37,105,0.000106416,0.0536994
12225,1264,176,130,0.0022904,0.0167873
12241,129,58,572,0.000401849,0.0819228
12257,51,58,876,0.000262222,0.108379
12273,218,432,177,0.00122993,0.0324706
12289,33,33,1097,0.00014245,0.16622
12337,65,124,36,0.000100131,0.113694
12353,111,188,748,0.00158562,0.031398
12369,399,44,221,0.000373299,0.113629
12497,785,109,122,0.0009558,0.0222301
12545,1667,39,60,0.000380893,0.0992121
12577,219,35,806,0.000762925,0.0472153
12609,119,58,567,0.00034606,0.0913114
12625,3954,253,81,0.00588101,0.00758646
12657,245,127,106,0.000320503,0.106706
12705,139,181,71,0.000166375,0.143526
12721,109,118,127,0.000152886,0.116989
12849,49,123,53,0.000113442,0.110438
12865,186,74,3211,0.00368271,0.0172299
12881,97,46,2646,0.00135501,0.0323359
12897,37,51,3672,0.000777799,0.0389322
12929,774,64,39,0.000157229,0.109666
12977,767,154,68,0.00076203,0.0568479
13025,2689,81,86,0.00206687,0.0145261
13057,184,633,45,0.000521976,0.0829333
13073,69,47,195,0.000270112,0.0626426
13169,829,180,33,0.000511105,0.0959438
13185,197,184,3014,0.00867154,0.00785859
13201,85,1564,66,0.00295779,0.00236227
13233,139,139,310,0.000651456,0.0677337
13265,122,33,3704,0.00189365,0.028609
13297,2872,108,101,0.00259518,0.0162849
13329,98,1217,194,0.00184459,0.0252357
13361,81,33,650,0.000186895,0.108699
13377,65,171,2315,0.00258864,0.0332802
13409,1151,236,64,0.00144627,0.0402396
13457,253,2778,65,0.00350662,0.0238466
13505,48,66,298,0.000280454,0.100222
13553,167,148,50,0.00012174,0.136959
13681,470,61,199,0.000479327,0.0595784
13697,176,111,39,8.00803e-05,0.185973
13713,61,137,582,0.000449235,0.0868631
13793,79,62,86,0.000129587,0.0574273
13809,116,1508,41,0.000804954,0.0516072
13825,95,58,228,0.000115935,0.225231
13841,2139,144,69,0.00191318,0.0251797
13889,106,264,160,0.000391595,0.13528
13921,168,123,178,0.000328268,0.125062
13953,34,3124,182,0.00841947,0.00538867
13969,34,33,84,6.57029e-05,0.172173
14145,50,49,971,0.000254326,0.0991767
14161,219,135,557,0.00175969,0.0224191
14257,239,45,52,0.000228316,0.0841118
14273,62,252,1429,0.00205495,0.0288414
14289,78,32,375,8.40505e-05,0.15397
14305,164,95,37,0.000129865,0.0811505
14353,76,54,37,5.64242e-05,0.216726
14385,63,71,56,7.72551e-05,0.136094
14417,50,118,137,0.000300484,0.0879602
14433,86,253,2483,0.00512904,0.0321171
14449,1560,45,93,0.000592255,0.0868115
14481,236,89,1287,0.00229338,0.0289728
14529,39,42,2122,0.000422269,0.100179
14561,789,157,106,0.00121478,0.030677
14577,516,73,36,0.000120754,0.178314
14593,3598,46,247,0.00362839,0.032253
14609,2097,37,240,0.00189233,0.00902599
14625,1202,47,49,0.000245046,0.121802
14673,33,221,92,0.000225273,0.0850916
14689,179,37,482,0.000333245,0.0880478
14737,57,150,2942,0.00241587,0.0186644
14769,205,553,110,0.00102373,0.0212866
14817,34,42,80,6.50183e-05,0.174709
14865,76,467,72,0.000808343,0.0305807
14913,540,39,178,0.000367732,0.0665693
14929,191,149,81,0.000207893,0.118179
14961,253,3485,39,0.00320773,0.00604178
14993,60,3685,233,0.0185344,0.00998646
15041,36,142,1748,0.0009434,0.0076593
15057,1438,71,125,0.00114075,0.0294771
15121,56,115,1066,0.000666324,0.0602279
15153,743,48,75,0.00022615,0.123078
15169,215,1611,99,0.0027105,0.0207968
15185,1932,183,165,0.00470208,0.00548903
15201,3311,146,137,0.0051695,0.0201693
15217,41,419,61,0.000391391,0.105794
15249,136,723,113,0.000901822,0.0382042
15265,2169,84,79,0.00156477,0.0342539
15281,51,3119,33,0.00203573,0.0309741
15313,180,138,59,0.000133702,0.152308
15425,151,150,42,0.000109217,0.154425
15457,336,101,54,0.000166777,0.102895
15473,3590,131,112,0.00455957,0.00720133
15505,1812,61,191,0.00182917,0.017936
15521,34,3271,103,0.00464747,0.00544927
15553,36,120,58,9.20185e-05,0.0906706
15617,38,157,301,0.00050453,0.046386
15665,54,55,631,0.000169764,0.135355
15713,4003,49,194,0.00308911,0.00989273
15729,32,54,3751,0.000705323,0.0469442
15809,52,232,111,0.000470782,0.0889917
15841,165,955,37,0.000695786,0.0818272
15873,80,117,628,0.000535966,0.080634
15921,53,86,161,0.000201419,0.0711626
