m,n,k,avg,std
1,89,61,4075,0.00237545,0.0231398
17,1075,34,2247,0.00800553,0.0233291
161,1010,198,2079,0.0289403,0.00715584
209,1353,1117,2182,0.190371,0.0032178
241,35,119,3375,0.00149296,0.0303206
289,173,393,2193,0.0111914,0.0143686
417,1041,3151,2225,0.436342,0.0127957
545,249,101,3449,0.00754827,0.00795605
881,112,2855,2314,0.0494159,0.00654765
977,152,38,2672,0.00175102,0.0223628
1073,310,3232,2987,0.185657,0.00340604
1169,167,1065,3565,0.0462008,0.00241904
1201,161,38,4083,0.00301596,0.0294442
1265,194,1210,3116,0.0478164,0.00470542
1809,800,605,2649,0.0766312,0.00474405
1857,1094,2816,3130,0.558911,0.00814685
2145,2524,34,2204,0.0182449,0.00686914
2161,136,45,3789,0.00242573,0.0209726
2241,605,1691,3093,0.191431,0.00327435
2337,982,53,2156,0.00909304,0.00559297
2449,173,1819,2119,0.0464916,0.00842217
2465,61,1470,2818,0.024699,0.0094874
2529,1349,46,3774,0.0198795,0.00475572
2561,126,448,2795,0.0119852,0.00604549
2705,52,578,4036,0.0121924,0.0173591
2769,487,794,2160,0.0538701,0.00579662
2817,2211,725,3656,0.339594,0.00180042
2913,3702,1847,2206,0.83526,0.000934537
3201,247,663,2972,0.0341244,0.00401659
3217,2979,39,2681,0.0374833,0.0105757
3313,2047,267,3825,0.204585,0.00310128
3377,1091,68,2861,0.0166581,0.00503825
3425,1313,41,2535,0.0120998,0.00388564
3457,817,76,2290,0.0111075,0.0186651
3505,1377,140,2150,0.0291964,0.00465395
3569,72,261,3641,0.0062681,0.00792221
3601,3026,720,3108,0.387784,0.00291794
3633,42,244,3764,0.00386994,0.0131828
3649,2915,144,2389,0.0719828,0.00449878
3681,2493,2697,2885,1.07479,0.00170132
3729,194,112,3466,0.00599288,0.00988189
3745,59,76,2796,0.00126875,0.0332413
3889,2508,84,2122,0.0336771,0.00908045
3921,594,275,2130,0.024351,0.00979012
4113,762,340,2247,0.0387135,0.00322019
4625,2847,1321,3039,0.655352,0.00948906
4737,820,383,2400,0.0508098,0.0243224
4785,195,1804,2891,0.0705885,0.0229539
4817,120,61,2664,0.00178297,0.0248109
4881,194,2109,3436,0.0903555,0.00255324
4993,32,234,2616,0.0018089,0.0208526
5153,148,851,2819,0.025044,0.0157937
5281,156,456,2312,0.0117663,0.0195525
5585,775,469,2548,0.0601897,0.00535053
5601,539,1091,2146,0.0777989,0.00101721
5857,56,810,2104,0.00867034,0.0147005
5873,499,710,2588,0.0575452,0.00575122
6017,2183,581,3731,0.290143,0.00208508
6097,1100,32,2447,0.00874029,0.00334877
6145,238,109,2305,0.00532856,0.00469141
6289,56,45,3953,0.00111013,0.0385682
6337,220,2602,4080,0.152651,0.00230443
6369,3224,1667,3202,0.953915,0.000914925
6481,37,2417,2321,0.0228852,0.00572763
6545,3182,99,3910,0.108238,0.00557909
6721,856,1101,3821,0.207101,0.00310514
6753,2562,1690,2941,0.745137,0.00422443
6849,2658,45,2865,0.0295058,0.00964247
6897,66,47,3419,0.00123178,0.0354797
6929,57,92,3602,0.00188107,0.0236075
6993,160,2984,2131,0.06405,0.00536162
7057,3859,47,2100,0.0319175,0.00220974
7137,35,598,2162,0.00532794,0.0099354
7185,714,795,2519,0.0877755,0.0100003
7281,258,3289,3116,0.166209,0.000793888
7345,1197,140,3164,0.0376799,0.00925928
7361,423,3141,2061,0.17566,0.00546338
7617,41,70,2114,0.000714876,0.0745229
7825,128,90,3594,0.00350299,0.00949459
7921,1632,1831,2407,0.408388,0.00128897
7937,1156,113,3330,0.03552,0.00804633
8033,1358,739,2091,0.126176,0.00351014
8273,281,630,3655,0.0423154,0.00660306
8465,506,58,3132,0.00742704,0.0145812
8513,92,2095,2520,0.0430591,0.00695287
8753,1794,170,3157,0.0665259,0.00658576
8865,57,1033,2364,0.0139543,0.0150726
9153,627,3037,3495,0.392582,0.00266328
9169,2067,110,3220,0.05862,0.00515604
9217,71,1214,3147,0.0249594,0.00957581
9361,939,57,2200,0.00927973,0.0155786
9409,645,585,2357,0.0578687,0.00674018
9537,524,751,3406,0.0843177,0.00195885
9681,61,149,2573,0.00211239,0.0147534
9697,187,2266,3099,0.089733,0.00399158
10001,3614,57,2568,0.0433898,0.00749953
10081,158,639,3014,0.0224204,0.0131845
10129,1952,228,2967,0.0871049,0.00573515
10465,954,1381,3145,0.237327,0.00216483
10529,3704,291,2841,0.193911,0.00274362
10689,1785,184,2679,0.0582632,0.0185651
10849,227,254,3445,0.0150304,0.00617944
10945,140,309,2074,0.00680216,0.00143114
11441,134,487,3911,0.0198199,0.00997601
11649,68,117,2850,0.00215362,0.0196165
11761,3165,162,3339,0.122621,0.00582422
11825,1141,516,3216,0.114471,0.00439668
11841,47,390,2784,0.00469053,0.00858107
12145,390,2774,2297,0.151629,0.00969591
12193,622,1039,2852,0.11154,0.00485529
12209,348,98,2276,0.00685386,0.0251069
12321,1136,55,2983,0.0149578,0.00997928
12465,708,2417,3546,0.347574,0.00255295
12737,3433,73,2126,0.0400886,0.00917989
12769,308,224,3147,0.0149028,0.00923228
12833,818,2911,2348,0.319513,0.00185859
12865,186,74,3211,0.00368271,0.0172299
12881,97,46,2646,0.00135501,0.0323359
12897,37,51,3672,0.000777799,0.0389322
13089,53,719,3075,0.0143439,0.00750905
13105,255,2218,2930,0.112702,0.00516149
13121,199,2185,2340,0.070548,0.00405232
13153,457,438,2381,0.031043,0.00295689
13185,197,184,3014,0.00867154,0.00785859
13265,122,33,3704,0.00189365,0.028609
13377,65,171,2315,0.00258864,0.0332802
13585,2561,171,2654,0.0943534,0.00339901
13617,300,96,3279,0.00796989,0.00586305
13745,478,463,2298,0.0348305,0.00943827
13761,712,98,3279,0.0192418,0.00198516
13777,36,2421,3984,0.0367033,0.00644957
14129,1671,133,3431,0.0626404,0.00586033
14401,632,209,2058,0.0195716,0.0110264
14433,86,253,2483,0.00512904,0.0321171
14465,57,871,3236,0.0168461,0.00506089
14529,39,42,2122,0.000422269,0.100179
14737,57,150,2942,0.00241587,0.0186644
14753,140,2294,3847,0.0824949,0.00528958
14785,1467,1548,3463,0.443406,0.00311544
14833,362,2054,3290,0.148521,0.00708029
