m,n,k,avg,std
17,1075,34,2247,0.00800553,0.0233291
33,1344,109,845,0.00987118,0.00730456
49,1968,216,1765,0.0497626,0.00879558
129,1855,167,1914,0.0437692,0.00388836
209,1353,1117,2182,0.190371,0.0032178
417,1041,3151,2225,0.436342,0.0127957
625,1735,104,46,0.000955537,0.0680684
641,1144,151,413,0.00626048,0.009809
769,1041,2598,147,0.0240596,0.00853482
1025,1776,1105,220,0.0248858,0.00335124
1313,1898,84,214,0.00303237,0.0152901
1857,1094,2816,3130,0.558911,0.00814685
1905,1349,209,58,0.00151883,0.0271099
1969,1085,1594,195,0.0212443,0.00792209
2033,1880,33,62,0.000391755,0.0900838
2081,1236,208,266,0.00493276,0.000979217
2257,1086,205,69,0.00133898,0.0438816
2321,1718,72,433,0.00417044,0.0218559
2417,1927,580,180,0.012887,0.00830912
2529,1349,46,3774,0.0198795,0.00475572
2977,1451,1380,1782,0.20445,0.00384877
3009,1039,71,83,0.000520278,0.127769
3281,1313,281,32,0.0010748,0.00563291
3297,1304,422,241,0.00843754,0.0145321
3313,2047,267,3825,0.204585,0.00310128
3377,1091,68,2861,0.0166581,0.00503825
3425,1313,41,2535,0.0120998,0.00388564
3505,1377,140,2150,0.0291964,0.00465395
3553,1996,659,286,0.0224269,0.00550621
3665,1761,129,74,0.00159395,0.0288936
3825,1629,699,94,0.00735295,0.0257386
3937,1302,47,1292,0.00664583,0.00953619
4081,1296,511,1319,0.0533299,0.00989178
4241,1767,123,99,0.00206718,0.011995
4337,1443,169,110,0.00213488,0.012462
4401,1522,813,88,0.00703573,0.00996853
4577,1048,906,96,0.00582201,0.00355034
4689,1434,50,1663,0.00984938,0.0268443
5009,1523,663,81,0.00559907,0.0261552
5073,1308,383,37,0.00163647,0.0445272
5105,1992,50,151,0.00133666,0.0491992
5121,2004,80,347,0.00443461,0.00628671
5345,1839,51,510,0.00412154,0.0253886
5649,1130,310,354,0.00819012,0.0160783
5713,1215,36,1768,0.00731647,0.018444
5729,1227,38,128,0.000575416,0.0636401
5793,1708,306,100,0.00369059,0.00982276
6097,1100,32,2447,0.00874029,0.00334877
6305,1533,1473,1721,0.23481,0.00272819
6465,1827,118,989,0.0182188,0.0142167
6513,1085,1253,723,0.0610909,0.00697763
6609,1077,2984,1021,0.197776,0.00320206
6865,1037,1677,179,0.0187298,0.00335276
7041,1228,1605,33,0.00505928,0.00964485
7265,1125,1643,36,0.00514499,0.00677353
7297,1481,3199,152,0.0415899,0.000613603
7345,1197,140,3164,0.0376799,0.00925928
7409,1339,3504,569,0.166401,0.00305267
7489,1546,38,1425,0.00777069,0.00326574
7649,1440,112,266,0.00332384,0.0200878
7713,1091,217,46,0.00107346,0.0460998
7729,1614,47,91,0.000649087,0.102972
7745,1454,597,1450,0.0754318,0.00985275
7873,1171,411,299,0.00943588,0.00530471
7905,1804,116,835,0.0138,0.0043126
7921,1632,1831,2407,0.408388,0.00128897
7937,1156,113,3330,0.03552,0.00804633
8033,1358,739,2091,0.126176,0.00351014
8065,1029,1130,1941,0.137221,0.00635908
8129,1995,54,119,0.00106705,0.0592642
8257,1134,864,54,0.00437364,0.00822368
8305,1898,675,257,0.0196843,0.0102284
8529,1224,1907,105,0.0149287,0.0105267
8641,1700,243,1596,0.0451961,0.00315815
8657,1417,74,687,0.00552098,0.0097082
8753,1794,170,3157,0.0665259,0.00658576
8849,2015,227,1883,0.0599038,0.00626211
9057,1578,430,377,0.0181837,0.00967754
9281,1904,2406,127,0.0339852,0.00428921
9297,1505,1759,1655,0.24791,0.00426974
9473,1086,1969,616,0.0755903,0.00982132
9505,1277,68,186,0.00134756,0.0232294
9649,1897,1057,1158,0.133278,0.00284162
9745,1130,630,511,0.0248448,0.00305061
9777,1937,1752,37,0.00963385,0.00581379
9873,1434,2674,108,0.0256832,0.00836506
9889,1893,729,39,0.0043433,0.01092
10129,1952,228,2967,0.0871049,0.00573515
10657,1605,2360,51,0.0149706,0.00598546
10689,1785,184,2679,0.0582632,0.0185651
10753,1233,56,162,0.000962631,0.0280666
10833,1659,53,95,0.000715211,0.0664884
11041,1462,529,55,0.00377549,0.0257446
11105,1577,303,136,0.00457,0.0301509
11169,1938,589,276,0.0187757,0.0024918
11281,1595,658,839,0.0526851,0.00979129
11409,1455,44,185,0.00108738,0.0222147
11473,1381,41,349,0.00180078,0.026593
11505,1736,2423,213,0.0510095,0.00971065
11697,1524,37,59,0.000329418,0.109821
11745,1740,48,50,0.000389948,0.095039
11825,1141,516,3216,0.114471,0.00439668
11873,1328,198,852,0.0152394,0.00968585
11921,1357,2665,294,0.0604023,0.00414317
11953,1295,153,1230,0.0184077,0.00474169
12225,1264,176,130,0.0022904,0.0167873
12321,1136,55,2983,0.0149578,0.00997928
12449,1498,88,824,0.00848448,0.00609568
12545,1667,39,60,0.000380893,0.0992121
13009,1725,3707,47,0.0221092,0.00133896
13137,1798,85,386,0.00458794,0.00734295
13313,1799,909,32,0.00465185,0.00854671
13409,1151,236,64,0.00144627,0.0402396
13537,1241,105,755,0.00828913,0.00678161
13649,1730,1447,70,0.0121537,0.00579397
13729,1561,807,475,0.0406834,0.00350579
13905,1763,597,322,0.0199407,0.00588685
14129,1671,133,3431,0.0626404,0.00586033
14369,1862,1498,627,0.108625,0.00508728
14449,1560,45,93,0.000592255,0.0868115
14625,1202,47,49,0.000245046,0.121802
14785,1467,1548,3463,0.443406,0.00311544
14801,1110,793,150,0.00853961,0.00524598
15057,1438,71,125,0.00114075,0.0294771
15185,1932,183,165,0.00470208,0.00548903
15441,1560,1911,371,0.073649,0.00407674
15489,2009,345,148,0.00703116,0.00588582
15505,1812,61,191,0.00182917,0.017936
15585,1754,96,1169,0.0156883,0.00989521
15601,1319,1570,36,0.00604556,0.0164206
15761,1347,543,34,0.00213173,0.0149316
15777,1611,819,2847,0.22068,0.00380107
15857,1160,951,122,0.00840897,0.0142372
15905,1290,418,154,0.0055278,0.0040509
16113,1768,62,2017,0.0167291,0.00547669
16241,1063,33,512,0.00188617,0.0225272
16737,1586,1319,1409,0.170187,0.00597363
16769,1822,1401,54,0.0111472,0.00671852
16801,1313,38,271,0.00138582,0.0511668
17025,1386,129,89,0.00151458,0.0437528
17105,1278,311,1834,0.0476048,0.00542083
17265,1597,53,885,0.00597723,0.00181784
17313,1267,154,195,0.00319302,0.0358031
17361,1395,214,2234,0.0451666,0.008926
17697,1930,3349,2230,0.794318,0.0105132
17793,1024,1603,972,0.122564,0.0125636
17809,1343,520,826,0.0348937,0.00708783
17921,1449,818,596,0.041201,0.00524406
17969,1814,409,217,0.0102148,0.00486358
18065,1835,39,44,0.000327691,0.142223
18081,1753,225,58,0.00210231,0.0106725
18225,1311,43,385,0.00194759,0.0176098
18257,1156,295,35,0.00110054,0.0136497
18305,1262,828,1248,0.07589,0.00639215
18449,1042,1899,105,0.0131079,0.00865672
18497,1595,2330,789,0.166006,0.00504799
18737,1169,262,131,0.00301345,0.0098476
19009,1638,743,870,0.0716148,0.00348829
19025,1654,436,303,0.0132288,0.00733927
19137,1820,59,3231,0.036474,0.0032462
19185,1716,2038,263,0.0519792,0.00775198
19233,1336,35,3111,0.0138719,0.00271778
19297,1896,264,295,0.00962312,0.00665737
19329,1149,432,186,0.00608627,0.00653718
19361,1884,1325,209,0.0300158,0.0099256
19409,1510,50,488,0.00309164,0.0346804
19569,1309,525,164,0.00723031,0.00741696
19585,1025,1971,234,0.0302687,0.00666665
19601,1077,1159,3884,0.283116,0.00357604
19649,2024,2897,43,0.01918,0.00995475
19713,1888,479,64,0.00437746,0.0253716
19857,1677,512,136,0.00742644,0.00770354
19953,1860,796,2119,0.183097,0.00368248
20001,1790,1209,166,0.0216279,0.00429739
20289,1861,3594,424,0.161113,0.0029093
20305,1923,293,3451,0.1257,0.00346297
20385,1499,45,627,0.00364135,0.0115921
20433,1043,2532,3855,0.583738,0.0174826
20769,1640,2090,1511,0.290743,0.00146425
20849,1923,1968,3352,0.70331,0.00106178
20993,1150,342,2964,0.0758075,0.00409639
21105,1961,259,734,0.0258245,0.00929291
21137,1342,3283,1652,0.408902,0.00184925
21201,1047,61,978,0.00490434,0.00104817
21265,1243,277,49,0.00155263,0.0324594
21361,1278,119,103,0.00159555,0.0216342
21393,1329,250,1108,0.0252942,0.00299953
21425,1879,1251,189,0.0264436,0.00356728
21633,1150,68,167,0.00118496,0.051056
21697,1712,860,2800,0.236823,0.0162266
21841,1682,1242,1193,0.143365,0.00307467
21921,1046,978,33,0.00275756,0.017556
22289,1303,97,1153,0.0127002,0.0133183
22417,2005,2482,1860,0.515193,0.00138361
22497,1048,52,981,0.00440582,0.00999833
22721,1052,54,3963,0.0184037,0.00317493
22801,1181,48,121,0.000598013,0.0695215
22865,1250,3767,3534,0.925882,0.00119905
22913,1615,906,1459,0.126332,0.00484638
23121,1769,133,93,0.00203014,0.0131914
23169,1997,54,3793,0.0328632,0.0128268
23201,1160,423,611,0.0198574,0.00566086
23329,1633,72,193,0.00197397,0.00982257
23409,1634,187,496,0.0108879,0.00842099
23729,1259,1389,1966,0.196257,0.00270982
23921,1673,1126,386,0.0427876,0.00859778
24049,1784,863,3892,0.346589,0.00192142
24065,1466,111,87,0.00135971,0.0403335
24113,1851,1412,108,0.0174266,0.00332767
24209,1877,1508,424,0.0709202,0.00430384
24257,1415,127,3816,0.0600358,0.00399334
24481,1906,333,1065,0.0440325,0.00614575
24641,2011,1240,808,0.115725,0.00359782
24705,1602,731,54,0.00523681,0.00660393
24801,1120,41,322,0.00139466,0.0428991
24833,1585,77,291,0.0028105,0.0302129
24897,1364,1239,75,0.00905588,0.00674917
24993,1707,2085,2798,0.601832,0.00977678
25009,1087,266,2237,0.0436131,0.0027803
25025,1796,235,1311,0.038617,0.00186405
25073,1558,219,398,0.00990607,0.013432
25153,1114,3881,769,0.18854,0.00319412
25201,1087,3245,91,0.0207181,0.00929028
25233,1402,643,243,0.0140571,0.0385375
25617,1177,72,1664,0.0105748,0.0110724
25649,1525,2106,377,0.0809036,0.00100703
26161,1143,45,1618,0.00718793,0.00809214
26193,1071,2926,2581,0.463646,0.00072135
26369,1343,36,671,0.00320572,0.0294919
26577,1990,198,725,0.0200583,0.00329395
26705,1717,1541,367,0.0654063,0.00515878
26961,1703,570,75,0.00549935,0.00253374
27009,1293,944,1668,0.124624,0.00210073
27025,1797,556,599,0.0408134,0.000990074
27169,1973,1264,130,0.0205124,0.00375443
27377,1831,158,111,0.00467936,0.0302657
27409,1191,3482,204,0.0523293,0.00124917
27521,1439,395,110,0.00460753,0.00707313
27953,1185,577,3291,0.143484,0.00115277
28177,1648,786,3854,0.303271,0.0013575
28305,1486,33,105,0.000588661,0.0502615
28561,1141,2881,545,0.118575,0.00378807
28769,1642,357,407,0.0188649,0.00230682
28785,1400,66,3725,0.0277619,0.00118686
29057,1595,2484,280,0.0654335,0.00091712
29249,1112,182,34,0.000708206,0.045831
29265,1659,1026,977,0.100953,0.00119752
29345,1873,609,240,0.0172683,0.00243806
29409,2000,204,1516,0.0420056,0.000496075
29425,1375,440,1464,0.057615,0.000838948
29697,1534,202,242,0.00558916,0.00973734
29729,1641,499,2016,0.107339,0.00212372
29761,1304,3803,1059,0.317558,0.00185712
29825,1087,701,1063,0.0530352,0.000554661
29841,1134,65,258,0.00164505,0.0200104
30273,1242,1470,319,0.0354296,0.00271389
30289,1098,3136,47,0.0121218,0.00251589
30337,1372,3532,83,0.0272612,0.00133068
30417,1791,2034,907,0.200824,0.000816851
30449,1256,591,328,0.0154516,0.00605774
30545,2022,359,2610,0.129466,0.00149476
30609,1175,164,198,0.0031252,0.00666407
30769,1052,191,183,0.00312725,0.0060031
31057,1224,1078,3127,0.248142,0.000266104
31217,1680,189,1115,0.0261814,0.00270525
31329,1068,286,120,0.00271149,0.00702903
31537,1399,879,2768,0.212167,0.002758
31569,1733,273,1261,0.0411507,0.00145326
31953,1899,957,1476,0.162783,0.00197944
32049,1677,2286,1436,0.325409,0.000851986
32177,1660,56,2245,0.0171472,0.00140416
32193,1110,3228,63,0.028811,0.00372224
32241,2021,2762,365,0.142837,0.00153212
32257,1469,42,1157,0.00651468,0.00544034
32353,1207,1042,710,0.0591873,0.00196962
32401,1369,978,102,0.00948355,0.00274002
32417,1072,3622,102,0.0254243,0.00243196
32705,1608,762,1154,0.0861214,0.00131403
32849,1281,2333,2919,0.525505,0.0010584
32865,1394,280,32,0.00115504,0.0181953
32913,1416,33,1514,0.00722392,0.00411141
33025,1323,101,1141,0.0129223,0.000869053
33153,1408,118,41,0.000765519,0.0380009
33233,2009,1743,40,0.0109749,0.00296952
33393,1035,104,1860,0.0169658,0.00161955
33473,1439,306,147,0.00479912,0.00297374
33489,1122,2589,181,0.0324849,0.00123755
33521,1954,202,37,0.00143521,0.022887
33633,1964,76,1159,0.0236542,0.0052905
33745,1038,591,680,0.0293238,0.000798885
33857,1032,158,1845,0.0232343,0.00155826
34001,1457,36,65,0.000344275,0.0823652
34113,1039,391,2207,0.0606602,0.00110669
34161,1239,2222,126,0.0225846,0.00181996
34273,1981,1397,170,0.051344,0.00687364
34385,1112,446,152,0.00516061,0.00459574
34417,1935,3842,660,0.286338,0.00196109
34481,1901,36,1406,0.00957177,0.0035841
34673,1873,140,58,0.001527,0.0202929
34849,1677,768,73,0.00674347,0.00347033
35185,1127,1172,413,0.0389284,0.00284892
35361,1568,1146,834,0.0902928,0.000816985
35489,1831,305,255,0.00977484,0.00149438
35521,1675,167,232,0.00510515,0.00427488
35617,1613,1206,32,0.00532249,0.00540318
35665,1660,968,2460,0.236524,0.00163814
35697,1671,1565,2963,0.462148,0.00117489
35841,1434,78,2718,0.0254033,0.00215521
35921,1259,71,40,0.000338224,0.0857807
35953,1306,641,1396,0.0747771,0.00100701
36017,1494,3994,192,0.0687178,0.00298196
36161,1066,1117,1155,0.083966,0.00120975
36385,1504,84,1665,0.016893,0.000908123
36433,1651,1836,866,0.155376,0.00204545
36593,1344,37,44,0.000208876,0.0988574
36657,1347,894,1055,0.0817877,0.000510183
36689,1414,3860,2817,0.903062,0.000435208
36737,1509,937,87,0.00851137,0.00137823
37329,1307,38,946,0.00457011,0.0063115
37409,1483,64,80,0.000670399,0.0467673
37441,1356,115,158,0.00251951,0.0151926
37745,1201,576,131,0.00614744,0.00650677
37889,1747,247,34,0.0014699,0.0206314
38145,1425,32,129,0.000650935,0.0445987
38177,1855,46,213,0.00166411,0.0204097
38209,1419,534,50,0.00319875,0.00827951
38801,1530,1422,1848,0.244978,0.000915486
38865,1445,82,47,0.000499876,0.0559639
38977,1065,152,2132,0.0262401,0.00290221
39089,1111,664,239,0.0115294,0.00259732
39281,1500,705,131,0.009264,0.00298114
39345,1206,156,2753,0.0380358,0.00148506
39377,1445,38,107,0.000585779,0.0517393
39441,1344,124,158,0.00253602,0.00967046
39489,1194,430,352,0.0121352,0.00149844
39601,1904,847,3310,0.321979,0.00126897
39713,1395,3442,469,0.151727,0.000672736
39857,2043,2860,873,0.309687,0.000973653
39889,1031,3041,757,0.149854,0.00113808
39921,2015,741,3744,0.348054,0.00100342
40017,1683,52,205,0.00159811,0.0175507
40097,1293,2028,2256,0.35294,0.000850003
40257,1250,108,1563,0.0168645,0.00185918
40305,1637,132,395,0.0084025,0.00235735
40321,1840,39,813,0.00561141,0.00805133
40417,1585,941,257,0.0237319,0.0015903
40497,2019,3421,38,0.0214864,0.00243947
40561,1209,217,389,0.0147253,0.030012
40657,1295,200,2509,0.0463234,0.00940385
40705,1269,224,44,0.00113895,0.0209946
40785,1243,1649,565,0.0771317,0.000614129
41169,1369,259,316,0.00831974,0.00511217
41185,1376,1236,85,0.00995099,0.0018038
41281,1984,44,59,0.00050708,0.0562188
41329,1070,98,35,0.000462973,0.0752112
41777,1845,2042,493,0.124306,0.00275078
41873,1043,189,161,0.00262457,0.00958283
41921,1099,278,353,0.00880238,0.00391428
41937,1223,1668,83,0.0117069,0.00544483
41953,1728,909,128,0.0132254,0.00510061
42001,1272,42,350,0.00188381,0.00835839
42033,1262,130,3473,0.0480157,0.00100236
