m,n,k,avg,std
2977,1451,1380,1782,0.20445,0.00384877
6305,1533,1473,1721,0.23481,0.00272819
8065,1029,1130,1941,0.137221,0.00635908
9297,1505,1759,1655,0.24791,0.00426974
9649,1897,1057,1158,0.133278,0.00284162
16737,1586,1319,1409,0.170187,0.00597363
21841,1682,1242,1193,0.143365,0.00307467
23729,1259,1389,1966,0.196257,0.00270982
36161,1066,1117,1155,0.083966,0.00120975
38801,1530,1422,1848,0.244978,0.000915486
44321,1425,1458,1960,0.230557,0.00219793
45697,1880,1781,1701,0.326051,0.0031517
50657,1502,1756,1982,0.293767,0.00211278
5152,1910,1984,1351,0.297218,0.00234257
7392,1542,1303,2045,0.252457,0.00313883
15408,1377,1258,1856,0.186209,0.0016185
20176,1231,1206,1934,0.165562,0.00229182
36784,1907,1793,1960,0.394476,0.000689077
37568,1035,1333,1304,0.109491,0.000698399
55776,1883,1251,1087,0.150182,0.00396961
59456,1293,1519,1697,0.197589,0.00301554
1858,1791,1117,1504,0.176678,0.00511846
4226,1563,1365,1796,0.220223,0.00195042
6802,1559,1374,1339,0.166815,0.0198515
22322,1366,1661,1960,0.287275,0.00153527
25410,1679,1598,1055,0.17573,0.0014972
35938,2047,1837,1392,0.403151,0.00333952
39794,1603,1585,1218,0.176419,0.00260679
45666,1152,1334,1110,0.0991338,0.00533112
47010,1041,1961,1220,0.141479,0.00346369
7443,1767,1887,1868,0.353119,0.00101337
9059,1378,1868,2004,0.29055,0.00285481
11331,1721,1732,2004,0.343375,0.0264159
28291,1781,1333,1310,0.178519,0.0035639
32755,1743,1528,1250,0.189417,0.00697266
43859,1287,1132,2030,0.178358,0.00461029
3364,1830,1701,1173,0.208405,0.00273903
4036,1590,1966,1368,0.251678,0.00588775
4884,1060,1558,1527,0.143335,0.00284915
33988,1791,2037,1135,0.241078,0.00285686
36404,1227,1095,1065,0.0856701,0.00510942
36644,1714,1672,1251,0.200281,0.00442127
39556,1080,1604,1090,0.106827,0.00340735
42996,1564,1398,1529,0.188817,0.00250662
44244,1936,1351,1180,0.175116,0.00168612
45716,1101,1455,1324,0.122339,0.00255139
46612,1886,1094,1888,0.220575,0.00545134
55092,1455,1042,1059,0.101683,0.00110001
57716,1741,1771,1922,0.354204,0.000334524
60068,1453,1374,1595,0.189835,0.00101916
62132,1379,1133,1221,0.117943,0.00220468
64196,1437,1116,1858,0.179448,0.000316923
229,1360,1823,1511,0.211911,0.00147012
389,1135,1288,1895,0.160336,0.00373062
4933,1999,1813,1791,0.373603,0.0152734
5717,1535,1654,1180,0.184826,0.00429587
7381,1074,1220,1828,0.144347,0.000613587
8597,1954,1157,1245,0.167691,0.000717833
12741,1987,1798,1161,0.24737,0.000945825
13493,1054,1598,1152,0.117607,0.000665175
15029,1247,1212,1133,0.104236,0.00073937
23509,1454,1648,1195,0.17138,0.00107182
23749,1330,1975,1819,0.285131,0.000944279
29957,1792,1870,1326,0.264878,0.00398411
41685,1860,1393,1321,0.192044,0.00371849
48581,1279,1821,1477,0.205566,0.00741187
49733,1296,1424,1761,0.183373,0.00175283
51477,1488,1378,2015,0.231421,0.00238227
62565,1319,1820,1038,0.150015,0.00437019
7478,1702,1870,1411,0.256845,0.00270169
11734,1993,1631,1567,0.285805,0.00288946
15158,1516,1926,1246,0.204952,0.00482965
16758,1135,1317,1359,0.122611,0.00248667
18198,1717,1030,2035,0.214924,0.00283778
24166,1958,1062,1545,0.182936,0.00459861
28774,1781,1388,1507,0.213085,0.000850178
44118,1912,1327,1680,0.251034,0.000849217
44134,1294,1755,1143,0.156422,0.0014462
52326,1920,1276,1291,0.188534,0.00455609
54278,1356,1755,1906,0.270439,0.000629032
55334,1897,1291,1184,0.172278,0.000896608
3751,1328,1232,1915,0.174314,0.00175311
8663,1209,1491,1365,0.148185,0.00788066
13095,1609,1646,1115,0.167898,0.00270083
15063,1112,1925,1864,0.224419,0.00417475
19207,1359,1067,1349,0.118765,0.00421334
22551,1755,1569,1528,0.239606,0.00554489
26679,1176,1526,1296,0.130573,0.00289697
27463,1631,1922,1676,0.296967,0.00271224
32391,1110,1663,1606,0.178581,0.000663111
39671,1285,1441,1429,0.289453,0.00311705
41271,1242,1399,1684,0.18213,0.00462602
46951,1612,1124,1273,0.13136,0.00374935
48679,1752,1112,1995,0.218467,0.00997476
49687,1492,1208,1148,0.117845,0.00288334
472,1330,2009,1428,0.216283,0.00303417
552,1950,1621,1384,0.254147,0.00208416
9960,1346,1975,1916,0.288763,0.00188582
14392,1731,1384,1026,0.148076,0.00604308
36760,1981,1705,1262,0.24055,0.00290983
46968,1138,1149,1786,0.134445,0.00507259
48056,1804,1483,1574,0.239132,0.00222862
51496,1171,1574,1685,0.188768,0.00597014
841,1111,1929,1950,0.241339,0.00311328
5257,1232,1757,1172,0.143176,0.00196357
8841,1581,1108,1118,0.112189,0.00695827
15289,1827,2029,1441,0.302963,0.00360424
18073,1228,1792,1323,0.163591,0.00401198
22601,1528,1909,1032,0.178737,0.00265835
28345,1613,1993,1581,0.286952,0.00983896
29369,1221,1702,1116,0.134141,0.00222643
44393,1624,1734,1508,0.237281,0.00245243
47417,1710,1813,1853,0.325063,0.00193237
47977,1228,2011,1113,0.157699,0.00440666
49225,1159,1527,1706,0.181891,0.00139615
60825,1105,1124,1083,0.0836122,0.00134565
62201,1145,1611,1854,0.206407,0.00111652
64857,1264,1067,1638,0.133253,0.00170587
1546,1100,1670,1785,0.196544,0.000575688
2794,1815,1498,1452,0.238417,0.00134636
8986,1059,2005,1779,0.227881,0.000320786
15722,1618,1790,1388,0.244511,0.000256211
19930,1777,1251,1130,0.145273,0.00677323
37722,1137,1300,1708,0.149353,0.00189392
40730,1090,1132,1409,0.102881,0.00459595
235,1408,1907,1859,0.284888,0.00282534
7163,1284,1028,1159,0.0886175,0.00365155
15611,1619,1115,1961,0.204455,0.00218446
22331,1488,1272,1779,0.190612,0.00177255
26955,1504,1307,1080,0.122124,0.00348072
32139,1157,1411,1863,0.175176,0.00399268
37499,1710,1100,1221,0.130072,0.00292084
39259,1875,1678,1263,0.225013,0.00784194
39307,1598,1286,1312,0.152405,0.00168179
40315,1478,1670,1367,0.199585,0.0030933
49899,1267,1562,1792,0.204311,0.00178482
52715,1656,1669,1524,0.234047,0.00417974
54491,1876,1759,1451,0.272437,0.00200322
59531,1356,1781,1907,0.259735,0.00242966
59867,1173,1615,1321,0.143259,0.00287917
7804,1078,1077,1333,0.0904126,0.00330242
16652,1279,2021,1872,0.283367,0.00285496
17116,1026,1514,1545,0.152281,0.0163943
18988,1995,1613,1028,0.207927,0.000811782
21580,1995,1551,1751,0.326999,0.00168383
23036,1750,1404,1043,0.159857,0.000410845
25196,1558,1257,1600,0.188815,0.000851836
29308,1677,1460,1894,0.276481,0.000414755
35820,1824,1662,1179,0.201045,0.00370416
36348,1443,1424,1068,0.130217,0.00701635
38444,1724,1745,1295,0.218021,0.00267816
47324,1150,1859,1366,0.17561,0.00455437
51756,1262,1243,1972,0.180282,0.00243744
63228,1628,1292,1241,0.146985,0.00543232
6269,1668,1252,1516,0.180213,0.00248071
20173,1122,1600,1883,0.191987,0.00381074
20909,1125,1486,1277,0.122213,0.00378602
22157,1373,1786,1969,0.274743,0.00362142
33037,1164,1774,1513,0.17721,0.00428031
37981,1811,1030,1025,0.118626,0.00621122
39357,1917,1910,1523,0.314242,0.0023585
41981,1180,1815,1758,0.229513,0.0541942
53149,1616,1394,1405,0.182167,0.00402544
54125,1323,1771,1827,0.245059,0.0015703
54349,1270,1854,1286,0.171957,0.00271632
57661,1277,1448,1431,0.153944,0.00260877
63341,1275,1985,1521,0.219816,0.00299094
2510,1897,1447,1125,0.175116,0.00517306
5598,1844,1817,1581,0.297698,0.00279135
11038,1525,1063,1873,0.184635,0.00055717
21758,1770,1174,1030,0.13496,0.000425391
33182,1287,1790,1996,0.269828,0.0181699
36478,1769,1465,1186,0.183579,0.0185097
38046,1331,1434,1763,0.194882,0.00145327
46190,1151,1735,1890,0.219636,0.0031958
48414,1398,1611,1834,0.237276,0.00441203
49998,1652,1500,1540,0.214073,0.00128807
59246,1863,1106,1624,0.19225,0.00265038
5951,1895,1763,1803,0.342312,0.00179044
9023,1165,1373,1977,0.181789,0.00343124
9615,1277,1329,1477,0.14715,0.00773185
10671,2032,1423,1757,0.292824,0.0091209
13807,1952,1438,1881,0.29502,0.0027906
15855,1173,1313,1561,0.139205,0.00666054
19999,1305,1685,1995,0.248733,0.00148146
30271,1808,1129,1893,0.220541,0.00495965
30447,1716,1083,1741,0.188717,0.00470879
50767,1770,1158,1453,0.169487,0.00368616
53375,2036,1054,1468,0.181646,0.0104945
54191,1576,1545,1181,0.161681,0.00408656
55423,1677,1338,1873,0.239486,0.00296912
55839,1549,1711,1223,0.184229,0.00495945
