m,n,k,avg,std
2273,193,184,230,0.000714855,0.0686676
7153,162,250,157,0.000545682,0.0655232
7793,247,227,151,0.000754177,0.0465306
8449,143,184,149,0.000362163,0.0966477
16433,175,178,200,0.000607098,0.0854353
19345,214,182,160,0.000570054,0.0739516
33601,141,135,232,0.000528255,0.160591
34897,133,173,249,0.000574579,0.0557655
41057,130,180,247,0.000545625,0.0568845
53521,156,249,245,0.000790225,0.0363184
58321,176,131,145,0.000287668,0.0974055
58977,198,165,173,0.000527064,0.065483
6896,245,255,180,0.000951374,0.0414123
11920,141,212,128,0.000329774,0.101312
22800,202,196,252,0.000793858,0.0447779
31504,153,207,151,0.000448698,0.0604506
36080,231,133,179,0.000593631,0.0521867
50304,151,147,196,0.000447717,0.0917982
55760,174,176,190,0.000517988,0.080143
61520,132,230,185,0.000482791,0.0868853
64976,252,130,246,0.000752649,0.0559124
1042,254,230,220,0.00104858,0.0199084
1458,214,156,177,0.000519268,0.0616992
9394,135,166,252,0.000576322,0.0632158
55042,172,239,246,0.000868037,0.0429697
65474,193,138,137,0.000321883,0.105267
643,188,168,247,0.000664863,0.0471556
4723,186,160,177,0.000467601,0.0912101
7219,177,184,158,0.000442129,0.0948034
16099,193,154,204,0.000558713,0.0752597
17011,129,131,228,0.000383127,0.106598
20019,250,237,218,0.00107779,0.0523502
20451,150,221,199,0.000606348,0.0754852
23347,232,139,238,0.000725813,0.0444744
27491,250,249,194,0.000972407,0.0280732
31075,205,221,251,0.000951007,0.00920817
34531,159,224,195,0.000619273,0.0718985
36003,192,220,172,0.000581908,0.0689566
50227,170,189,235,0.000665317,0.0461508
59747,191,200,176,0.000599458,0.0774155
62867,213,199,191,0.000711331,0.0530388
9156,180,250,203,0.000761994,0.0496234
12340,139,169,205,0.00044539,0.0733483
13316,172,158,164,0.000388142,0.0771868
28756,190,163,158,0.000470766,0.0795009
29572,249,145,130,0.000441661,0.126127
32820,177,233,149,0.000560086,0.106962
38436,242,218,147,0.000656104,0.0584799
38788,177,149,230,0.000562648,0.0828375
41268,207,181,218,0.000772052,0.0463956
51908,137,134,149,0.000247275,0.117905
54596,132,245,167,0.000488484,0.0567407
57028,179,185,181,0.000577236,0.0527636
57284,168,129,142,0.000275263,0.104291
3397,209,185,216,0.000714596,0.0400831
7237,147,190,216,0.000596134,0.0555113
15781,217,160,221,0.000699545,0.0434332
18245,197,149,181,0.000521582,0.0628386
42357,253,193,221,0.000914304,0.0221024
5846,135,184,256,0.000630945,0.0761792
6630,134,193,242,0.000581342,0.0540158
8822,235,182,243,0.000904166,0.0324787
11238,203,245,135,0.0006026,0.0678397
18054,195,204,174,0.000606057,0.0644538
18950,159,209,170,0.000541033,0.0753085
23878,205,179,160,0.000539372,0.0661011
26582,243,174,206,0.000767159,0.0366223
27046,235,227,131,0.000615214,0.0688902
30310,179,170,242,0.000665693,0.0598711
33398,243,176,182,0.000674506,0.0571735
33894,198,256,145,0.000619161,0.0687181
36422,230,167,216,0.000760756,0.0463169
39638,160,201,148,0.000382908,0.0825108
45014,252,145,185,0.000625367,0.0561355
45574,255,207,238,0.00113188,0.0198338
57526,134,175,138,0.000320643,0.0675271
59638,211,150,184,0.000530364,0.0708758
4999,171,253,175,0.00065471,0.0621704
12279,133,189,240,0.000577096,0.0712762
15591,143,220,174,0.000516978,0.0846217
20215,223,173,241,0.000844847,0.0442652
26247,160,171,244,0.000582454,0.0634497
31063,135,254,247,0.000828418,0.0600589
40103,161,129,204,0.000419807,0.0676408
45351,184,131,155,0.000326788,0.0997322
47431,233,195,230,0.000899503,0.0416944
61687,166,134,131,0.000267461,0.0895434
4808,183,197,129,0.00041729,0.0748695
18136,211,152,156,0.000458732,0.0839447
18552,255,160,138,0.000527756,0.0607605
24024,131,238,206,0.000615284,0.125054
30776,131,171,141,0.000298251,0.110603
36280,213,206,231,0.00085673,0.0338849
52872,148,166,248,0.000546232,0.0630199
54504,255,250,250,0.00138187,0.0197793
57560,191,151,157,0.00044367,0.0859809
60520,235,130,251,0.000733887,0.0423207
60744,129,171,178,0.000352724,0.103005
62264,232,200,175,0.000656981,0.0582709
441,132,215,202,0.000504446,0.0674501
3529,160,130,234,0.000444855,0.089469
4089,142,197,166,0.000423746,0.114614
10777,145,167,169,0.000377657,0.0838245
11033,196,198,148,0.000477575,0.072934
14121,249,253,223,0.00108993,0.0329667
14617,194,144,148,0.000366129,0.121873
25161,215,193,226,0.000848526,0.0410927
25385,158,235,148,0.000501202,0.0942264
30713,181,135,152,0.000374648,0.11332
43625,132,255,129,0.00036461,0.0927818
45705,210,151,249,0.00074004,0.0661811
47929,146,146,139,0.000261272,0.172467
50409,132,253,138,0.000384281,0.0825132
53769,143,196,201,0.000520767,0.0741525
59033,253,213,142,0.000665709,0.0455483
63401,140,255,180,0.000571553,0.0537624
10794,163,236,143,0.000507301,0.0606169
15914,222,207,177,0.00073845,0.0377585
30554,183,151,231,0.000650798,0.0804891
30986,242,235,182,0.000870366,0.0512406
36954,240,173,252,0.000852874,0.034794
38874,217,187,140,0.000510383,0.104783
44266,147,163,137,0.000309391,0.0867207
44682,209,137,253,0.000693722,0.0507828
52682,152,150,196,0.000377305,0.0829724
61754,155,132,149,0.000271615,0.103395
13259,159,206,179,0.000543482,0.0583155
16747,230,178,144,0.000518004,0.0795059
27979,130,175,237,0.000508009,0.0795183
28315,150,208,166,0.000473805,0.0753434
31595,179,137,204,0.000501334,0.0861457
35067,219,172,146,0.000497176,0.111801
40683,237,219,153,0.000704688,0.0540513
47595,163,135,131,0.000284456,0.110548
47739,142,253,147,0.00045843,0.0809277
48379,156,159,183,0.000419465,0.0822574
49083,185,196,165,0.000494985,0.0815246
49579,162,170,166,0.000395141,0.102161
58859,222,148,142,0.000423496,0.0726293
59915,137,142,132,0.000211418,0.122528
14220,159,213,131,0.000416274,0.097743
14316,186,187,154,0.000500521,0.103697
18700,191,171,132,0.000425531,0.0623131
20076,138,136,183,0.000324333,0.0815297
22428,186,252,170,0.000663694,0.0492894
22796,236,247,193,0.000981827,0.00736757
34172,232,231,170,0.000737462,0.0450896
39964,197,236,130,0.0005232,0.078679
42460,142,248,219,0.000686251,0.0703971
42716,130,198,159,0.000345887,0.103449
47644,186,169,145,0.000392821,0.105842
47804,146,256,162,0.00050432,0.0739376
54940,255,170,235,0.000895597,0.039294
57500,181,214,175,0.000603403,0.0574844
57548,243,146,223,0.000728965,0.0524603
5485,228,250,154,0.000724157,0.0682965
7789,168,147,244,0.000578713,0.110737
23565,183,172,142,0.000408182,0.0806626
25021,207,157,164,0.000514695,0.0752635
28765,151,150,134,0.000288358,0.091018
34109,144,200,135,0.000354837,0.193528
38093,189,164,241,0.000666785,0.0540038
41965,194,163,204,0.000605,0.0663618
48349,128,222,222,0.000552452,0.0824129
56461,140,196,191,0.000447458,0.102638
58077,196,137,146,0.000357058,0.114407
63101,147,251,135,0.000469479,0.0751817
4078,216,143,131,0.00034627,0.130931
5054,155,158,234,0.000543912,0.0667316
6318,185,167,137,0.000379252,0.0984102
10798,252,220,193,0.00145064,0.0805903
13406,198,188,145,0.000505641,0.0610458
26174,235,144,159,0.000492986,0.0768509
37166,137,238,200,0.000572008,0.077964
40846,231,173,180,0.000671,0.0563691
45838,169,236,158,0.00053199,0.0847374
46078,149,181,192,0.000485373,0.0654201
47006,155,177,194,0.00049923,0.0632183
50718,201,189,150,0.000508473,0.0808353
63470,134,185,210,0.000483856,0.0764189
1583,251,169,189,0.000700715,0.0623309
6479,223,215,225,0.00094132,0.0253501
7839,193,237,152,0.000593745,0.0713457
17423,242,230,163,0.000748732,0.0548852
33455,140,204,152,0.000381159,0.165318
34559,128,147,228,0.000414153,0.130306
36687,157,179,239,0.000638592,0.0634443
40863,135,138,255,0.000519722,0.0726632
43839,181,175,161,0.000508285,0.11883
44687,221,128,193,0.000513325,0.0870706
48479,158,247,134,0.00048556,0.0871701
54847,170,153,211,0.000511384,0.0670571
57023,190,157,170,0.000489608,0.0998895
58959,244,134,137,0.000419164,0.103934
63983,131,204,134,0.000311404,0.0941966
