m,n,k,avg,std
161,1010,198,2079,0.0289403,0.00715584
257,892,96,978,0.00695502,0.00858638
273,598,154,58,0.000558789,0.0719446
321,792,830,63,0.00324587,0.00794448
337,630,753,686,0.0222411,0.00488994
577,834,133,390,0.00404817,0.0099739
593,855,89,97,0.000579069,0.0689914
657,534,2916,34,0.00436416,0.0295834
753,784,190,111,0.00137495,0.0257349
1057,916,775,783,0.0337985,0.00264974
1153,916,2878,722,0.114405,0.00642682
1345,516,230,359,0.00395747,0.0227714
1409,874,1038,82,0.00496845,0.00988024
1441,820,277,76,0.00145687,0.0302088
1553,683,3176,165,0.0227538,0.00273359
1569,565,564,320,0.00656214,0.00949493
1809,800,605,2649,0.0766312,0.00474405
1889,881,616,385,0.014485,0.00925012
2001,637,50,1772,0.00481038,0.021023
2113,627,1530,131,0.00809146,0.00983491
2129,773,4055,207,0.0389328,0.00818705
2225,667,2556,1025,0.118469,0.00649205
2241,605,1691,3093,0.191431,0.00327435
2337,982,53,2156,0.00909304,0.00559297
2785,992,371,378,0.0091481,0.004698
2865,784,88,1250,0.00695244,0.00956895
2929,757,1761,205,0.016549,0.00991353
3041,549,91,751,0.00303263,0.0127255
3105,585,77,94,0.000340286,0.145971
3121,919,657,71,0.00318755,0.0118835
3233,675,1503,216,0.013452,0.0125173
3329,921,3012,79,0.014233,0.00520026
3345,1004,1197,167,0.0121138,0.00330302
3457,817,76,2290,0.0111075,0.0186651
3793,531,1943,277,0.0174538,0.0062892
3921,594,275,2130,0.024351,0.00979012
4113,762,340,2247,0.0387135,0.00322019
4305,700,181,118,0.00124153,0.0298481
4353,976,1840,1703,0.177696,0.00731102
4369,988,1478,579,0.0537498,0.00177644
4465,837,94,1533,0.00982693,0.00678236
4529,1007,97,634,0.00537689,0.00472485
4721,701,405,347,0.00777608,0.00393003
4737,820,383,2400,0.0508098,0.0243224
4897,966,2905,771,0.12505,0.00549721
5089,609,41,344,0.000853893,0.0579
5265,931,1866,693,0.0756433,0.00478888
5313,760,2068,111,0.0108071,0.00915412
5425,986,42,63,0.00023224,0.113016
5537,835,278,184,0.00309131,0.00925706
5585,775,469,2548,0.0601897,0.00535053
5601,539,1091,2146,0.0777989,0.00101721
5761,641,37,614,0.00146421,0.0324149
5825,675,290,72,0.00113909,0.0341093
5985,808,1721,181,0.014769,0.00983408
6129,577,143,101,0.000768324,0.0498296
6385,620,3448,241,0.0299311,0.0014462
6561,556,3334,37,0.00536539,0.016674
6625,941,184,418,0.00509292,0.00398886
6673,904,1818,443,0.0480621,0.00922228
6721,856,1101,3821,0.207101,0.00310514
7121,636,627,174,0.00456443,0.0116396
7185,714,795,2519,0.0877755,0.0100003
7201,1020,648,89,0.00398182,0.00959428
7249,527,1744,1432,0.0801719,0.00402903
7313,910,310,115,0.0024095,0.0177093
7521,568,534,229,0.00435597,0.00587497
7601,760,2365,953,0.104452,0.0392731
7665,965,2185,111,0.0149723,0.0240135
7761,799,1583,115,0.0096664,0.0197226
7777,534,599,94,0.00221108,0.0175437
7953,674,1758,883,0.0613297,0.00563379
7969,952,1560,251,0.021477,0.00964267
8049,639,1180,54,0.00329741,0.0261767
8113,915,846,94,0.00497158,0.00964715
8145,715,47,200,0.000633643,0.0621513
8401,945,449,38,0.00139851,0.046086
8417,752,170,41,0.00049687,0.0847618
8561,988,113,86,0.00096914,0.0019704
8769,609,245,53,0.000787265,0.0459551
9153,627,3037,3495,0.392582,0.00266328
9201,733,354,54,0.00128196,0.0421677
9249,669,199,543,0.00593775,0.00994997
9313,926,47,369,0.00145014,0.045384
9361,939,57,2200,0.00927973,0.0155786
9409,645,585,2357,0.0578687,0.00674018
9457,762,1356,33,0.0027345,0.0183947
9489,519,36,1418,0.00266086,0.0150364
9537,524,751,3406,0.0843177,0.00195885
9601,527,1696,178,0.0102406,0.00508092
10049,888,2768,85,0.0130342,0.00356479
10145,614,1222,73,0.00385111,0.0095963
10273,973,381,2008,0.0469258,0.00760403
10305,757,801,1997,0.0735255,0.00180669
10401,780,1712,355,0.0327448,0.00213863
10433,670,1387,68,0.00467672,0.0228045
10449,626,41,868,0.00206507,0.0157786
10465,954,1381,3145,0.237327,0.00216483
10513,702,301,299,0.00440783,0.0062415
10577,690,75,765,0.00328876,0.0440535
10737,557,2096,127,0.00951583,0.00378759
10977,817,43,137,0.000461528,0.0882437
11073,845,3470,414,0.0742852,0.0249536
11089,879,758,1864,0.0773632,0.0263626
11137,550,33,47,7.61315e-05,0.185154
11201,616,58,420,0.00130856,0.0510267
11489,538,216,49,0.00057207,0.075718
11521,843,104,257,0.00201,0.00262359
11537,778,2479,351,0.0475291,0.0106011
11585,866,2985,233,0.0347958,0.00955121
11793,799,1707,325,0.0265726,0.0115241
12033,985,109,380,0.00383444,0.0074708
12177,736,703,172,0.00564409,0.00879725
12193,622,1039,2852,0.11154,0.00485529
12401,818,1210,1284,0.0744812,0.00463161
12433,635,2251,117,0.0108945,0.00520548
12465,708,2417,3546,0.347574,0.00255295
12497,785,109,122,0.0009558,0.0222301
12641,771,2438,44,0.00628524,0.0429966
12785,615,84,307,0.00132544,0.034217
12833,818,2911,2348,0.319513,0.00185859
12913,526,344,68,0.00103846,0.0217802
12929,774,64,39,0.000157229,0.109666
12961,728,390,62,0.00151317,0.0291795
12977,767,154,68,0.00076203,0.0568479
12993,561,2507,1449,0.120207,0.00709201
13169,829,180,33,0.000511105,0.0959438
13249,926,1139,523,0.0368637,0.00611988
13393,543,883,201,0.00650847,0.0285013
13425,630,84,1195,0.00612217,0.00919807
13521,515,453,372,0.00638602,0.00988755
13569,637,274,59,0.000942762,0.0284657
13761,712,98,3279,0.0192418,0.00198516
13857,522,478,444,0.00744911,0.0226667
13873,527,61,1205,0.00317251,0.0197051
14065,960,35,422,0.0013997,0.0209125
14097,770,545,76,0.00232404,0.0198195
14241,818,2051,83,0.00919691,0.0170189
14401,632,209,2058,0.0195716,0.0110264
14561,789,157,106,0.00121478,0.030677
14577,516,73,36,0.000120754,0.178314
14881,577,1488,582,0.0298456,0.0077201
14897,620,1650,59,0.00476291,0.00585366
14913,540,39,178,0.000367732,0.0665693
14945,796,878,598,0.0248598,0.00998859
15153,743,48,75,0.00022615,0.123078
15297,674,34,1052,0.00238792,0.0201754
15409,526,743,156,0.00408391,0.000530392
15649,849,935,88,0.00464791,0.0124276
