m,n,k,avg,std
2304,3144,3118,2095,1.1379,0.000483625
2320,2844,712,2216,0.259634,0.00700626
2336,498,3225,2148,0.204249,0.00551692
2352,2874,3752,2866,1.695,0.00178239
2368,3596,313,803,0.0570459,0.00917756
2384,736,1368,1566,0.0914606,0.00768148
2400,213,2576,2878,0.103191,0.00221123
2416,1476,288,519,0.0155347,0.0236981
2432,2241,58,4090,0.0469657,0.00848418
2448,3200,3635,3052,1.99396,0.00161706
2464,4087,3785,2457,2.15093,0.00203554
2480,2908,464,1484,0.120263,0.0108595
2496,3796,846,1404,0.264106,0.00538035
2512,2394,2310,3323,1.02266,0.00271328
2528,2284,3779,2077,1.00429,0.00115166
2544,2139,3049,642,0.233569,0.00605976
2560,2180,1684,1299,0.267312,0.00427301
2576,258,3938,1814,0.117269,0.00950522
2592,2587,3110,3222,1.47573,0.00548637
2608,1588,3499,500,0.163393,0.0253712
2624,496,1059,1469,0.0484888,0.027199
2640,406,2020,4054,0.208435,0.009943
2656,681,3904,3136,0.488505,0.00864686
2672,3003,968,3043,0.513432,0.00394268
2688,1199,1423,941,0.0944907,0.00977064
2704,2456,4022,1199,0.655662,0.00352574
2720,461,1577,3380,0.15403,0.00632302
2736,3297,1592,3175,0.935693,0.00221562
2752,3400,2482,3443,1.60876,0.00189881
2768,2718,691,3874,0.435445,0.00475052
2784,2099,2195,521,0.153582,0.0093975
2800,2607,3402,843,0.420021,0.00531673
2816,1716,3251,3506,1.09532,0.000836807
2832,3427,3005,1622,0.919541,0.00201428
2848,1482,1718,4027,0.58002,0.00379007
2864,1465,1289,1543,0.167557,0.006848
2880,3053,113,1131,0.0310302,0.00704386
2896,1497,1671,183,0.0268864,0.00964135
2912,1753,137,3955,0.0751,0.00950394
2928,3390,381,1602,0.126624,0.00830994
2944,2527,69,2051,0.0320273,0.00118696
2960,1019,312,682,0.0155054,0.0194471
2976,1516,98,1434,0.0180885,0.0226252
2992,390,2972,4045,0.290729,0.00456736
3008,3364,3596,2443,1.62833,0.002866
3024,3180,4075,3756,2.69276,0.000699505
3040,1677,3080,3674,1.09854,0.0153616
3056,3230,2661,370,0.181128,0.00942665
3072,363,977,1347,0.0316825,0.0159579
