nx,ny,nz,nmom,nang,ng,ichunk,node,ppn,thread,solve
0,8,32,32,2,511,8,2,1,32,2,3.197500
0,8,32,32,1,63,26,4,1,32,2,1.695000
0,8,32,32,1,63,11,8,1,32,2,0.724970
0,8,32,32,2,32,39,2,1,32,2,2.822600
0,8,32,32,4,127,86,2,1,32,2,25.387000
0,8,32,32,2,1023,11,4,1,32,2,8.892400
0,8,32,32,4,127,57,8,1,32,2,12.232000
0,8,32,32,1,63,26,8,1,32,2,1.472500
0,8,32,32,4,32,86,4,1,32,2,9.185700
0,8,32,32,2,127,39,1,1,32,2,7.424500
0,8,32,32,4,63,11,1,1,32,2,1.962900
0,8,32,32,1,256,26,1,1,32,2,6.002900
0,8,32,32,4,127,86,8,1,32,2,22.166000
0,8,32,32,3,127,39,8,1,32,2,6.054800
0,8,32,32,2,256,17,1,1,32,2,4.587900
0,8,32,32,2,127,8,1,1,32,2,1.360700
0,8,32,32,1,63,39,1,1,32,2,4.488300
0,8,32,32,3,32,57,4,1,32,2,4.063700
0,8,32,32,3,63,8,8,1,32,2,0.811410
0,8,32,32,3,127,86,1,1,32,2,23.543000
0,8,32,32,3,63,26,4,1,32,2,2.550600
0,8,32,32,1,127,39,8,1,32,2,4.066800
0,8,32,32,3,63,39,2,1,32,2,5.084900
0,8,32,32,2,127,86,4,1,32,2,14.745000
0,8,32,32,3,127,8,4,1,32,2,1.302600
0,8,32,32,2,32,57,8,1,32,2,2.817800
0,8,32,32,4,63,8,2,1,32,2,1.128600
0,8,32,32,3,127,26,8,1,32,2,3.832400
0,8,32,32,4,256,39,1,1,32,4,14.305000
0,8,32,32,1,127,26,4,1,32,4,2.535900
0,8,32,32,3,256,17,8,1,32,4,5.405700
0,8,32,32,2,32,128,2,1,32,4,10.125000
0,8,32,32,3,256,39,1,1,32,4,11.273000
0,8,32,32,4,32,17,1,1,32,4,1.691100
0,8,32,32,1,63,39,1,1,32,4,4.169000
0,8,32,32,1,63,26,2,1,32,4,1.875100
0,8,32,32,3,127,17,4,1,32,4,2.890600
0,8,32,32,1,127,57,2,1,32,4,6.688000
0,8,32,32,4,256,17,4,1,32,4,6.445100
0,8,32,32,2,127,17,4,1,32,4,2.277000
0,8,32,32,3,63,11,4,1,32,4,1.192500
0,8,32,32,2,127,11,8,1,32,4,1.697300
0,8,32,32,2,63,11,2,1,32,4,1.058900
0,8,32,32,4,256,17,1,1,32,4,6.739500
0,8,32,32,1,63,17,8,1,32,4,1.160500
0,8,32,32,3,1023,11,1,1,32,4,11.522000
0,8,32,32,3,127,8,4,1,32,4,1.383800
0,8,32,32,2,63,39,8,1,32,4,3.028100
0,8,32,32,3,32,26,8,1,32,4,1.469100
0,8,32,32,4,2047,8,2,1,32,4,20.592000
0,8,32,32,4,511,17,8,1,32,4,13.683000
0,8,32,32,2,127,57,2,1,32,4,8.279600
0,8,32,32,1,32,39,1,1,32,4,3.164100
0,8,32,32,3,256,26,1,1,32,4,7.405100
0,8,32,32,3,63,57,1,1,32,4,7.673700
0,8,32,32,4,127,86,2,1,32,4,22.388000
0,8,32,32,4,127,8,8,1,32,4,2.132700
0,8,32,32,1,63,26,2,1,32,4,1.875100
0,8,32,32,4,63,8,4,1,32,4,1.074400
0,8,32,32,3,32,11,1,1,32,4,0.960940
0,8,32,32,3,63,11,1,1,32,4,1.434800
0,8,32,32,2,127,57,2,1,32,4,8.279600
0,8,32,32,1,256,8,4,1,32,4,1.569900
0,8,32,32,1,32,11,4,1,32,4,0.516410
0,8,32,32,3,127,39,8,1,32,4,6.075800
0,8,32,32,2,127,17,8,1,32,4,2.348600
0,8,32,32,1,63,26,1,1,32,4,2.672300
0,8,32,32,2,127,86,1,1,32,4,17.133000
0,8,32,32,1,63,57,8,1,32,4,3.196500
0,8,32,32,1,127,11,2,1,32,4,1.299000
0,8,32,32,2,63,8,1,1,32,4,0.904140
0,8,32,32,3,63,17,2,1,32,4,1.942500
0,8,32,32,1,511,11,4,1,32,4,3.882900
0,8,32,32,3,256,17,8,1,32,4,5.405700
0,8,32,32,4,256,57,2,1,32,4,21.216000
0,8,32,32,4,127,57,8,1,32,4,12.546000
0,8,32,32,1,1023,11,1,1,32,4,7.389300
0,8,32,32,4,63,57,1,1,32,4,9.178600
0,8,32,32,2,256,8,4,1,32,4,1.910700
0,8,32,32,4,63,39,4,1,32,4,4.811600
0,8,32,32,4,32,39,8,1,32,4,2.882100
0,8,32,32,1,32,17,1,1,32,4,1.379300
0,8,32,32,1,32,26,4,1,32,4,1.066100
0,8,32,32,3,32,39,1,1,32,4,3.457000
0,8,32,32,4,63,128,1,1,32,4,25.291000
0,8,32,32,2,511,11,2,1,32,4,4.853900
0,8,32,32,4,127,17,4,1,32,4,3.799000
0,8,32,32,2,1023,8,8,1,32,4,7.560100
0,8,32,32,4,32,26,8,1,32,4,1.919400
0,8,32,32,3,63,8,8,1,32,4,0.927830
0,8,32,32,1,256,11,4,1,32,4,2.253700
0,8,32,32,2,63,128,8,1,32,4,11.285000
0,8,32,32,3,256,39,4,1,32,4,10.380000
0,8,32,32,1,32,128,1,1,32,4,12.244000
0,8,32,32,2,1023,11,4,1,32,4,9.464000
0,8,32,32,1,32,26,1,1,32,4,1.970600
0,8,32,32,3,127,17,2,1,32,4,2.952000
0,8,32,32,1,127,11,1,1,32,4,1.574800
0,8,32,32,2,256,11,1,1,32,4,2.810000
0,8,32,32,4,63,86,8,1,32,4,12.666000
0,8,32,32,4,1023,11,4,1,32,4,16.495000
0,8,32,32,4,32,8,2,1,32,4,0.591500
0,8,32,32,2,32,8,2,1,32,4,0.461340
0,8,32,32,4,32,39,2,1,32,4,3.303900
0,8,32,32,1,127,39,2,1,32,4,4.911600
0,8,32,32,4,1023,11,1,1,32,4,15.204000
0,8,32,32,2,32,17,4,1,32,4,0.904200
0,8,32,32,4,32,86,4,1,32,4,8.216200
0,8,32,32,2,63,57,2,1,32,4,5.751100
0,8,32,32,4,256,39,8,1,32,4,14.066000
0,8,32,32,1,63,86,1,1,32,4,11.340000
0,8,32,32,3,63,8,8,1,32,4,0.927830
0,8,32,32,1,63,128,2,1,32,4,11.531000
0,8,32,32,4,256,39,2,1,32,4,13.620000
0,8,32,32,3,32,128,2,1,32,4,12.723000
0,8,32,32,1,256,26,4,1,32,4,4.498200
0,8,32,32,1,127,39,8,1,32,4,4.172300
0,8,32,32,3,32,128,2,1,32,4,12.723000
0,8,32,32,4,32,39,4,1,32,4,3.016300
0,8,32,32,1,32,86,4,1,32,4,3.936800
0,8,32,32,3,511,17,2,1,32,4,9.344100
0,8,32,32,2,32,86,1,1,32,4,8.821000
0,8,32,32,4,63,128,8,1,32,4,19.760000
0,8,32,32,2,256,11,8,1,32,4,2.973700
0,8,32,32,2,256,17,8,1,32,4,3.989100
0,8,32,32,3,63,57,2,1,32,4,6.285700
0,8,32,32,1,256,26,2,1,32,4,4.695800
0,8,32,32,2,127,26,1,1,32,4,4.317000
0,8,32,32,2,32,128,2,1,32,4,10.125000
0,8,32,32,3,127,86,1,1,32,4,20.179000
0,8,32,32,2,127,11,1,1,32,4,1.783600
0,8,32,32,3,511,17,2,1,32,4,9.344100
0,8,32,32,1,32,11,8,1,32,4,0.491940
0,8,32,32,1,32,8,1,1,32,4,0.545020
0,8,32,32,2,63,39,4,1,32,4,3.195400
0,8,32,32,3,256,39,8,1,32,4,10.617000
0,8,32,32,2,127,17,4,1,32,4,2.277000
0,8,32,32,4,256,17,1,1,64,1,5.192100
0,8,32,32,1,32,57,2,1,64,1,2.707600
0,8,32,32,1,32,26,4,1,64,1,0.917310
0,8,32,32,2,1023,26,4,1,64,1,14.346000
0,8,32,32,3,127,39,8,1,64,1,4.349700
0,8,32,32,3,63,39,8,1,64,1,2.785800
0,8,32,32,3,256,39,1,1,64,1,10.596000
0,8,32,32,4,32,57,4,1,64,1,3.714000
0,8,32,32,2,2047,11,1,1,64,1,13.706000
0,8,32,32,1,63,86,2,1,64,1,7.100400
0,8,32,32,1,4096,8,4,1,64,1,16.818000
0,8,32,32,1,1023,11,8,1,64,1,5.375800
0,8,32,32,4,63,11,1,1,64,1,1.441600
0,8,32,32,3,63,128,1,1,64,1,19.616000
0,8,32,32,4,32,11,1,1,64,1,0.886300
0,8,32,32,2,256,8,2,1,64,1,1.501000
0,8,32,32,3,511,57,8,1,64,1,22.090000
0,8,32,32,3,32,57,4,1,64,1,3.032600
0,8,32,32,1,32,17,2,1,64,1,0.771270
0,8,32,32,1,32,17,8,1,64,1,0.496660
0,8,32,32,2,256,17,8,1,64,1,2.698800
