2 1 3 3 2 0 2 1.0269
2 0 1 2 2 1 0 0.27839
1 0 3 3 0 1 0 0.91914
2 6 2 3 3 0 1 7.2016
3 4 0 2 2 1 0 1.3876
1 3 0 0 2 0 1 0.9652
1 6 7 0 4 0 2 43.063
3 2 4 1 3 1 0 2.2062
0 6 0 1 4 1 1 1.5439
0 5 5 2 3 0 1 8.5324
0 1 6 1 2 1 0 3.8366
1 3 0 1 1 1 1 0.93999
1 7 0 1 3 0 1 5.3668
2 0 3 3 0 0 2 1.4691
2 0 5 3 2 0 2 1.3077
1 1 7 3 4 1 0 2.5032
2 1 4 2 3 0 2 1.2449
1 5 2 1 3 0 1 3.0878
3 6 1 3 4 1 0 3.6607
0 3 3 0 0 0 1 6.0029
3 4 6 2 1 1 0 29.583
0 1 4 0 0 0 1 4.4883
0 0 0 0 2 1 0 0.29614
3 7 4 0 4 1 1 19.555
0 1 1 0 2 1 1 0.71157
3 2 3 2 1 1 0 2.4293
0 6 5 3 2 1 1 20.117
2 2 5 2 2 1 0 3.0634
1 2 4 3 4 0 2 1.223
1 4 1 3 1 1 0 2.2381
1 0 2 0 4 0 1 0.8381
3 0 5 1 0 1 0 4.3311
1 4 2 0 4 1 1 1.5748
1 5 2 1 4 0 2 2.6487
0 0 5 1 1 0 1 2.3505
1 1 4 2 2 1 0 1.2568
1 0 2 2 1 0 1 0.61075
0 0 5 3 2 1 1 0.88869
3 1 4 2 1 1 0 2.4148
2 4 5 1 1 1 1 13.26
1 6 5 2 3 0 1 18.493
2 4 5 1 3 1 0 6.6026
1 7 3 3 3 1 1 13.631
3 7 1 1 4 1 0 5.8501
0 1 6 1 0 1 0 7.1004
0 2 3 0 4 1 0 1.1847
1 2 1 1 3 0 2 0.69529
2 3 7 3 2 1 0 11.379
2 7 1 0 4 0 2 6.7225
2 3 2 0 1 1 1 2.8768
2 0 0 2 4 1 0 0.1535
3 5 2 1 3 0 2 4.6589
0 0 0 2 4 0 2 0.29313
3 4 5 3 2 0 2 12.982
2 0 3 0 1 0 1 1.5413
1 2 0 1 3 0 1 0.37797
0 2 2 0 0 1 0 2.2113
0 2 1 2 3 1 0 0.38481
2 5 4 1 3 1 1 6.5571
3 6 3 3 2 0 2 25.291
2 1 6 0 1 0 2 10.572
1 4 7 2 3 1 1 11.799
1 1 4 2 0 1 0 2.7572
1 1 7 2 4 1 0 2.6666
0 4 7 2 3 1 0 11.188
2 4 2 2 0 1 0 6.3836
3 6 7 1 4 0 1 51.681
0 2 0 1 2 0 1 0.48943
3 3 0 3 3 0 1 0.84531
3 5 4 2 4 1 0 4.9168
0 0 4 0 0 0 2 3.1641
3 1 1 2 2 1 0 0.44237
1 4 3 2 1 0 1 5.9603
2 2 2 2 2 1 0 0.87985
0 0 2 3 4 1 0 0.23538
1 5 0 2 1 0 1 3.7352
