nnodes,ppn,nthreads,nbodies,dist,ncrit,level,order,Initialize_bodies,Partition,Precalculation,Build_tree,P2M_&_M2M,Local_essential_tree,M2L_&_P2P,L2L_&_L2P,Total_FMM
0,1,1,1,3250,cube,44,3,5,0.000886,0.002289,4e-06,0.003522,0.051323,0.188099,0.857235,0.008008,1.11175
0,1,1,1,2390,cube,86,3,7,0.000776,0.002004,4e-06,0.001372,0.050329,0.032446,0.476206,0.008063,0.571526
0,1,1,1,8192,cube,58,2,2,0.001826,0.005357,7e-06,0.005913,0.052035,0.045027,0.280216,0.00864,0.398435
0,1,1,1,696,cube,86,0,4,0.00034,0.000961,3e-06,0.000484,0.041093,0.002075,0.056181,0.001178,0.102952
0,1,1,1,696,cube,128,1,3,0.000534,0.001178,5e-06,0.000398,0.044826,0.001672,0.036381,0.000891,0.086359
0,1,1,1,696,cube,128,4,8,0.00043,0.001201,5e-06,0.000491,0.046014,0.029218,0.162815,0.002478,0.243169
0,1,1,1,2390,cube,58,1,0,0.000762,0.001745,3e-06,0.001009,0.04583,0.006204,0.063182,0.001878,0.120902
0,1,1,1,948,cube,44,0,0,0.000443,0.001,3e-06,0.000456,0.046985,0.002774,0.026234,0.000843,0.079184
0,1,1,1,3250,cube,58,1,5,0.000867,0.002153,4e-06,0.002109,0.050833,0.008798,0.317388,0.006568,0.389023
0,1,1,1,2390,cube,128,2,7,0.000963,0.002371,7e-06,0.001732,0.050695,0.008929,0.455758,0.007066,0.527678
0,1,1,1,2390,cube,72,2,8,0.000719,0.001715,3e-06,0.001439,0.050008,0.009454,0.669222,0.008851,0.74172
0,1,1,1,3250,cube,128,3,0,0.000839,0.00237,5e-06,0.001392,0.046515,0.03405,0.09884,0.002468,0.186737
0,1,1,1,8192,cube,44,0,3,0.001842,0.004433,6e-06,0.006001,0.052817,0.02113,0.418468,0.010841,0.514939
0,1,1,1,3250,cube,86,4,1,0.000865,0.002539,5e-06,0.001472,0.047057,0.230895,0.100673,0.002751,0.386371
0,1,1,1,1290,cube,18,0,3,0.000593,0.001313,5e-06,0.001872,0.045271,0.007798,0.211223,0.002617,0.271205
0,1,1,1,8192,cube,100,3,5,0.001832,0.005841,6e-06,0.006621,0.059174,0.233572,1.14628,0.016972,1.46972
0,1,1,1,512,cube,86,4,1,0.000355,0.001029,3e-06,0.000236,0.045172,0.028249,0.018853,0.00047,0.094792
0,1,1,1,1290,cube,30,4,6,0.000524,0.001604,7e-06,0.000942,0.049168,0.225142,0.271768,0.003478,0.553255
0,1,1,1,1756,cube,58,0,0,0.000577,0.001396,3e-06,0.000775,0.044817,0.004324,0.044092,0.001415,0.097861
0,1,1,1,696,cube,72,2,0,0.000341,0.00099,3e-06,0.000514,0.04075,0.005602,0.022546,0.000647,0.072035
0,1,1,1,3250,cube,100,4,6,0.000884,0.002578,5e-06,0.001682,0.050337,0.226747,0.335612,0.007496,0.625623
0,1,1,1,6020,cube,86,3,0,0.001667,0.004705,7e-06,0.003684,0.049134,0.193163,0.170482,0.004916,0.427296
0,1,1,1,3250,cube,72,3,4,0.000951,0.002485,6e-06,0.001693,0.04949,0.032963,0.163978,0.00485,0.256597
0,1,1,1,8192,cube,30,3,4,0.002203,0.006552,7e-06,0.006967,0.058047,0.237363,0.699183,0.013545,1.02297
0,1,1,1,8192,cube,30,0,3,0.002081,0.004859,7e-06,0.006258,0.054818,0.021426,0.41849,0.010715,0.517853
0,1,1,1,1290,cube,114,4,0,0.000519,0.001576,6e-06,0.000638,0.047712,0.225214,0.03295,0.001089,0.310256
0,1,1,1,6020,cube,58,1,6,0.001783,0.004439,5e-06,0.006708,0.056269,0.02683,1.94288,0.017502,2.05586
0,1,1,1,1290,cube,4,0,3,0.000556,0.001314,5e-06,0.003235,0.048232,0.013398,0.384049,0.003271,0.45472
0,1,1,1,1756,cube,4,0,2,0.000781,0.001744,7e-06,0.004173,0.048924,0.017254,0.295462,0.003489,0.37228
0,1,1,1,2390,cube,4,1,5,0.000789,0.001918,5e-06,0.00846,0.055435,0.048685,2.46833,0.013219,2.59732
0,1,1,1,1290,cube,86,4,3,0.000516,0.001463,5e-06,0.000741,0.046451,0.223834,0.059621,0.001708,0.33486
0,1,1,1,8192,cube,114,1,7,0.001841,0.004807,6e-06,0.007226,0.064102,0.029757,2.59078,0.027377,2.72522
0,1,1,1,6020,cube,30,2,5,0.001473,0.003955,6e-06,0.005345,0.054216,0.047029,1.1504,0.013297,1.27547
0,1,1,1,6020,cube,18,3,1,0.001546,0.004687,7e-06,0.004991,0.051711,0.288198,0.221047,0.00596,0.577764
0,1,1,1,3250,cube,86,3,7,0.000877,0.002449,5e-06,0.001709,0.052311,0.03415,0.490901,0.009427,0.592152
0,1,1,1,512,cube,44,1,8,0.000449,0.000962,4e-06,0.000875,0.04626,0.004247,0.620203,0.003159,0.67669
0,1,1,1,3250,cube,18,2,3,0.000992,0.002469,6e-06,0.003497,0.049281,0.038764,0.353016,0.005034,0.453295
0,1,1,1,1290,cube,44,3,2,0.000575,0.001527,5e-06,0.000754,0.046986,0.029817,0.041014,0.001389,0.122589
0,1,1,1,3250,cube,72,1,0,0.001128,0.002786,6e-06,0.001761,0.047742,0.0076,0.098525,0.002486,0.162042
0,1,1,1,948,cube,72,0,4,0.000387,0.001022,3e-06,0.000645,0.04727,0.003289,0.092601,0.001688,0.147499
0,1,1,1,512,cube,114,1,7,0.000386,0.0009,5e-06,0.000369,0.046835,0.001571,0.098083,0.001505,0.150291
0,1,1,1,6020,cube,128,1,0,0.001611,0.004106,6e-06,0.00281,0.047785,0.013321,0.288674,0.004548,0.362373
0,1,1,1,6020,cube,128,2,2,0.001353,0.003804,6e-06,0.002783,0.050573,0.013902,0.294799,0.006099,0.373288
0,1,1,1,3250,cube,4,0,8,0.000954,0.002591,6e-06,0.018529,0.088664,0.101097,14.6311,0.055563,14.8988
0,1,1,1,3250,cube,44,3,8,0.001112,0.003098,7e-06,0.005324,0.0555,0.199083,3.53682,0.018948,3.81997
0,1,1,1,512,cube,44,1,0,0.000516,0.000995,6e-06,0.000401,0.0446,0.002251,0.020643,0.000536,0.07051
0,1,1,1,1290,cube,44,1,2,0.00073,0.001522,7e-06,0.00088,0.047139,0.003499,0.041958,0.001389,0.097492
0,1,1,1,1290,cube,18,0,2,0.000526,0.001267,3e-06,0.00161,0.047015,0.006966,0.123763,0.001919,0.183555
0,1,1,1,4424,cube,128,4,2,0.001158,0.003229,7e-06,0.002088,0.048843,0.228187,0.171998,0.00431,0.459868
0,1,1,1,512,cube,128,2,8,0.00032,0.000846,3e-06,0.000276,0.045173,0.001829,0.140867,0.001838,0.191721
0,1,1,1,948,cube,4,2,1,0.000465,0.001148,3e-06,0.001855,0.046487,0.034253,0.128093,0.001599,0.214498
0,1,1,1,4424,cube,30,4,7,0.001285,0.004149,7e-06,0.006405,0.059107,1.84284,3.19035,0.019512,5.12346
0,1,1,1,4424,cube,72,2,8,0.001161,0.003286,6e-06,0.00418,0.056572,0.028281,1.73213,0.018567,1.84421
0,1,1,1,696,cube,86,3,0,0.000434,0.001277,4e-06,0.000301,0.045359,0.017215,0.021239,0.000635,0.086952
0,1,1,1,3250,cube,128,3,1,0.000869,0.002482,5e-06,0.001608,0.046188,0.033431,0.100212,0.002857,0.187886
0,1,1,1,948,cube,58,0,0,0.000425,0.001032,4e-06,0.000484,0.048683,0.002762,0.026841,0.000816,0.081633
0,1,1,1,2390,cube,58,1,3,0.000725,0.001688,3e-06,0.00125,0.047878,0.005127,0.09001,0.002944,0.14997
0,1,1,1,4424,cube,128,2,8,0.001196,0.003102,7e-06,0.002601,0.055529,0.012561,0.768688,0.015296,0.85896
0,1,1,1,1290,cube,114,0,4,0.000512,0.001166,3e-06,0.000743,0.046039,0.003503,0.098603,0.002111,0.153175
0,1,1,1,6020,cube,58,3,8,0.001408,0.004292,7e-06,0.007005,0.068006,0.251888,4.69303,0.029674,5.05513
0,1,1,1,2390,cube,128,1,3,0.000799,0.002224,5e-06,0.001409,0.048882,0.005148,0.090264,0.002946,0.151971
0,1,1,1,8192,cube,4,4,7,0.001866,0.005951,6e-06,0.031465,0.112555,15.3443,21.9875,0.081871,37.565
0,1,1,1,1756,cube,18,2,0,0.000577,0.001547,3e-06,0.001465,0.048299,0.031835,0.127828,0.002073,0.214133
0,1,1,1,8192,cube,128,3,2,0.001842,0.00568,7e-06,0.004665,0.053297,0.134682,0.313046,0.008303,0.520939
0,1,1,1,1756,cube,30,2,1,0.000733,0.001861,6e-06,0.001537,0.047253,0.016295,0.066363,0.001795,0.136348
0,1,1,1,4424,cube,18,3,7,0.001138,0.003214,5e-06,0.005645,0.059722,0.243187,3.08379,0.018916,3.41572
0,1,1,1,696,cube,86,0,3,0.000605,0.001188,7e-06,0.000532,0.049494,0.002092,0.036628,0.000956,0.092036
0,1,1,1,696,cube,114,2,6,0.00041,0.001161,6e-06,0.000408,0.047281,0.002072,0.08083,0.001612,0.134479
0,1,1,1,1290,cube,30,2,4,0.000521,0.001218,3e-06,0.000663,0.047792,0.006588,0.098146,0.002183,0.157671
0,1,1,1,3250,cube,44,4,5,0.000991,0.003052,6e-06,0.003841,0.051063,1.44531,0.856175,0.00802,2.36858
0,1,1,1,948,cube,128,2,0,0.000515,0.001205,5e-06,0.000467,0.046167,0.003026,0.046257,0.000787,0.09898
0,1,1,1,4424,cube,128,3,1,0.001409,0.00393,7e-06,0.002502,0.04775,0.034133,0.164962,0.003873,0.258294
0,1,1,1,4424,cube,86,2,2,0.001173,0.002919,6e-06,0.002039,0.049711,0.010704,0.170449,0.004307,0.241272
0,1,1,1,1290,cube,100,0,4,0.000488,0.001173,3e-06,0.000719,0.047122,0.003452,0.100957,0.002172,0.156566
0,1,1,1,4424,cube,100,4,8,0.001074,0.00325,5e-06,0.002351,0.057093,0.230733,0.766366,0.015382,1.07638
0,1,1,1,3250,cube,114,4,8,0.001093,0.003281,7e-06,0.002124,0.054356,0.228887,0.724915,0.011767,1.02653
0,1,1,1,1756,cube,86,1,1,0.00064,0.001643,5e-06,0.00092,0.048144,0.004127,0.044872,0.001573,0.10234
0,1,1,1,512,cube,114,4,2,0.000314,0.000952,4e-06,0.000255,0.045517,0.028349,0.020739,0.000581,0.09732
0,1,1,1,1756,cube,58,3,0,0.000607,0.001571,4e-06,0.000725,0.045804,0.032136,0.043181,0.001425,0.125901
0,1,1,1,4424,cube,114,2,8,0.001148,0.00289,5e-06,0.002387,0.057414,0.012519,0.769366,0.015992,0.861814
0,1,1,1,4424,cube,44,3,0,0.00113,0.00338,7e-06,0.003052,0.048284,0.22816,0.162888,0.003912,0.450866
0,1,1,1,2390,cube,128,3,8,0.000765,0.001919,5e-06,0.001458,0.051439,0.03307,0.668543,0.008867,0.766472
0,1,1,1,948,cube,86,3,7,0.000437,0.001094,3e-06,0.000778,0.048568,0.030739,0.419493,0.003427,0.505044
0,1,1,1,2390,cube,114,0,4,0.000724,0.001656,4e-06,0.001169,0.048864,0.004885,0.130963,0.003631,0.1923
0,1,1,1,1290,cube,30,3,2,0.000481,0.001387,4e-06,0.000761,0.04566,0.030151,0.041108,0.001415,0.121472
0,1,1,1,1290,cube,44,4,5,0.000701,0.0019,7e-06,0.000909,0.049478,0.226229,0.162632,0.002664,0.44495
0,1,1,1,512,cube,30,4,7,0.000367,0.001011,3e-06,0.000724,0.046692,0.223378,0.413655,0.002278,0.688757
0,1,1,1,4424,cube,86,0,8,0.001403,0.003187,7e-06,0.002762,0.057575,0.009098,0.769322,0.015735,0.859003
0,1,1,1,2390,cube,100,2,6,0.000689,0.001776,4e-06,0.001336,0.050803,0.008634,0.301327,0.005686,0.3706
0,1,1,1,1290,cube,4,4,1,0.000498,0.001616,5e-06,0.002465,0.048356,2.40867,0.166338,0.002211,2.63077
0,1,1,1,512,cube,128,4,2,0.000362,0.001038,3e-06,0.000234,0.04717,0.028346,0.020229,0.000555,0.098488
0,1,1,1,3250,cube,72,1,4,0.001099,0.002696,6e-06,0.001927,0.050453,0.006428,0.164665,0.005101,0.232429
0,1,1,2,2390,cube,72,3,4,0.00077,0.003783,5e-06,0.001237,0.051026,0.03316,0.079012,0.00207,0.171272
0,1,1,2,8192,cube,128,0,6,0.002168,0.004806,8e-06,0.005836,0.057412,0.019858,0.627074,0.011196,0.727488
0,1,1,2,2390,cube,4,2,4,0.000811,0.002,6e-06,0.007348,0.05047,0.109246,0.767713,0.005028,0.943039
0,1,1,2,3250,cube,58,0,5,0.000825,0.0019,5e-06,0.002082,0.050587,0.008011,0.193092,0.003507,0.260284
0,1,1,2,512,cube,44,4,1,0.0004,0.001189,6e-06,0.000514,0.049189,0.236822,0.024309,0.000571,0.313454
0,1,1,2,696,cube,114,3,0,0.000375,0.001029,4e-06,0.000256,0.050935,0.005576,0.033021,0.000571,0.09218
0,1,1,2,948,cube,128,0,3,0.000517,0.001162,5e-06,0.000502,0.050304,0.002132,0.034839,0.000656,0.090623
0,1,1,2,8192,cube,30,2,2,0.001846,0.005334,6e-06,0.005936,0.048053,0.047053,0.170648,0.005002,0.283171
0,1,1,2,948,cube,72,1,1,0.000592,0.001281,6e-06,0.000662,0.047048,0.003186,0.017978,0.00054,0.071849
0,1,1,2,4424,cube,72,0,7,0.001116,0.002586,5e-06,0.003581,0.052727,0.013626,0.710272,0.008082,0.7921
0,1,1,2,948,cube,30,0,0,0.000411,0.001224,6e-06,0.000664,0.047257,0.002607,0.017011,0.000537,0.070246
0,1,1,2,4424,cube,72,0,5,0.001411,0.003183,7e-06,0.003569,0.048969,0.012307,0.289931,0.005028,0.364151
0,1,1,2,4424,cube,114,2,5,0.001592,0.003716,7e-06,0.002635,0.049241,0.011672,0.173653,0.00432,0.246345
0,1,1,2,1756,cube,86,2,2,0.000584,0.001423,4e-06,0.00085,0.046786,0.00744,0.031914,0.001111,0.090458
0,1,1,2,948,cube,44,2,5,0.000407,0.001073,3e-06,0.000665,0.0466,0.006866,0.10182,0.001162,0.159063
0,1,1,2,8192,cube,128,4,1,0.002203,0.006721,7e-06,0.005002,0.048504,1.00641,0.170378,0.004045,1.24229
0,1,1,2,4424,cube,58,4,8,0.00145,0.004112,6e-06,0.006101,0.05639,1.59024,2.23066,0.013024,3.90174
0,1,1,2,4424,cube,100,3,8,0.001058,0.003059,6e-06,0.002386,0.057023,0.037758,0.487556,0.008332,0.597215
0,1,1,2,3250,cube,86,0,4,0.000868,0.001982,6e-06,0.001605,0.051048,0.006373,0.099846,0.002679,0.164521
0,1,1,2,1756,cube,44,3,1,0.000618,0.001547,4e-06,0.000849,0.046379,0.032507,0.02771,0.000884,0.110869
0,1,1,2,3250,cube,4,0,3,0.00089,0.002232,4e-06,0.009149,0.049425,0.042598,0.607083,0.005167,0.716864
0,1,1,2,696,cube,100,1,3,0.000375,0.001014,5e-06,0.000345,0.048667,0.001933,0.038675,0.000891,0.092402
0,1,1,2,1756,cube,18,4,4,0.000674,0.00191,6e-06,0.00291,0.051917,1.67954,0.320503,0.002478,2.06036
0,1,1,2,1290,cube,30,0,7,0.000494,0.001173,4e-06,0.000893,0.048201,0.004403,0.276188,0.002379,0.334182
0,1,1,2,948,cube,4,0,3,0.0005,0.001108,5e-06,0.002389,0.048109,0.009992,0.174905,0.001378,0.239033
0,1,1,2,696,cube,128,0,2,0.000662,0.001241,7e-06,0.000451,0.050756,0.001801,0.034776,0.000737,0.090727
0,1,1,2,8192,cube,44,2,8,0.001984,0.005568,7e-06,0.008628,0.065503,0.059282,2.57186,0.020018,2.73215
0,1,1,2,1756,cube,4,2,0,0.000814,0.00191,6e-06,0.002437,0.046684,0.061415,0.11547,0.001513,0.230588
0,1,1,2,6020,cube,128,0,0,0.001601,0.003653,8e-06,0.002907,0.047487,0.0118,0.156301,0.002432,0.225789
0,1,1,2,696,cube,44,1,1,0.000411,0.001049,3e-06,0.000461,0.045508,0.002762,0.027672,0.000729,0.079107
0,1,1,2,2390,cube,30,0,6,0.000719,0.001675,5e-06,0.003537,0.048414,0.015079,0.864039,0.004849,0.938677
0,1,1,2,696,cube,128,0,0,0.000395,0.00113,5e-06,0.000324,0.048204,0.002031,0.032939,0.000664,0.086195
0,1,1,2,2390,cube,86,1,2,0.00094,0.002308,6e-06,0.001507,0.051197,0.005359,0.042793,0.001336,0.105556
0,1,1,2,948,cube,4,3,4,0.000497,0.00132,5e-06,0.002835,0.048676,0.240928,0.315791,0.002016,0.612633
0,1,1,2,8192,cube,4,1,6,0.002132,0.005557,6e-06,0.028884,0.077237,0.159739,7.3181,0.030734,7.62147
0,1,1,2,948,cube,30,2,8,0.000572,0.00144,7e-06,0.001106,0.04922,0.00789,0.407636,0.002434,0.470734
0,1,1,2,6020,cube,18,4,5,0.001683,0.005312,7e-06,0.006679,0.053027,2.23347,0.732365,0.00767,3.03961
0,1,1,2,512,cube,30,1,1,0.000309,0.000779,3e-06,0.00041,0.043378,0.002516,0.024956,0.000651,0.073656
0,1,1,2,696,cube,72,3,1,0.000398,0.00113,4e-06,0.000479,0.050213,0.030869,0.027112,0.000723,0.111294
0,1,1,2,3250,cube,30,4,6,0.00095,0.002965,6e-06,0.004665,0.053834,1.77145,1.05059,0.006548,2.89113
0,1,1,2,6020,cube,18,0,3,0.001431,0.003314,6e-06,0.005393,0.052765,0.020313,0.248206,0.004631,0.335792
0,1,1,2,948,cube,100,1,6,0.000493,0.00123,5e-06,0.000823,0.047698,0.003745,0.155513,0.00149,0.211482
