m,n,avg,std
42243,124,81,0.000483702,0.0403003
42259,9445,98,0.0283027,0.00886106
42275,1306,75,0.00233793,0.0320535
42291,1049,140,0.00570338,0.00554815
42307,905,194,0.00840441,0.00675834
42323,431,206,0.0045592,0.0280556
42339,1249,1078,0.140974,0.00571187
42355,8163,186,0.0716834,0.00662199
42371,1853,558,0.0831546,0.00653178
42387,83,81,0.000374275,0.0513615
42403,327,247,0.00462481,0.0163631
42419,514,383,0.0158393,0.00722488
42435,5390,340,0.10903,0.00967628
42451,4475,201,0.0391941,0.00863944
42467,6022,118,0.0232629,0.00536394
42483,6681,232,0.0721777,0.00318915
42499,4090,329,0.0921535,0.00674241
42515,514,70,0.000898367,0.0343657
42531,1801,734,0.124881,0.0054866
42547,2590,107,0.00857193,0.0120556
42563,3891,386,0.0958749,0.00882631
42579,4052,94,0.0116491,0.00260638
42595,6635,155,0.039352,0.00563872
42611,350,312,0.00666181,0.0161865
42627,2722,196,0.0231857,0.00985114
42643,133,94,0.000623826,0.0328042
42659,2007,479,0.0730282,0.00977877
42675,14554,119,0.0709992,0.003856
42691,2662,363,0.0612879,0.00952106
42707,1471,549,0.0650139,0.0099142
42723,570,454,0.019568,0.0104735
42739,3638,190,0.0301834,0.00269192
42755,4544,86,0.0103982,0.00851616
42771,162,102,0.000789703,0.0400259
42787,491,140,0.00256573,0.024802
42803,1309,116,0.00517686,0.00152861
42819,204,184,0.00165239,0.0229813
42835,12854,95,0.0485425,0.0279039
42851,2538,184,0.0203045,0.0324302
42867,3569,149,0.0211764,0.0272968
42883,592,158,0.00436288,0.00906097
42899,767,499,0.0304605,0.00532752
42915,2688,399,0.0718272,0.00804043
42931,421,173,0.00324506,0.016974
42947,735,167,0.00570049,0.00926569
42963,23574,72,0.0459152,0.010914
42979,357,340,0.00801612,0.013419
42995,1792,103,0.00559642,0.0061864
43011,3769,249,0.0477686,0.00305504
43027,2066,666,0.120872,0.0122138
43043,4124,106,0.0131082,0.00644034
43059,1670,586,0.0800603,0.00762212
43075,1740,141,0.00949562,0.0177219
43091,716,359,0.0180992,0.0128218
43107,1201,732,0.0819327,0.00438422
43123,12898,124,0.0653609,0.00639389
43139,593,90,0.00157548,0.0428996
43155,965,325,0.0210915,0.00891743
43171,944,180,0.00778497,0.00336791
43187,553,70,0.00083014,0.0410326
43203,2120,86,0.00507742,0.00997926
43219,421,126,0.00205517,0.0360571
43235,683,203,0.00746998,0.00903912
43251,1511,219,0.0174802,0.00956637
43267,2363,188,0.0198881,0.017709
43283,1149,368,0.0280547,0.00664505
43299,118,82,0.0004749,0.0309364
43315,1040,661,0.0587215,0.00989744
43331,2207,495,0.0836027,0.00357991
43347,987,635,0.0552936,0.00530308
43363,2874,498,0.103868,0.00936225
43379,1188,148,0.00709898,0.018419
43395,340,142,0.00190209,0.0225053
43411,996,189,0.00932672,0.0151438
43427,3839,303,0.069422,0.00713181
43443,510,64,0.000695954,0.0374336
43459,2285,638,0.127061,0.00950989
43475,119,118,0.000787122,0.0309824
43491,678,93,0.00192743,0.0261344
43507,2664,156,0.0166201,0.00650307
43523,2469,223,0.0282084,0.0034337
43539,912,90,0.00245169,0.0279638
43555,2595,87,0.00649883,0.0181225
43571,5380,191,0.0462023,0.00995256
43587,12704,125,0.0663592,0.004863
43603,556,383,0.0157075,0.00577604
43619,2506,499,0.0923995,0.00809952
43635,515,93,0.00157297,0.0253036
43651,978,69,0.00146493,0.0327385
43667,485,118,0.00201404,0.0261828
43683,9157,210,0.094564,0.00302105
43699,7663,239,0.0950502,0.00441848
43715,757,260,0.0116042,0.00953409
43731,2360,135,0.0114333,0.00536611
43747,3879,191,0.0332321,0.00310522
43763,411,117,0.00173207,0.0347599
43779,241,128,0.00116018,0.040966
43795,4175,406,0.111487,0.00760333
43811,744,306,0.0143784,0.00992979
43827,279,100,0.000888554,0.0410325
43843,2909,168,0.0189803,0.0124219
43859,11319,84,0.0300386,0.00133667
43875,2496,176,0.0177393,0.00488183
43891,196,81,0.000634471,0.0453346
43907,6772,96,0.0159373,0.00997836
43923,7667,101,0.021407,0.00879409
43939,124,68,0.000353381,0.0530654
43955,442,68,0.000669181,0.086003
43971,223,186,0.00196337,0.0255113
43987,724,73,0.00117217,0.0312427
44003,11042,123,0.0547946,0.00580185
44019,1040,104,0.00318675,0.0126464
44035,4109,395,0.120007,0.0099981
44051,5088,337,0.100291,0.00937677
44067,182,73,0.000503559,0.0550167
44083,6545,120,0.0253675,0.00788949
44099,421,349,0.0104219,0.0135517
44115,1310,138,0.00670002,0.00348454
44131,4250,194,0.0337765,0.00244098
44147,5457,277,0.0863593,0.00195508
44163,964,720,0.0608301,0.00562276
44179,231,172,0.00175084,0.0255106
44195,2340,107,0.00794406,0.0137357
44211,15260,68,0.0299786,0.00955498
44227,678,144,0.00360523,0.0250291
44243,217,91,0.000816309,0.0350893
44259,1441,121,0.00635471,0.0170432
44275,5976,151,0.0340839,0.00521825
44291,849,152,0.00521042,0.0200379
44307,9133,73,0.0169076,0.0018619
44323,5792,294,0.0949844,0.00880443
44339,231,155,0.00161371,0.0374604
44355,14870,97,0.0489869,0.00390528
44371,14435,138,0.0812764,0.00513266
44387,760,71,0.00120844,0.0247764
44403,7639,66,0.0116877,0.0161082
44419,361,152,0.00211763,0.026047
44435,1574,126,0.00777344,0.0176517
44451,2169,475,0.0759756,0.00723906
44467,1191,102,0.00353888,0.0213652
44483,4240,112,0.0140861,0.00152602
44499,359,305,0.0071303,0.00994766
44515,1550,659,0.0905574,0.00696195
44531,3904,182,0.0299413,0.00806072
44547,86,77,0.000362901,0.070441
44563,551,75,0.00102227,0.0591052
44579,2428,301,0.0423163,0.00983065
44595,129,116,0.000816623,0.058511
44611,173,104,0.000732134,0.0419087
44627,507,157,0.00362987,0.0313119
44643,676,249,0.00962182,0.00920873
44659,3358,143,0.01776,0.00997779
44675,1772,298,0.0316074,0.00746048
44691,5225,240,0.0592368,0.00980841
44707,301,117,0.00126462,0.0330402
44723,1532,341,0.0367825,0.0086457
44739,907,269,0.0151745,0.015653
44755,466,213,0.00511174,0.00988848
44771,605,117,0.00252843,0.0283613
44787,708,372,0.0181923,0.0106286
44803,2592,409,0.0695126,0.00999624
44819,8363,189,0.0731873,0.00569329
44835,2400,389,0.0612952,0.00939499
44851,1305,125,0.00641274,0.0179248
44867,1464,102,0.00435642,0.017829
44883,233,77,0.000558572,0.0577271
44899,234,216,0.00225842,0.0335462
44915,89,86,0.000432393,0.0580562
44931,2763,82,0.00590923,0.0097614
44947,6838,150,0.0381831,0.0025898
44963,683,291,0.0138743,0.00982104
44979,4241,155,0.0253163,0.00206206
44995,12937,121,0.0624557,0.00496702
45011,12626,115,0.0549225,0.0045205
45027,981,555,0.0446526,0.0084756
45043,1357,1030,0.14837,0.00298575
45059,1825,896,0.170753,0.0321515
45075,116,107,0.000742449,0.0339827
45091,3849,128,0.01561,0.0320353
45107,10371,151,0.0693504,0.0264233
45123,534,102,0.00167159,0.0310902
45139,405,387,0.0112384,0.00764472
45155,854,141,0.0052145,0.00884988
45171,5687,79,0.011055,0.0363792
45187,270,237,0.00344976,0.024653
45203,697,576,0.0329971,0.0115202
45219,27906,75,0.0573516,0.00712699
45235,275,68,0.000510768,0.060811
45251,994,140,0.00535103,0.0228369
45267,651,89,0.00174535,0.0191135
45283,2760,225,0.0297733,0.00580594
45299,397,257,0.00593659,0.0159251
45315,452,260,0.0066043,0.0202026
45331,12020,83,0.0319944,0.00998739
45347,1765,165,0.0120005,0.0071238
45363,2284,189,0.020025,0.0164269
45379,8401,77,0.0168598,0.00844648
45395,3225,78,0.00602234,0.0071858
45411,2535,112,0.00874202,0.00607674
45427,788,641,0.0410889,0.0097819
45443,545,231,0.00721338,0.025742
45459,1611,464,0.0530508,0.0066144
45475,821,248,0.011484,0.00964933
45491,1035,67,0.00159544,0.0407906
45507,156,120,0.000872586,0.032407
45523,4314,402,0.110056,0.00987217
45539,5354,100,0.0136552,0.00486907
45555,569,231,0.00755566,0.008718
45571,5588,316,0.0992486,0.00517554
45587,4405,101,0.0116798,0.00248498
45603,6863,156,0.0403017,0.0024256
45619,1536,955,0.176495,0.00946412
45635,10848,86,0.0299775,0.00996852
45651,8426,162,0.0540257,0.00235089
45667,5505,119,0.021503,0.00577569
45683,2436,294,0.0413461,0.0066193
45699,803,283,0.0147714,0.0141909
45715,430,76,0.000841387,0.0207038
45731,304,249,0.00412681,0.0113512
45747,2724,186,0.0224385,0.02287
45763,462,407,0.0140045,0.00548002
45779,1969,256,0.0264591,0.0197916
45795,490,331,0.0110405,0.00898545
45811,196,72,0.000513563,0.0599524
45827,204,139,0.00123684,0.0269537
45843,1091,127,0.00567427,0.00389343
45859,5974,235,0.0686164,0.00408695
45875,870,151,0.00573496,0.00453247
45891,2042,220,0.0234429,0.00598095
45907,1695,143,0.00972207,0.00643132
45923,5882,214,0.0570629,0.00112589
45939,1064,111,0.00407969,0.0205852
45955,25706,65,0.0452964,0.00208392
45971,662,252,0.00961184,0.0135043
45987,518,170,0.00404279,0.0193004
46003,89,69,0.000288032,0.0321394
46019,105,68,0.000316411,0.0536264
46035,745,463,0.0278227,0.00952158
46051,1107,72,0.00169595,0.025292
46067,10279,102,0.0330524,0.00540175
46083,2443,492,0.0886976,0.006441
46099,3375,294,0.0571675,0.00725479
46115,1599,106,0.00523662,0.0128454
46131,373,187,0.0034176,0.0152375
46147,218,64,0.00046383,0.0661399
46163,7543,231,0.0853473,0.00434949
46179,3463,70,0.0052485,0.00422799
46195,540,297,0.010177,0.00932922
46211,2571,183,0.021468,0.00978099
46227,2405,177,0.0179526,0.0110238
46243,1112,529,0.0449026,0.00991665
46259,943,357,0.0233417,0.00989172
46275,1319,165,0.00932785,0.00906107
46291,3380,151,0.0197837,0.0034409
46307,5833,65,0.00772247,0.0191973
46323,212,178,0.00170247,0.0322347
46339,800,338,0.0180612,0.00779539
46355,2026,493,0.0748295,0.00503395
46371,1613,649,0.0914141,0.00651386
46387,365,329,0.00798369,0.00912628
46403,132,66,0.000349384,0.0479066
46419,4123,160,0.02501,0.00999988
46435,3985,166,0.0251445,0.0173324
46451,10850,153,0.0718287,0.0048203
46467,5893,165,0.0364367,0.00727284
46483,6922,250,0.0884859,0.00408264
46499,1089,485,0.0408452,0.00917307
46515,527,194,0.00508425,0.0209443
46531,7652,65,0.0110427,0.00773236
46547,1257,305,0.0237518,0.00990276
46563,188,160,0.00137247,0.0328036
46579,205,100,0.000785709,0.0410241
46595,299,141,0.00168743,0.0351401
46611,566,334,0.0130054,0.0129204
46627,750,286,0.0138484,0.012157
46643,3356,98,0.0090038,0.0178415
46659,3666,161,0.0220287,0.0104271
46675,2841,610,0.145218,0.0060977
46691,1147,719,0.0778322,0.00612321
46707,624,115,0.0024224,0.0271796
46723,2227,336,0.04508,0.00724521
46739,5331,69,0.00797105,0.0184124
46755,447,305,0.00913949,0.00895631
46771,558,106,0.00172092,0.0223606
46787,2190,512,0.0835364,0.0138673
46803,6914,91,0.0186786,0.0027725
46819,1063,82,0.00227488,0.0309916
46835,2101,110,0.00752766,0.021062
46851,198,197,0.00211394,0.0187177
46867,1210,71,0.00193963,0.0516431
46883,291,184,0.00216508,0.0316835
46899,4153,292,0.068864,0.00560261
46915,780,285,0.0146633,0.0158389
46931,1217,119,0.00540712,0.00632364
46947,186,157,0.00143197,0.0446979
46963,6420,81,0.0130664,0.00402628
46979,8655,223,0.100193,0.00211123
46995,3792,286,0.06102,0.00998355
47011,3207,71,0.0051143,0.00450116
47027,3253,176,0.0225276,0.00333198
47043,3440,141,0.0173768,0.00269997
47059,2909,161,0.0178457,0.00989279
47075,4842,100,0.0127968,0.00994288
47091,11977,114,0.0519541,0.00683978
47107,383,368,0.00938156,0.0161629
47123,11472,109,0.045764,0.00308874
47139,910,65,0.00120765,0.0278262
47155,747,77,0.00136262,0.0248574
47171,895,131,0.00435657,0.0237711
47187,2550,333,0.0515268,0.0097492
47203,4352,199,0.0397378,0.00236358
47219,2920,157,0.0184275,0.00258523
47235,2301,602,0.11669,0.00633003
47251,1319,94,0.00403534,0.0278857
47267,2335,169,0.0162957,0.0149674
47283,359,108,0.00122417,0.0381194
47299,2242,370,0.0527513,0.0114328
47315,1182,112,0.00422651,0.0197205
47331,2182,128,0.00887172,0.00418481
47347,3544,183,0.0278696,0.00630732
47363,5640,261,0.0782041,0.00482808
47379,1785,640,0.0957183,0.00964355
47395,240,157,0.00166586,0.0225551
47411,374,212,0.00390628,0.0362078
47427,2015,330,0.0408772,0.00803901
47443,127,115,0.000805409,0.0235058
47459,290,168,0.00190222,0.0375869
47475,542,68,0.000856615,0.0608019
47491,171,170,0.00165449,0.0352978
47507,428,291,0.00847835,0.0328372
47523,223,128,0.00116106,0.0368367
47539,642,73,0.00111949,0.0556331
47555,7394,241,0.0915516,0.0309393
47571,182,120,0.000925674,0.0474923
47587,4523,153,0.0260766,0.00373689
47603,3131,151,0.0188329,0.00994976
47619,829,436,0.0272828,0.00940802
47635,250,110,0.000985585,0.0351287
47651,3988,153,0.0233154,0.00549187
47667,2056,169,0.0151414,0.0205461
47683,2203,365,0.0523644,0.00860796
47699,898,78,0.00167252,0.0212628
47715,344,103,0.00111772,0.0276224
47731,467,101,0.00139683,0.031415
47747,3180,239,0.0393339,0.00693953
47763,11647,64,0.0195685,0.0099702
47779,1640,847,0.136818,0.00503591
47795,1476,787,0.111401,0.00993972
47811,2142,406,0.0590712,0.00530298
47827,1237,138,0.0064532,0.0173808
47843,3876,98,0.00983531,0.00248047
47859,471,191,0.00462197,0.0202376
47875,576,121,0.00245251,0.0237223
47891,1383,303,0.0267064,0.00848552
47907,3036,552,0.127491,0.00865355
47923,4574,357,0.0987568,0.00730226
47939,3083,65,0.00443419,0.00931843
47955,11720,145,0.0718313,0.00536142
47971,627,336,0.0141631,0.0158456
47987,1932,837,0.159809,0.00849562
48003,2710,668,0.158496,0.00595946
48019,459,302,0.00923264,0.0166882
48035,435,171,0.0033682,0.0293616
48051,132,130,0.000899386,0.0359425
48067,5156,234,0.0575089,0.00997558
48083,1347,181,0.0113355,0.00236793
48099,417,312,0.00834719,0.0135114
48115,530,477,0.0199369,0.0143001
48131,1421,465,0.0486449,0.00956769
48147,2727,170,0.0195148,0.00999622
48163,1007,111,0.00386287,0.0139129
48179,2317,428,0.0682416,0.00683812
48195,426,93,0.00121099,0.0362209
48211,592,400,0.0161359,0.00951955
48227,7931,123,0.0353274,0.0101527
48243,3426,197,0.0290417,0.0032446
48259,606,152,0.00357331,0.0205369
48275,847,191,0.00851527,0.0211861
48291,3114,356,0.06686,0.00551939
48307,89,66,0.000272443,0.0675042
48323,2714,177,0.0198841,0.00606015
48339,1926,213,0.0200316,0.0127207
48355,148,125,0.000946715,0.0491897
48371,421,127,0.00226069,0.0189014
48387,429,68,0.000667856,0.044849
48403,278,102,0.000952235,0.043074
48419,5905,147,0.0318864,0.0157728
48435,262,112,0.00100927,0.0523103
48451,1374,84,0.0031148,0.0196434
48467,171,120,0.00100789,0.0437993
48483,918,75,0.00158769,0.0263597
48499,687,204,0.00720693,0.00993178
48515,1108,248,0.0148161,0.00410601
48531,209,88,0.000643571,0.0447395
48547,2583,84,0.00605128,0.017439
48563,5851,158,0.0373175,0.00657036
48579,1403,406,0.0395761,0.00851099
48595,4489,256,0.0567041,0.00978254
48611,1105,277,0.0188851,0.0098371
48627,16540,86,0.0466191,0.00593593
48643,854,293,0.0164787,0.0148116
48659,630,147,0.00393278,0.0210043
48675,5576,162,0.0340194,0.00430142
48691,230,214,0.00238991,0.0195745
48707,720,64,0.000954611,0.0897187
48723,1795,824,0.145514,0.00625695
48739,1348,698,0.0830272,0.00512491
48755,2982,361,0.0668016,0.00978418
48771,14870,106,0.056467,0.00359447
48787,2541,462,0.084975,0.0096251
48803,2941,337,0.0599634,0.00988684
48819,502,191,0.00484467,0.0131484
48835,436,388,0.0116958,0.014703
48851,7530,90,0.0202403,0.00714122
48867,134,87,0.000598095,0.0571116
48883,205,199,0.00216945,0.0293506
48899,580,516,0.023568,0.00990036
48915,1088,140,0.00587119,0.00947421
48931,270,96,0.00078441,0.035683
48947,13522,127,0.0746799,0.00411154
48963,5137,99,0.0137293,0.00369273
48979,21722,81,0.0552356,0.00405941
48995,431,99,0.0012533,0.0424518
49011,814,757,0.0559622,0.00601833
49027,1108,164,0.00766185,0.0155629
49043,3490,128,0.0134547,0.0139237
49059,1138,135,0.00589629,0.0152621
49075,1588,561,0.0700706,0.00758113
49091,333,265,0.00497001,0.0173767
49107,414,87,0.0010737,0.0352659
49123,3113,121,0.0131587,0.00993587
49139,1103,64,0.00136002,0.0224732
49155,4362,79,0.00820216,0.00765744
49171,171,135,0.00118009,0.0301544
49187,2939,190,0.0251191,0.00259977
49203,509,138,0.00279893,0.0210339
49219,2266,359,0.0520773,0.00705638
49235,334,102,0.00101665,0.0281826
49251,769,241,0.01095,0.00882349
49267,715,425,0.0228926,0.0109532
49283,1770,714,0.113668,0.00983425
49299,358,83,0.000889884,0.0557423
49315,122,81,0.000484176,0.0409929
49331,2828,406,0.0762608,0.00983613
49347,2058,650,0.11681,0.00817214
49363,2346,143,0.0128989,0.00985163
49379,3505,87,0.00850595,0.00968026
49395,1743,679,0.108874,0.00965877
49411,1383,188,0.0122682,0.0109484
49427,136,124,0.000869473,0.0516228
49443,10954,166,0.0790223,0.00768532
49459,8019,183,0.0649345,0.00456881
49475,964,879,0.0787654,0.00393295
49491,744,520,0.0296425,0.00777751
49507,10810,66,0.0193684,0.00999861
49523,3900,69,0.00590209,0.0166545
49539,3000,97,0.00776023,0.00939643
49555,7277,176,0.0502464,0.00793399
49571,801,292,0.014736,0.00780198
49587,589,162,0.00397416,0.0154076
49603,1164,104,0.00344802,0.02636
49619,968,232,0.0115748,0.00547545
49635,327,110,0.00119954,0.0394378
49651,930,877,0.0745873,0.00722928
49667,12905,146,0.0797928,0.00144044
49683,5340,206,0.0487424,0.00491213
49699,200,132,0.00104624,0.0223174
49715,263,166,0.00197568,0.0277927
49731,1068,65,0.00146295,0.0412909
49747,444,162,0.00285689,0.0217602
49763,3920,180,0.0289461,0.00984581
49779,1478,692,0.0899147,0.00317574
49795,2453,387,0.0634538,0.00117827
49811,1582,76,0.00278801,0.0225694
49827,83,67,0.000271668,0.0568161
49843,4732,203,0.0423321,0.00988313
49859,225,164,0.00177378,0.0354804
49875,1205,140,0.00642503,0.00514964
49891,245,171,0.00186318,0.0320587
49907,2536,102,0.00774412,0.0199755
49923,2133,218,0.0239371,0.0316987
49939,1886,559,0.0884565,0.0316561
49955,187,108,0.000855785,0.0426128
49971,916,124,0.00431437,0.00703
49987,672,72,0.0010262,0.0461706
50003,278,179,0.00222895,0.0350027
50019,4233,102,0.0113648,0.00705876
50035,503,471,0.0190387,0.00550052
50051,2050,676,0.136474,0.0156664
50067,140,87,0.00060264,0.0413848
50083,2086,118,0.0085808,0.00886437
50099,128,114,0.000794194,0.0432325
50115,818,776,0.0546079,0.00959821
50131,2066,755,0.149451,0.00769887
50147,776,635,0.0406999,0.0055817
50163,1760,67,0.00262058,0.022723
50179,3465,388,0.0857288,0.00912222
50195,929,112,0.0033406,0.0336342
50211,7936,182,0.0655536,0.00560536
50227,980,172,0.00746015,0.0168281
50243,541,281,0.00953259,0.0177855
50259,2007,671,0.122849,0.00499113
50275,934,202,0.00942125,0.00710094
50291,3207,322,0.0612821,0.00974784
50307,1181,74,0.0019537,0.0314601
50323,352,70,0.000626901,0.0509642
50339,11818,70,0.0229391,0.00989344
50355,778,386,0.021403,0.0131715
50371,2532,665,0.147196,0.00681974
50387,19223,73,0.0392563,0.00752441
50403,11394,76,0.0237972,0.0045863
50419,1022,543,0.0461827,0.00338219
50435,8333,157,0.0548265,0.00817818
50451,513,145,0.00324762,0.0132662
50467,369,310,0.00750551,0.0130595
50483,1718,108,0.00569116,0.00418662
50499,996,104,0.00287523,0.0173096
50515,4857,75,0.00815154,0.0095817
50531,4123,237,0.050819,0.00449183
50547,7048,149,0.0388137,0.00986748
50563,625,465,0.0223726,0.0116424
50579,1619,941,0.157544,0.00470261
50595,536,224,0.00585054,0.0135891
50611,787,336,0.0176312,0.00948048
50627,96,70,0.000314011,0.0743746
50643,6980,80,0.013326,0.00269334
50659,1597,137,0.00801756,0.00429952
50675,207,157,0.0014678,0.0209139
50691,609,99,0.00165325,0.0372034
50707,1134,209,0.0120314,0.00990481
50723,1331,820,0.10615,0.00989103
50739,615,510,0.0262707,0.00988827
50755,1030,544,0.0446114,0.00594899
50771,14846,81,0.0383169,0.0088554
50787,2889,66,0.00417638,0.0099715
50803,7707,73,0.0133825,0.00346408
50819,4552,192,0.0352897,0.00985342
50835,482,461,0.0168783,0.00601646
50851,1831,291,0.0323184,0.00549463
50867,11572,101,0.0373199,0.00135557
50883,4527,233,0.0503019,0.00978571
50899,5002,89,0.0123729,0.0134273
50915,269,80,0.000635202,0.0307123
50931,1983,129,0.00865622,0.0097823
50947,1284,585,0.0613268,0.00687516
50963,253,79,0.000634019,0.050223
50979,2193,328,0.0423171,0.00544192
50995,13025,67,0.0253393,0.006535
51011,949,921,0.084949,0.0064481
51027,1489,372,0.0365076,0.00726471
51043,2486,159,0.0167034,0.00955422
51059,1334,292,0.0235617,0.00700049
51075,1153,619,0.0623075,0.00687408
51091,5504,352,0.114522,0.00994655
51107,3349,120,0.0131816,0.0099487
51123,164,133,0.00104204,0.0517571
51139,3941,249,0.0498099,0.00516208
51155,8427,177,0.064569,0.00576856
51171,2923,148,0.0160533,0.00514213
51187,433,89,0.00112052,0.0325587
51203,533,163,0.00384837,0.0232807
51219,1473,167,0.0107372,0.0142542
51235,10617,108,0.0389932,0.00611579
51251,1161,633,0.0633964,0.00815314
51267,775,355,0.0195558,0.0112173
51283,980,952,0.0855954,0.00612915
51299,1886,67,0.00278764,0.0170466
51315,8607,82,0.0205791,0.00511568
51331,910,81,0.00191895,0.0353033
51347,453,76,0.000843152,0.0520338
51363,374,70,0.000648449,0.0628641
51379,506,135,0.00269889,0.021185
51395,17785,108,0.066578,0.00363589
51411,1173,191,0.0114531,0.00633149
51427,709,79,0.001418,0.037301
51443,148,71,0.000446762,0.0696497
51459,3948,427,0.113865,0.00958145
51475,13244,148,0.0857132,0.00663847
51491,2610,530,0.104884,0.00634118
51507,264,84,0.000718979,0.0464547
51523,4904,198,0.0410436,0.00426198
51539,14092,138,0.078108,0.0044069
51555,2740,78,0.00524551,0.00769263
51571,744,294,0.014309,0.0243351
51587,132,130,0.000898858,0.0301018
51603,300,149,0.00181887,0.0313574
51619,184,73,0.000501717,0.0546283
51635,15472,103,0.0564382,0.00959936
51651,1072,681,0.0626238,0.0099928
51667,2497,161,0.0155463,0.00617517
51683,316,75,0.000660023,0.0517054
51699,3762,314,0.0673822,0.00656384
51715,3728,222,0.0399199,0.00988221
51731,578,486,0.0223363,0.0115079
51747,5963,130,0.0243143,0.00938301
51763,1527,117,0.00631959,0.0189632
51779,1590,312,0.0292592,0.00653139
51795,4359,395,0.114687,0.00959133
51811,1127,147,0.00701203,0.0204424
51827,724,242,0.00983144,0.015373
51843,350,145,0.00195147,0.0208469
51859,2159,637,0.11993,0.00981449
51875,1434,994,0.142863,0.00364246
51891,3325,66,0.00475358,0.0175212
51907,19460,66,0.0355269,0.00143823
51923,837,121,0.00373323,0.0233264
51939,483,266,0.00775436,0.0153938
51955,16266,84,0.0463555,0.00956639
51971,325,90,0.000911125,0.0359482
51987,1636,191,0.0154473,0.0135579
52003,5515,174,0.0382454,0.00991994
52019,1822,209,0.0186784,0.0135204
52035,16819,94,0.0575338,0.00665126
52051,26673,71,0.0528258,0.00487042
52067,2394,357,0.0532776,0.00396952
52083,16049,89,0.0497564,0.00504599
52099,192,153,0.00133716,0.0230066
52115,1079,970,0.110567,0.0259133
52131,809,384,0.0215749,0.0104681
52147,648,410,0.018785,0.00688882
52163,938,676,0.0544852,0.0045844
52179,2419,344,0.0505095,0.0036558
52195,5176,116,0.0187776,0.00530125
52211,6771,128,0.026456,0.00453862
52227,2246,306,0.0399153,0.00645904
52243,1235,529,0.0514207,0.00524353
52259,2028,89,0.0053854,0.0051635
52275,777,89,0.00202633,0.0402686
52291,981,144,0.0053042,0.00642955
52307,5984,199,0.0522726,0.00991841
52323,557,421,0.0178222,0.0170463
52339,968,100,0.00272871,0.0238945
52355,126,117,0.000823872,0.0354403
52371,139,127,0.000946744,0.0352021
52387,1541,490,0.0616776,0.00594857
52403,1892,120,0.00773621,0.00461626
52419,488,96,0.00120222,0.0408167
52435,214,155,0.00151005,0.0314989
52451,607,337,0.0145127,0.0123922
52467,4713,357,0.102051,0.00732354
52483,5775,218,0.0578855,0.0091179
52499,698,67,0.00101146,0.0355714
52515,6988,131,0.0300357,0.00991851
52531,1681,798,0.131854,0.00979374
52547,862,348,0.0209812,0.00945017
52563,2785,156,0.0170153,0.00246678
52579,1392,258,0.0197894,0.00994368
52595,377,158,0.00252882,0.0256118
52611,4876,223,0.0537208,0.00858619
52627,191,163,0.00147076,0.0322085
52643,263,180,0.00200144,0.0398508
52659,642,82,0.00135902,0.0383488
52675,1009,861,0.0878636,0.00948722
52691,1107,783,0.084622,0.00999592
52707,584,388,0.0158733,0.0168238
52723,938,103,0.00283813,0.0210774
52739,9362,74,0.0183435,0.00955088
52755,12487,65,0.0231641,0.0123473
52771,812,381,0.022196,0.0138742
52787,7282,65,0.0105375,0.0192906
52803,6653,74,0.0111382,0.00567597
52819,88,74,0.000326972,0.0488301
52835,222,120,0.00100304,0.0386708
52851,549,429,0.0182425,0.0154885
52867,148,112,0.000761914,0.0437475
52883,1329,384,0.0337413,0.00777003
52899,1097,390,0.0300756,0.00930839
52915,4469,168,0.0283095,0.00998385
52931,2206,78,0.0042212,0.00986465
52947,849,245,0.0121505,0.0114886
52963,3064,152,0.0174047,0.00538046
52979,5694,102,0.0148456,0.0114871
52995,1116,711,0.0713905,0.00981289
53011,289,155,0.00186614,0.0431245
53027,1143,65,0.00153874,0.0341319
53043,4661,367,0.108439,0.00976497
53059,218,141,0.00137932,0.033156
53075,1155,181,0.00987063,0.00975328
53091,8454,86,0.020958,0.00945149
53107,1229,494,0.0473312,0.00528725
53123,198,67,0.000482427,0.0903269
53139,1812,385,0.0464762,0.00989924
53155,487,95,0.00153713,0.0294544
53171,12046,101,0.0399064,0.00682633
53187,2396,163,0.015764,0.00977694
53203,239,125,0.00125835,0.121496
53219,724,183,0.00659708,0.0191061
53235,894,714,0.0552133,0.00528615
53251,462,291,0.00881924,0.0198934
53267,1638,95,0.00513743,0.00560691
53283,1940,106,0.00634663,0.00567911
53299,1264,946,0.116731,0.0072084
53315,1515,100,0.00422635,0.011564
53331,1337,372,0.0329119,0.0120855
53347,664,298,0.0125098,0.0143207
53363,3517,282,0.055787,0.00689059
53379,1424,77,0.00264706,0.0208559
53395,763,309,0.0158685,0.00753646
53411,542,432,0.01702,0.00669525
53427,3273,89,0.00865947,0.00725357
53443,1906,671,0.114457,0.00792541
53459,289,264,0.00403782,0.0260792
53475,873,264,0.0132638,0.00687149
53491,2708,254,0.0370314,0.00807223
53507,510,456,0.0178081,0.0171732
53523,6388,136,0.0270298,0.00823105
53539,1419,205,0.0145056,0.0132612
53555,1199,109,0.00429096,0.00842272
53571,5185,64,0.00677145,0.00966397
53587,214,108,0.000867506,0.0383489
53603,797,119,0.00363152,0.0361468
53619,334,81,0.000766406,0.0526956
53635,2560,193,0.0256565,0.00737812
53651,627,422,0.0200892,0.00974738
53667,201,145,0.00129154,0.029483
53683,6652,80,0.0126698,0.00310766
53699,488,111,0.00180301,0.0455
53715,8570,103,0.026388,0.00873277
53731,898,135,0.00469985,0.0116013
53747,736,451,0.0250349,0.00994237
53763,1712,95,0.00546658,0.017975
