m,n,avg,std
2672,1732,250,0.0236639,0.0157993
2688,12905,65,0.0238579,0.00945344
2704,3604,526,0.146021,0.00907076
2720,1411,96,0.00354761,0.0223749
2736,5962,226,0.0618789,0.00122362
2752,1895,603,0.0967617,0.00534468
2768,198,94,0.000738097,0.0457461
2784,1374,839,0.114226,0.00744551
2800,7826,98,0.0214663,0.0180048
2816,1786,163,0.0121338,0.00563328
2832,264,68,0.000483612,0.0622786
2848,377,340,0.00852604,0.0133206
2864,2000,517,0.0787715,0.00847393
2880,1130,561,0.0505793,0.00846683
2896,6672,234,0.0760007,0.00826059
2912,12602,93,0.0430082,0.0079071
2928,3087,508,0.118554,0.00990487
2944,678,498,0.0263711,0.00993556
2960,405,294,0.00778619,0.0129386
2976,1393,185,0.0119953,0.0139209
2992,2700,162,0.0166965,0.00550363
3008,5976,242,0.0715735,0.00584684
3024,1497,263,0.0228453,0.00953674
3040,6341,129,0.0256478,0.0101514
3056,1645,730,0.113046,0.00982868
3072,1378,583,0.0671585,0.00613023
3088,1586,379,0.040131,0.00547064
3104,331,154,0.00202477,0.0309861
3120,4811,223,0.052064,0.006596
3136,13823,141,0.0843226,0.00737805
3152,2750,352,0.0579949,0.00698611
3168,7769,72,0.0127685,0.00985609
3184,1331,114,0.00515059,0.00810681
3200,3144,191,0.0271382,0.00982139
3216,805,292,0.0149556,0.00989556
3232,2410,612,0.121958,0.00733732
3248,1224,142,0.00683853,0.0198971
3264,291,74,0.00060432,0.0617196
3280,2173,264,0.0307877,0.00610997
3296,816,122,0.00362157,0.0229207
3312,1506,242,0.0192449,0.0142881
3328,281,229,0.00322349,0.0234603
3344,1961,182,0.015938,0.0116651
3360,4997,201,0.0426745,0.00154524
3376,198,71,0.000519423,0.0296162
3392,898,71,0.00141957,0.0258343
3408,2435,659,0.143047,0.0088845
3424,2177,160,0.0132915,0.00847826
3440,1381,124,0.00637545,0.00620388
3456,1129,424,0.0328715,0.00993381
3472,2805,301,0.0483881,0.00961308
3488,1802,586,0.0861304,0.00865608
3504,351,71,0.000651529,0.0504354
3520,113,71,0.000358586,0.0470885
3536,210,88,0.000647086,0.0310678
3552,561,406,0.016784,0.00791538
3568,7304,151,0.0418427,0.00877352
3584,2638,164,0.0167489,0.0126237
3600,2771,228,0.0306156,0.00970247
3616,10136,89,0.030144,0.00343924
3632,3615,177,0.0264586,0.0099004
3648,9459,91,0.0283069,0.00331689
3664,9850,153,0.0641205,0.00562904
3680,3542,220,0.0366901,0.0099065
3696,2805,172,0.0194299,0.0108124
3712,3108,398,0.0846083,0.0256066
3728,6839,187,0.0559771,0.0268669
3744,788,271,0.0136142,0.0179181
3760,2777,311,0.0522873,0.0090959
3776,2289,437,0.0701638,0.00974514
3792,20025,68,0.0377564,0.00810999
3808,3914,84,0.00852872,0.00905751
3824,517,231,0.00744967,0.00613634
3840,8305,79,0.0183287,0.0145322
3856,1193,654,0.0689491,0.00969369
3872,10967,132,0.0555272,0.00708356
3888,1301,126,0.00650628,0.0201452
3904,475,196,0.00443742,0.0238524
3920,13759,104,0.0474525,0.00978705
3936,3146,113,0.0112297,0.00860941
3952,9232,173,0.0706227,0.0068525
3968,3054,101,0.00825707,0.00658585
3984,4072,94,0.0118674,0.0200547
4000,1258,303,0.0236483,0.00996794
4016,1469,620,0.0775306,0.00985604
4032,71,64,0.000229983,0.0956555
4048,452,73,0.000765566,0.0424387
4064,14869,101,0.0511566,0.00872412
4080,1805,70,0.00280953,0.0223871
4096,563,150,0.00352376,0.0207372
4112,6970,257,0.0918515,0.00617411
4128,2334,78,0.00451888,0.0290164
4144,816,347,0.0197484,0.0060777
4160,1325,959,0.132201,0.00808051
4176,259,111,0.00109269,0.0328121
4192,192,160,0.00138142,0.0243746
4208,555,66,0.000763048,0.0482556
4224,917,533,0.0397656,0.00989472
4240,4056,481,0.141979,0.0093518
4256,2376,356,0.0512662,0.0108203
4272,91,64,0.000267603,0.104475
4288,6839,65,0.00941837,0.00990822
4304,160,108,0.000743497,0.0227266
4320,10141,194,0.0920928,0.00608286
4336,1176,67,0.00171385,0.0299733
4352,608,457,0.0205551,0.0098733
4368,168,79,0.000558177,0.0660285
4384,5720,220,0.0577754,0.00995254
4400,8172,163,0.0599245,0.00806387
4416,3200,191,0.0279558,0.00390176
4432,1875,192,0.0154618,0.00707286
4448,366,361,0.00874243,0.00453688
4464,770,609,0.0413086,0.00665798
4480,419,113,0.00153556,0.0259061
4496,1016,540,0.0423214,0.00990288
4512,29707,67,0.0548937,0.00821537
4528,2724,151,0.0166208,0.00527892
4544,4708,125,0.0206912,0.00842553
4560,1129,174,0.00897116,0.0134723
4576,4032,246,0.0500429,0.00798885
4592,3646,75,0.00627165,0.00643153
