m,n,k,avg
0,44,61,426,0.000128274
0,813,84,84,0.000480797
0,308,44,84,9.70083e-05
0,32,32,426,0.000269788
0,84,223,1123,0.00211774
0,308,1552,117,0.00392316
0,1552,161,44,0.00114751
0,223,223,1123,0.00470739
0,4096,2145,32,0.0202472
0,426,117,2145,0.00957836
0,1123,32,588,0.00226787
0,161,1552,161,0.0031072
0,61,4096,2145,0.0506716
0,44,308,61,0.000281759
0,117,4096,2145,0.0744573
0,44,813,161,0.00239738
0,2145,61,4096,0.0405389
0,32,117,813,0.000384737
0,588,1123,4096,0.149632
0,308,588,2964,0.0356224
0,84,44,117,0.000197649
0,223,161,308,0.00105916
0,426,426,308,0.00392566
0,1552,2145,2964,0.558004
0,223,2964,223,0.0104256
0,1123,161,44,0.000759231
0,161,426,4096,0.0198279
0,2964,588,61,0.00844304
0,1123,426,223,0.00722626
0,813,813,588,0.0246007
0,44,4096,2145,0.0389901
0,117,308,2964,0.00939703
0,32,308,117,0.000410045
0,2145,813,1552,0.1598
0,32,1552,161,0.00372996
0,84,61,223,0.000118047
0,4096,813,1552,0.264479
0,426,1123,84,0.00279632
0,1552,588,117,0.00731236
0,223,2145,426,0.0148072
0,61,223,4096,0.0045514
0,1123,2145,1552,0.218921
0,161,32,32,9.86017e-05
0,2964,44,4096,0.0455999
0,813,588,161,0.00490256
0,44,84,308,0.000267764
0,813,61,117,0.000518946
0,588,1552,2145,0.124825
0,308,223,61,0.000392956
0,2145,1552,308,0.0595439
0,84,308,426,0.00108455
0,1552,117,2964,0.0469093
0,223,44,813,0.00093083
0,4096,61,44,0.000907537
0,426,84,1552,0.00436931
0,223,813,84,0.00129253
0,161,308,2964,0.011026
0,1123,44,223,0.00108166
0,161,2145,223,0.00540282
0,161,308,1123,0.00437761
0,44,32,84,7.01405e-05
0,117,2964,2964,0.0779038
0,2145,84,426,0.00618153
0,32,84,1123,0.00035732
0,588,117,2964,0.0179328
0,308,2964,4096,0.221661
0,223,117,117,0.000301191
0,426,308,223,0.00213525
0,4096,161,813,0.0337904
0,61,44,2145,0.000686027
0,1123,61,32,0.000224655
0,161,588,1552,0.0109156
0,2964,426,44,0.00469156
0,813,2145,426,0.0452105
0,813,223,44,0.00069524
0,2145,32,61,0.00046135
0,32,223,308,0.000861207
0,84,117,2145,0.00231878
0,84,1552,117,0.00417843
0,588,84,588,0.00275776
0,2145,32,813,0.00579186
0,84,84,161,0.000332442
0,4096,1123,4096,0.964242
0,426,813,32,0.0011332
0,1552,426,84,0.00407588
0,223,1552,1123,0.0259112
0,61,588,2964,0.0101791
0,1123,813,2145,0.120811
0,161,44,84,0.000243442
0,2964,32,1552,0.0163063
0,813,426,223,0.00524662
0,44,1552,223,0.00589243
0,813,161,161,0.00188898
0,588,2145,2964,0.225005
0,308,308,44,0.000417939
0,32,2964,813,0.0108467
0,84,117,588,0.000574195
0,1552,1123,4096,0.387684
0,223,32,588,0.000597683
0,4096,84,61,0.00218468
0,426,61,4096,0.00788915
0,1123,2964,308,0.0607385
0,161,2964,308,0.0105018
0,61,2964,588,0.0107685
0,44,44,32,3.38062e-05
0,117,2145,4096,0.0673517
0,2145,117,588,0.0127874
0,32,61,426,0.000349646
0,588,161,2145,0.015317
0,84,2145,813,0.0135968
0,308,4096,1552,0.114717
0,223,308,161,0.000905187
0,426,223,161,0.00115508
0,1552,1552,426,0.0656633
0,117,2964,223,0.00600571
0,223,426,117,0.000918006
0,61,32,2964,0.00081306
0,1123,84,84,0.000618647
0,161,813,2145,0.0211705
0,2964,1123,32,0.00955189
0,2145,588,4096,0.267222
0,813,1552,1123,0.0899776
0,4096,161,2145,0.10013
0,44,588,4096,0.0105722
0,2145,44,44,0.000404704
0,32,161,223,0.000409278
0,61,2145,117,0.005444
0,2145,1552,813,0.167068
0,32,813,308,0.00364204
0,1552,61,588,0.00486048
0,4096,426,2964,0.297992
0,426,588,44,0.00103419
0,1552,4096,61,0.0269168
0,223,4096,813,0.0433845
0,61,426,2145,0.00576516
0,1123,1123,2964,0.234934
0,161,61,61,0.000188498
0,2964,84,2145,0.0421152
0,813,1123,308,0.0177594
0,2964,61,44,0.000709599
0,1123,588,1552,0.0650612
0,813,117,223,0.00197663
0,84,813,223,0.00229806
0,588,2964,4096,0.371073
0,2145,44,1123,0.00906229
0,308,117,32,0.000134943
0,32,2145,1123,0.00956014
0,84,161,2964,0.00390018
0,1552,813,1552,0.121809
0,223,84,426,0.000689683
0,4096,32,84,0.00111418
0,426,44,2964,0.00538381
0,1123,4096,117,0.0295687
0,161,4096,426,0.0196777
0,44,426,1123,0.00211937
0,2145,1552,32,0.00904712
0,117,1552,32,0.000766981
0,2145,161,813,0.0208426
0,32,44,588,9.58782e-05
0,588,223,1552,0.0154248
0,308,1552,2145,0.0644861
0,426,426,813,0.0101807
0,223,223,61,0.000272714
0,426,161,117,0.000772398
0,2964,61,426,0.00634159
0,223,1123,161,0.00289669
0,61,84,4096,0.00193724
0,1123,32,61,0.000204403
0,161,1123,813,0.0104693
0,2964,813,4096,0.503347
0,44,426,588,0.00127751
0,813,4096,813,0.151998
0,2145,1552,2145,0.424973
0,44,813,2964,0.0112376
0,2145,61,32,0.000441132
0,2145,32,308,0.00221198
0,32,117,44,7.14437e-05
0,84,813,61,0.00125368
0,32,588,223,0.00179937
0,1552,44,426,0.00266275
0,4096,588,588,0.0809144
0,426,426,2964,0.0359673
0,1552,2964,44,0.0155786
0,223,2964,2145,0.0983388
0,161,426,117,0.000671233
0,61,1123,1552,0.0108822
0,1123,426,4096,0.117821
0,161,84,161,0.000223487
0,2145,1123,223,0.029776
0,117,1123,1552,0.0153998
0,44,2964,117,0.00587538
0,813,308,308,0.00543245
0,588,4096,426,0.0585321
0,308,161,4096,0.0149406
0,32,1123,44,0.000681237
0,84,61,4096,0.00201097
0,4096,813,161,0.0314388
0,1552,588,2145,0.115139
0,223,61,308,0.000367032
0,4096,44,117,0.00187466
0,2964,2145,2145,0.729357
0,1123,1552,161,0.0178793
0,161,32,588,0.000378888
0,44,84,2964,0.00115012
0,117,84,44,0.000105743
0,588,1552,61,0.0042909
0,2145,223,1123,0.0339007
0,32,32,223,0.000194236
0,588,308,1123,0.0140472
0,426,4096,813,0.0838588
0,223,44,84,8.54511e-05
0,426,117,84,0.00039727
0,61,61,426,0.000144175
0,1123,44,2145,0.00983126
0,161,1552,1123,0.0191139
0,2964,161,2964,0.106451
0,308,2964,1123,0.0683457
