m,n,k,avg
0,75,203,753,0.00103577
0,406,753,406,0.00846543
0,948,1505,81,0.00783614
0,697,102,439,0.00322134
0,2389,87,2389,0.0427359
0,81,299,87,0.000659748
0,697,188,1393,0.012798
0,2048,2580,40,0.0175712
0,55,2787,1290,0.018532
0,69,1505,1106,0.0110086
0,439,35,55,6.90447e-05
0,597,645,40,0.00127706
0,87,32,3010,0.00118686
0,44,256,512,0.000636079
0,1756,2212,138,0.0293119
0,813,3511,47,0.0104862
0,55,188,75,0.000259656
0,376,55,2212,0.00384262
0,813,161,3251,0.0329527
0,174,81,44,0.000154598
0,1195,69,4096,0.0261893
0,35,44,276,0.000216371
0,81,119,323,0.000286202
0,128,3251,2048,0.0583645
0,948,439,1625,0.0413715
0,406,376,597,0.00615213
0,1106,1393,3010,0.278463
0,44,323,474,0.000753177
0,948,645,299,0.011852
0,1195,2212,948,0.148046
0,110,2787,597,0.0127727
0,1393,1024,376,0.0340521
0,753,1024,75,0.00389685
0,1106,69,102,0.000640314
0,37,1505,376,0.00787059
0,406,75,1393,0.00330149
0,948,553,2048,0.064366
0,3010,1505,348,0.089139
0,512,138,1024,0.00612732
0,87,3792,1625,0.0461977
0,645,376,2048,0.0323023
0,878,376,3792,0.0813059
0,44,474,299,0.00235997
0,188,2580,119,0.00437828
0,878,119,439,0.00431883
0,149,323,3792,0.0141711
0,3792,2787,219,0.131805
0,323,188,645,0.00304185
0,2787,40,2048,0.0210192
0,813,102,69,0.000644869
0,44,94,94,9.95958e-05
0,276,64,188,0.0002774
0,813,69,1393,0.0060509
0,256,81,102,0.000147673
0,597,439,1896,0.0313481
0,512,138,35,0.00024097
0,2787,1106,2580,0.447979
0,102,1505,1896,0.0213995
0,1896,237,348,0.0145618
0,1106,94,276,0.00241429
0,2389,697,753,0.0740988
0,299,3511,1024,0.059547
0,1625,128,406,0.0084025
0,40,3511,299,0.0186529
0,1290,59,32,0.00022155
0,4096,1106,3251,0.951509
0,110,203,102,0.000182273
0,87,174,276,0.000361244
0,2048,44,51,0.000432684
0,2389,37,75,0.000626019
0,40,174,174,0.000456639
0,376,102,406,0.00142923
0,813,323,174,0.00322688
0,59,323,406,0.00081469
0,2787,138,75,0.00263568
0,376,1024,59,0.00188257
0,75,110,81,0.000249158
0,406,406,1505,0.0173493
0,47,161,406,0.000284931
0,37,219,2580,0.00196815
0,102,237,1505,0.00313942
0,219,1393,87,0.00199003
0,1625,102,3792,0.053208
0,406,102,276,0.00104651
0,81,1290,138,0.00474624
0,2389,161,256,0.00661412
0,128,4096,32,0.0019825
0,276,406,2389,0.0191447
0,1195,1195,439,0.0385689
0,138,276,697,0.0023113
0,878,2580,203,0.0287321
0,3511,3251,119,0.0880445
0,40,81,64,5.72347e-05
0,3010,75,753,0.0120648
0,753,553,119,0.00325093
0,878,59,161,0.000721687
0,51,1896,55,0.00188818
0,161,2048,1290,0.0286973
0,1195,2212,256,0.0435992
0,110,119,1756,0.00220865
0,3251,69,1625,0.0268283
0,149,1896,59,0.00151735
0,1106,37,81,0.000298188
0,553,138,3792,0.0270979
0,3010,948,1290,0.202919
0,44,3010,2212,0.0295303
0,1024,75,474,0.00280211
0,1106,161,697,0.00997261
0,948,59,3010,0.0129847
0,474,161,1106,0.00636746
0,1393,32,323,0.00158511
0,119,3010,64,0.00210937
0,203,110,1195,0.00263377
0,44,51,149,0.000140999
0,2389,553,203,0.0179635
0,94,44,64,0.000115067
0,1195,1505,878,0.0901444
0,1195,512,102,0.00415352
0,1106,2389,64,0.012233
0,2212,1106,2212,0.305998
0,3792,64,2048,0.0408824
0,32,753,237,0.00264062
0,138,348,948,0.00359072
0,3251,47,40,0.000591976
0,3792,553,1756,0.22882
0,1756,102,474,0.00991351
0,1896,1106,2787,0.349382
0,1393,138,37,0.000773498
0,376,1195,645,0.0191598
0,174,32,44,0.000118763
0,64,161,645,0.000660842
0,474,1625,2389,0.122161
0,276,2212,64,0.0030023
0,75,1290,2048,0.0177534
0,3010,44,219,0.00257852
0,1393,1290,256,0.0267022
0,119,138,119,0.000184753
0,69,2048,323,0.00450069
0,237,948,256,0.00378295
0,3010,2212,3511,1.28818
0,2580,94,64,0.00199735
0,2389,2212,188,0.0557335
0,69,188,813,0.00103059
0,512,64,3511,0.0109521
0,32,2212,203,0.00554984
0,1756,1024,59,0.00875029
0,81,138,512,0.000492836
0,1106,94,348,0.00307363
0,1505,87,474,0.00522997
0,1195,119,753,0.00966466
0,2580,1625,323,0.0774105
0,174,474,323,0.00188103
0,59,128,64,0.000162862
0,512,512,3010,0.050074
0,47,203,1896,0.00153853
0,1896,1756,32,0.00788877
0,174,55,1106,0.00100704
0,87,32,1290,0.000477404
0,406,44,44,6.76528e-05
0,94,37,3010,0.00136197
0,37,119,1024,0.00045797
0,3792,69,87,0.00168021
0,323,645,75,0.00125988
0,3511,188,47,0.00272945
0,1896,1393,1290,0.192044
0,2212,1106,1024,0.152261
0,1393,59,3010,0.0208751
0,1290,75,2389,0.0167578
0,276,2580,256,0.0116886
0,37,174,406,0.00102773
0,203,128,59,0.000143553
0,645,55,3792,0.0108884
0,3511,1756,44,0.0204406
0,276,3792,376,0.0238782
0,174,276,3010,0.0119655
0,138,188,69,0.000166375
0,813,2048,1393,0.140309
0,203,299,645,0.00351726
0,3251,32,2787,0.0298694
0,697,1106,69,0.0040294
0,110,299,2389,0.00632181
0,69,3792,3792,0.0895975
0,59,3511,55,0.00385022
0,2389,69,439,0.00548957
0,1505,3511,47,0.0167348
0,376,102,439,0.00148005
0,323,188,697,0.00368649
0,2212,406,1290,0.0738852
0,69,2212,512,0.00708035
0,256,75,2787,0.00402889
0,3251,512,110,0.0115441
0,51,3792,597,0.0116559
0,149,1290,376,0.00503634
0,40,75,35,3.57413e-05
0,3010,406,59,0.00575084
0,47,1625,323,0.00942633
0,59,1393,149,0.00453861
0,753,102,1290,0.00850206
0,2048,87,348,0.00517184
0,512,138,174,0.00115781
0,323,138,188,0.000827258
0,81,3251,75,0.00606323
0,75,47,188,0.000286091
0,174,878,44,0.000706263
0,813,75,2212,0.0111075
0,1896,44,2787,0.0196527
0,32,128,219,0.000344118
0,2580,119,1106,0.0284213
0,149,474,299,0.00147734
0,1756,1195,1505,0.169487
0,2212,439,323,0.0186927
0,1505,1024,597,0.058178
0,2580,813,439,0.118997
0,1625,813,2787,0.212789
0,138,119,55,8.91419e-05
0,119,3792,32,0.00190973
0,174,276,1393,0.00537019
0,161,323,474,0.00201164
0,237,1756,3251,0.0950545
0,406,406,87,0.00112588
0,1393,81,3792,0.034206
0,3511,348,102,0.0080819
0,37,3511,3511,0.0523656
0,69,348,87,0.00068252
0,4096,597,94,0.0149152
0,645,948,219,0.00852456
0,44,174,376,0.00113826
0,1195,1195,3511,0.289502
0,237,138,1024,0.00304706
0,1393,1896,406,0.0650096
0,69,2787,237,0.0153595
0,597,59,276,0.000842817
0,37,2787,406,0.0172276
0,553,47,149,0.000365889
0,299,439,1896,0.0177871
0,149,1896,1393,0.0289325
0,474,1625,1505,0.0738023
0,3010,948,2580,0.4219
0,44,3010,81,0.00383137
0,161,35,439,0.000260616
0,110,512,276,0.00131854
0,2212,553,2580,0.19789
0,128,597,87,0.000593329
0,697,64,64,0.000222968
0,47,47,55,5.06748e-05
0,2580,597,753,0.0770339
0,161,878,439,0.00472393
0,44,51,348,0.000329393
0,35,512,512,0.00106108
0,474,512,161,0.00278581
0,348,645,64,0.0012177
0,128,47,3251,0.00196626
0,32,645,948,0.00259758
0,376,81,299,0.000761266
0,3792,64,1195,0.0231561
0,1896,81,1290,0.0148169
0,174,256,3792,0.0130502
0,2048,753,1756,0.210896
0,75,348,3792,0.00941559
0,174,138,69,0.000157611
0,59,87,40,6.49183e-05
0,81,878,203,0.00505769
0,512,2787,119,0.0123611
0,94,474,138,0.00213775
0,203,3511,174,0.00823292
0,1290,110,35,0.00055667
0,3251,94,948,0.0204972
0,149,3511,1505,0.0502922
0,348,1290,55,0.00207643
0,1106,553,276,0.0104444
0,3251,1505,948,0.258258
0,37,1393,35,0.000614083
0,161,3010,87,0.00333626
0,1024,1393,174,0.0164358
0,3010,2212,1756,0.704914
0,75,203,948,0.00137425
0,597,406,1106,0.0184728
0,348,299,59,0.00055314
0,3511,3251,128,0.0798967
0,276,753,1195,0.0163412
0,119,1756,276,0.00403565
0,323,237,32,0.000251934
0,256,948,645,0.00952768
0,55,2787,94,0.00554467
0,81,3511,878,0.0255725
0,439,35,161,0.000237826
0,203,87,256,0.000342832
0,948,697,878,0.0380436
0,44,256,1505,0.00163452
0,1625,55,1290,0.00877823
0,1195,87,149,0.00181226
0,1024,256,87,0.00171627
0,299,348,44,0.000470949
0,1625,1505,219,0.0310156
0,597,2212,75,0.00686391
0,2787,35,753,0.00708845
0,597,59,110,0.000319706
0,406,2580,94,0.00676845
0,138,299,597,0.00203644
0,1106,87,1896,0.0143395
