m,n,k,avg
0,128,1024,2048,0.0215694
0,32,4096,256,0.0137756
0,2048,2048,32,0.0134224
0,4096,1024,1024,0.221955
0,256,128,1024,0.00308478
0,4096,256,64,0.00467375
0,256,512,512,0.00530467
0,32,512,4096,0.00714991
0,64,256,512,0.00087268
0,2048,256,128,0.00506746
0,512,256,4096,0.0348099
0,64,1024,32,0.000837954
0,4096,2048,64,0.0333978
0,512,2048,2048,0.138956
0,32,64,256,0.00022767
0,512,32,256,0.000527359
0,64,32,2048,0.000662491
0,1024,64,512,0.00291609
0,128,256,64,0.000223985
0,2048,128,1024,0.0220608
0,1024,2048,4096,0.428943
0,2048,512,64,0.00548307
0,1024,512,128,0.00482478
0,128,512,1024,0.00559633
0,32,32,512,0.00013319
0,256,2048,4096,0.117668
0,32,2048,32,0.00110478
0,2048,64,64,0.000897727
0,256,256,2048,0.0107484
0,4096,32,32,0.000510861
0,1024,4096,32,0.0102098
0,256,1024,256,0.00477093
0,32,256,2048,0.00212111
0,512,128,512,0.00329248
0,64,2048,64,0.0031571
0,4096,4096,128,0.0911741
0,512,1024,4096,0.115619
0,128,64,32,0.00010221
0,512,4096,128,0.0147679
0,64,64,1024,0.000446946
0,1024,128,1024,0.0115156
0,128,128,2048,0.00335905
0,2048,4096,32,0.0210775
0,512,512,32,0.000913354
0,4096,128,256,0.00927363
0,1024,1024,64,0.00534307
0,128,4096,512,0.0172915
0,256,4096,512,0.0316813
0,32,1024,64,0.000975187
0,2048,32,128,0.00102293
0,256,32,4096,0.00388885
0,64,512,32,0.000423627
0,4096,64,4096,0.0677912
0,256,128,128,0.000420521
0,32,128,1024,0.000561907
0,512,64,1024,0.0029754
0,64,4096,2048,0.0456147
0,128,2048,256,0.00530337
0,4096,512,256,0.0282572
0,1024,32,512,0.00202709
0,128,32,256,0.000118645
0,256,64,32,0.00019165
0,2048,1024,256,0.0332415
0,512,2048,64,0.00524209
0,64,128,512,0.00041581
0,1024,256,128,0.00266353
0,128,1024,4096,0.0342039
0,32,4096,32,0.00187238
0,2048,2048,4096,0.889772
0,4096,1024,512,0.117607
0,4096,256,32,0.00317031
0,1024,2048,32,0.00648696
0,256,512,1024,0.00994038
0,32,512,2048,0.00471986
0,64,256,256,0.000852225
0,2048,256,256,0.0101663
0,512,256,512,0.00554567
0,64,1024,256,0.00369598
0,4096,2048,2048,0.875378
0,256,256,64,0.000404332
0,32,64,512,0.000175859
0,512,32,128,0.000242952
0,1024,4096,4096,0.687805
0,64,32,4096,0.00111193
0,1024,64,4096,0.0184684
