m,n,p,avg,std
8192,1024,16,1,0.00181859,1.74103
8193,1171,16,1,0.00243715,2.3728
8194,1339,16,1,0.00246673,2.23544
8195,1531,16,1,0.00243651,2.31425
8196,1751,16,1,0.00240972,2.22391
8197,2003,16,1,0.00234782,2.05214
8198,2290,16,1,0.00253462,2.03385
8199,2619,16,1,0.00257367,2.05663
8200,2995,16,1,0.00256279,2.05039
8201,3425,16,1,0.00275511,2.0303
8202,3917,16,1,0.00277166,1.95452
8203,4479,16,1,0.00295434,1.94511
8204,5122,16,1,0.00296404,1.91029
8205,5858,16,1,0.00301486,1.79776
8206,6699,16,1,0.00320643,1.79991
8207,7661,16,1,0.00328177,1.67357
8208,8760,16,1,0.00351272,1.58477
8209,10018,16,1,0.00364361,1.52784
8210,11456,16,1,0.00393713,1.43945
8211,13101,16,1,0.00404056,1.38169
8212,14982,16,1,0.00426941,1.27305
8213,17133,16,1,0.00448186,1.09923
8214,19593,16,1,0.00479044,1.0802
8215,22406,16,1,0.0050054,0.85247
8216,25623,16,1,0.00572512,0.815721
8217,29302,16,1,0.00619527,0.80179
8218,33509,16,1,0.0068498,0.728603
8219,38320,16,1,0.00737308,0.721807
8220,43822,16,1,0.00823483,0.547512
8221,50113,16,1,0.0086876,0.417023
8222,57308,16,1,0.00994753,0.360025
8223,65536,16,1,0.0109556,0.349232
8224,1024,18,1,0.00266548,1.74069
8225,1171,18,1,0.00336086,1.65903
8226,1339,18,1,0.00354564,1.59451
8227,1531,18,1,0.00332453,1.63659
8228,1751,18,1,0.00291481,1.96861
8229,2003,18,1,0.00289394,1.93982
8230,2290,18,1,0.0029148,1.97891
8231,2619,18,1,0.00349743,1.61688
8232,2995,18,1,0.0032122,1.69795
8233,3425,18,1,0.00315218,1.72835
8234,3917,18,1,0.00379264,1.42769
8235,4479,18,1,0.00313575,1.72837
8236,5122,18,1,0.00384053,1.35614
8237,5858,18,1,0.00349865,1.60289
8238,6699,18,1,0.00385771,1.34762
8239,7661,18,1,0.00402319,1.29591
8240,8760,18,1,0.00449318,1.24331
8241,10018,18,1,0.00438555,1.24324
8242,11456,18,1,0.00463759,1.01001
8243,13101,18,1,0.00446362,1.22685
8244,14982,18,1,0.00539213,0.982967
8245,17133,18,1,0.00524912,1.05295
8246,19593,18,1,0.00566578,0.810986
8247,22406,18,1,0.0061721,0.91641
8248,25623,18,1,0.00637318,0.820698
8249,29302,18,1,0.0067446,0.833787
8250,33509,18,1,0.00739444,0.638803
8251,38320,18,1,0.00813659,0.570295
8252,43822,18,1,0.00873976,0.626223
8253,50113,18,1,0.00962503,0.491607
8254,57308,18,1,0.0106313,0.439126
8255,65536,18,1,0.0117357,0.415925
8256,1024,21,1,0.00305098,1.86834
8257,1171,21,1,0.00277234,1.83939
8258,1339,21,1,0.00287459,1.55755
8259,1531,21,1,0.00333927,1.6532
8260,1751,21,1,0.00336887,1.50443
8261,2003,21,1,0.0033597,1.68715
8262,2290,21,1,0.00307416,1.7154
8263,2619,21,1,0.00289992,1.95169
8264,2995,21,1,0.00363384,1.49268
8265,3425,21,1,0.00325161,1.63536
8266,3917,21,1,0.0033074,1.76968
8267,4479,21,1,0.00393683,1.38334
8268,5122,21,1,0.00327989,1.63641
8269,5858,21,1,0.00386784,1.48538
8270,6699,21,1,0.00358901,1.44473
8271,7661,21,1,0.00385325,1.05856
8272,8760,21,1,0.00432609,1.23963
8273,10018,21,1,0.00435385,1.29444
8274,11456,21,1,0.00448825,1.25626
8275,13101,21,1,0.00473801,1.1528
8276,14982,21,1,0.00472448,1.16028
8277,17133,21,1,0.00542861,1.02253
8278,19593,21,1,0.00529202,1.02738
8279,22406,21,1,0.00587268,0.949011
8280,25623,21,1,0.00634427,0.860365
8281,29302,21,1,0.00695179,0.815872
8282,33509,21,1,0.00769072,0.732556
8283,38320,21,1,0.00815439,0.597196
8284,43822,21,1,0.00817043,0.495431
8285,50113,21,1,0.00927933,0.605949
8286,57308,21,1,0.0102631,0.498034
8287,65536,21,1,0.0110119,0.485731
8288,1024,24,1,0.0030838,1.92001
8289,1171,24,1,0.00287555,1.71999
8290,1339,24,1,0.00296339,1.86219
8291,1531,24,1,0.003205,1.67322
8292,1751,24,1,0.00371193,1.55715
8293,2003,24,1,0.00377169,1.54732
8294,2290,24,1,0.00340383,1.75906
8295,2619,24,1,0.00281549,1.40838
8296,2995,24,1,0.00321511,1.62595
8297,3425,24,1,0.00399687,1.47407
8298,3917,24,1,0.0032757,1.77934
8299,4479,24,1,0.00351703,1.69351
8300,5122,24,1,0.00406471,1.5092
8301,5858,24,1,0.00354348,1.48684
8302,6699,24,1,0.00391454,1.5242
8303,7661,24,1,0.00384281,1.41548
8304,8760,24,1,0.00413378,1.3979
8305,10018,24,1,0.00473485,1.16504
8306,11456,24,1,0.00449072,1.22164
8307,13101,24,1,0.00479828,1.14111
8308,14982,24,1,0.00505499,1.09798
8309,17133,24,1,0.00496926,1.01845
8310,19593,24,1,0.00546788,1.03261
8311,22406,24,1,0.00578221,1.0211
8312,25623,24,1,0.00642482,0.924488
8313,29302,24,1,0.00673045,0.731137
8314,33509,24,1,0.00729975,0.814136
8315,38320,24,1,0.00817865,0.703634
8316,43822,24,1,0.00860722,0.682493
8317,50113,24,1,0.00945044,0.593541
8318,57308,24,1,0.010448,0.529615
8319,65536,24,1,0.0116868,0.417186
8320,1024,27,1,0.00280867,1.62333
8321,1171,27,1,0.00323837,1.76124
8322,1339,27,1,0.0031849,1.79286
8323,1531,27,1,0.00323257,1.86826
8324,1751,27,1,0.00321306,1.86503
8325,2003,27,1,0.00379559,1.54264
8326,2290,27,1,0.00404166,1.45867
8327,2619,27,1,0.00331939,1.48464
8328,2995,27,1,0.00328869,1.74538
8329,3425,27,1,0.00380716,1.54479
8330,3917,27,1,0.00388231,1.48499
8331,4479,27,1,0.00346714,1.58461
8332,5122,27,1,0.00384414,1.5071
8333,5858,27,1,0.00418663,1.29386
8334,6699,27,1,0.00393124,1.47425
8335,7661,27,1,0.00457332,1.26685
8336,8760,27,1,0.00460082,1.24974
8337,10018,27,1,0.00452678,1.30922
8338,11456,27,1,0.00453187,1.31206
8339,13101,27,1,0.00499233,1.16583
8340,14982,27,1,0.00519404,1.14174
8341,17133,27,1,0.00552181,0.971635
8342,19593,27,1,0.00533491,0.985893
8343,22406,27,1,0.00613285,0.842249
8344,25623,27,1,0.00673779,0.855998
8345,29302,27,1,0.00667784,0.844574
8346,33509,27,1,0.00727385,0.716
8347,38320,27,1,0.00818216,0.729184
8348,43822,27,1,0.00846982,0.668044
8349,50113,27,1,0.00953863,0.501172
8350,57308,27,1,0.00999076,0.498456
8351,65536,27,1,0.0115055,0.467032
8352,1024,31,1,0.00320849,1.64464
8353,1171,31,1,0.00266883,1.22592
8354,1339,31,1,0.00306048,1.76671
8355,1531,31,1,0.00339619,1.75493
8356,1751,31,1,0.0034842,1.66955
8357,2003,31,1,0.00348084,1.56621
8358,2290,31,1,0.00408025,1.40591
8359,2619,31,1,0.00373642,1.53576
8360,2995,31,1,0.00351545,1.70699
8361,3425,31,1,0.00369155,1.63844
8362,3917,31,1,0.00397241,1.45141
8363,4479,31,1,0.00414377,1.41912
