m,n,k,avg,std
0,32,32,32,2.30083e-05,0.307878
1,44,32,32,3.18663e-05,0.225367
2,61,32,32,4.46094e-05,0.425619
3,84,32,32,5.52954e-05,0.225966
4,117,32,32,7.24563e-05,0.196764
5,161,32,32,0.000100285,0.119461
6,223,32,32,0.000134406,0.158764
7,308,32,32,0.000180593,0.0474855
8,426,32,32,0.000255528,0.0861103
9,588,32,32,5.81015e-05,0.397104
10,813,32,32,7.97472e-05,0.351186
11,1123,32,32,0.000109315,0.184242
12,1552,32,32,0.000158017,0.184928
13,2145,32,32,0.000231736,0.144218
14,2964,32,32,0.000333817,0.118354
15,4096,32,32,0.000490204,0.0634114
16,32,44,32,6.3202e-06,0.422782
17,44,44,32,3.42307e-05,0.343713
18,61,44,32,4.47813e-05,0.249787
19,84,44,32,5.88372e-05,0.305566
20,117,44,32,7.56034e-05,0.114013
21,161,44,32,0.000103699,0.0964964
22,223,44,32,0.000134917,0.0491156
23,308,44,32,0.000199311,0.128287
24,426,44,32,0.000269971,0.0649624
25,588,44,32,7.26621e-05,0.142068
26,813,44,32,0.000102463,0.150238
27,1123,44,32,0.000141252,0.144393
28,1552,44,32,0.000219949,0.153232
29,2145,44,32,0.000314897,0.164657
30,2964,44,32,0.000423039,0.105772
31,4096,44,32,0.000755307,0.0429553
32,32,61,32,9.17535e-06,0.747869
33,44,61,32,3.52706e-05,0.211982
34,61,61,32,4.58541e-05,0.19912
35,84,61,32,6.01413e-05,0.153449
36,117,61,32,9.11671e-05,0.413957
37,161,61,32,0.000111683,0.105286
38,223,61,32,0.000145787,0.0756822
39,308,61,32,0.00020469,0.069249
40,426,61,32,0.000307851,0.134009
41,588,61,32,9.59317e-05,0.0800055
42,813,61,32,0.000137578,0.129896
43,1123,61,32,0.000195813,0.163246
44,1552,61,32,0.00029139,0.118042
45,2145,61,32,0.000404463,0.13085
46,2964,61,32,0.000548327,0.0840743
47,4096,61,32,0.000896431,0.0385898
48,32,84,32,9.55555e-06,0.284648
49,44,84,32,4.11942e-05,0.360493
50,61,84,32,5.01992e-05,0.249445
51,84,84,32,6.59677e-05,0.183069
52,117,84,32,8.6482e-05,0.0936059
53,161,84,32,0.000119035,0.0830512
54,223,84,32,0.000144366,0.0992845
