m,n,k,avg,std
0,32,32,32,2.1792e-05,0.249534
1,37,32,32,2.55783e-05,0.109192
2,43,32,32,3.39934e-05,0.222644
3,51,32,32,4.10857e-05,0.428288
4,59,32,32,3.84642e-05,0.0703527
5,69,32,32,4.83737e-05,0.371637
6,81,32,32,5.3757e-05,0.139985
7,95,32,32,6.3828e-05,0.338508
8,111,32,32,6.84515e-05,0.198597
9,130,32,32,9.01734e-05,0.286286
10,153,32,32,0.000108555,0.351425
11,179,32,32,0.000117555,0.203725
12,209,32,32,0.000124261,0.0476577
13,244,32,32,0.000154412,0.119574
14,286,32,32,0.00018078,0.168836
15,334,32,32,0.000209581,0.0599808
16,391,32,32,0.000232663,0.0718659
17,457,32,32,0.000292189,0.105019
18,535,32,32,5.33126e-05,0.33229
19,626,32,32,6.15817e-05,0.163471
20,732,32,32,7.07043e-05,0.240381
21,856,32,32,8.55178e-05,0.201426
22,1001,32,32,0.000100309,0.276561
23,1171,32,32,0.000113905,0.144008
24,1369,32,32,0.000134127,0.123064
25,1601,32,32,0.00016841,0.18407
26,1872,32,32,0.000197811,0.194059
27,2190,32,32,0.00023408,0.187134
28,2561,32,32,0.000287638,0.130371
29,2995,32,32,0.000345249,0.167781
30,3502,32,32,0.000416555,0.179966
31,4096,32,32,0.000575167,0.0976661
32,32,37,32,2.12603e-05,0.135169
33,37,37,32,3.8274e-05,0.643256
34,43,37,32,3.29167e-05,0.285498
35,51,37,32,4.01451e-05,0.411356
36,59,37,32,4.26427e-05,0.223621
37,69,37,32,4.70991e-05,0.209635
38,81,37,32,5.89e-05,0.284282
39,95,37,32,7.07425e-05,0.447188
40,111,37,32,7.28979e-05,0.247296
41,130,37,32,8.34811e-05,0.113778
42,153,37,32,0.000104123,0.20963
43,179,37,32,0.000123342,0.278566
44,209,37,32,0.000136324,0.0423653
45,244,37,32,0.000147216,0.0728196
46,286,37,32,0.000186409,0.171646
47,334,37,32,0.000220911,0.167954
48,391,37,32,0.000249524,0.15323
49,457,37,32,0.000286359,0.0775427
50,535,37,32,6.32745e-05,0.393183
51,626,37,32,6.66705e-05,0.209458
52,732,37,32,8.1036e-05,0.184119
53,856,37,32,9.23701e-05,0.132871
54,1001,37,32,0.000117465,0.273975
55,1171,37,32,0.000136986,0.257874
56,1369,37,32,0.000154576,0.136825
57,1601,37,32,0.000197019,0.11931
58,1872,37,32,0.000225142,0.162755
59,2190,37,32,0.000270365,0.157387
60,2561,37,32,0.000332915,0.144738
61,2995,37,32,0.000382341,0.13593
62,3502,37,32,0.000451788,0.148797
63,4096,37,32,0.000659022,0.0989924
64,32,43,32,2.13505e-05,0.12594
65,37,43,32,3.35232e-05,0.600123
66,43,43,32,3.71179e-05,0.434618
67,51,43,32,4.15642e-05,0.482147
68,59,43,32,4.32382e-05,0.198141
69,69,43,32,5.05598e-05,0.339785
70,81,43,32,6.51569e-05,0.245885
71,95,43,32,6.91206e-05,0.355499
72,111,43,32,7.57319e-05,0.230223
73,130,43,32,8.74673e-05,0.154742
74,153,43,32,9.80714e-05,0.0529512
75,179,43,32,0.000123935,0.205197
76,209,43,32,0.000140632,0.172439
77,244,43,32,0.000159606,0.0550667
78,286,43,32,0.000188409,0.165631
79,334,43,32,0.00020847,0.0797799
80,391,43,32,0.000249044,0.0936871
81,457,43,32,0.000292326,0.0702274
82,535,43,32,6.76399e-05,0.24565
83,626,43,32,8.00485e-05,0.415062
84,732,43,32,9.06376e-05,0.130168
85,856,43,32,0.000102238,0.13588
86,1001,43,32,0.00013303,0.220186
87,1171,43,32,0.000148401,0.163101
88,1369,43,32,0.000189231,0.110597
89,1601,43,32,0.000239204,0.284809
90,1872,43,32,0.000262753,0.0990445
91,2190,43,32,0.000304113,0.134808
92,2561,43,32,0.000392291,0.166857
93,2995,43,32,0.000420738,0.11785
94,3502,43,32,0.000509735,0.104037
95,4096,43,32,0.000818661,0.0378409
96,32,51,32,2.21645e-05,0.130157
97,37,51,32,3.06199e-05,0.308768
98,43,51,32,3.40039e-05,0.214405
99,51,51,32,3.98266e-05,0.401253
100,59,51,32,4.49734e-05,0.236139
101,69,51,32,5.24841e-05,0.385725
102,81,51,32,6.21505e-05,0.242056
103,95,51,32,6.81259e-05,0.15493
104,111,51,32,7.48845e-05,0.142006
105,130,51,32,8.648e-05,0.0778016
106,153,51,32,0.000111847,0.226964
107,179,51,32,0.000128782,0.257595
108,209,51,32,0.000145344,0.170976
109,244,51,32,0.000172229,0.220505
110,286,51,32,0.000183264,0.0846536
111,334,51,32,0.000229867,0.141686
112,391,51,32,0.000258652,0.121561
113,457,51,32,0.00031679,0.110154
114,535,51,32,7.5545e-05,0.192099
115,626,51,32,9.78737e-05,0.305648
116,732,51,32,0.000105485,0.145638
117,856,51,32,0.000130291,0.21763
118,1001,51,32,0.000152573,0.223567
119,1171,51,32,0.000184811,0.249365
120,1369,51,32,0.000228888,0.23534
121,1601,51,32,0.000270574,0.205431
122,1872,51,32,0.000310108,0.186952
123,2190,51,32,0.000362804,0.152144
124,2561,51,32,0.000430015,0.0706048
125,2995,51,32,0.000491787,0.12489
126,3502,51,32,0.000567578,0.0692184
127,4096,51,32,0.000966531,0.0630208
128,32,59,32,2.44671e-05,0.286292
129,37,59,32,3.65833e-05,0.537
130,43,59,32,3.86005e-05,0.434378
131,51,59,32,4.15969e-05,0.387969
132,59,59,32,5.07666e-05,0.376896
133,69,59,32,5.997e-05,0.442107
134,81,59,32,6.29288e-05,0.229088
135,95,59,32,6.57268e-05,0.217893
136,111,59,32,8.36402e-05,0.297439
137,130,59,32,9.85054e-05,0.245105
138,153,59,32,0.000115017,0.202821
139,179,59,32,0.000134231,0.246622
140,209,59,32,0.000139205,0.0505636
141,244,59,32,0.000168595,0.156259
142,286,59,32,0.000203843,0.133289
143,334,59,32,0.000232793,0.0576906
144,391,59,32,0.000254713,0.0511183
145,457,59,32,0.000309876,0.0742757
146,535,59,32,9.24678e-05,0.265675
147,626,59,32,0.000105603,0.212771
148,732,59,32,0.000123337,0.227659
149,856,59,32,0.000149092,0.230571
150,1001,59,32,0.000184788,0.206977
151,1171,59,32,0.000213586,0.202175
152,1369,59,32,0.000245736,0.153048
153,1601,59,32,0.000298959,0.155876
154,1872,59,32,0.00035113,0.150001
155,2190,59,32,0.000418334,0.13719
156,2561,59,32,0.000496418,0.146534
157,2995,59,32,0.000540939,0.0828265
158,3502,59,32,0.000640947,0.0574545
159,4096,59,32,0.000943298,0.0569048
160,32,69,32,2.35852e-05,0.139758
161,37,69,32,3.00672e-05,0.0855898
162,43,69,32,3.47329e-05,0.0739408
163,51,69,32,4.03286e-05,0.160233
164,59,69,32,5.08068e-05,0.182924
165,69,69,32,5.77292e-05,0.382025
166,81,69,32,6.52361e-05,0.0726434
167,95,69,32,6.71747e-05,0.139458
168,111,69,32,8.02356e-05,0.188934
169,130,69,32,9.7353e-05,0.164039
170,153,69,32,0.000121529,0.147277
171,179,69,32,0.000131844,0.168556
172,209,69,32,0.000159942,0.130438
173,244,69,32,0.000170793,0.101854
174,286,69,32,0.000212734,0.146222
175,334,69,32,0.000246802,0.139024
176,391,69,32,0.000286408,0.169233
177,457,69,32,0.000326189,0.0743779
178,535,69,32,0.000108125,0.166337
179,626,69,32,0.000119316,0.0815843
180,732,69,32,0.000144753,0.192277
181,856,69,32,0.000176415,0.200562
182,1001,69,32,0.0002163,0.209444
183,1171,69,32,0.000241594,0.168292
184,1369,69,32,0.000291605,0.160464
185,1601,69,32,0.000347437,0.118591
186,1872,69,32,0.000414178,0.150813
187,2190,69,32,0.000448104,0.0896597
188,2561,69,32,0.000653986,0.0615116
189,2995,69,32,0.000790126,0.0366906
190,3502,69,32,0.00090159,0.0551814
191,4096,69,32,0.00120057,0.0266745
192,32,81,32,2.76494e-05,0.572259
193,37,81,32,2.99187e-05,0.0922172
194,43,81,32,4.11169e-05,0.457727
195,51,81,32,4.212e-05,0.223238
196,59,81,32,5.51058e-05,0.353206
197,69,81,32,5.34394e-05,0.218937
198,81,81,32,6.96465e-05,0.171868
199,95,81,32,7.53784e-05,0.179687
200,111,81,32,8.72288e-05,0.265623
201,130,81,32,0.000101615,0.213715
202,153,81,32,0.000125963,0.225385
203,179,81,32,0.000136957,0.0624869
204,209,81,32,0.000155324,0.108183
205,244,81,32,0.000187002,0.149829
206,286,81,32,0.000204693,0.0834605
207,334,81,32,0.000239763,0.0803497
208,391,81,32,0.000278925,0.0748879
209,457,81,32,0.000348409,0.0907179
210,535,81,32,0.000124754,0.148473
211,626,81,32,0.000145356,0.250511
212,732,81,32,0.000170801,0.19169
213,856,81,32,0.000195526,0.145333
214,1001,81,32,0.00025922,0.200944
215,1171,81,32,0.000277529,0.132986
216,1369,81,32,0.000350574,0.159513
217,1601,81,32,0.000407694,0.147941
218,1872,81,32,0.000457123,0.103247
219,2190,81,32,0.000918117,0.0670733
220,2561,81,32,0.00108741,0.0526791
221,2995,81,32,0.00117719,0.0442965
222,3502,81,32,0.00134683,0.0470225
223,4096,81,32,0.00218441,0.0438386
224,32,95,32,3.38906e-05,0.915948
225,37,95,32,3.4271e-05,0.255183
226,43,95,32,4.58648e-05,0.395342
227,51,95,32,4.4639e-05,0.181189
228,59,95,32,5.09015e-05,0.181787
229,69,95,32,5.94598e-05,0.0924338
230,81,95,32,7.67423e-05,0.30416
231,95,95,32,7.63059e-05,0.22917
232,111,95,32,8.2478e-05,0.0586511
233,130,95,32,0.000108516,0.20749
234,153,95,32,0.000121032,0.118635
235,179,95,32,0.000143517,0.0506142
236,209,95,32,0.000162791,0.0951893
237,244,95,32,0.00021602,0.17404
238,286,95,32,0.00021819,0.0983887
239,334,95,32,0.000266241,0.158712
240,391,95,32,0.000313073,0.125728
241,457,95,32,0.000391296,0.0861278
242,535,95,32,0.000140093,0.225091
243,626,95,32,0.000176118,0.244964
244,732,95,32,0.000199584,0.146515
245,856,95,32,0.000240217,0.157565
246,1001,95,32,0.000289392,0.140493
247,1171,95,32,0.000369064,0.160259
248,1369,95,32,0.00041319,0.13833
249,1601,95,32,0.000469981,0.12
250,1872,95,32,0.000558912,0.0949112
251,2190,95,32,0.00107046,0.0425692
252,2561,95,32,0.00118451,0.0505901
253,2995,95,32,0.00139564,0.0525058
254,3502,95,32,0.00169414,0.0414296
255,4096,95,32,0.00282918,0.0332228
256,32,111,32,4.94206e-05,0.336487
257,37,111,32,6.18312e-05,0.34014
258,43,111,32,6.7533e-05,0.0743241
259,51,111,32,7.3568e-05,0.124023
260,59,111,32,9.01543e-05,0.228016
261,69,111,32,0.000104914,0.310103
262,81,111,32,0.000124371,0.209233
263,95,111,32,0.00013176,0.214009
264,111,111,32,6.94464e-05,0.277627
265,130,111,32,7.45378e-05,0.469456
266,153,111,32,6.82773e-05,0.214883
267,179,111,32,8.86505e-05,0.302801
268,209,111,32,8.94482e-05,0.238117
