,nbytes,nnodes,ppn,avg,std
0,64,1,1,6.9555e-07,0.876929
7,16777216,1,1,2.0908e-06,2.8732
56,64,1,2,1.8243e-06,0.925506
63,16777216,1,2,0.008201,0.0658684
112,64,1,4,3.9111e-06,1.32409
119,16777216,1,4,0.0126575,0.0516461
168,64,1,8,8.7237e-06,0.732337
175,16777216,1,8,0.0253792,0.0522858
224,64,1,16,1.02637e-05,0.853781
231,16777216,1,16,0.0279778,0.0494674
280,64,1,32,1.17467e-05,0.256552
287,16777216,1,32,0.0301079,0.0492508
336,64,1,64,1.2674e-05,0.493529
343,16777216,1,64,0.0344932,0.162166
8,64,2,1,1.30153e-05,0.398147
15,16777216,2,1,0.00480178,0.255776
64,64,2,2,4.42288e-05,2.22341
71,16777216,2,2,0.0117769,0.110833
120,64,2,4,2.89987e-05,0.722839
127,16777216,2,4,0.0180103,0.184817
176,64,2,8,2.46537e-05,0.473838
183,16777216,2,8,0.0212705,0.117649
232,64,2,16,2.93454e-05,0.280973
239,16777216,2,16,0.023707,0.109437
288,64,2,32,2.85665e-05,0.259405
295,16777216,2,32,0.0558058,0.0226826
344,64,2,64,3.72672e-05,0.233768
351,16777216,2,64,0.0691313,0.0915258
16,64,4,1,2.31281e-05,0.421234
23,16777216,4,1,0.00796909,0.138651
72,64,4,2,5.69878e-05,1.60879
79,16777216,4,2,0.0153999,0.159248
128,64,4,4,3.45635e-05,0.375254
135,16777216,4,4,0.02024,0.129307
184,64,4,8,3.9801e-05,0.465211
191,16777216,4,8,0.0231021,0.109661
240,64,4,16,3.44528e-05,0.266575
247,16777216,4,16,0.0248902,0.126926
296,64,4,32,3.92963e-05,0.227898
303,16777216,4,32,0.0276094,0.120922
352,64,4,64,5.71884e-05,0.837479
359,16777216,4,64,0.0908087,0.0485344
24,64,8,1,3.45671e-05,0.506173
31,16777216,8,1,0.0100112,0.11353
80,64,8,2,4.29044e-05,0.416104
87,16777216,8,2,0.0163048,0.148223
136,64,8,4,4.7476e-05,0.413109
143,16777216,8,4,0.0210958,0.109495
192,64,8,8,4.38761e-05,0.280363
199,16777216,8,8,0.0242538,0.122331
248,64,8,16,4.81423e-05,0.3186
255,16777216,8,16,0.02645,0.123025
304,64,8,32,6.20343e-05,0.579097
311,16777216,8,32,0.0283951,0.11507
360,64,8,64,6.87466e-05,0.186899
367,16777216,8,64,0.0962811,0.0486373
32,64,16,1,4.73795e-05,0.30743
39,16777216,16,1,0.0113975,0.132643
88,64,16,2,5.76245e-05,0.38729
95,16777216,16,2,0.0175613,0.173108
144,64,16,4,8.15356e-05,0.27829
151,16777216,16,4,0.0231784,0.131848
200,64,16,8,6.09583e-05,0.397898
207,16777216,16,8,0.0251031,0.11395
256,64,16,16,7.20908e-05,0.371384
263,16777216,16,16,0.026974,0.141262
312,64,16,32,7.20872e-05,0.213147
319,16777216,16,32,0.0289218,0.108011
368,64,16,64,9.14205e-05,0.344545
375,16777216,16,64,0.10199,0.0322852
40,64,32,1,7.54741e-05,0.384842
47,16777216,32,1,0.012596,0.0924726
96,64,32,2,9.50906e-05,0.329176
103,16777216,32,2,0.0194931,0.0917066
152,64,32,4,8.86992e-05,0.269147
159,16777216,32,4,0.0240629,0.134804
208,64,32,8,8.51698e-05,0.309387
215,16777216,32,8,0.0261336,0.136537
264,64,32,16,8.33182e-05,0.32938
271,16777216,32,16,0.0274755,0.12137
320,64,32,32,9.77342e-05,0.508012
327,16777216,32,32,0.0295194,0.129527
376,64,32,64,0.000196018,1.96282
383,16777216,32,64,0.0349456,0.0809721
