,nbytes,nnodes,ppn,avg,std
0,64,1,1,6.41e-07,0.849075
1,147,1,1,8.676e-07,0.867034
2,338,1,1,8.63e-07,0.756077
3,776,1,1,7.7725e-07,0.900968
4,1783,1,1,7.7085e-07,0.834201
5,4096,1,1,8.375e-07,0.960478
6,9410,1,1,1.60575e-06,0.700997
7,21619,1,1,1.2189e-06,0.844621
8,49667,1,1,7.67235e-06,3.09223
9,114105,1,1,9.5475e-07,1.02667
10,262144,1,1,1.7994e-06,2.58637
11,602249,1,1,1.94085e-06,2.58095
12,1383604,1,1,2.6867e-06,2.13573
13,3178688,1,1,2.3146e-06,2.94651
14,7302707,1,1,1.7109e-05,4.14586
15,16777216,1,1,2.1284e-06,2.86505
112,64,1,2,2.3886e-06,1.16596
113,147,1,2,2.3801e-06,0.995316
114,338,1,2,2.57895e-06,0.780452
115,776,1,2,2.7959e-06,0.774023
116,1783,1,2,4.8133e-06,1.30429
117,4096,1,2,7.25965e-06,0.539388
118,9410,1,2,1.18926e-05,1.37367
119,21619,1,2,1.4923e-05,0.68292
120,49667,1,2,3.33693e-05,1.06064
121,114105,1,2,5.76167e-05,0.318867
122,262144,1,2,0.000330108,0.184884
123,602249,1,2,0.000583303,0.146814
124,1383604,1,2,0.00108271,0.15091
125,3178688,1,2,0.00212437,0.191787
126,7302707,1,2,0.00406288,0.114637
127,16777216,1,2,0.00832304,0.0916293
224,64,1,4,3.59135e-06,1.01174
225,147,1,4,5.65605e-06,1.14483
226,338,1,4,8.48725e-06,0.712041
227,776,1,4,7.87195e-06,0.933058
228,1783,1,4,3.18187e-05,3.02736
229,4096,1,4,3.92931e-05,2.59533
230,9410,1,4,2.70026e-05,0.837844
231,21619,1,4,2.91971e-05,0.891377
232,49667,1,4,7.49312e-05,2.0515
233,114105,1,4,0.000207615,0.415049
234,262144,1,4,0.00059614,0.0936695
235,602249,1,4,0.000858848,0.129034
236,1383604,1,4,0.00168643,0.104881
237,3178688,1,4,0.00320067,0.137915
238,7302707,1,4,0.00748058,0.103555
239,16777216,1,4,0.0165446,0.0841628
336,64,1,8,1.03911e-05,0.48071
337,147,1,8,1.9432e-05,1.04558
338,338,1,8,2.74832e-05,1.46601
339,776,1,8,3.81587e-05,2.95846
340,1783,1,8,4.06151e-05,2.20081
341,4096,1,8,2.3767e-05,0.922117
342,9410,1,8,6.84204e-05,1.90542
343,21619,1,8,5.2907e-05,0.814741
344,49667,1,8,0.000110696,1.34009
345,114105,1,8,0.000411392,0.188491
346,262144,1,8,0.000799875,0.146694
347,602249,1,8,0.0011488,0.115048
348,1383604,1,8,0.0021002,0.132412
349,3178688,1,8,0.00431,0.107072
350,7302707,1,8,0.00813031,0.0464676
351,16777216,1,8,0.0222147,0.084198
448,64,1,16,1.01902e-05,1.0593
449,147,1,16,1.98866e-05,0.874578
450,338,1,16,1.38566e-05,0.664418
451,776,1,16,2.09565e-05,1.17504
452,1783,1,16,2.49212e-05,1.07707
453,4096,1,16,3.36142e-05,0.815811
454,9410,1,16,4.75339e-05,0.43964
455,21619,1,16,7.63162e-05,0.710508
456,49667,1,16,0.000107704,0.652769
457,114105,1,16,0.000500029,0.129469
458,262144,1,16,0.000899034,0.0896953
459,602249,1,16,0.001919,0.063918
460,1383604,1,16,0.00266236,0.0927281
461,3178688,1,16,0.00529938,0.0899776
462,7302707,1,16,0.0119912,0.113244
463,16777216,1,16,0.0274498,0.07637
560,64,1,32,1.14987e-05,0.249083
561,147,1,32,3.17274e-05,1.54597
562,338,1,32,2.09677e-05,1.20595
563,776,1,32,1.99424e-05,0.557505
564,1783,1,32,3.22214e-05,1.79351
565,4096,1,32,3.55275e-05,0.883019
566,9410,1,32,6.23194e-05,0.606701
567,21619,1,32,0.000105442,0.850972
568,49667,1,32,0.000119837,0.724473
569,114105,1,32,0.000661903,0.188276
570,262144,1,32,0.00101054,0.168153
571,602249,1,32,0.00209426,0.1212
572,1383604,1,32,0.00392343,0.337258
573,3178688,1,32,0.00630539,0.0537762
574,7302707,1,32,0.0127146,0.0544084
575,16777216,1,32,0.0302164,0.051755
672,64,1,64,1.23797e-05,0.339718
673,147,1,64,1.43424e-05,0.565545
674,338,1,64,1.64994e-05,0.1929
675,776,1,64,2.06195e-05,0.230929
676,1783,1,64,2.15835e-05,0.199128
677,4096,1,64,2.77437e-05,0.107947
678,9410,1,64,0.000106932,1.17258
679,21619,1,64,0.000121334,0.654948
680,49667,1,64,0.000228457,1.06224
681,114105,1,64,0.000906105,0.259805
682,262144,1,64,0.00125761,0.34724
683,602249,1,64,0.00195155,0.420859
684,1383604,1,64,0.00436873,0.166913
685,3178688,1,64,0.00731033,0.158475
686,7302707,1,64,0.0148812,0.129151
687,16777216,1,64,0.0344587,0.123123
16,64,2,1,1.19347e-05,0.362918
17,147,2,1,1.73207e-05,0.648063
18,338,2,1,1.74644e-05,0.431274
19,776,2,1,1.85248e-05,0.866
20,1783,2,1,1.54947e-05,0.104024
21,4096,2,1,2.18338e-05,0.545662
22,9410,2,1,3.30893e-05,0.230074
23,21619,2,1,4.58228e-05,0.642938
24,49667,2,1,6.68857e-05,0.398053
25,114105,2,1,0.000117155,0.404743
26,262144,2,1,0.000354211,0.398618
27,602249,2,1,0.000510033,0.365987
28,1383604,2,1,0.000897361,0.304173
29,3178688,2,1,0.00144572,0.339163
30,7302707,2,1,0.00264329,0.258898
31,16777216,2,1,0.00476198,0.256389
128,64,2,2,1.96103e-05,0.388126
129,147,2,2,2.1381e-05,0.216087
130,338,2,2,2.47572e-05,0.398641
131,776,2,2,3.34314e-05,0.408255
132,1783,2,2,2.56168e-05,0.335072
133,4096,2,2,4.63525e-05,0.539007
134,9410,2,2,4.87269e-05,0.352409
135,21619,2,2,5.18161e-05,0.181964
136,49667,2,2,9.82046e-05,0.357925
137,114105,2,2,0.000436345,0.516392
138,262144,2,2,0.000534183,0.185696
139,602249,2,2,0.00100867,0.123266
140,1383604,2,2,0.00170432,0.138368
141,3178688,2,2,0.00293192,0.134079
142,7302707,2,2,0.0056954,0.156202
143,16777216,2,2,0.0119635,0.149711
240,64,2,4,6.97305e-05,2.65197
241,147,2,4,8.4875e-05,1.87651
242,338,2,4,7.70239e-05,1.86209
243,776,2,4,2.79112e-05,0.468732
244,1783,2,4,8.91204e-05,1.64093
245,4096,2,4,3.24638e-05,0.310985
246,9410,2,4,7.29404e-05,0.312281
247,21619,2,4,0.000137499,1.27054
248,49667,2,4,0.000152074,0.868894
249,114105,2,4,0.000440145,0.446346
250,262144,2,4,0.000720704,0.269718
251,602249,2,4,0.00145686,0.130962
252,1383604,2,4,0.00237078,0.111656
253,3178688,2,4,0.00398979,0.125324
254,7302707,2,4,0.00775871,0.163495
255,16777216,2,4,0.019498,0.129008
352,64,2,8,2.36336e-05,0.519883
353,147,2,8,3.66378e-05,0.418209
354,338,2,8,3.0459e-05,0.358029
355,776,2,8,5.93104e-05,1.75406
356,1783,2,8,6.20262e-05,1.77581
357,4096,2,8,4.57003e-05,0.35565
358,9410,2,8,8.56599e-05,0.277081
359,21619,2,8,0.00014122,1.15966
360,49667,2,8,0.000208174,1.15133
361,114105,2,8,0.000530492,0.388263
362,262144,2,8,0.000790072,0.281385
363,602249,2,8,0.00146354,0.10887
364,1383604,2,8,0.00262817,0.145881
365,3178688,2,8,0.00458686,0.169575
366,7302707,2,8,0.010327,0.113668
367,16777216,2,8,0.0213747,0.118092
464,64,2,16,2.57124e-05,0.420564
465,147,2,16,3.36474e-05,0.447382
466,338,2,16,6.48371e-05,1.73414
467,776,2,16,6.50279e-05,1.51366
468,1783,2,16,3.34579e-05,0.356257
469,4096,2,16,4.48322e-05,0.424502
470,9410,2,16,0.000109505,1.21716
471,21619,2,16,0.00012671,0.500033
472,49667,2,16,0.000177755,0.804674
473,114105,2,16,0.00052219,0.193489
474,262144,2,16,0.000800938,0.192534
475,602249,2,16,0.00151481,0.17306
476,1383604,2,16,0.00290408,0.106663
477,3178688,2,16,0.00559873,0.191108
478,7302707,2,16,0.0104502,0.158071
479,16777216,2,16,0.0240449,0.0988348
576,64,2,32,4.03869e-05,1.30277
577,147,2,32,3.25995e-05,0.301508
578,338,2,32,4.31929e-05,0.792578
579,776,2,32,6.6904e-05,1.11796
580,1783,2,32,4.91534e-05,0.187621
581,4096,2,32,6.09232e-05,0.286865
582,9410,2,32,0.000103172,0.442003
583,21619,2,32,0.000186827,0.499107
584,49667,2,32,0.000176041,0.576171
585,114105,2,32,0.000568853,0.237039
586,262144,2,32,0.000848397,0.129048
587,602249,2,32,0.0016517,0.147892
588,1383604,2,32,0.00722609,0.114364
589,3178688,2,32,0.0129777,0.124984
590,7302707,2,32,0.0254372,0.0868223
591,16777216,2,32,0.0570396,0.0572187
688,64,2,64,2.76766e-05,0.316328
689,147,2,64,4.2243e-05,0.364052
690,338,2,64,5.22512e-05,1.39718
691,776,2,64,4.75031e-05,0.227616
692,1783,2,64,5.04044e-05,0.285703
693,4096,2,64,6.7853e-05,0.256011
694,9410,2,64,0.000113538,0.438613
695,21619,2,64,0.000133808,0.353015
696,49667,2,64,0.000223581,0.383726
697,114105,2,64,0.000730138,0.282291
698,262144,2,64,0.00101011,0.097709
699,602249,2,64,0.00418933,0.0971686
700,1383604,2,64,0.00778515,0.164497
701,3178688,2,64,0.0154448,0.220878
702,7302707,2,64,0.0299184,0.0593006
