,nbytes,nnodes,ppn,avg,std
0,64,1,1,6.545e-07,0.861366
1,78,1,1,6.77e-07,0.771016
2,95,1,1,6.9415e-07,0.891775
3,116,1,1,6.726e-07,0.742975
4,141,1,1,9.0075e-07,0.978317
5,172,1,1,8.3375e-07,0.784891
6,210,1,1,8.6055e-07,0.86642
7,256,1,1,8.7935e-07,0.804185
8,312,1,1,9.806e-07,1.21844
9,380,1,1,8.755e-07,0.910187
10,464,1,1,8.3985e-07,0.850036
11,565,1,1,7.667e-07,0.811835
12,689,1,1,7.8185e-07,0.894666
13,840,1,1,7.682e-07,0.846273
14,1024,1,1,7.8675e-07,0.928156
15,1248,1,1,8.374e-07,1.15047
16,1522,1,1,7.392e-07,0.841032
17,1855,1,1,7.722e-07,0.824812
18,2261,1,1,8.314e-07,1.0672
19,2756,1,1,7.808e-07,0.886658
20,3360,1,1,7.9835e-07,0.801461
21,4096,1,1,8.1485e-07,0.898623
22,4993,1,1,3.96675e-06,2.62389
23,6087,1,1,1.5435e-06,0.560379
24,7420,1,1,1.65585e-06,0.853926
25,9045,1,1,1.7656e-06,1.06349
26,11026,1,1,1.546e-06,0.5648
27,13440,1,1,8.243e-07,0.896463
28,16384,1,1,9.2505e-07,1.25931
29,19972,1,1,8.294e-07,0.881699
30,24347,1,1,1.5431e-06,0.550574
31,29679,1,1,1.55615e-06,0.564304
32,36179,1,1,1.56165e-06,0.584212
33,44102,1,1,1.6688e-06,0.708973
34,53761,1,1,1.66685e-06,0.730036
35,65536,1,1,1.64475e-06,0.681873
36,79889,1,1,1.59015e-06,0.55662
37,97386,1,1,8.945e-07,0.806176
38,118715,1,1,9.2915e-07,0.910376
39,144715,1,1,1.87295e-06,2.6096
40,176410,1,1,2.1564e-06,2.78431
41,215046,1,1,1.8012e-06,2.72071
42,262144,1,1,1.80925e-06,2.72087
43,319557,1,1,1.96045e-06,2.63556
44,389544,1,1,1.8256e-06,2.61135
45,474860,1,1,1.81805e-06,2.6234
46,578861,1,1,2.00035e-06,2.51101
47,705639,1,1,3.01025e-06,3.28501
48,860184,1,1,2.66915e-06,2.11821
49,1048576,1,1,2.49275e-06,2.00195
50,1278228,1,1,2.77495e-06,2.23058
51,1558178,1,1,3.06315e-06,3.29361
52,1899440,1,1,3.2752e-06,3.34269
53,2315444,1,1,2.00945e-06,2.71963
54,2822557,1,1,2.4893e-06,3.04312
55,3440736,1,1,1.98322e-05,4.18339
56,4194304,1,1,2.13355e-06,2.81728
57,5112914,1,1,3.55795e-06,3.48771
58,6232712,1,1,2.23455e-06,2.89707
59,7597761,1,1,2.12245e-06,2.84183
60,9261774,1,1,2.126e-06,2.81584
61,11290229,1,1,3.83435e-06,3.46569
62,13762943,1,1,2.2798e-06,2.8479
63,16777216,1,1,2.1396e-06,2.82186
448,64,1,2,2.50815e-06,1.07059
449,78,1,2,2.41965e-06,1.29753
450,95,1,2,2.17795e-06,0.92641
451,116,1,2,2.26565e-06,1.00307
452,141,1,2,3.169e-06,1.62645
453,172,1,2,4.46035e-06,1.49075
454,210,1,2,2.28565e-06,0.855659
455,256,1,2,4.8942e-06,2.13464
456,312,1,2,2.8316e-06,1.12697
457,380,1,2,2.94175e-06,0.809571
458,464,1,2,3.6728e-06,1.5041
459,565,1,2,2.6842e-06,0.796741
460,689,1,2,3.05005e-06,0.951107
461,840,1,2,5.70935e-06,2.43819
462,1024,1,2,2.9314e-06,0.760296
463,1248,1,2,3.95485e-06,1.50277
464,1522,1,2,3.09065e-06,0.690767
465,1855,1,2,4.931e-06,1.35945
466,2261,1,2,5.37435e-06,1.05672
467,2756,1,2,1.01054e-05,1.15916
468,3360,1,2,1.00207e-05,1.34637
469,4096,1,2,6.01245e-06,0.605517
470,4993,1,2,7.7158e-06,0.811659
471,6087,1,2,1.03691e-05,0.513183
472,7420,1,2,9.98795e-06,0.956548
473,9045,1,2,1.27501e-05,0.801918
474,11026,1,2,1.15683e-05,0.999662
475,13440,1,2,1.36486e-05,0.906061
476,16384,1,2,1.39548e-05,0.918195
477,19972,1,2,1.7031e-05,1.17569
478,24347,1,2,1.88289e-05,1.14924
479,29679,1,2,2.07989e-05,1.14026
480,36179,1,2,2.02735e-05,0.429832
481,44102,1,2,2.55166e-05,0.765162
482,53761,1,2,2.69676e-05,0.477254
483,65536,1,2,3.0093e-05,0.242767
484,79889,1,2,4.04637e-05,0.360082
485,97386,1,2,4.0716e-05,0.156087
486,118715,1,2,5.33692e-05,0.238267
487,144715,1,2,0.000202146,0.285897
488,176410,1,2,0.000152019,0.29924
489,215046,1,2,0.000285717,0.20689
