nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
88,23,16,32,2,0,1,4,4,4,1,64,1,0.751795,0.391576
102,20,20,31,4,9,8,4,4,4,1,64,1,0.357255,0.453139
150,22,26,20,3,9,1,4,4,4,1,64,1,0.236339,0.486961
173,30,22,28,2,8,0,4,4,4,1,64,1,0.852778,0.927271
191,18,16,32,6,2,1,4,4,4,1,64,1,0.283233,0.391343
216,23,19,25,4,5,8,4,4,4,1,64,1,0.359745,0.511018
237,16,24,21,2,1,9,4,4,4,1,64,1,0.656078,0.463862
301,16,32,20,4,8,4,4,4,4,1,64,1,0.273367,0.602841
309,18,19,19,6,1,12,4,4,4,1,64,1,0.231934,0.549844
19,22,24,26,4,3,1,4,4,4,1,64,1,0.329671,0.613951
20,20,28,22,3,7,12,4,4,4,1,64,1,0.281789,0.538291
45,30,20,20,5,2,7,4,4,4,1,64,1,0.468320,0.607607
55,20,23,24,4,2,2,4,4,4,1,64,1,0.281398,0.844281
73,23,18,28,2,8,12,4,4,4,1,64,1,0.678896,0.700589
119,21,20,30,2,1,7,4,4,4,1,64,1,0.981693,0.481903
121,19,23,24,6,3,3,4,4,4,1,64,1,0.325668,0.506859
134,32,25,18,6,4,6,4,4,4,1,64,1,0.580588,0.575317
142,27,21,25,4,3,10,4,4,4,1,64,1,0.375060,0.579950
149,19,21,32,6,3,13,4,4,4,1,64,1,0.356449,0.620331
162,29,25,24,2,7,9,4,4,4,1,64,1,0.986534,0.683433
179,30,26,31,0,3,11,4,4,4,1,64,1,1.565371,1.097738
281,31,21,16,0,1,4,4,4,4,1,64,1,0.679693,2.385541
282,32,25,25,1,8,4,4,4,4,1,64,1,0.664711,1.188331
327,29,18,18,2,7,6,4,4,4,1,64,1,0.862757,0.466789
360,30,27,25,1,5,0,4,4,4,1,64,1,0.936774,0.759669
439,18,18,20,3,8,2,4,4,4,1,64,1,0.168500,0.451848
452,26,17,22,3,8,11,4,4,4,1,64,1,0.216913,0.628361
488,19,29,22,6,8,6,4,4,4,1,64,1,0.513882,0.836810
570,20,25,32,2,4,0,4,4,4,1,64,1,0.822068,0.632452
574,31,17,17,2,5,5,4,4,4,1,64,1,0.870942,0.542204
638,16,22,25,2,5,2,4,4,4,1,64,1,0.484038,0.421109
673,23,27,22,4,8,2,4,4,4,1,64,1,0.307764,0.789604
676,19,19,32,0,7,7,4,4,4,1,64,1,1.384824,0.618392
708,16,16,16,4,9,13,4,4,4,1,64,1,0.165412,0.207913
720,18,23,18,4,5,3,4,4,4,1,64,1,0.217539,0.447139
758,27,26,24,2,7,5,4,4,4,1,64,1,1.108084,0.694637
774,16,27,31,1,6,0,4,4,4,1,64,1,0.696562,0.699001
786,29,17,21,3,6,11,4,4,4,1,64,1,0.224912,2.065279
829,21,16,22,3,6,12,4,4,4,1,64,1,0.186703,1.556985
842,18,23,16,3,3,4,4,4,4,1,64,1,0.176607,0.346968
894,24,21,28,5,5,3,4,4,4,1,64,1,0.385570,0.521468
905,23,21,16,0,7,3,4,4,4,1,64,1,0.607042,0.501351
917,26,25,30,0,9,9,4,4,4,1,64,1,1.396765,0.682331
932,16,19,29,2,2,0,4,4,4,1,64,1,0.566290,0.491100
986,16,26,31,2,3,11,4,4,4,1,64,1,0.735766,0.638167
998,25,17,17,3,2,8,4,4,4,1,64,1,0.216428,1.572052
999,17,22,27,0,2,5,4,4,4,1,64,1,1.244033,0.970267
1002,19,21,27,2,0,5,4,4,4,1,64,1,0.950045,0.424713
1009,16,23,31,3,5,9,4,4,4,1,64,1,0.283779,1.814696
1013,31,21,24,0,6,5,4,4,4,1,64,1,1.640049,3.367981
1025,26,23,29,2,7,9,4,4,4,1,64,1,0.994787,0.711232
1056,29,19,18,5,7,5,4,4,4,1,64,1,0.493224,0.537465
1128,18,29,24,0,7,5,4,4,4,1,64,1,1.451626,0.666066
