nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
2706,22,22,32,2,9,5,4,2,4,4,32,1,0.633458,0.283549
1858,17,26,18,6,4,1,4,4,4,2,64,1,0.324720,0.421393
16929,22,32,17,2,2,7,2,2,2,8,8,1,0.248589,0.104095
23822,24,16,20,0,1,1,2,1,2,16,4,1,0.222906,0.045438
17776,21,20,17,0,0,9,2,2,2,8,8,1,0.260579,0.067024
2391,19,17,22,5,5,0,2,1,2,16,4,1,0.087431,0.042088
38243,17,20,29,3,3,6,1,1,2,64,2,1,0.099424,0.055658
4414,21,17,16,1,5,7,4,4,2,4,32,1,0.381980,0.187000
13314,22,16,17,1,8,13,4,2,2,8,16,1,0.270628,0.218421
4820,18,25,18,1,5,10,2,4,2,8,16,1,0.338508,0.162985
2435,20,24,18,3,9,13,4,4,2,2,32,1,0.121200,0.197871
34338,24,32,32,6,5,3,1,2,1,32,2,1,0.193477,0.057808
39304,18,24,27,1,3,3,1,1,2,64,2,1,0.167685,0.070170
4382,17,30,25,4,0,9,2,4,4,4,32,1,0.257705,0.186629
2987,31,30,29,5,1,7,4,4,2,2,32,1,0.447042,0.653488
1190,16,21,19,4,9,0,1,2,1,32,2,1,0.068669,0.044252
952,24,22,24,6,1,8,2,1,1,32,2,1,0.116976,0.039305
46377,21,29,24,2,8,2,1,1,1,64,1,1,0.152573,0.026690
26877,25,19,21,2,1,3,2,1,2,16,4,1,0.158898,0.049962
13839,32,32,17,6,6,6,1,1,1,64,1,1,0.135915,0.024536
45833,28,23,22,5,1,1,1,1,1,64,1,1,0.103469,0.021774
24968,30,22,19,5,3,7,2,2,1,16,4,1,0.133226,0.072342
4838,23,16,17,5,6,5,4,4,2,4,32,1,0.233217,0.247221
18625,18,31,17,4,3,0,2,2,2,16,8,1,0.182775,0.138512
13999,30,22,27,0,8,13,4,2,2,8,16,1,0.885937,0.365710
4951,17,17,20,5,8,4,2,2,4,8,16,1,0.186081,0.200899
695,25,24,30,2,8,13,4,4,4,1,64,1,0.855835,0.894621
45327,17,20,17,4,1,6,1,1,1,64,1,1,0.046588,0.016140
47723,21,32,26,3,7,8,1,1,1,64,1,1,0.058638,0.028687
45936,19,30,31,2,7,2,1,1,1,64,1,1,0.186989,0.026723
43442,23,26,25,2,8,3,1,1,1,64,1,1,0.155336,0.025945
3486,26,16,28,2,0,3,2,2,4,4,16,1,0.267911,0.120946
26897,23,26,19,4,2,1,2,2,1,16,4,1,0.100235,0.054599
1940,20,22,22,0,0,7,4,4,4,2,64,1,1.413486,0.389267
180,23,29,24,1,3,8,4,4,4,1,64,1,1.016225,0.691007
44557,23,22,17,0,6,9,1,1,1,64,1,1,0.196561,0.021566
41421,23,16,18,1,7,6,2,1,1,64,2,1,0.168803,0.044812
24434,18,30,22,0,1,8,1,2,2,16,4,1,0.347396,0.057994
14445,23,18,26,0,9,12,1,1,1,64,1,1,0.242227,0.022410
2838,32,19,31,2,6,9,4,2,4,2,32,1,0.519969,0.517405
23788,18,25,19,2,1,5,1,2,2,16,4,1,0.146178,0.042483
19,23,26,18,1,1,1,4,4,4,1,64,1,0.687545,0.480679
11678,28,22,32,1,5,5,1,1,2,32,2,1,0.182993,0.054473
337,31,23,32,4,7,1,4,2,4,2,32,1,0.302412,0.402035
24180,23,24,22,4,4,1,2,2,1,16,4,1,0.107544,0.062405
5071,25,27,20,6,5,2,2,4,2,8,16,1,0.279069,0.212397
2591,24,23,21,4,2,2,2,2,1,32,4,1,0.156734,0.072279
16505,18,21,16,6,3,4,2,2,2,8,8,1,0.085284,0.071091
33739,20,29,23,1,3,12,1,2,1,32,2,1,0.126946,0.051921
4408,20,31,21,0,3,5,2,4,2,4,16,1,0.504615,0.211639
1321,18,16,25,3,7,11,1,1,2,64,2,1,0.108345,0.048860
4474,29,28,16,6,8,3,4,4,2,2,32,1,0.220129,0.367247
5805,21,32,18,4,1,5,4,4,2,4,32,1,0.260632,0.252137
3394,24,19,20,5,8,7,4,2,2,8,16,1,0.250434,0.247219
24989,26,22,31,5,4,10,2,1,2,16,4,1,0.169769,0.080059
9146,20,25,19,0,9,3,2,4,2,4,16,1,0.347142,0.126048
25639,20,18,21,6,3,5,2,1,2,16,4,1,0.096218,0.048659
30207,21,21,18,1,4,8,2,2,1,32,4,1,0.188958,0.073016
33567,16,18,22,2,5,12,1,1,2,32,2,1,0.105794,0.030982
35135,22,28,23,0,0,13,1,2,1,32,2,1,0.365685,0.044042
3437,23,24,28,5,7,0,2,2,2,16,8,1,0.320040,0.165529
41222,22,27,29,0,7,13,1,1,2,64,2,1,0.573739,0.085895
34137,23,17,16,5,0,5,2,1,1,32,2,1,0.075520,0.025162
22375,17,19,21,5,2,12,2,2,2,16,8,1,0.170950,0.107134
10211,18,21,17,3,5,8,2,4,2,4,16,1,0.083586,0.256424
3043,22,24,20,5,4,11,1,2,1,32,2,1,0.101899,0.038694
9273,31,28,31,3,5,2,4,2,2,4,16,1,0.141977,1.355270
292,26,18,31,3,4,4,1,1,1,64,1,1,0.040519,0.027316
41050,22,21,16,2,8,13,2,1,1,64,2,1,0.177794,0.055807
47325,21,32,27,3,1,9,1,1,1,64,1,1,0.046596,0.026554
2093,16,22,20,0,5,13,4,4,4,2,64,1,0.788870,0.634015
4302,18,29,20,2,8,8,2,4,4,2,32,1,0.365443,0.324055
43193,17,31,17,6,2,11,1,1,1,64,1,1,0.073464,0.018538
6114,27,21,22,4,8,3,2,2,2,8,8,1,0.114388,0.123515
11242,29,26,22,1,1,7,4,2,2,8,16,1,0.524255,0.246707
1679,26,20,18,6,7,9,1,1,1,64,1,1,0.085802,0.021388
634,25,23,18,2,9,5,4,4,4,1,64,1,0.888827,0.480747
30137,31,31,30,2,4,12,2,2,1,32,4,1,0.518352,0.135233
69,21,32,28,1,9,9,1,1,1,64,1,1,0.134335,0.026579
6533,32,26,23,1,9,6,4,4,2,2,32,1,0.567910,0.424870
842,18,23,16,3,3,4,4,4,4,1,64,1,0.176607,0.346968
35484,21,16,27,6,5,12,1,1,2,32,2,1,0.091239,0.032426
7775,30,16,32,0,1,11,4,4,4,1,64,1,1.094319,1.070717
41973,19,17,24,5,2,11,1,1,2,64,2,1,0.135928,0.049575
9568,32,23,21,4,9,10,4,2,2,4,16,1,0.177513,0.168753
2529,18,26,30,1,2,9,1,2,2,32,4,1,0.235558,0.083104
4742,31,23,26,5,7,11,4,2,2,8,16,1,0.397690,0.295378
983,18,22,19,5,2,12,2,4,2,4,16,1,0.116195,0.149005
45024,30,26,16,6,7,12,1,1,1,64,1,1,0.104041,0.024809
1064,18,25,18,1,7,12,4,4,4,1,64,1,0.568672,0.505215
13133,32,20,20,0,6,13,2,1,1,64,2,1,0.433634,0.070868
2365,18,17,27,2,8,6,4,2,4,4,32,1,0.440257,0.295574
41760,32,18,27,0,3,6,2,1,1,64,2,1,0.517652,0.082313
12458,30,24,26,2,7,3,4,2,2,8,16,1,0.698219,0.279794
17591,17,28,18,3,3,5,2,2,2,8,8,1,0.074886,0.086521
5777,18,19,21,6,4,0,4,2,4,4,32,1,0.209348,0.221322
15978,30,26,24,5,1,7,2,2,2,8,8,1,0.202020,0.110318
23847,27,23,21,3,2,3,2,2,1,16,4,1,0.062038,0.063448
29042,29,20,23,5,3,3,2,1,2,32,4,1,0.187082,0.095557
8436,24,20,16,6,4,1,2,2,1,16,4,1,0.083991,0.044355
1906,21,19,19,4,0,5,2,2,2,16,8,1,0.179024,0.080078
2270,32,30,23,2,7,5,4,4,4,2,64,1,1.421535,0.835372
13372,30,17,20,6,8,12,4,2,2,8,16,1,0.243338,0.257251
11648,27,29,32,2,0,4,1,1,2,32,2,1,0.294212,0.054822
40623,25,25,29,0,9,3,1,1,2,64,2,1,0.576310,0.084205
43844,24,22,32,1,7,7,1,1,1,64,1,1,0.146612,0.025321
7048,21,17,16,1,4,10,4,4,2,4,32,1,0.373034,0.199354
