m,n,p,avg,std
0,1024,16,1,0.00123903,0.229115
1,65536,16,1,0.00725727,0.0225799
2,1024,1024,1,0.101364,0.00310872
3,65536,1024,1,0.985695,0.00475645
4,2048,32,4,0.00190588,0.198776
5,131072,32,4,0.0135135,0.0851867
6,2048,2048,4,0.260576,0.0030117
7,131072,2048,4,2.18369,0.00230964
8,4096,64,16,0.00409315,0.0762214
9,262144,64,16,0.132338,0.0781783
10,4096,4096,16,0.643424,0.00283024
11,262144,4096,16,6.38507,0.000645985
12,8192,128,64,0.012949,0.0060438
13,524288,128,64,1.66043,0.0344465
14,8192,8192,64,1.64885,0.000506717
15,524288,8192,64,17.1182,0.00115959
