m,n,p,avg,std
0,1024,16,1,0.0012491,0.212668
1,1351,16,1,0.00132152,0.161582
2,1783,16,1,0.00133959,0.116444
3,2353,16,1,0.00142608,0.099207
4,3104,16,1,0.0014833,0.0894174
5,4096,16,1,0.00157154,0.0877087
6,5405,16,1,0.00168461,0.0782375
7,7132,16,1,0.0018563,0.0760462
8,9410,16,1,0.00206555,0.0718456
9,12417,16,1,0.00233502,0.0641269
10,16384,16,1,0.00268394,0.0499965
11,21619,16,1,0.00325795,0.0486108
12,28526,16,1,0.00393642,0.030753
13,37641,16,1,0.00496284,0.02126
14,49667,16,1,0.0063219,0.0190562
15,65536,16,1,0.00769149,0.0154641
16,1024,21,1,0.00143005,0.223638
17,1351,21,1,0.00162684,0.196308
18,1783,21,1,0.00164336,0.106663
19,2353,21,1,0.001697,0.0848902
20,3104,21,1,0.00173548,0.0662221
21,4096,21,1,0.00183775,0.066204
22,5405,21,1,0.00195014,0.0524837
23,7132,21,1,0.002113,0.0437276
24,9410,21,1,0.00232896,0.0537958
25,12417,21,1,0.00259141,0.0436107
26,16384,21,1,0.00292817,0.041287
27,21619,21,1,0.00339726,0.0296637
28,28526,21,1,0.00400445,0.0282403
29,37641,21,1,0.00480458,0.0253479
30,49667,21,1,0.006079,0.00997431
31,65536,21,1,0.00735034,0.0238329
32,1024,28,1,0.00151823,0.07701
33,1351,28,1,0.00158849,0.186172
34,1783,28,1,0.00179154,0.199724
35,2353,28,1,0.00190829,0.105114
36,3104,28,1,0.00192641,0.0744027
37,4096,28,1,0.00201137,0.0517752
38,5405,28,1,0.00212501,0.0671501
39,7132,28,1,0.00222,0.0578334
40,9410,28,1,0.00247629,0.0433228
41,12417,28,1,0.00269314,0.0487275
42,16384,28,1,0.00306594,0.0434202
43,21619,28,1,0.00352346,0.0307793
44,28526,28,1,0.00413762,0.0302683
45,37641,28,1,0.00494076,0.0404873
46,49667,28,1,0.00651127,0.0151392
47,65536,28,1,0.00736136,0.0304817
48,1024,37,1,0.0019238,0.0804507
49,1351,37,1,0.00210452,0.0708978
50,1783,37,1,0.00223851,0.129608
51,2353,37,1,0.00240867,0.137567
52,3104,37,1,0.00257189,0.0839353
53,4096,37,1,0.00260267,0.0501571
54,5405,37,1,0.00275563,0.0456552
55,7132,37,1,0.00295877,0.0327519
56,9410,37,1,0.00316257,0.0359097
57,12417,37,1,0.00335122,0.0373289
58,16384,37,1,0.00366062,0.0362371
59,21619,37,1,0.00415331,0.0258329
60,28526,37,1,0.00472674,0.0306065
61,37641,37,1,0.00559646,0.0284878
62,49667,37,1,0.00663279,0.0201458
63,65536,37,1,0.00826359,0.030839
64,1024,49,1,0.00268927,0.0810928
65,1351,49,1,0.00263023,0.061492
66,1783,49,1,0.00292399,0.0545715
67,2353,49,1,0.00308722,0.0920392
68,3104,49,1,0.00326536,0.0955321
69,4096,49,1,0.00346421,0.0413747
70,5405,49,1,0.00353611,0.0381713
71,7132,49,1,0.00377532,0.0290788
72,9410,49,1,0.0039188,0.0401257
73,12417,49,1,0.00422918,0.0364395
74,16384,49,1,0.00493201,0.0154878
75,21619,49,1,0.00540218,0.0761587
76,28526,49,1,0.0059355,0.0149053
77,37641,49,1,0.00688188,0.0188118
78,49667,49,1,0.00826191,0.0316422
79,65536,49,1,0.0101285,0.0283042
80,1024,64,1,0.00294309,0.0633745
81,1351,64,1,0.00337688,0.0572664
82,1783,64,1,0.00343496,0.0565438
83,2353,64,1,0.00369207,0.0384735
84,3104,64,1,0.00388519,0.074686
85,4096,64,1,0.00412511,0.0805022
86,5405,64,1,0.00446898,0.0291991
87,7132,64,1,0.00450665,0.0318759
88,9410,64,1,0.00486287,0.0261353
89,12417,64,1,0.0052354,0.0145418
90,16384,64,1,0.00557159,0.0246214
91,21619,64,1,0.00677478,0.00993535
92,28526,64,1,0.00696486,0.0173709
93,37641,64,1,0.00837207,0.00894864
94,49667,64,1,0.00981126,0.0156111
95,65536,64,1,0.0119186,0.0253
96,1024,84,1,0.00460366,0.0386546
97,1351,84,1,0.00507493,0.044644
98,1783,84,1,0.00529854,0.038081
99,2353,84,1,0.00533247,0.0294071
100,3104,84,1,0.0059818,0.026737
101,4096,84,1,0.00617692,0.040951
102,5405,84,1,0.0065152,0.0348455
