m,n,p,avg,std
0,1024,16,1,0.0012143,0.208456
1,1855,16,1,0.00139455,0.106476
2,3360,16,1,0.00155593,0.127947
3,6087,16,1,0.00174141,0.0736697
4,11026,16,1,0.00222584,0.0656169
5,19972,16,1,0.00306691,0.0470676
6,36179,16,1,0.00456855,0.0296358
7,65536,16,1,0.00725319,0.0215148
8,1024,29,1,0.00152465,0.0804898
9,1855,29,1,0.00185752,0.129539
10,3360,29,1,0.00197506,0.055458
11,6087,29,1,0.00224794,0.0466759
12,11026,29,1,0.00267884,0.0414591
13,19972,29,1,0.00378529,0.0192106
14,36179,29,1,0.00494281,0.0208703
15,65536,29,1,0.00746075,0.0188653
16,1024,53,1,0.00297176,0.0666729
17,1855,53,1,0.00331037,0.0990441
18,3360,53,1,0.00358785,0.0829971
19,6087,53,1,0.00398715,0.0288814
20,11026,53,1,0.00455267,0.0174603
21,19972,53,1,0.0054389,0.0205657
22,36179,53,1,0.00724199,0.0188195
23,65536,53,1,0.0109088,0.0344708
24,1024,95,1,0.00566067,0.0363997
25,1855,95,1,0.00666842,0.0442069
26,3360,95,1,0.00747161,0.0297047
27,6087,95,1,0.00798091,0.0171793
28,11026,95,1,0.00914664,0.00730807
29,19972,95,1,0.011189,0.00979551
30,36179,95,1,0.0143353,0.00843661
31,65536,95,1,0.0200802,0.0175834
32,1024,172,1,0.0119424,0.0222112
33,1855,172,1,0.0145045,0.0238049
34,3360,172,1,0.0168775,0.0241297
35,6087,172,1,0.0217011,0.00995296
36,11026,172,1,0.0249808,0.00415622
37,19972,172,1,0.0281785,0.00997366
38,36179,172,1,0.0346582,0.00989189
39,65536,172,1,0.0448008,0.0264927
40,1024,312,1,0.0281972,0.00957636
41,1855,312,1,0.0328044,0.0172772
42,3360,312,1,0.0398104,0.0112753
43,6087,312,1,0.0491496,0.0067124
44,11026,312,1,0.0557284,0.0084926
45,19972,312,1,0.0620086,0.00734395
46,36179,312,1,0.0748147,0.00770398
47,65536,312,1,0.0948118,0.00430324
48,1024,565,1,0.0613268,0.00725099
49,1855,565,1,0.0781108,0.00439377
50,3360,565,1,0.091532,0.00945792
51,6087,565,1,0.102569,0.00545089
52,11026,565,1,0.120188,0.00864278
53,19972,565,1,0.149196,0.00223871
54,36179,565,1,0.206164,0.00639207
55,65536,565,1,0.299936,0.00934783
56,1024,1024,1,0.10038,0.00273894
57,1855,1024,1,0.138438,0.00625107
58,3360,1024,1,0.158946,0.00658358
59,6087,1024,1,0.193886,0.00244947
60,11026,1024,1,0.259758,0.000679441
61,19972,1024,1,0.372044,0.00574897
62,36179,1024,1,0.56606,0.00431331
63,65536,1024,1,0.951402,0.00389524
64,2048,32,4,0.001873,0.144113
65,3710,32,4,0.00304133,0.0547747
66,6720,32,4,0.00616738,0.0621678
67,12173,32,4,0.00836526,0.0346821
68,22051,32,4,0.00868055,0.0177305
69,39945,32,4,0.00953937,0.0612731
70,72358,32,4,0.0107287,0.0210037
71,131072,32,4,0.0130618,0.0123074
72,2048,58,4,0.00347891,0.0377355
73,3710,58,4,0.00382048,0.0681854
74,6720,58,4,0.0052122,0.0371187
75,12173,58,4,0.00863887,0.0358723
76,22051,58,4,0.0111078,0.0181066
77,39945,58,4,0.0117946,0.0120455
78,72358,58,4,0.0130642,0.0237554
79,131072,58,4,0.0155765,0.00815009
80,2048,105,4,0.00749744,0.0336366
81,3710,105,4,0.0085132,0.0175635
82,6720,105,4,0.00905547,0.0276773
83,12173,105,4,0.0111388,0.00898664
84,22051,105,4,0.0150207,0.00755106
85,39945,105,4,0.0186029,0.0517266
86,72358,105,4,0.0201998,0.00876916
87,131072,105,4,0.0239927,0.00735144
88,2048,190,4,0.0167155,0.0131818
89,3710,190,4,0.0188927,0.0215772
90,6720,190,4,0.024212,0.00954526
91,12173,190,4,0.0297503,0.00401219
92,22051,190,4,0.0360481,0.0153998
93,39945,190,4,0.0476177,0.0115552
94,72358,190,4,0.0521477,0.00975828
95,131072,190,4,0.059925,0.00778023
96,2048,345,4,0.0379033,0.0195158
97,3710,345,4,0.046162,0.0106392
98,6720,345,4,0.0565629,0.0059795
99,12173,345,4,0.0685088,0.00754493
100,22051,345,4,0.0839318,0.0119226
101,39945,345,4,0.104226,0.00932771
102,72358,345,4,0.114431,0.00898508
103,131072,345,4,0.129032,0.00517929
104,2048,624,4,0.0839763,0.00976803
105,3710,624,4,0.101586,0.00901519
106,6720,624,4,0.117157,0.0076103
107,12173,624,4,0.140192,0.00562925
108,22051,624,4,0.156506,0.00408722
109,39945,624,4,0.172456,0.00530918
110,72358,624,4,0.216059,0.00211126
111,131072,624,4,0.277353,0.00641189
112,2048,1131,4,0.161827,0.00513912
113,3710,1131,4,0.196375,0.00337787
114,6720,1131,4,0.229302,0.00497054
115,12173,1131,4,0.256683,0.00417139
116,22051,1131,4,0.299025,0.0037628
117,39945,1131,4,0.36599,0.00170554
118,72358,1131,4,0.49982,0.00138309
119,131072,1131,4,0.73779,0.00262745
120,2048,2048,4,0.261543,0.00212455
121,3710,2048,4,0.349637,0.00317813
122,6720,2048,4,0.399768,0.00220381
123,12173,2048,4,0.479488,0.00228662
124,22051,2048,4,0.624631,0.00131602
125,39945,2048,4,0.877867,0.00215191
126,72358,2048,4,1.33117,0.00411021
127,131072,2048,4,2.22404,0.00822861
128,4096,64,16,0.0040441,0.0784301
129,7420,64,16,0.00559071,0.0451044
130,13440,64,16,0.0089772,0.0310452
131,24347,64,16,0.0186152,0.0147346
132,44102,64,16,0.0490016,0.00934884
133,79889,64,16,0.100483,0.00123963
134,144715,64,16,0.102246,0.0146599
135,262144,64,16,0.103931,0.00228784
136,4096,116,16,0.0103554,0.0150278
137,7420,116,16,0.01085,0.0171399
138,13440,116,16,0.0124969,0.0143923
139,24347,116,16,0.0166878,0.0329813
140,44102,116,16,0.0271233,0.0511613
141,79889,116,16,0.0576161,0.0140504
142,144715,116,16,0.110569,0.00970023
143,262144,116,16,0.113134,0.0027167
144,4096,210,16,0.0230276,0.00913799
145,7420,210,16,0.0274588,0.00669586
146,13440,210,16,0.0339418,0.0034776
147,24347,210,16,0.0417573,0.0153327
148,44102,210,16,0.0656664,0.00553094
149,79889,210,16,0.132067,0.00831778
150,144715,210,16,0.283543,0.00407144
151,262144,210,16,0.29105,0.000657983
152,4096,380,16,0.0518304,0.00901613
153,7420,380,16,0.0629653,0.00989125
154,13440,380,16,0.0780232,0.00340594
155,24347,380,16,0.0963151,0.0099197
156,44102,380,16,0.146538,0.026708
157,79889,380,16,0.261629,0.00991203
158,144715,380,16,0.535016,0.00116336
159,262144,380,16,0.549833,0.00346429
160,4096,689,16,0.124093,0.00568185
161,7420,689,16,0.147804,0.00530558
162,13440,689,16,0.179047,0.00433338
163,24347,689,16,0.221457,0.00496222
164,44102,689,16,0.326836,0.00528149
165,79889,689,16,0.485059,0.00255808
166,144715,689,16,0.522194,0.00207056
167,262144,689,16,0.577653,0.000724899
168,4096,1248,16,0.22795,0.00464582
169,7420,1248,16,0.268549,0.00338427
170,13440,1248,16,0.325147,0.002879
171,24347,1248,16,0.404315,0.00277991
172,44102,1248,16,0.497061,0.00163387
173,79889,1248,16,0.551037,0.00211759
174,144715,1248,16,0.66236,0.00144747
175,262144,1248,16,0.84906,0.00269676
176,4096,2261,16,0.406161,0.00204091
177,7420,2261,16,0.490278,0.00221179
178,13440,2261,16,0.599779,0.000994108
179,24347,2261,16,0.681529,0.00274956
180,44102,2261,16,0.803407,0.0027809
181,79889,2261,16,1.00421,0.00108959
182,144715,2261,16,1.35001,0.00128937
183,262144,2261,16,1.95574,0.00240949
184,4096,4096,16,0.642379,0.00122043
185,7420,4096,16,0.86029,0.00205057
186,13440,4096,16,1.01093,0.000582193
187,24347,4096,16,1.19121,0.000629483
188,44102,4096,16,1.57648,0.000919288
189,79889,4096,16,2.26357,0.00127034
190,144715,4096,16,3.66509,0.000857231
191,262144,4096,16,6.37272,0.000916018
192,8192,128,64,0.0130069,0.00990997
193,14839,128,64,0.0152959,0.0152418
194,26881,128,64,0.0203068,0.0100336
195,48693,128,64,0.0306824,0.00836876
196,88205,128,64,0.063431,0.0529111
197,159779,128,64,0.203867,0.0743015
198,289430,128,64,0.533262,0.00959572
199,524288,128,64,1.6413,0.0293246
200,8192,232,64,0.0317631,0.0129584
201,14839,232,64,0.0383271,0.0107367
202,26881,232,64,0.0496727,0.00966804
203,48693,232,64,0.0787606,0.00478747
204,88205,232,64,0.17822,0.043676
205,159779,232,64,0.479149,0.0580869
206,289430,232,64,1.33377,0.0301965
207,524288,232,64,3.82856,0.000801128
208,8192,420,64,0.0838438,0.00996741
209,14839,420,64,0.102403,0.00897209
210,26881,420,64,0.136226,0.00117282
211,48693,420,64,0.207365,0.00243909
212,88205,420,64,0.417459,0.0017098
213,159779,420,64,1.07359,0.00321746
214,289430,420,64,3.17181,0.00360314
215,524288,420,64,9.98458,0.000182877
216,8192,761,64,0.167624,0.00118601
217,14839,761,64,0.201356,0.00442661
218,26881,761,64,0.256792,0.00191515
219,48693,761,64,0.378567,0.00114401
220,88205,761,64,0.721716,0.00170744
221,159779,761,64,1.79304,0.00206687
222,289430,761,64,4.58505,0.0196705
223,524288,761,64,4.59591,0.0165729
224,8192,1378,64,0.316994,0.00280324
225,14839,1378,64,0.387975,0.000932436
226,26881,1378,64,0.505214,0.00188619
227,48693,1378,64,0.751627,0.00999026
228,88205,1378,64,1.46868,0.00872935
229,159779,1378,64,2.67388,0.0143421
230,289430,1378,64,2.78737,0.00840442
231,524288,1378,64,3.0672,0.00645342
232,8192,2497,64,0.577935,0.00105413
