m,n,p,avg,std
0,1024,16,1,0.00120629,0.165378
1,1171,16,1,0.00131694,0.189063
2,1339,16,1,0.00132639,0.151163
3,1531,16,1,0.00134006,0.155358
4,1751,16,1,0.00136451,0.118444
5,2003,16,1,0.00136858,0.110794
6,2290,16,1,0.00137266,0.0935878
7,2619,16,1,0.00143322,0.0884546
8,2995,16,1,0.0014836,0.095357
9,3425,16,1,0.00149157,0.0809118
10,3917,16,1,0.00153852,0.0899751
11,4479,16,1,0.00161961,0.0894056
12,5122,16,1,0.00166703,0.0840933
13,5858,16,1,0.00171417,0.0830651
14,6699,16,1,0.0017924,0.0660205
15,7661,16,1,0.00188907,0.061773
16,8760,16,1,0.00203115,0.0651486
17,10018,16,1,0.00210485,0.0668975
18,11456,16,1,0.00224464,0.0640355
19,13101,16,1,0.0023828,0.0497576
20,14982,16,1,0.00255634,0.0504112
21,17133,16,1,0.00293069,0.0386445
22,19593,16,1,0.0029881,0.0431693
23,22406,16,1,0.00327131,0.0395546
24,25623,16,1,0.00360641,0.0443614
25,29302,16,1,0.00393604,0.0306731
26,33509,16,1,0.00443505,0.0702394
27,38320,16,1,0.00479977,0.033627
28,43822,16,1,0.00573009,0.0168675
29,50113,16,1,0.00585754,0.0271313
30,57308,16,1,0.00651207,0.0239648
31,65536,16,1,0.00730075,0.034024
32,1024,18,1,0.00137742,0.0711913
33,1171,18,1,0.00155133,0.201342
34,1339,18,1,0.00153258,0.136486
35,1531,18,1,0.00154958,0.131573
36,1751,18,1,0.00157603,0.0990725
37,2003,18,1,0.00158992,0.0683823
38,2290,18,1,0.0015783,0.0664114
39,2619,18,1,0.00162532,0.0584893
40,2995,18,1,0.00167022,0.0586511
41,3425,18,1,0.00169348,0.0513829
42,3917,18,1,0.00174888,0.0589083
43,4479,18,1,0.00179914,0.0594424
44,5122,18,1,0.00188646,0.0748255
45,5858,18,1,0.00190359,0.0588393
46,6699,18,1,0.00200158,0.0490748
47,7661,18,1,0.00209591,0.0499608
48,8760,18,1,0.00218656,0.050142
49,10018,18,1,0.0023007,0.04283
50,11456,18,1,0.00241032,0.0453888
51,13101,18,1,0.00258124,0.0394525
52,14982,18,1,0.00273482,0.0300248
53,17133,18,1,0.00297878,0.0329235
54,19593,18,1,0.00341132,0.0228857
55,22406,18,1,0.00352362,0.0356036
56,25623,18,1,0.00376803,0.0224026
57,29302,18,1,0.00408775,0.024438
58,33509,18,1,0.00446529,0.020468
59,38320,18,1,0.00497221,0.0140976
60,43822,18,1,0.00596858,0.010602
61,50113,18,1,0.00606191,0.016431
62,57308,18,1,0.0068261,0.0166724
63,65536,18,1,0.00753244,0.0209012
64,1024,21,1,0.00142189,0.193409
65,1171,21,1,0.00143883,0.0698598
66,1339,21,1,0.00159966,0.169051
67,1531,21,1,0.00163342,0.153592
68,1751,21,1,0.00165265,0.139977
69,2003,21,1,0.00167058,0.0978145
70,2290,21,1,0.00167769,0.0766333
71,2619,21,1,0.00168902,0.0615109
72,2995,21,1,0.00172362,0.0518531
73,3425,21,1,0.0017979,0.0531007
74,3917,21,1,0.00179019,0.0596901
75,4479,21,1,0.00186188,0.0538524
76,5122,21,1,0.00191404,0.0551904
77,5858,21,1,0.00199057,0.0447924
78,6699,21,1,0.0020967,0.0437689
79,7661,21,1,0.00214037,0.0466687
80,8760,21,1,0.00225886,0.0483399
81,10018,21,1,0.00237563,0.0395787
82,11456,21,1,0.00247366,0.0459593
83,13101,21,1,0.00261301,0.0421236
84,14982,21,1,0.00279132,0.0443722
85,17133,21,1,0.00300746,0.0543711
86,19593,21,1,0.00320985,0.0387407
87,22406,21,1,0.00348378,0.0317324
88,25623,21,1,0.00372738,0.0353596
89,29302,21,1,0.00444738,0.0145681
90,33509,21,1,0.00450108,0.0188711
91,38320,21,1,0.0049014,0.0231763
92,43822,21,1,0.0053679,0.0219695
93,50113,21,1,0.00590956,0.017227
94,57308,21,1,0.00664389,0.0175094
95,65536,21,1,0.00733428,0.0213396
96,1024,24,1,0.00137558,0.082678
97,1171,24,1,0.00149177,0.166491
98,1339,24,1,0.00151436,0.0606048
99,1531,24,1,0.00165236,0.16654
100,1751,24,1,0.0017185,0.147395
101,2003,24,1,0.00172057,0.101629
102,2290,24,1,0.00174915,0.0971163
103,2619,24,1,0.0017417,0.0793329
104,2995,24,1,0.00178317,0.0670575
105,3425,24,1,0.00186456,0.0568142
106,3917,24,1,0.00187339,0.0587097
107,4479,24,1,0.00190954,0.058948
108,5122,24,1,0.0019585,0.0526217
109,5858,24,1,0.00203269,0.0479707
110,6699,24,1,0.00210947,0.0431114
111,7661,24,1,0.00219635,0.052608
112,8760,24,1,0.00233332,0.0983482
113,10018,24,1,0.00243095,0.0498987
114,11456,24,1,0.00249542,0.0417745
115,13101,24,1,0.00266221,0.0423811
116,14982,24,1,0.0027856,0.0349649
117,17133,24,1,0.00302464,0.0521252
118,19593,24,1,0.00319917,0.0523413
119,22406,24,1,0.00345614,0.0418002
120,25623,24,1,0.00413263,0.0263659
121,29302,24,1,0.00402305,0.0282704
122,33509,24,1,0.00438629,0.0333569
123,38320,24,1,0.00479497,0.0209322
124,43822,24,1,0.00532386,0.0295571
125,50113,24,1,0.00671393,0.0150729
126,57308,24,1,0.00660365,0.0190284
127,65536,24,1,0.00720623,0.0229434
128,1024,27,1,0.00147702,0.070789
129,1171,27,1,0.00150806,0.0736096
130,1339,27,1,0.00169982,0.158447
131,1531,27,1,0.00163223,0.0622814
132,1751,27,1,0.00181785,0.0965902
133,2003,27,1,0.00194373,0.135913
134,2290,27,1,0.00188471,0.0793986
135,2619,27,1,0.00187426,0.0716806
136,2995,27,1,0.00187902,0.0657758
137,3425,27,1,0.00191988,0.0719428
138,3917,27,1,0.00200534,0.0539491
139,4479,27,1,0.00208402,0.0849337
140,5122,27,1,0.00207804,0.0641912
141,5858,27,1,0.00216359,0.0500514
142,6699,27,1,0.00223659,0.0566088
143,7661,27,1,0.00237027,0.0921869
