m,n,k,avg,std
4096,64,64,64,3.67684e-05,0.41876
4097,88,64,64,3.86038e-05,0.374799
4098,122,64,64,4.15385e-05,0.309204
4099,169,64,64,5.26433e-05,0.312344
4100,233,64,64,5.80667e-05,0.29119
4101,323,64,64,7.35532e-05,0.218031
4102,446,64,64,7.91671e-05,0.213342
4103,616,64,64,9.04432e-05,0.20634
4104,851,64,64,0.000138895,0.157039
4105,1176,64,64,0.000175625,0.143598
4106,1625,64,64,0.000257425,0.0915788
4107,2246,64,64,0.000350175,0.0740403
4108,3104,64,64,0.00046414,0.074446
4109,4290,64,64,0.000591573,0.0575331
4110,5928,64,64,0.000776433,0.0405134
4111,8192,64,64,0.0025949,0.012309
4112,64,88,64,7.36574e-05,0.176137
4113,88,88,64,9.19122e-05,0.159351
4114,122,88,64,0.000122667,0.115935
4115,169,88,64,6.03532e-05,0.276548
4116,233,88,64,6.73579e-05,0.243372
4117,323,88,64,8.08113e-05,0.28253
4118,446,88,64,9.62266e-05,0.181536
4119,616,88,64,0.000115993,0.155209
4120,851,88,64,0.000180589,0.117163
4121,1176,88,64,0.000253152,0.0903691
4122,1625,88,64,0.000316712,0.0746611
4123,2246,88,64,0.000434251,0.070114
4124,3104,88,64,0.000563803,0.0670377
4125,4290,88,64,0.000728242,0.0384527
4126,5928,88,64,0.000969304,0.00201172
4127,8192,88,64,0.00357562,0.00492753
4128,64,122,64,6.31841e-05,0.229682
4129,88,122,64,0.000119991,0.121828
4130,122,122,64,0.000167356,0.139246
4131,169,122,64,0.000211496,0.0680727
4132,233,122,64,0.00014051,0.104125
4133,323,122,64,0.000188024,0.0922402
4134,446,122,64,0.000251606,0.117126
4135,616,122,64,0.000346353,0.0779622
4136,851,122,64,0.000500745,0.052552
4137,1176,122,64,0.000669795,0.0403232
4138,1625,122,64,0.000903245,0.0236929
4139,2246,122,64,0.00126597,0.0144973
4140,3104,122,64,0.00169107,0.0105161
4141,4290,122,64,0.000994333,0.00957777
4142,5928,122,64,0.0013254,0.0167207
4143,8192,122,64,0.00412285,0.0032791
4144,64,169,64,6.37264e-05,0.202543
4145,88,169,64,7.64183e-05,0.171998
4146,122,169,64,0.000137759,0.0930921
4147,169,169,64,0.000180764,0.0942452
4148,233,169,64,0.000234599,0.0613763
4149,323,169,64,0.000235729,0.102864
4150,446,169,64,0.000344728,0.0533588
4151,616,169,64,0.000435242,0.0413041
4152,851,169,64,0.000604456,0.0334488
4153,1176,169,64,0.000785755,0.0208087
4154,1625,169,64,0.00105922,0.00360045
4155,2246,169,64,0.00141365,0.0142147
4156,3104,169,64,0.00188827,0.00787624
4157,4290,169,64,0.00118411,0.0136119
4158,5928,169,64,0.0015715,0.0155856
