m,n,k,avg,std
64,64,64,64,3.80749e-05,0.417645
65,323,64,64,6.77752e-05,0.246545
66,1625,64,64,0.000241152,0.112747
67,8192,64,64,0.00266437,0.00992285
68,64,323,64,7.64524e-05,0.180028
69,323,323,64,0.000345175,0.070394
70,1625,323,64,0.0014778,0.0334994
71,8192,323,64,0.0173065,0.0376715
72,64,1625,64,0.000257703,0.100877
73,323,1625,64,0.00086975,0.0521508
74,1625,1625,64,0.00348911,0.00699543
75,8192,1625,64,0.0558394,0.0075308
76,64,8192,64,0.000994459,0.0065659
77,323,8192,64,0.00356466,0.0098005
78,1625,8192,64,0.0160423,0.00146254
79,8192,8192,64,0.26725,0.0181711
80,64,64,323,8.95073e-05,0.254857
81,323,64,323,0.000317608,0.0792213
82,1625,64,323,0.000987866,0.00866174
83,8192,64,323,0.012958,0.00555396
84,64,323,323,0.000327842,0.0980692
85,323,323,323,0.00104282,0.00664598
86,1625,323,323,0.00411136,0.00377299
87,8192,323,323,0.0337089,0.00184251
88,64,1625,323,0.00111114,0.0143898
89,323,1625,323,0.00376286,0.0187649
90,1625,1625,323,0.0171777,0.00626146
91,8192,1625,323,0.126562,0.00089862
92,64,8192,323,0.00483196,0.00228014
93,323,8192,323,0.0175403,0.00717945
94,1625,8192,323,0.0765043,0.00503077
95,8192,8192,323,0.601524,0.00127347
96,64,64,1625,0.000339202,0.0680153
97,323,64,1625,0.00135485,0.0180231
98,1625,64,1625,0.00436023,0.00401586
99,8192,64,1625,0.0664542,0.00276909
100,64,323,1625,0.00135052,0.020841
101,323,323,1625,0.00496738,0.00266705
102,1625,323,1625,0.0172069,0.00480203
103,8192,323,1625,0.161039,0.00801862
104,64,1625,1625,0.0051408,0.00591078
105,323,1625,1625,0.019529,0.00173798
106,1625,1625,1625,0.0708279,0.0011104
107,8192,1625,1625,0.615181,0.019179
108,64,8192,1625,0.0259336,0.00161646
109,323,8192,1625,0.0841479,0.00103303
110,1625,8192,1625,0.348917,0.0039228
111,8192,8192,1625,3.13525,0.00477762
112,64,64,8192,0.00199826,0.0121048
113,323,64,8192,0.00905955,0.00948191
114,1625,64,8192,0.024732,0.00554045
115,8192,64,8192,0.339354,0.00169992
116,64,323,8192,0.0194505,0.00116691
117,323,323,8192,0.0362795,0.00525585
118,1625,323,8192,0.0930524,0.00355289
119,8192,323,8192,0.844082,0.00997755
120,64,1625,8192,0.087511,0.00927889
121,323,1625,8192,0.135081,0.00195228
122,1625,1625,8192,0.396388,0.00438707
123,8192,1625,8192,3.61839,0.014737
124,64,8192,8192,0.465044,0.0092299
125,323,8192,8192,0.70156,0.0089112
126,1625,8192,8192,1.95542,0.00387568
127,8192,8192,8192,16.4919,0.0218539
