m,n,p,avg,std
0,1024,16,1,0.00266104,2.05161
1,1171,16,1,0.00269932,1.88275
2,1339,16,1,0.00287559,1.86908
3,1531,16,1,0.00293801,1.8962
4,1751,16,1,0.00293814,1.74312
5,2003,16,1,0.00303556,1.65858
6,2290,16,1,0.00312403,1.70364
7,2619,16,1,0.00296303,1.45572
8,2995,16,1,0.00331808,1.54715
9,3425,16,1,0.00336927,1.53082
10,3917,16,1,0.00344626,1.462
11,4479,16,1,0.00359396,1.435
12,5122,16,1,0.00365429,1.40139
13,5858,16,1,0.00386957,1.30862
14,6699,16,1,0.00453893,1.59261
15,7661,16,1,0.00441271,1.19896
16,8760,16,1,0.00459125,1.09653
17,10018,16,1,0.00492984,1.02232
18,11456,16,1,0.00503567,0.817432
19,13101,16,1,0.00564308,0.888467
20,14982,16,1,0.00607929,0.820969
21,17133,16,1,0.00649266,0.642902
22,19593,16,1,0.00723968,0.748736
23,22406,16,1,0.00789975,0.633788
24,25623,16,1,0.00866351,0.583652
25,29302,16,1,0.00963717,0.559782
26,33509,16,1,0.0105932,0.375183
27,38320,16,1,0.0121279,0.411055
28,43822,16,1,0.0133851,0.360815
29,50113,16,1,0.014874,0.333592
30,57308,16,1,0.0167723,0.280199
31,65536,16,1,0.0188784,0.263615
32,1024,18,1,0.00470656,1.53623
33,1171,18,1,0.00418936,1.29443
34,1339,18,1,0.00423584,1.34676
35,1531,18,1,0.00433047,1.20163
36,1751,18,1,0.00432316,1.27576
37,2003,18,1,0.00446856,1.29633
38,2290,18,1,0.00438288,1.28436
39,2619,18,1,0.00425826,0.967615
40,2995,18,1,0.00485737,1.12478
41,3425,18,1,0.00491102,1.19275
42,3917,18,1,0.00494986,1.04334
43,4479,18,1,0.00504683,1.13926
44,5122,18,1,0.00521681,1.06996
45,5858,18,1,0.00506928,0.86093
46,6699,18,1,0.00543131,0.97306
47,7661,18,1,0.00573828,1.00778
48,8760,18,1,0.0063185,0.895542
49,10018,18,1,0.00629014,0.917373
50,11456,18,1,0.0065928,0.646031
51,13101,18,1,0.00717778,0.725346
52,14982,18,1,0.00769224,0.706206
53,17133,18,1,0.00822339,0.531396
54,19593,18,1,0.00846552,0.605217
55,22406,18,1,0.00954351,0.58882
56,25623,18,1,0.0104483,0.528469
57,29302,18,1,0.0112885,0.460662
58,33509,18,1,0.0118839,0.360203
59,38320,18,1,0.013645,0.376299
60,43822,18,1,0.0147803,0.274762
61,50113,18,1,0.0165342,0.31334
62,57308,18,1,0.0186766,0.295173
63,65536,18,1,0.0204824,0.265024
64,1024,21,1,0.0042158,1.39706
65,1171,21,1,0.0042946,1.29634
66,1339,21,1,0.00407338,1.33743
67,1531,21,1,0.00448983,1.30142
68,1751,21,1,0.00449512,1.28637
69,2003,21,1,0.00502011,1.06526
70,2290,21,1,0.00457668,1.1508
71,2619,21,1,0.00467819,1.14175
72,2995,21,1,0.00491135,1.09702
73,3425,21,1,0.00485873,1.06279
74,3917,21,1,0.0049399,1.09453
