m,n,k,avg,std
65536,128,128,128,6.00153e-05,0.380238
65537,150,128,128,7.42414e-05,0.182626
65538,175,128,128,7.55736e-05,0.303554
65539,205,128,128,9.27553e-05,0.165403
65540,239,128,128,9.13124e-05,0.15544
65541,280,128,128,0.000129819,0.107445
65542,327,128,128,0.000130247,0.121256
65543,383,128,128,0.000133514,0.124704
65544,448,128,128,0.000173133,0.0920321
65545,524,128,128,0.000208494,0.0667127
65546,612,128,128,0.000211373,0.0767121
65547,716,128,128,0.00024589,0.0594366
65548,837,128,128,0.000279655,0.0618591
65549,979,128,128,0.000310383,0.0724272
65550,1145,128,128,0.000356824,0.0594904
65551,1339,128,128,0.000439139,0.0388505
65552,1566,128,128,0.000505214,0.0351989
65553,1831,128,128,0.00059138,0.0549116
65554,2142,128,128,0.000671679,0.0288254
65555,2505,128,128,0.000784802,0.0252807
65556,2929,128,128,0.000915616,0.0184808
65557,3425,128,128,0.00105796,0.0135202
65558,4005,128,128,0.00127859,0.0173654
65559,4684,128,128,0.00147786,0.0161111
65560,5478,128,128,0.00166885,0.0134033
65561,6406,128,128,0.0019297,0.00993091
65562,7491,128,128,0.00228857,0.00666506
65563,8760,128,128,0.00258687,0.00809297
65564,10245,128,128,0.00303817,0.00236755
65565,11980,128,128,0.0035017,0.0080246
65566,14010,128,128,0.00406294,0.00540864
65567,16384,128,128,0.00475418,0.00962373
65568,128,150,128,5.87163e-05,0.248667
65569,150,150,128,8.04618e-05,0.209668
65570,175,150,128,7.61543e-05,0.158412
65571,205,150,128,9.56186e-05,0.152442
65572,239,150,128,9.63647e-05,0.1466
65573,280,150,128,0.000118365,0.195673
65574,327,150,128,0.000135348,0.219133
65575,383,150,128,0.000138276,0.119364
65576,448,150,128,0.00018731,0.116303
65577,524,150,128,0.000224138,0.0824164
65578,612,150,128,0.000224862,0.0868568
65579,716,150,128,0.000257748,0.0983137
65580,837,150,128,0.000323395,0.0876143
65581,979,150,128,0.000359557,0.10356
65582,1145,150,128,0.000399856,0.0776341
65583,1339,150,128,0.000480903,0.0341409
65584,1566,150,128,0.00091467,0.0191454
65585,1831,150,128,0.00108956,0.0138697
65586,2142,150,128,0.000734683,0.0331923
65587,2505,150,128,0.000865883,0.0283538
65588,2929,150,128,0.000999735,0.00398426
65589,3425,150,128,0.00113981,0.00555616
65590,4005,150,128,0.00138369,0.0227886
65591,4684,150,128,0.00159499,0.0170221
65592,5478,150,128,0.0018122,0.0133815
65593,6406,150,128,0.002036,0.00195867
65594,7491,150,128,0.00241176,0.00999336
65595,8760,150,128,0.0027238,0.00502011
65596,10245,150,128,0.00321379,0.00459504
65597,11980,150,128,0.00369164,0.00729723
65598,14010,150,128,0.00430151,0.00659864
65599,16384,150,128,0.00508544,0.011062
65600,128,175,128,6.54119e-05,0.277172
65601,150,175,128,8.19868e-05,0.229386
65602,175,175,128,8.29702e-05,0.296338
65603,205,175,128,0.000104376,0.237825
65604,239,175,128,0.000101615,0.175699
65605,280,175,128,0.000125844,0.21643
65606,327,175,128,0.000139696,0.134716
65607,383,175,128,0.000188154,0.110252
65608,448,175,128,0.000248642,0.093533
65609,524,175,128,0.000300793,0.0649076
65610,612,175,128,0.000299029,0.091399
65611,716,175,128,0.000355674,0.0385367
65612,837,175,128,0.000404699,0.0667712
65613,979,175,128,0.000457684,0.0395683
65614,1145,175,128,0.000506647,0.03974
65615,1339,175,128,0.00063375,0.0324952
65616,1566,175,128,0.000935484,0.00495465
65617,1831,175,128,0.00109923,0.00763592
65618,2142,175,128,0.000990747,0.0098953
65619,2505,175,128,0.00117803,0.0143949
65620,2929,175,128,0.00135449,0.0185407
65621,3425,175,128,0.00154757,0.0142028
65622,4005,175,128,0.00186134,0.00775257
65623,4684,175,128,0.00217705,0.00997305
