m,n,k,avg
0,32,1024,1024,0.00485156
0,64,512,512,0.00162917
0,4096,64,256,0.00555372
0,512,4096,2048,0.245971
0,1024,128,64,0.00115413
0,64,4096,128,0.0114505
0,128,2048,4096,0.0738544
0,128,32,4096,0.0026598
0,1024,1024,1024,0.0767582
0,256,64,512,0.000912201
0,2048,1024,4096,0.482244
0,256,4096,32,0.00424558
0,2048,32,2048,0.0171384
0,128,1024,256,0.00291599
0,32,4096,512,0.0129409
0,2048,2048,256,0.0741333
0,256,128,2048,0.00738918
0,4096,256,512,0.0346099
0,4096,512,4096,0.40305
0,1024,32,32,0.00018048
0,64,256,4096,0.00610484
0,64,1024,4096,0.0238961
0,4096,2048,128,0.0597991
0,512,2048,1024,0.0779006
0,1024,256,2048,0.0425121
0,4096,1024,32,0.0109873
0,128,256,2048,0.00676019
0,1024,2048,512,0.0794378
0,2048,512,512,0.0394115
0,2048,256,4096,0.135462
0,512,256,32,0.000500659
0,128,512,32,0.000265797
0,32,2048,4096,0.0315453
0,2048,64,128,0.00131871
0,256,256,1024,0.00540817
0,4096,32,1024,0.0139321
0,512,32,2048,0.00394042
0,1024,4096,256,0.0598743
0,1024,64,256,0.00182697
0,2048,128,32,0.00115905
0,64,2048,2048,0.0308967
0,4096,4096,64,0.0574148
0,512,1024,512,0.0215399
0,128,64,1024,0.0010981
0,1024,512,4096,0.12862
0,256,2048,32,0.00244301
0,2048,4096,1024,0.463664
0,256,1024,2048,0.0434891
0,512,512,256,0.00550735
0,4096,128,512,0.02002
0,512,128,256,0.00196751
0,128,4096,64,0.0028562
0,32,1024,2048,0.0100461
0,256,32,512,0.000719027
0,64,512,1024,0.00357722
0,4096,64,128,0.00247959
0,512,4096,4096,0.39517
0,1024,128,128,0.00180934
0,64,4096,64,0.00509179
0,128,2048,2048,0.0452906
0,4096,512,32,0.0052901
0,128,32,2048,0.00141868
0,1024,1024,512,0.0412489
0,256,64,256,0.000420449
0,2048,1024,512,0.0789322
0,256,4096,256,0.0163836
0,128,1024,32,0.000710647
0,32,4096,1024,0.0157224
0,2048,2048,128,0.0378
0,4096,1024,4096,0.765493
0,256,128,4096,0.0105979
0,4096,256,4096,0.218771
0,512,64,128,0.000310136
0,64,256,2048,0.00379348
0,2048,256,32,0.00133702
0,64,1024,2048,0.0155251
0,4096,2048,256,0.118978
0,512,2048,512,0.0404941
0,1024,256,1024,0.0208049
0,128,256,4096,0.0112992
0,2048,128,4096,0.0801254
0,1024,2048,1024,0.153489
0,2048,512,4096,0.247982
0,256,512,128,0.00142042
0,512,256,64,0.000747567
0,128,512,256,0.00167268
0,32,2048,2048,0.0205461
0,2048,64,256,0.00367218
0,256,256,512,0.00313305
0,4096,32,2048,0.0274174
0,512,32,1024,0.00221763
0,1024,4096,128,0.0315662
0,1024,64,128,0.000767997
0,64,2048,4096,0.049873
0,4096,4096,32,0.0347031
0,512,1024,1024,0.038341
0,128,64,128,0.000140096
0,1024,512,512,0.0214112
0,256,2048,64,0.00302495
0,2048,4096,2048,0.93226
0,256,1024,1024,0.0215538
0,512,512,128,0.00282466
0,4096,128,1024,0.0392488
0,128,4096,128,0.0036355
0,32,1024,4096,0.0166859
0,256,32,1024,0.0019979
0,64,512,128,0.00115267
0,4096,64,64,0.00153714
0,512,4096,512,0.0654778
0,1024,128,256,0.0034047
0,64,4096,32,0.00306681
0,128,2048,1024,0.0224642
0,4096,512,64,0.00851348
0,1024,32,2048,0.00792371
0,1024,1024,4096,0.240144
0,2048,1024,1024,0.149064
0,256,4096,128,0.00845029
0,64,128,128,0.000386334
0,128,1024,64,0.00101021
0,32,4096,128,0.00869338
0,2048,2048,64,0.0221629
0,4096,1024,2048,0.4787
0,256,128,512,0.00179865
0,4096,256,2048,0.136083
0,512,64,256,0.000684619
0,64,256,1024,0.00169455
0,2048,256,64,0.0030771
0,512,256,2048,0.0221218
0,64,1024,64,0.00164416
0,4096,2048,32,0.020449
0,512,2048,4096,0.245598
0,1024,256,512,0.0132164
0,1024,64,1024,0.0063015
0,128,256,32,0.000173048
0,2048,128,2048,0.0510084
0,1024,2048,2048,0.294927
0,2048,512,2048,0.156168
0,256,512,256,0.00294871
0,128,512,128,0.000769135
0,256,2048,2048,0.0809993
0,256,256,4096,0.0184906
0,4096,32,4096,0.0446281
0,512,32,512,0.00124064
0,1024,4096,64,0.0181502
0,512,128,1024,0.00678661
0,4096,4096,256,0.194701
0,512,1024,2048,0.0789252
0,128,64,256,0.000165001
0,1024,512,1024,0.039424
0,1024,128,512,0.00723787
0,128,128,4096,0.00505007
0,2048,4096,4096,1.49811
0,256,1024,512,0.0112742
0,512,512,64,0.00170309
0,4096,128,128,0.00552052
0,128,4096,256,0.00852043
