m,n,k,avg
0,535,626,286,0.00565784
0,3503,1873,32,0.0180993
0,732,732,458,0.0136123
0,2995,2995,179,0.0939388
0,37,626,4096,0.00972328
0,535,112,3503,0.0220302
0,626,458,1601,0.0257853
0,392,335,2190,0.0188604
0,153,209,2995,0.00829728
0,2561,3503,51,0.0369244
0,1001,4096,2995,0.701339
0,1369,245,2190,0.0504648
0,82,1601,3503,0.0446932
0,2190,2190,2190,0.594519
0,856,535,856,0.0264583
0,245,1369,2190,0.0490551
0,732,2190,153,0.0159613
0,1873,732,626,0.0580373
0,51,732,2995,0.0116975
0,535,1873,2995,0.181342
0,1601,4096,286,0.099696
0,626,3503,535,0.0773206
0,458,4096,856,0.0993085
0,1369,2561,1001,0.205035
0,1171,335,626,0.0168881
0,392,2561,245,0.0149373
0,335,153,1873,0.00799655
0,3503,2561,732,0.385574
0,1873,335,1001,0.0437255
0,732,112,3503,0.0243603
0,458,112,3503,0.0167994
0,179,335,1001,0.00446837
0,2995,37,2561,0.0284867
0,1171,2561,1369,0.238989
0,245,1873,245,0.00731887
0,1601,153,3503,0.0588444
0,392,179,1001,0.00473052
0,1001,458,37,0.0016044
0,1001,2190,392,0.058867
0,856,2561,131,0.0173254
0,335,2190,1171,0.0531915
0,3503,335,626,0.0473075
0,245,2561,1001,0.0424169
0,732,4096,458,0.0819035
0,286,2561,4096,0.181625
0,2995,535,2190,0.21798
0,1601,2190,2190,0.443191
0,626,1873,1601,0.11504
0,179,732,626,0.00561498
0,1369,1369,626,0.0759594
0,153,2190,2190,0.0535474
0,286,458,732,0.00738315
0,4096,4096,458,0.411509
0,2190,209,1601,0.0506415
0,856,335,626,0.0130883
0,3503,1369,1601,0.449463
0,3503,535,153,0.0180723
0,458,732,245,0.00580306
0,1171,1873,209,0.0258077
0,2995,335,535,0.0361201
0,2561,1369,112,0.0252188
0,1001,2995,60,0.0129506
0,2561,209,1873,0.0700709
0,2190,2995,32,0.0175887
0,856,392,2561,0.0556049
0,335,4096,1369,0.116221
0,3503,179,3503,0.155233
0,96,458,1001,0.00402453
0,1873,535,1369,0.084959
0,1601,2995,51,0.0189314
0,82,1001,3503,0.0273913
0,1601,1171,392,0.0465424
0,458,2995,1873,0.150554
0,1369,3503,179,0.0512956
0,1171,131,1369,0.0162464
0,392,3503,535,0.0521666
0,2561,245,2561,0.109603
0,1001,286,392,0.00898273
0,335,732,245,0.00430832
0,2995,4096,856,0.576903
0,1171,3503,51,0.0180882
0,37,2995,2995,0.0405977
0,1601,112,856,0.0124126
0,626,335,2190,0.0312787
0,392,245,1601,0.0116255
0,153,286,626,0.00227887
0,2561,2561,2995,1.11161
