m,n,k,avg
0,84,223,1123,0.00194013
0,308,1552,117,0.00421818
0,223,223,1123,0.00442229
0,4096,2145,32,0.0201681
0,426,117,2145,0.00886306
0,161,1552,161,0.00261159
0,61,4096,2145,0.0518728
0,117,4096,2145,0.0715747
0,2145,61,4096,0.0434361
0,588,1123,4096,0.160597
0,308,588,2964,0.039504
0,223,161,308,0.000832123
0,426,426,308,0.00411121
0,1552,2145,2964,0.589374
0,223,2964,223,0.00896083
0,161,426,4096,0.0196092
0,2964,588,61,0.00830063
0,1123,426,223,0.00660187
0,813,813,588,0.0258258
0,44,4096,2145,0.0377113
0,117,308,2964,0.00880655
0,2145,813,1552,0.170556
0,4096,813,1552,0.288364
0,426,1123,84,0.00365096
0,1552,588,117,0.00781966
0,223,2145,426,0.0142751
0,1123,2145,1552,0.227013
0,2964,44,4096,0.0459613
0,813,588,161,0.00478252
0,588,1552,2145,0.125067
0,32,4096,588,0.00858392
0,1552,117,2964,0.0474251
0,426,84,1552,0.0046539
0,1123,44,223,0.00127975
0,161,2145,223,0.00625632
0,161,308,1123,0.00405707
0,117,2964,2964,0.0785246
0,2145,84,426,0.00642148
0,588,117,2964,0.0184127
0,308,2964,4096,0.221106
0,426,308,223,0.00258626
0,4096,161,813,0.0370986
0,161,588,1552,0.0114602
0,2964,426,44,0.00460589
0,813,2145,426,0.0513252
0,44,426,1552,0.0026539
0,117,223,2145,0.0044042
0,2145,1123,1123,0.162659
0,588,84,588,0.00286879
0,1552,84,813,0.00756025
0,4096,1123,4096,0.936185
0,1552,426,84,0.00436555
0,223,1552,1123,0.0255444
0,61,588,2964,0.0154437
0,1123,813,2145,0.123535
0,2964,32,1552,0.0179186
0,813,426,223,0.00584673
0,588,2145,2964,0.23028
0,308,308,44,0.000480253
0,32,2964,813,0.00789216
0,1552,1123,4096,0.395817
0,4096,84,61,0.00165274
0,426,61,4096,0.00845373
0,1123,2964,308,0.0610589
0,161,2964,308,0.0106819
0,61,2964,588,0.0125886
0,117,2145,4096,0.0730363
0,2145,117,588,0.0144319
0,588,161,2145,0.0170738
0,2145,4096,32,0.0209531
0,308,4096,1552,0.117948
0,426,223,161,0.00127803
0,1552,1552,426,0.0683652
0,1123,84,84,0.0006114
0,161,813,2145,0.0207618
0,2964,1123,32,0.0110823
0,813,1552,1123,0.0860936
0,44,588,4096,0.0101339
0,117,161,1552,0.00366998
0,61,2145,117,0.00812526
0,2145,1552,813,0.162166
0,1552,61,588,0.00388431
0,4096,426,2964,0.296091
0,1552,4096,61,0.0269256
0,223,4096,813,0.0465781
0,61,426,2145,0.00593335
0,1123,1123,2964,0.224319
0,2964,84,2145,0.0418401
0,813,1123,308,0.0187706
0,44,2145,161,0.00510672
0,84,813,223,0.00341305
0,588,2964,4096,0.399119
0,32,2145,1123,0.00849156
0,84,161,2964,0.00330243
0,1552,813,1552,0.124528
0,4096,32,84,0.00110267
0,426,44,2964,0.00468565
0,1123,4096,117,0.0321476
0,161,4096,426,0.0222058
0,84,2145,588,0.00887772
0,2145,161,813,0.0218579
0,588,223,1552,0.0143526
0,308,1552,2145,0.0699115
0,223,1123,161,0.00265673
0,161,1123,813,0.0101877
0,2964,813,4096,0.548203
0,813,4096,813,0.150031
0,84,2145,117,0.00680088
0,44,813,2964,0.0118955
0,2145,2145,588,0.171047
0,1552,44,426,0.00227882
0,4096,588,588,0.0873108
0,426,426,2964,0.0364326
0,1552,2964,44,0.0161186
0,223,2964,2145,0.0958758
0,61,1123,1552,0.011372
0,1123,426,4096,0.116981
0,84,1552,588,0.00628875
0,117,1123,1552,0.015607
0,44,2964,117,0.00682416
0,588,4096,426,0.0623766
0,308,161,4096,0.0152675
0,32,1552,1552,0.0116711
0,84,61,4096,0.00218376
0,4096,813,161,0.0297253
0,1552,588,2145,0.123919
0,2964,2145,2145,0.806587
0,1123,1552,161,0.0182879
0,588,1552,61,0.00410909
