m,n,k,avg
0,128,3792,2048,0.0727277
0,119,3010,3792,0.101431
0,1625,2580,1106,0.270004
0,323,237,1505,0.00877843
0,2580,1625,55,0.0184005
0,174,3010,1505,0.0499859
0,2389,1290,102,0.0199657
0,813,161,3251,0.033038
0,3511,813,2787,0.470254
0,3792,2787,276,0.162143
0,128,3251,2048,0.0609567
0,219,2580,2212,0.0846507
0,4096,1106,4096,1.07429
0,1106,1393,3010,0.271584
0,1505,40,1505,0.00843093
0,878,645,3010,0.100723
0,1195,2212,948,0.138533
0,3511,1756,102,0.0401626
0,1024,597,1106,0.0436263
0,161,3792,813,0.0354995
0,1024,3251,299,0.0575637
0,948,553,2048,0.0668951
0,3010,1505,348,0.103796
0,87,3792,1625,0.0506171
0,149,3511,1505,0.0544468
0,1290,2389,753,0.133792
0,2212,1625,256,0.056445
0,2389,69,878,0.0114896
0,3792,2787,219,0.122088
0,102,2580,2389,0.0479447
0,3010,81,3792,0.0622143
0,2048,2787,1290,0.413463
0,2580,1106,2787,0.463518
0,1896,2212,2389,0.56552
0,597,439,1896,0.0301685
0,1625,1393,697,0.0998023
0,2787,1106,2580,0.448021
0,4096,1896,1393,0.625746
0,2048,406,1896,0.0902104
0,2580,878,1393,0.181955
0,1896,948,3511,0.381566
0,2389,697,753,0.0769557
0,1505,1024,2580,0.243119
0,1505,3792,406,0.124679
0,474,948,256,0.00747761
0,1756,69,2048,0.0183851
0,3792,406,219,0.0211126
0,1393,1896,1106,0.173387
0,174,3010,2389,0.0852032
0,237,878,697,0.00970583
0,3251,753,2389,0.357446
0,256,219,2212,0.00941736
0,697,2389,2787,0.272018
0,3010,948,1290,0.21972
0,3792,1505,1625,0.535334
0,3511,1195,3010,0.734485
0,512,406,149,0.00226297
0,1896,1195,439,0.057213
0,3251,948,40,0.00943759
0,2048,1393,323,0.0511864
0,2787,2580,203,0.085153
0,697,1625,4096,0.275074
0,3010,753,75,0.0114452
0,474,2048,4096,0.24938
0,2212,1106,2212,0.309319
0,3792,64,2048,0.038545
0,348,4096,1625,0.133203
0,597,2389,110,0.0106565
0,3511,149,3792,0.146618
0,323,2389,3010,0.152544
0,406,948,1195,0.0312228
0,3792,948,553,0.127917
0,2389,128,948,0.0218219
0,474,1625,2389,0.112649
0,3511,1393,1024,0.286091
0,1290,813,1290,0.0800746
0,1393,1290,256,0.027321
0,3251,1505,1896,0.513362
0,276,1393,55,0.00185364
0,69,4096,3792,0.0974262
0,323,2212,2048,0.101351
0,3010,2212,3511,1.35942
0,878,2212,102,0.0128483
0,323,237,2580,0.0145981
0,2048,2580,59,0.0235428
0,2580,1625,323,0.0788964
0,219,1505,1505,0.031681
0,1106,87,3251,0.0222981
0,4096,1106,1756,0.439545
0,878,645,1505,0.0500507
0,3792,753,3251,0.553432
0,474,37,102,0.000149922
0,3010,119,161,0.00665908
0,813,697,2787,0.100415
0,1393,1024,878,0.0697952
0,813,2048,1393,0.141277
0,161,3792,474,0.0193889
0,4096,474,3010,0.352391
0,87,3792,3251,0.0896194
0,2580,64,2787,0.0349338
0,878,376,2212,0.0456732
0,2787,3511,276,0.151141
0,2389,69,439,0.00532464
0,2048,1756,237,0.0499736
0,2580,1106,1625,0.269954
0,3251,512,110,0.0129688
0,1756,1756,2212,0.408098
0,138,1896,2389,0.0426694
0,697,81,2389,0.0101931
0,87,376,2048,0.00633839
0,2389,64,474,0.00545
0,94,1896,1505,0.020403
0,2389,697,1290,0.131168
0,1625,813,2787,0.219225
0,256,3010,512,0.0271255
0,1393,697,3792,0.22381
0,1393,1024,376,0.0323433
0,1195,1195,3511,0.296706
0,1393,1896,406,0.0702013
0,1024,1106,3511,0.238251
0,3251,4096,174,0.132632
0,161,2048,2580,0.0584735
0,948,1024,1896,0.112676
0,3010,948,2580,0.431196
0,188,406,1505,0.00860535
0,2212,553,2580,0.175455
0,3792,1505,813,0.263663
0,40,3792,1756,0.0262239
0,2048,439,1393,0.0819685
0,3511,1195,1505,0.355368
0,1896,1195,753,0.103685
0,3251,948,2787,0.503803
0,3010,753,37,0.00666983
0,1106,323,219,0.00498904
0,2212,1106,3251,0.469553
0,3511,2787,299,0.183263
0,3511,149,2212,0.0833102
0,323,2389,1505,0.0736318
0,406,948,1756,0.0425715
0,1195,439,512,0.0166704
0,3511,1393,512,0.146501
0,439,948,3010,0.079756
0,3251,1505,948,0.253319
0,553,69,1106,0.00365495
