11 24 41 0.00103577
33 41 33 0.00846543
22 12 4 0.000154598
14 10 17 0.000252117
56 13 56 0.0427359
12 29 13 0.000659748
29 54 15 0.00433982
63 10 35 0.00959738
60 8 33 0.00599809
54 57 3 0.0175712
50 30 5 0.00183874
3 61 29 0.0186529
10 50 46 0.0110086
45 62 14 0.0223479
34 1 7 6.90447e-05
38 39 3 0.00127706
13 0 59 0.00118686
4 27 36 0.000636079
52 55 19 0.0293119
23 24 18 0.00041729
47 50 43 0.0901444
7 23 11 0.000259656
32 7 55 0.00384262
55 39 43 0.0737003
42 21 60 0.0329527
19 7 29 0.000200567
44 50 12 0.00783614
50 13 35 0.00522997
1 4 28 0.000216371
49 8 59 0.0208751
18 60 54 0.0583645
22 28 59 0.0119655
33 32 38 0.00615213
53 21 24 0.00438115
4 30 35 0.000753177
44 39 29 0.011852
8 60 11 0.00508265
47 55 44 0.148046
16 58 38 0.0127727
49 45 32 0.0340521
1 56 20 0.00591613
41 45 11 0.00389685
12 39 18 0.00204996
2 50 32 0.00787059
22 27 62 0.0130502
59 50 31 0.089139
13 62 51 0.0461977
20 61 50 0.0502922
43 32 62 0.0813059
4 35 29 0.00235997
23 57 17 0.00437828
20 30 62 0.0141711
62 58 25 0.131805
11 56 35 0.00798031
24 24 37 0.00179425
42 15 10 0.000644869
4 14 14 9.95958e-05
1 60 37 0.00746011
42 10 49 0.0060509
12 0 16 0.000161156
38 34 53 0.0313481
51 49 40 0.0965932
58 46 57 0.447979
15 50 53 0.0213995
34 45 29 0.00882306
56 40 41 0.0740988
29 61 45 0.059547
55 3 30 0.00262887
7 58 48 0.018532
48 8 0 0.00022155
16 24 15 0.000182273
9 29 57 0.00497479
50 45 57 0.22859
40 44 3 0.00214397
23 33 33 0.00280014
3 22 22 0.000456639
35 44 27 0.00717304
8 30 33 0.00081469
58 19 11 0.00263568
32 45 8 0.00188257
11 16 12 0.000249158
33 33 50 0.0173493
5 21 33 0.000284931
43 58 13 0.012759
15 26 50 0.00313942
25 49 13 0.00199003
51 15 62 0.053208
12 48 19 0.00474624
56 21 27 0.00661412
11 27 33 0.000773164
43 47 1 0.00299089
0 40 34 0.00352463
46 41 30 0.0157014
61 60 17 0.0880445
10 58 3 0.00264761
41 37 17 0.00325093
43 8 21 0.000721687
6 53 7 0.00188818
21 54 48 0.0286973
16 17 52 0.00220865
11 41 25 0.00439224
20 53 8 0.00151735
46 2 12 0.000298188
37 19 62 0.0270979
59 44 48 0.202919
4 59 55 0.0295303
45 11 35 0.00280211
33 16 44 0.00351379
49 0 36 0.00243874
44 8 59 0.0129847
61 12 25 0.00468703
35 21 46 0.00636746
49 0 30 0.00158511
24 16 47 0.00263377
21 18 59 0.00558093
4 6 20 0.000140999
56 37 24 0.0179635
13 11 18 0.000244807
46 56 9 0.012233
55 46 55 0.305998
62 9 54 0.0408824
0 41 26 0.00264062
41 21 20 0.00150056
26 26 16 0.000568923
54 21 11 0.00187947
40 22 12 0.000820758
0 26 52 0.00154149
21 30 25 0.000988821
47 15 44 0.0083656
22 0 4 0.000118763
9 21 39 0.000660842
35 51 56 0.122161
11 48 54 0.0177534
59 4 25 0.00257852
49 48 27 0.0267022
17 19 17 0.000184753
10 54 30 0.00450069
26 44 27 0.00378295
59 55 61 1.28818
57 14 9 0.00199735
56 55 23 0.0557335
10 23 42 0.00103059
36 9 61 0.0109521
0 55 24 0.00554984
40 17 44 0.00661955
46 14 31 0.00307363
47 10 63 0.0261893
54 57 8 0.0232466
57 51 30 0.0774105
22 35 30 0.00188103
8 18 9 0.000162862
61 3 11 0.00102163
5 24 53 0.00153853
53 52 0 0.00788877
25 50 50 0.0326701
13 0 48 0.000477404
33 4 4 6.76528e-05
14 11 41 0.000487784
14 2 59 0.00136197
2 17 45 0.00045797
50 13 40 0.0082824
41 16 61 0.0244832
61 23 5 0.00272945
