msgsize,ppn,nnodes,avg,std
980,65128563,64,8,0.0630099,0.0203586
28927,235261,16,4,0.000280252,0.156972
21746,113830,2,16,0.000343685,0.279422
39932,2306411,8,16,0.00315003,0.157139
43748,342236,4,32,0.000989291,0.315142
41778,112002,16,1,4.66049e-05,0.356462
6154,109018,4,64,0.000447146,0.267129
20048,83692,2,128,0.000533503,0.414658
55556,2811911,2,32,0.00340407,0.33873
21029,226924,32,32,0.0008583,0.302373
12618,229346,2,16,0.000664248,0.244313
57448,153401,1,8,0.000386185,0.296621
59677,37036721,4,8,0.0234251,0.158796
57716,612917,1,16,0.00127988,0.225023
62024,21980373,2,2,0.00688529,0.00609762
38818,42931844,2,2,0.0138202,0.00279944
60313,54834824,1,4,0.0154697,0.0277503
47254,43213361,64,16,0.0417754,0.0113796
48836,1039922,1,2,0.00016466,0.100425
5893,368923,8,128,0.00120526,0.246317
33154,849162,16,2,0.000636001,0.0602423
60287,1309242,8,4,0.0011506,0.0425051
62079,3306584,4,1,0.00136267,0.0233156
53548,263475,32,8,0.000580069,0.255969
63029,10816830,8,32,0.00843451,0.0333167
4710,54875615,64,1,0.0383213,0.00419154
20187,26343918,8,4,0.0170976,0.0284929
32434,762876,64,4,0.00100903,0.0759791
57307,85414,32,4,0.000146676,0.101516
17054,23871953,16,1,0.00983009,0.00900279
47427,17392214,1,4,0.00540357,0.0299561
34331,8491138,16,4,0.00561946,0.0252128
46261,805488,32,4,0.000823634,0.0540846
51361,9637459,4,1,0.00382044,0.0128099
44450,6416624,2,8,0.00258315,0.0941157
14141,40618674,8,4,0.0264371,0.0248527
20471,1001801,8,8,0.00124495,0.191504
1923,712759,64,128,0.00237756,0.201207
11950,1313734,2,1,0.000593784,0.0450537
7077,220324,32,64,0.000838165,0.262589
41082,26619502,2,64,0.0125677,0.0700627
61547,28597044,4,4,0.0154878,0.0434387
43797,304067,1,4,0.000190173,0.393959
23097,1500141,64,2,0.00142405,0.0369133
63842,23781931,64,64,0.0241127,0.0183142
29050,5036342,16,4,0.00352226,0.0406225
25791,69344,1,2,5.19851e-05,0.32906
21945,11170041,4,16,0.00748557,0.140656
26125,101312,64,1,5.118e-05,0.20001
64008,132407,4,4,0.000210886,0.271797
16284,183965,64,16,0.000520396,0.199624
61545,66783381,4,4,0.0346267,0.0336752
29868,3867405,32,8,0.00348384,0.0329181
23291,12225598,2,16,0.00461058,0.0580518
14313,79114,64,4,0.000189286,0.397846
55185,582476,32,8,0.00106942,0.0970387
39176,6177087,4,64,0.0282857,0.0997775
50405,30715746,1,4,0.00873076,0.0391642
29077,5456776,1,128,0.00947732,0.0706598
8690,3698383,64,1,0.00267575,0.0319859
34720,169190,64,16,0.000532869,0.196492
50240,315013,32,4,0.000384045,0.0916247
40361,13414190,64,2,0.0111929,0.0100324
48321,30922761,8,32,0.0227997,0.0503381
15011,20857264,8,128,0.0177638,0.0371598
53755,1522234,8,16,0.0023534,0.189032
12385,270991,16,64,0.0008909,0.22852
9122,9712857,8,4,0.00631646,0.0307659
56756,39131044,2,1,0.0125719,0.00218205
11762,6041947,2,8,0.00251333,0.0612901
47005,175669,16,2,0.000152447,0.166213
61916,1770589,32,32,0.00250722,0.096003
57994,94930,64,64,0.000458662,0.268393
8606,16805139,2,4,0.0053015,0.0153621
36566,992385,32,4,0.00100128,0.0271807
8688,59856789,2,1,0.019087,0.00176387
2529,33459478,4,4,0.0181142,0.0550571
59658,47640699,2,16,0.0174877,0.0394141
34304,318558,16,2,0.00026286,0.144721
63128,1367103,16,16,0.00197804,0.0670916
10516,314347,16,2,0.000238257,0.124994
16589,5328997,64,64,0.006688,0.0392283
22548,2961200,32,64,0.00377615,0.079424
33487,3936703,16,64,0.00415529,0.0781431
35355,796369,1,32,0.00146108,0.2762
42300,1388105,1,4,0.000461608,0.202193
6808,93796,32,64,0.000428969,0.359266
36134,14544721,8,16,0.0165377,0.164552
61754,8374211,2,32,0.00599055,0.353641
50311,2053682,16,4,0.00161724,0.0324641
54020,1021231,4,32,0.00146466,0.229073
50792,20422107,32,8,0.0153511,0.0164281
7778,11312655,32,64,0.0102393,0.0675488
50619,84972,8,2,8.39589e-05,0.225637
28419,16633693,4,64,0.0146341,0.0985306
4087,4089756,4,64,0.00442925,0.134034
48955,97860,2,2,0.000112071,0.205693
36732,50781782,2,4,0.0164485,0.00508061
20047,65817,1,8,0.000182622,0.345445
31099,66311810,2,4,0.0212257,0.00575663
39719,39526735,64,64,0.0389226,0.0147249
46988,273939,2,16,0.000772052,0.263352
33716,128992,1,32,0.000371551,0.320283
1832,8903938,1,16,0.00426179,0.40263
29086,2414239,32,16,0.00272609,0.0734267
6867,15999529,16,1,0.0066128,0.0128216
40435,66738,64,4,0.000156307,0.154174
54294,41028370,16,32,0.0303284,0.0257916
27479,906605,32,8,0.0013002,0.0582715
52150,28739080,1,4,0.00802949,0.0713662
57299,59662680,8,8,0.0373372,0.00960622
6938,2465855,4,2,0.00173667,0.218266
19087,54647650,16,1,0.0226393,0.00468698
8249,190214,8,1,8.26584e-05,0.203404
49409,16200101,1,128,0.0235798,0.103216
54627,4254954,64,1,0.00304278,0.0275618
7292,59227677,2,1,0.0191511,0.00153154
39126,982698,8,32,0.0016926,0.101295
3095,49374885,64,8,0.046311,0.0118045
54592,888988,2,4,0.000659861,0.140082
45162,5183472,1,16,0.0031591,0.451085
57742,10106413,8,64,0.00908218,0.111459
16393,89999,2,64,0.000374583,0.259496
17488,27984269,2,128,0.0196627,0.0652393
16581,996943,8,64,0.00190183,0.1579
16982,151600,4,64,0.000717055,0.389661
14719,199100,8,32,0.000694618,0.26417
31261,485487,64,16,0.0015752,0.219913
20417,1048907,4,32,0.0016384,0.210064
16936,69174,32,2,8.45695e-05,0.185578
14392,4331401,16,1,0.00185203,0.0496424
34462,686089,2,2,0.00050168,0.098672
44798,2713225,4,8,0.00261175,0.335046
4356,1375723,16,128,0.00246648,0.126836
11110,557920,8,8,0.00106127,0.165644
9876,272892,64,8,0.000723824,0.152975
37612,228373,64,4,0.000371985,0.136211
49859,2503243,4,4,0.00185178,0.0738147
