36096,6575880,16,48,0.0113588,0.0596586
57809,20690464,32,6,0.0150982,0.0162284
53443,12826421,8,6,0.00880243,0.0215828
26012,1003449,8,12,0.00401772,0.0988547
1753,485290,32,96,0.00215665,0.0823194
59658,516112,2,24,0.00174846,2.11912
61447,1268099,1,12,0.00169066,0.126875
18261,173419,32,96,0.00143842,0.0574189
49423,1996643,4,96,0.00991639,0.262448
35569,112164,4,12,0.000384197,0.17097
15871,5498296,32,12,0.00611881,0.0680408
24766,624339,1,48,0.00183723,0.0730781
34819,1003280,16,24,0.00224578,0.0902588
35232,255315,2,6,0.000632092,0.270351
15686,421555,1,6,0.00076105,0.272331
37270,9015736,4,12,0.0105709,0.0343426
53896,1870191,4,96,0.00866871,0.128083
48658,11020471,16,48,0.0121573,0.0425488
39817,30543444,4,12,0.0290505,0.0105419
32235,1626478,1,12,0.00210389,0.149629
47861,74964,1,24,0.000429002,0.130976
42475,546719,4,48,0.00183268,0.340862
400,212523,2,12,0.000623097,0.0736269
7390,883656,1,48,0.00221028,0.0995443
10032,289920,16,24,0.000965396,0.0818025
5869,72872,32,24,0.00043956,0.139318
5412,6451952,32,48,0.0108929,0.0514192
2843,14355907,64,24,0.0158956,0.0241344
29235,35309154,2,6,0.0200474,0.026956
46255,241454,4,96,0.00367794,2.32217
37993,9413271,64,48,0.0172527,0.0664101
56238,358044,4,24,0.0011015,0.200203
31242,4551199,64,24,0.00840363,0.0698973
54143,9091280,2,12,0.00927839,0.0410818
64877,2529619,64,6,0.00314097,0.0434739
56467,24614671,1,48,0.0363143,0.0868311
5383,7452891,64,96,0.015952,0.0272814
23870,3486153,32,6,0.00322454,0.0264564
25003,1168836,8,96,0.00373677,0.0435049
4641,11496258,16,24,0.0101125,0.0337076
12673,19275410,8,48,0.0260354,0.0278078
17190,31675580,16,96,0.0572108,0.0238183
14807,44256015,32,12,0.0327935,0.0132283
16750,11129831,2,12,0.0108473,0.0351418
36194,551209,2,48,0.00218534,2.14726
43067,31109092,8,48,0.0384193,0.11145
32827,2863420,8,12,0.0113047,0.166166
14506,94548,32,96,0.00128463,0.049207
13228,2430148,64,12,0.00361767,0.0382654
48845,54116718,1,6,0.012365,0.0760691
59514,212091,8,6,0.000466098,0.200003
32613,110353,2,24,0.00039525,0.268134
53091,229269,4,24,0.000805941,0.156826
54278,56834029,2,6,0.0306432,0.0133009
424,302263,2,12,0.000843974,0.105677
20293,18628877,32,12,0.0145977,0.0318164
56076,872500,2,24,0.00330943,0.106222
43365,62639946,64,24,0.0617398,0.0123726
6660,4379238,64,24,0.00822054,0.093609
727,1756433,4,24,0.0067622,0.166701
20777,411870,16,24,0.00125507,0.0958821
31010,350969,32,96,0.00180208,0.0465352
15264,443833,8,96,0.00198102,0.0919793
7507,1816106,64,24,0.00414325,0.0543794
34379,464781,4,48,0.00186422,0.854822
45387,4741831,8,6,0.00388591,0.0185048
1176,16021138,2,6,0.0103791,0.0121212
58719,32972856,16,6,0.0220096,0.0219719
26919,613362,32,48,0.0021276,0.0692264
16910,5402288,2,48,0.0195721,0.153949
24126,1567827,4,6,0.00366345,0.178838
1585,50524158,1,96,0.0907781,0.0873162
39495,9026892,4,12,0.0105176,0.0398876
56369,1260220,4,48,0.00467194,0.29118
526,2053174,32,12,0.00340696,0.0805306
14047,46423395,32,96,0.078827,0.0442559
26363,2290600,2,96,0.00899418,0.464811
35844,3094180,8,24,0.00553321,0.0515109
55640,26564392,64,6,0.0255157,0.0152821
29427,4266471,64,6,0.00475904,0.0345896
47175,362541,8,6,0.000618868,0.148093
14837,39797422,8,24,0.0288938,0.0240661
16404,1624110,16,48,0.00370342,0.124926
35861,3027861,32,96,0.00645547,0.0589957
6853,15762185,2,96,0.0232957,0.0434998
52115,3597435,16,12,0.00373393,0.0507769
18254,3814743,64,24,0.0071476,0.0594673
11676,63508637,1,6,0.0162219,0.0502915
15870,336144,32,6,0.000618789,0.159128
44221,619615,2,24,0.00258968,0.22418
5771,1662179,4,12,0.00530396,0.147925
11719,478681,8,12,0.00113914,0.153831
4640,19901684,64,24,0.0211472,0.0157293
2944,50343348,16,48,0.0511079,0.0332356
4707,98320,32,6,0.000249694,0.194741
34211,485462,16,48,0.00182392,0.0720908
30047,28870924,16,6,0.0192515,0.0225327
24838,444481,64,48,0.0024171,0.141625
33100,6261099,8,96,0.0114172,0.126247
