msgsize,ppn,nnodes,avg,std
6213,22251233,2,16,0.00803965,0.0263761
43264,26042999,1,16,0.0104246,0.220249
26109,28460381,8,8,0.0184296,0.00911255
6526,19272677,64,1,0.0134876,0.0108183
63939,25455291,2,1,0.00835722,0.00402425
59365,22568068,1,16,0.0095486,0.207166
57404,21468948,8,4,0.0133823,0.00798537
38995,23152890,32,2,0.0131565,0.00713518
9930,26636313,4,64,0.0326833,0.0589327
45448,23375406,8,64,0.0190638,0.052147
58301,25943118,8,1,0.0109025,0.00619484
15874,25137656,64,4,0.0234827,0.0200429
47325,27516898,16,16,0.0193173,0.0429848
35287,17541096,8,64,0.0143148,0.0641661
62024,21980373,2,2,0.00688529,0.00609762
20187,26343918,8,4,0.0170976,0.0284929
17054,23871953,16,1,0.00983009,0.00900279
47427,17392214,1,4,0.00540357,0.0299561
41082,26619502,2,64,0.0125677,0.0700627
61547,28597044,4,4,0.0154878,0.0434387
63842,23781931,64,64,0.0241127,0.0183142
50405,30715746,1,4,0.00873076,0.0391642
48321,30922761,8,32,0.0227997,0.0503381
15011,20857264,8,128,0.0177638,0.0371598
8606,16805139,2,4,0.0053015,0.0153621
2529,33459478,4,4,0.0181142,0.0550571
50792,20422107,32,8,0.0153511,0.0164281
52150,28739080,1,4,0.00802949,0.0713662
17488,27984269,2,128,0.0196627,0.0652393
16302,16981545,64,16,0.0169954,0.0303802
56764,25922421,16,16,0.0184511,0.0394967
7608,20858338,64,8,0.0198212,0.0133711
55434,21171737,4,64,0.0189904,0.119871
47677,30956094,16,1,0.0127257,0.00806287
5938,19283046,16,64,0.0152407,0.0361905
29735,27953409,4,16,0.0173997,0.080134
9313,19386676,1,8,0.00480077,0.088277
63833,30565539,2,64,0.0142841,0.0556608
39846,27267035,16,4,0.0170089,0.00933561
19341,23368081,4,4,0.0123691,0.0458735
57929,26892540,32,2,0.0153327,0.0126807
62741,16786185,4,8,0.0111602,0.204559
24803,25819654,16,8,0.0168002,0.0140548
9678,18346748,4,16,0.0115494,0.114707
20012,26954550,16,2,0.0146753,0.0186565
16927,22448066,8,2,0.0116881,0.00651993
5898,17386235,64,32,0.0177474,0.027071
19102,29200469,1,4,0.00838397,0.0348006
40777,20632365,16,1,0.00884273,0.010176
15380,17600571,4,1,0.00695149,0.00641059
32486,19128153,4,2,0.0112184,0.0336715
54550,22680343,8,16,0.0278879,0.105015
3441,24137043,32,64,0.0205036,0.0366334
51536,28880380,64,2,0.0233942,0.0036411
15976,20587195,2,32,0.0122344,0.111354
54041,31529439,16,32,0.0239559,0.0366555
53420,24847604,16,32,0.0191818,0.0351123
15195,26607269,32,32,0.0207109,0.0399464
2074,26562805,32,8,0.0204302,0.0182071
3771,22147398,16,64,0.016955,0.0330929
11128,32293852,32,1,0.0147647,0.0081019
30212,29663670,32,32,0.0231545,0.0440441
14013,32575104,16,1,0.0135919,0.00885707
62341,20661820,16,1,0.00853042,0.00938623
18126,20240891,64,4,0.0190379,0.0196498
45753,24376363,1,8,0.00585773,0.0930782
30230,29477954,2,16,0.0103577,0.0482998
53874,30702366,4,64,0.0385059,0.044329
15567,22810908,4,16,0.0142272,0.129398
55686,31365353,32,4,0.0208511,0.00643211
1677,18335877,8,128,0.0171776,0.119459
42269,22303820,2,8,0.00706816,0.0128575
14076,29125186,32,1,0.0132477,0.0122942
45142,22735467,4,1,0.00896695,0.00466513
14629,19391345,4,64,0.0174716,0.0900903
45182,18863990,64,16,0.0183192,0.0113739
5959,29031186,1,16,0.0123856,0.192796
1704,17715296,32,4,0.0121736,0.00746661
40811,18754878,32,4,0.0128192,0.00893306
52073,28915629,16,64,0.0259237,0.113122
8918,25088268,2,128,0.0175685,0.088398
60175,24777010,2,16,0.00896579,0.067223
2574,20109665,4,1,0.00790909,0.00711723
24491,20071145,2,32,0.0116821,0.126591
15427,31371873,32,16,0.0236082,0.0283142
16151,20887556,16,4,0.013087,0.00746418
999,28591379,32,64,0.0237635,0.0378746
60471,22779822,4,32,0.0165863,0.147296
24169,20223844,16,64,0.0158338,0.0318588
23679,26517911,64,128,0.0283254,0.0249337
62618,31779220,1,2,0.00309063,0.00898122
16743,20686421,8,16,0.0249547,0.143342
4243,31957620,1,8,0.00802175,0.066136
33095,17812275,4,32,0.0130198,0.171191
9319,18038773,8,16,0.0215537,0.145246
17918,22335171,4,4,0.010833,0.021119
61564,16829466,1,32,0.00533809,0.0471752
25465,28847502,64,32,0.0289475,0.0194881
47035,31466396,16,8,0.0230871,0.033468
27410,17537785,1,8,0.00445995,0.0914345
169,22766887,32,128,0.0192461,0.0732085
18555,24359534,1,64,0.0100576,0.250629
48099,26376590,2,16,0.00954727,0.102201
61293,24067298,1,32,0.0072295,0.083301
25748,24724496,32,2,0.0140518,0.00828689
52355,20906142,16,4,0.0131038,0.00788652
51405,22643045,4,64,0.0210678,0.0834024
6165,20824623,4,8,0.0137314,0.172793
2866,20889572,32,1,0.00956967,0.00723014
64673,18291484,64,2,0.0151363,0.00692359
52793,29188042,16,32,0.0225093,0.0362426
12193,26053981,8,64,0.0202592,0.0448048
12414,29836792,2,64,0.0142618,0.075173
56551,29286893,32,2,0.0166796,0.00608029
19037,24358472,64,8,0.0230032,0.0162911
3885,26728496,32,32,0.020463,0.0349437
33847,18214042,1,16,0.00801374,0.248674
3541,19488476,2,16,0.00713204,0.0392272
27936,32769207,32,4,0.0216348,0.00916739
41747,28096371,8,32,0.0209449,0.0360867
872,30854267,8,8,0.0196535,0.00594148
2822,18498227,8,4,0.0122328,0.0225364
54726,18771097,4,2,0.0104503,0.00990911
37037,31166864,64,2,0.0252875,0.00321118
29320,26180432,8,8,0.0168904,0.0121186
1844,29538708,32,32,0.023004,0.0452672
10222,18455623,16,4,0.0116654,0.00930511
36343,17876499,64,128,0.0195036,0.0266994
39519,20702916,32,32,0.016736,0.0505622
13506,29329171,4,128,0.0311895,0.144642
33700,18149045,16,32,0.013351,0.0283045
36804,25574186,8,4,0.0167222,0.00574953
31753,27261384,64,1,0.019157,0.00980411
31701,29334693,2,2,0.00992906,0.00924891
48930,21006563,16,32,0.0161232,0.0327725
37847,20437599,2,32,0.0121235,0.139121
28536,21845905,16,4,0.014061,0.0163724
37980,19805634,2,16,0.00724943,0.0438323
35588,21675852,4,1,0.0085379,0.00695418
17823,23671706,64,32,0.0236774,0.0209879
60931,28695347,16,1,0.0117936,0.00908458
1771,23301131,2,64,0.0112999,0.0788639
58919,26828718,4,64,0.0357618,0.0531045
55966,31600812,32,1,0.0145475,0.00974824
58232,26324177,64,64,0.0265738,0.018625
10818,29044769,32,8,0.0214725,0.0109326
21628,17421802,16,32,0.012924,0.0300801
42284,32514547,4,8,0.0212903,0.154968
42666,19867376,1,32,0.00599527,0.0555101
55515,25601883,32,2,0.0145689,0.00995156
23677,32371661,64,8,0.0305006,0.0147045
54695,17817520,8,8,0.0117392,0.0107781
18107,19655168,32,16,0.0151289,0.0319069
6930,17312429,64,16,0.017309,0.0143453
2622,18764316,1,4,0.00545234,0.0488047
32825,30408499,1,2,0.00304802,0.00989588
20309,33349742,64,1,0.0229944,0.00449676
45510,17038410,16,32,0.0128214,0.039734
11510,27034935,16,2,0.0141654,0.0053108
35146,24479600,16,64,0.020026,0.0400177
41937,21019785,2,4,0.00636542,0.0105735
19437,18189704,16,2,0.00987841,0.0171789
12588,21389524,32,32,0.0175999,0.0600589
