m,n,k,avg
0,32,2935,2935,0.109411
0,1774,32,1774,0.0397685
0,613,2354,2354,0.201177
0,4096,613,1774,0.245567
0,2354,4096,3515,1.81784
0,2935,1193,613,0.124767
0,32,1193,613,0.00885723
0,613,4096,1193,0.173043
0,1193,3515,4096,0.928029
0,1193,32,4096,0.056469
0,2935,2935,2935,1.41193
0,1774,613,2354,0.148442
0,3515,2935,4096,2.25673
0,1774,4096,32,0.0645254
0,613,1193,32,0.00787694
0,3515,32,3515,0.146972
0,1193,2935,1774,0.360722
0,32,4096,2354,0.115788
0,3515,3515,1774,1.21193
0,1774,1193,3515,0.438742
0,4096,1774,2354,0.933051
0,2354,613,613,0.0555382
0,4096,2354,4096,2.04766
0,2935,32,32,0.00761449
0,32,2354,1193,0.0363675
0,613,1774,4096,0.262885
0,613,2935,4096,0.416473
0,4096,3515,1193,0.921972
0,2354,3515,2935,1.35522
0,2935,1774,3515,1.03247
0,32,613,32,0.00159764
0,613,32,1774,0.0135621
0,4096,2935,32,0.10948
0,1193,1774,3515,0.431826
0,2935,3515,2354,1.35737
0,3515,2354,2354,1.09418
0,1774,2354,613,0.153875
0,3515,1774,4096,1.38549
0,2354,1774,32,0.0444785
0,1193,2354,32,0.0307106
0,32,32,4096,0.0120276
0,32,3515,4096,0.157711
0,3515,613,1193,0.152845
0,1774,1774,2935,0.523674
0,4096,32,2935,0.153838
0,2354,32,3515,0.0986605
0,2935,4096,1774,1.15573
0,2935,613,1774,0.195907
0,32,1774,1774,0.0375897
0,3515,1193,32,0.041867
0,613,3515,3515,0.434134
0,4096,4096,613,0.546025
0,2354,2935,2354,0.915034
0,1193,613,2935,0.131665
0,2935,2354,4096,1.52271
0,1774,3515,32,0.0623017
0,613,613,32,0.00476192
0,1193,1193,613,0.0559201
0,3515,4096,2935,2.27494
0,1774,2935,3515,1.03654
0,2354,2354,1774,0.555743
0,4096,1193,2354,0.622984
0,2354,1193,1774,0.287298
0,1193,4096,613,0.175539
0,32,2935,3515,0.137308
0,3515,32,613,0.0284736
0,1774,32,2354,0.0525242
0,613,2354,2935,0.253212
0,4096,613,1193,0.165767
0,2354,4096,4096,2.05695
0,2935,1193,1193,0.243741
0,32,1193,32,0.00318954
0,613,4096,613,0.090167
0,1193,3515,3515,0.844972
0,4096,2354,32,0.0941591
0,1193,32,3515,0.0519578
0,2935,2935,2354,1.12337
0,1774,613,1774,0.113672
0,3515,2935,2354,1.35285
0,1774,4096,1774,0.683621
0,613,1193,613,0.0274644
0,1193,2935,32,0.0365589
0,32,4096,2935,0.127256
0,3515,3515,1193,0.829295
0,4096,2935,4096,2.60932
0,1774,1193,4096,0.485755
0,4096,1774,4096,1.53657
0,2354,613,1193,0.103061
0,2935,32,613,0.0231579
0,32,2354,613,0.0194498
0,613,1774,3515,0.222667
0,3515,1774,32,0.0659224
0,613,2935,3515,0.363002
0,4096,3515,1774,1.40367
0,2354,3515,2354,1.08331
0,2935,1774,2935,0.880938
0,32,613,613,0.0056188
0,613,32,32,0.0015567
0,1193,1774,4096,0.49197
0,3515,1193,4096,0.946473
0,2935,3515,2935,1.69866
0,3515,2354,4096,1.82166
0,1774,2354,1193,0.283995
0,2354,1774,613,0.149749
0,1193,2354,1774,0.292848
0,32,32,3515,0.00997152
0,32,3515,3515,0.155838
