m,n,k,avg
0,2130,2130,294,0.0824237
0,2916,1605,556,0.15321
0,3572,556,2261,0.279117
0,3441,1474,3309,0.993076
0,3309,1867,163,0.0615833
0,3178,1736,1212,0.373562
0,950,3047,1474,0.229892
0,1605,1736,1867,0.282942
0,950,32,3834,0.0254699
0,294,163,2654,0.0116985
0,1474,1081,819,0.0671288
0,163,556,3703,0.0182122
0,32,950,556,0.00365412
0,1212,294,2916,0.0801059
0,1998,1343,1605,0.24191
0,2654,2392,1474,0.540589
0,3834,3047,1736,1.08916
0,2392,1212,3834,0.632793
0,2523,3047,425,0.193744
0,3703,2654,687,0.422012
0,3572,2261,3834,1.77605
0,3441,3965,2785,2.07809
0,687,1736,819,0.0608694
0,2261,3572,950,0.435779
0,2261,3572,556,0.261738
0,2523,294,2785,0.134532
0,1736,425,1081,0.046712
0,425,1474,2916,0.116775
0,1605,32,2130,0.0183683
0,294,2654,3965,0.171667
0,2523,294,2916,0.143217
0,1474,687,3178,0.196446
0,556,2523,3965,0.305317
0,3703,1212,2654,0.673303
0,1736,2916,3703,1.07366
0,425,2916,2916,0.245967
0,1605,2785,556,0.13551
0,294,1212,1867,0.0479186
0,1474,2130,1605,0.297664
0,163,1605,819,0.0143023
0,2916,556,2261,0.218459
0,4096,687,3047,0.487881
0,3965,294,4096,0.358013
0,3834,4096,950,0.851765
0,4096,2785,3047,1.93615
0,2523,1998,1212,0.350487
0,3703,3703,1998,1.54072
0,1867,1343,3965,0.562526
0,950,1998,1605,0.175735
0,819,1081,556,0.03508
0,687,687,3703,0.10402
0,556,819,2654,0.0797336
0,1736,1474,2392,0.359654
0,1998,2392,1474,0.399093
0,1081,1212,163,0.0149248
0,1867,2785,425,0.140282
0,3047,2654,1212,0.531944
0,2130,425,3047,0.162322
0,2916,2523,2261,0.934571
0,2785,3965,3309,2.00455
0,1736,3965,294,0.121127
0,1998,163,3834,0.0851109
0,1081,2916,4096,0.734992
0,3178,294,3441,0.242602
0,1867,819,2785,0.253984
0,2130,2130,1212,0.308577
0,2785,163,950,0.0341534
0,2392,687,1736,0.170446
0,3441,1474,2392,0.70332
0,3309,1867,3441,1.21745
0,3178,1736,294,0.112965
0,950,3047,294,0.0440594
0,819,2130,1343,0.136357
0,1474,1081,1998,0.19763
0,163,556,2785,0.0160825
0,1343,950,950,0.0803416
0,1998,1343,687,0.118112
0,1081,163,3047,0.0409879
0,2261,1081,2261,0.321075
0,2523,3047,1343,0.592916
0,3572,2261,556,0.288861
0,3441,3965,3703,2.82516
0,3309,3572,2654,1.81129
0,1736,425,950,0.0472384
0,2261,819,2392,0.252203
0,425,1474,163,0.00535912
0,3572,1605,2130,0.666096
0,294,2654,1212,0.0607213
0,3441,425,1081,0.102302
0,163,2261,2261,0.0544601
0,3834,1998,3572,1.54638
0,2392,1736,2130,0.501892
0,1736,2916,2785,0.805981
0,425,2916,4096,0.309182
0,1605,2785,3834,0.956756
0,1474,2130,687,0.129779
0,163,1605,1998,0.023655
0,32,1998,950,0.0103174
0,2785,1212,2130,0.414669
0,3965,294,2916,0.186518
0,3703,1605,2654,0.907836
0,2654,1343,3178,0.660186
0,3834,4096,3965,3.53539
0,3703,3703,819,0.645479
0,3572,3309,1867,1.17464
0,1736,950,2130,0.215328
0,819,1081,1998,0.0914912
0,687,687,950,0.0268819
0,1998,163,3572,0.101191
0,1736,1474,3309,0.489665
0,425,425,3047,0.0365177
0,1867,2785,1081,0.318005
0,3047,2654,294,0.140215
0,2130,425,1605,0.074459
0,2916,2523,1343,0.541958
0,4096,1867,2654,1.15151
0,2785,3965,2392,1.50268
0,3965,1212,3703,0.991384
0,1867,819,2523,0.227795
0,1736,3965,1474,0.578446
0,2654,3834,3441,1.99738
0,2261,2523,3178,1.01361
0,3047,1474,3965,1.00624
0,2130,2130,2130,0.547617
0,950,32,1998,0.0105499
0,4096,3834,1081,1.13505
0,2785,163,1867,0.0598981
0,3965,3441,32,0.0525508
0,2654,294,819,0.0357827
0,3309,1867,2523,0.894359
0,3178,1736,3572,1.09676
0,950,3047,3834,0.657506
0,819,2130,687,0.0777439
0,687,3834,1736,0.275498
0,32,950,2392,0.0167588
0,1212,294,1081,0.0252906
0,2392,1736,819,0.193585
0,1081,163,32,0.00138857
0,1867,1736,294,0.0568998
0,1998,2916,3703,1.20171
0,3047,3703,3178,2.08257
0,2130,1474,2916,0.529608
0,2916,3572,2130,1.23013
0,2654,950,3834,0.586307
0,3441,3965,425,0.323638
0,3309,3572,3572,2.33076
0,3834,1343,4096,1.21032
0,3178,3178,2523,1.42662
0,950,1081,2785,0.169557
0,3572,1605,3309,1.06186
0,294,2654,32,0.00487518
0,556,1867,1867,0.115575
0,3441,425,2261,0.185695
0,163,2261,1081,0.0243472
0,3309,819,1212,0.196717
0,1212,1998,3965,0.54325
0,2130,3178,1605,0.601853
0,950,4096,425,0.085978
0,1605,2785,2916,0.728613
0,294,1212,3703,0.099693
0,163,1605,2654,0.0424992
0,1343,4096,819,0.280354
0,32,1998,1605,0.020403
0,1212,3441,1867,0.434325
0,2392,2785,1081,0.406426
0,3572,1605,1998,0.646701
0,2523,1998,3572,1.05197
0,163,1867,3441,0.0493332
0,1867,1343,3572,0.507003
0,3572,3309,687,0.489246
0,3441,2916,1736,0.970704
0,687,687,1867,0.0609301
0,556,819,819,0.0246228
0,1736,1474,32,0.0109476
0,3441,425,950,0.0828405
0,1605,1081,3178,0.311568
0,1474,1736,2130,0.300339
0,2130,425,687,0.0390286
0,3965,1212,2785,0.778379
0,1736,3965,2654,1.02975
0,1605,3834,1605,0.511988
0,2523,3178,3572,1.65592
0,1474,3178,556,0.150074
0,2916,1605,3309,0.878769
0,2785,163,2261,0.0733934
0,2392,687,32,0.00494066
0,3965,3441,3047,2.23688
0,2654,294,1212,0.0555223
0,556,1212,3178,0.131097
0,3703,556,950,0.122481
0,950,3047,2654,0.449545
0,819,2130,3703,0.375305
0,687,3834,556,0.100358
0,2261,32,1081,0.0160978
0,556,3965,1605,0.216164
0,1998,1343,2523,0.424576
0,1081,163,1212,0.0133846
0,1867,1736,3572,0.667818
0,3047,3703,163,0.121581
0,2130,1474,4096,0.727039
0,2916,3572,3309,1.91424
0,4096,819,3047,0.59992
0,2785,2916,2261,1.05674
0,3441,3965,1343,0.985399
0,3309,3572,294,0.214675
0,3178,3178,3441,1.942
0,950,1081,3965,0.248942
0,819,1998,2916,0.272431
0,3441,425,3441,0.302217
0,3309,819,2392,0.366098
0,1998,1343,1474,0.228323
0,32,2392,1474,0.0241198
0,3703,1605,2261,0.745816
0,1998,4096,2523,1.20192
0,3572,1212,3309,0.830295
0,1867,3178,3572,1.19282
0,819,3178,294,0.0431083
0,1474,2130,3047,0.57744
0,163,1605,3834,0.0520186
0,32,1998,2785,0.0428126
0,819,819,2654,0.11411
0,1212,3441,950,0.22397
0,1998,294,1736,0.0708457
0,1081,3309,1998,0.451249
0,2261,2130,1212,0.325299
0,2523,1998,2392,0.669097
0,3703,3703,2654,2.08161
0,3572,3309,3703,2.45844
0,3441,2916,556,0.324926
0,3703,1736,1343,0.48251
0,3309,2523,1605,0.730294
0,2392,2916,3703,1.42936
0,1736,1474,1998,0.279359
0,425,425,1212,0.0147417
0,3703,1867,32,0.0335089
0,1605,1081,950,0.097723
0,294,3703,163,0.0146185
0,1474,1736,4096,0.607544
0,163,3309,3309,0.115743
0,1343,294,3047,0.0959301
0,1605,556,2785,0.161815
0,32,3441,2261,0.0499122
0,2785,3965,556,0.369433
0,3965,1212,294,0.0861203
0,1867,819,2130,0.183003
0,1736,3965,3834,1.43441
0,2654,3834,1605,0.894359
0,3834,2654,1343,0.747862
0,1605,3834,2785,0.962144
0,2523,3178,2654,1.2049
0,3703,3047,2392,1.53755
0,1474,3178,1736,0.471562
0,3572,2392,3441,1.69738
0,1343,3047,687,0.163004
0,819,950,163,0.00751975
0,3965,3441,3965,2.90055
0,2654,294,2130,0.102673
0,3834,950,2916,0.599791
0,2523,950,1081,0.148091
0,3703,556,1867,0.226347
0,425,1605,3309,0.14249
0,3572,163,819,0.0343135
0,950,32,3572,0.0113772
0,819,2130,3047,0.303265
0,687,3834,4096,0.635837
0,556,3965,950,0.124998
0,32,2654,3047,0.0556852
0,1736,2523,163,0.0337327
0,425,3572,1998,0.198716
0,1605,2130,1212,0.235822
0,2261,1081,1605,0.212346
0,2392,1212,950,0.155756
0,3047,3703,1343,0.868127
0,2130,1474,556,0.0971728
0,2916,3572,294,0.149009
0,1867,3572,1605,0.58929
0,2785,2916,3441,1.59241
0,3965,163,2654,0.138709
0,2654,2785,2392,0.999625
0,3309,3572,1212,0.825714
