m,n,k,avg
0,3386,161,2419,0.105995
0,2870,3257,806,0.411897
0,355,3838,2935,0.225571
0,806,3644,4031,0.661307
0,3644,871,3644,0.705792
0,1774,2096,1516,0.312778
0,3773,3515,2032,1.51685
0,1967,1709,3257,0.622785
0,3064,1129,2225,0.441294
0,1903,484,2741,0.155801
0,1645,1451,3515,0.482846
0,2935,226,2354,0.108543
0,97,2548,871,0.0183796
0,871,2354,677,0.0880252
0,226,1967,2870,0.0908672
0,3322,3257,2806,1.64069
0,2032,2096,677,0.180127
0,355,677,1774,0.0274567
0,3257,871,2290,0.378511
0,3064,1709,355,0.121085
0,1709,3902,3064,1.15079
0,3386,1193,1580,0.369911
0,2806,3257,1774,0.905461
0,2612,1258,2870,0.529301
0,4096,2999,4096,2.86808
0,290,1967,2290,0.0863652
0,3128,742,3322,0.445287
0,613,161,1451,0.0141031
0,742,3644,2096,0.34033
0,2032,1903,3773,0.838653
0,1193,871,1064,0.0673222
0,1451,1000,3322,0.285364
0,548,97,2999,0.0106319
0,3838,226,3322,0.20861
0,2935,2483,2999,1.2238
0,3128,2999,3644,1.89207
0,419,2935,871,0.062661
0,3773,806,3838,0.688417
0,2161,742,3193,0.3021
0,2870,2419,3515,1.35643
0,355,2096,355,0.0156694
0,548,2354,1645,0.131431
0,2806,2096,4031,1.32634
0,806,3967,2806,0.538678
0,3644,677,2806,0.386104
0,548,355,1258,0.017199
0,1967,1516,2548,0.422692
0,290,613,3064,0.0350205
0,1322,484,1903,0.0712982
0,1580,1580,2419,0.342663
0,548,3902,3709,0.496096
0,3451,3580,3644,2.55878
0,3644,2935,2225,1.32785
0,419,4031,2032,0.214344
0,1064,1580,806,0.0777845
0,2290,2870,1451,0.541868
0,1000,1258,3451,0.255898
0,548,3193,742,0.080296
0,2677,1000,3709,0.573084
0,1000,1129,806,0.0545616
0,935,1903,3709,0.389414
0,3773,2999,3709,2.45959
0,1258,161,1451,0.0230757
0,290,3128,1000,0.064664
0,1709,226,484,0.0131787
0,419,1903,2999,0.141288
0,97,1129,2483,0.0261816
0,2161,2354,3451,0.978685
0,355,1064,2483,0.0616013
0,806,2290,613,0.0686104
0,3644,2612,2677,1.41669
0,3515,32,3451,0.0432765
0,677,1580,3193,0.217986
0,2161,806,2677,0.278803
0,3064,2741,2419,1.14263
0,2612,2870,226,0.104462
0,1258,3128,1709,0.400239
0,226,1451,1451,0.0299615
0,3709,419,2290,0.222941
0,1451,3322,3257,0.890033
0,484,2290,1838,0.131067
0,161,613,935,0.00737265
0,1709,355,2548,0.0991632
0,3193,1193,226,0.055512
0,2419,1064,677,0.0965377
0,1645,3193,871,0.260951
0,742,1709,2290,0.186773
0,2806,3064,97,0.0561714
0,3257,3128,2483,1.43771
0,290,2096,2741,0.0968369
0,1967,161,2032,0.0441825
0,548,1645,2354,0.135063
0,3193,3451,2999,1.82642
0,3193,3515,1064,0.680544
0,484,3257,2032,0.195172
0,3838,742,2677,0.43881
0,806,32,1258,0.0034883
0,2483,548,1387,0.113985
0,1387,3515,3128,0.874796
0,3902,2677,3644,2.10272
0,97,4096,3257,0.0903352
0,1774,1645,3580,0.581434
0,548,2612,290,0.0266071
0,2612,3644,3773,2.06814
0,290,3838,3580,0.26021
0,1258,3128,32,0.0160249
0,2290,1387,2354,0.424067
0,1000,2741,1709,0.27784
0,2419,2225,1838,0.550759
0,1387,548,2032,0.0927253
0,1903,2677,1903,0.546522
0,3709,2483,2096,1.07387
0,2677,2161,2225,0.712869
0,1129,2290,1967,0.288535
0,2354,2161,1322,0.373833
0,2677,3128,484,0.251218
0,3902,2870,226,0.154617
0,1064,2096,1451,0.190157
0,3257,2096,355,0.170266
0,1000,1193,742,0.0531292
0,3838,2677,742,0.430311
0,1580,2870,3451,0.899415
0,548,613,97,0.00217195
0,935,1387,226,0.0163282
0,2225,2677,3580,1.17258
0,3128,2483,1387,0.617958
0,97,1645,3902,0.0589693
0,1709,677,97,0.00876249
0,2161,2870,3064,1.0792
0,3257,935,1258,0.217101
0,1903,2419,2290,0.59195
0,3580,742,290,0.0485443
0,1516,3193,419,0.127522
0,1645,2935,32,0.0189314
0,3064,2225,2032,0.840932
0,1000,97,1903,0.0189389
0,1451,3515,935,0.27475
0,2999,2419,1516,0.617857
0,1903,161,3773,0.0790116
0,2161,2354,3515,0.991507
0,226,2741,1451,0.0601352
0,2354,613,3967,0.332498
0,1258,3967,2483,0.702122
0,2612,3322,3451,1.63366
0,1709,742,1193,0.0852228
0,2225,613,3257,0.270528
0,1903,484,3193,0.187351
0,1387,871,806,0.0590697
0,2999,1451,2161,0.530568
0,2612,2741,1774,0.69214
0,419,3967,3193,0.314177
0,1580,871,161,0.013645
0,1903,3967,2612,1.08512
0,2935,2161,2806,0.998838
0,226,1967,2419,0.0649018
0,2225,3902,1000,0.524299
0,161,97,2935,0.00473592
0,1774,1903,2935,0.543447
0,1451,1064,548,0.0493641
0,355,1903,3257,0.135268
0,2935,3128,1709,0.891489
0,2612,1258,3451,0.655577
0,4096,2999,3386,2.36703
0,290,1967,3773,0.127138
0,3128,742,3644,0.502909
0,1838,3709,1774,0.71145
0,677,4031,2999,0.475551
0,1193,871,1645,0.0995751
0,3838,2096,3257,1.47037
0,1774,3902,1258,0.502013
0,3967,3386,290,0.202651
0,1129,548,1129,0.0413751
0,1645,3709,3580,1.22166
0,1258,2032,3515,0.543804
0,3902,3580,806,0.641558
0,1838,1322,806,0.109273
0,1451,1774,2548,0.382281
0,871,4031,3902,0.793134
0,2548,2096,3064,0.988344
0,2354,935,1451,0.182972
0,4031,2354,3322,1.7711
0,290,2290,161,0.00713906
0,3644,677,2225,0.325522
0,1838,2999,1129,0.363969
0,3515,3386,1709,1.35215
0,2096,1000,2225,0.276841
0,1193,1967,3322,0.444966
0,3193,2677,355,0.152709
0,161,3709,1193,0.0498673
0,3773,226,4096,0.21398
0,4031,3515,1129,0.905025
0,1709,2354,97,0.0227236
0,419,4031,2483,0.245276
0,3064,226,1709,0.0780367
