m,n,k,avg
0,32,32,1658,0.00195639
0,2470,1929,3012,0.820763
0,2199,4096,2741,1.41755
0,1658,303,845,0.0287943
0,2199,1116,845,0.114319
0,3012,3012,2741,1.38408
0,574,574,2199,0.0485268
0,3012,303,3554,0.219235
0,1387,3283,3012,0.764695
0,3825,1387,3825,1.16119
0,845,4096,1387,0.27113
0,32,3283,2741,0.0730713
0,2741,3825,1387,0.81091
0,1116,1116,2741,0.204805
0,3554,845,1929,0.353364
0,1929,574,3554,0.238246
0,32,845,32,0.00113036
0,845,3012,303,0.0519415
0,2470,1116,574,0.10028
0,3283,32,4096,0.10506
0,4096,3825,2199,1.90489
0,2199,1929,4096,0.954026
0,3283,3554,32,0.0753406
0,1658,2470,3283,0.774426
0,574,303,574,0.00681521
0,2741,1116,32,0.0193366
0,1387,2470,1929,0.376554
0,574,2741,3012,0.284668
0,1387,1116,1116,0.101923
0,4096,1658,2741,1.05614
0,303,1116,2741,0.0611088
0,2741,3554,303,0.172279
0,1116,2741,4096,0.731869
0,303,4096,845,0.0589013
0,1116,32,3283,0.0349373
0,2470,2199,2470,0.786401
0,574,3012,3554,0.355806
0,1929,2741,3825,1.12505
0,2470,845,32,0.0118026
0,3283,845,845,0.139102
0,4096,3012,1658,1.1454
0,3283,2199,2741,1.13933
0,1658,3554,1658,0.547856
0,2199,32,2199,0.0253687
0,3012,1658,3012,0.843582
0,3825,3283,3825,2.66485
0,3012,3554,574,0.356943
0,1387,303,2741,0.0805542
0,303,3283,4096,0.257438
0,1116,574,574,0.0257845
0,2470,3554,303,0.152834
0,3554,1929,1116,0.419391
0,32,4096,1929,0.0597883
0,2470,32,2741,0.0490998
0,1929,3554,2470,0.995396
0,2199,3825,2470,1.17005
0,1658,32,32,0.00190581
0,2199,845,574,0.0724907
0,574,1387,2470,0.11425
0,3012,3825,3283,2.09299
0,1387,3554,2199,0.613119
0,3825,1116,3554,0.853433
0,574,3825,32,0.0140976
0,1658,845,4096,0.323777
0,2741,303,1116,0.062227
0,303,3012,2199,0.12201
0,3554,1116,1658,0.380803
0,1929,845,3825,0.372633
0,32,574,845,0.00371865
0,845,2199,32,0.0139731
0,3283,1929,3825,1.36288
0,4096,4096,3012,2.63061
0,2199,1658,3283,0.685151
0,1658,2199,4096,0.841273
0,574,32,303,0.00173164
0,1387,2741,1658,0.35894
0,574,3554,2741,0.316334
0,1387,1387,1929,0.209535
0,303,1387,2470,0.0700829
0,2741,3283,574,0.320414
0,1116,2470,3825,0.623025
0,303,2199,574,0.0247776
0,2470,2470,2741,0.952355
0,1929,3012,3554,1.16081
0,32,2741,3825,0.0964945
0,845,32,3554,0.0210649
0,4096,2199,1929,0.992615
0,3283,4096,3012,2.19877
0,1658,3283,1387,0.416829
0,4096,1929,1658,0.779556
0,3012,1929,2199,0.717651
0,845,3825,1387,0.263449
0,3825,4096,4096,3.56676
0,3012,2741,845,0.404058
0,1387,574,3012,0.150733
0,303,3554,3283,0.236315
0,1116,303,845,0.01886
0,2470,3825,32,0.0671215
0,3554,2199,1387,0.576516
0,32,3825,1116,0.0322525
0,2470,303,2470,0.103693
0,2199,3554,2199,0.960982
0,1658,845,303,0.0210666
0,2199,574,303,0.0228911
0,574,1116,2741,0.109712
0,3012,4096,4096,2.80027
0,1387,3825,2470,0.748932
0,3825,1929,3283,1.37021
0,2741,32,1929,0.0361057
0,3554,1387,1387,0.386423
0,1929,32,4096,0.0488335
0,32,303,574,0.00202285
0,3554,4096,3825,3.05681
0,845,2470,4096,0.484797
0,3283,1658,3554,1.10351
0,4096,3283,2741,2.02092
0,2199,1387,3554,0.629411
0,1658,3012,3825,1.09769
0,574,845,32,0.00347948
0,1387,3012,303,0.0764589
0,574,3283,2470,0.287451
0,1387,1658,1658,0.21232
0,303,1658,2199,0.0711511
0,2741,4096,845,0.534548
0,1116,2199,2470,0.355274
0,303,2470,303,0.0156539
0,2470,2741,3012,1.12728
0,1929,2199,3283,0.785558
0,32,2470,4096,0.0782411
0,3283,303,303,0.0211663
0,1387,1116,3283,0.305133
0,4096,2470,32,0.0751062
0,3283,3825,2199,1.52132
0,1658,4096,1116,0.427553
0,4096,1116,1929,0.5174
0,3012,1116,2470,0.472824
0,3825,3825,2199,1.78932
0,3012,3012,32,0.0536535
0,1387,845,3283,0.23127
0,1116,3012,1387,0.269878
0,2199,32,3012,0.0458948
0,303,3825,3554,0.264897
0,1116,32,1116,0.010547
0,2470,4096,1929,1.0746
0,845,3825,3554,0.653221
0,32,3554,1387,0.0361983
0,2470,574,2199,0.181827
0,2199,3283,4096,1.57458
0,1658,574,3825,0.21074
0,2199,303,32,0.00538361
0,3825,3554,574,0.476331
0,574,1929,3012,0.199806
0,3012,3283,3825,2.1467
0,1387,4096,1658,0.502235
0,3825,1658,3012,1.09427
0,2741,845,1658,0.218336
0,3554,1658,1116,0.380281
0,1929,303,2199,0.0805834
0,32,32,3554,0.00306364
0,845,1658,3825,0.295963
0,2199,4096,845,0.427416
0,3283,1387,3283,0.840558
0,4096,3554,1387,1.10213
0,2199,1116,2741,0.391516
0,574,574,1929,0.0396902
0,1387,3283,32,0.0291359
0,574,4096,2199,0.313538
0,303,1929,4096,0.146671
0,2741,3825,3283,1.84342
0,1116,4096,2199,0.591499
0,303,2741,32,0.00631707
0,1116,1116,303,0.0218587
0,1929,574,574,0.0377518
0,2470,3012,1116,0.481538
0,1929,2470,3012,0.822676
0,845,303,2470,0.044257
0,3283,32,1658,0.0468172
0,1658,1387,2741,0.364417
0,4096,3825,303,0.284028
0,3283,3554,2470,1.61743
0,1658,3825,845,0.313889
0,3012,1387,3825,0.916126
0,3825,2470,2470,1.32568
0,3012,2199,303,0.120317
0,1387,1116,3554,0.327468
0,303,1116,845,0.0191763
0,1116,2741,1658,0.295716
0,303,4096,2741,0.183256
0,1116,1929,1387,0.171875
0,32,1929,3012,0.0523191
0,2470,2199,1658,0.507649
0,3554,2741,1929,1.0391
0,32,3283,574,0.0148162
0,32,2199,4096,0.068458
0,2199,3012,3825,1.39718
0,1658,3554,4096,1.3409
0,3012,1658,32,0.0311909
0,3825,3283,303,0.22638
0,574,1658,1116,0.0649937
0,3012,3554,2470,1.48398
0,1387,32,1929,0.0239553
0,3825,303,2741,0.202015
0,2741,2470,2199,0.834351
0,1387,3012,845,0.203917
0,2741,574,303,0.0299076
0,1116,1658,3554,0.370812
0,3554,1929,3012,1.13738
0,1929,1658,2470,0.458663
0,32,4096,3283,0.111964
0,845,1929,3554,0.33753
0,1929,3554,32,0.0402027
0,2199,3825,32,0.0452355
0,3283,1116,845,0.18412
0,1929,3825,4096,1.72134
0,4096,574,1116,0.149332
0,2199,845,3012,0.331701
0,1658,2741,2199,0.569695
0,574,1387,1658,0.0830817
0,1387,3554,845,0.2361
0,32,2199,303,0.00681253
0,303,32,3825,0.00916891
0,2741,303,3554,0.194907
0,1116,3825,3012,0.738741
0,3554,3825,3283,2.47372
0,1929,845,303,0.0336424
0,2470,1116,1387,0.216739
0,32,2199,1929,0.0339706
0,3283,1929,1929,0.68752
0,1658,1116,2470,0.268586
0,4096,4096,574,0.464508
0,1658,2470,574,0.14461
0,3012,574,4096,0.4004
0,3825,2199,2741,1.28044
0,845,32,2741,0.0160943
0,1387,1387,3825,0.424171
0,303,1387,32,0.00290614
0,1116,2470,1929,0.309181
0,303,2199,3012,0.114229
0,1116,1658,1658,0.186527
0,32,1658,2199,0.0306631
0,2470,2470,1387,0.484802
0,3554,3012,32,0.0750066
0,32,3012,845,0.0171273
0,2199,2741,3554,1.21203
0,1658,3283,3283,1.01574
0,3012,1929,845,0.267302
0,3825,4096,32,0.086822
0,574,2470,1387,0.112223
0,3012,2741,2199,0.991305
0,1387,303,1116,0.0309267
0,3825,32,2470,0.0726042
0,2741,2199,3012,1.04264
0,2741,1387,32,0.0224161
0,845,2741,1387,0.180886
0,3554,2199,2741,1.21477
0,1929,1929,2741,0.568663
0,303,2199,4096,0.154662
0,1658,3554,303,0.117434
0,845,1116,3283,0.181263
0,2199,3554,303,0.155177
0,3283,3012,574,0.337623
0,4096,845,1929,0.353834
0,2199,574,2199,0.167402
0,574,1116,1387,0.0533977
0,2741,1658,3825,0.970091
0,1387,3825,574,0.173911
0,574,3825,3825,0.497498
0,303,303,3554,0.0245903
0,845,3554,3825,0.66927
0,1116,3554,2741,0.621088
0,1929,32,32,0.0010656
0,2470,1387,1658,0.336816
0,3554,4096,1387,1.1051
0,1929,4096,2470,1.12574
0,3283,1658,1116,0.358882
0,1658,1929,2199,0.394043
0,4096,3283,845,0.64064
0,3283,3283,3554,2.13693
0,3825,574,1387,0.17563
0,1658,2199,303,0.069379
0,3012,845,3283,0.472341
0,3825,3012,3012,1.92057
0,2741,1658,303,0.0866814
0,1387,1658,4096,0.550373
0,303,1658,303,0.0111668
0,1116,2199,32,0.015683
0,3554,3554,845,0.58547
0,303,2470,2199,0.106457
0,3554,303,2741,0.19504
0,32,1387,2470,0.0304399
0,2470,2741,1116,0.42509
0,845,3554,2199,0.354576
0,32,2741,32,0.0048688
0,2199,2470,3283,1.00788
0,1658,4096,3554,1.32857
0,3012,1116,574,0.120674
0,3825,3825,1929,1.5917
0,574,2199,1658,0.123282
0,3012,3012,3012,1.51055
0,1387,574,1387,0.0697836
0,3825,845,2199,0.412847
0,2741,3012,2741,1.2499
0,845,3283,1116,0.184556
0,32,3012,1658,0.0440864
0,2741,2741,3825,1.63099
0,2741,1116,845,0.144742
0,845,3825,574,0.111031
0,1929,1116,3012,0.37895
0,32,3554,3825,0.102094
0,2470,845,2470,0.291582
0,845,1387,3012,0.217408
0,2199,3283,1658,0.672468
0,3283,2741,303,0.155052
0,1387,845,3825,0.257953
0,4096,32,1658,0.0607222
0,2199,303,2470,0.0975431
0,3283,845,2741,0.449427
0,574,1929,1116,0.0821127
0,1387,4096,3554,1.13032
0,303,574,3283,0.0378679
0,2741,845,4096,0.524043
0,1116,3283,1387,0.281952
0,1929,303,1929,0.0773173
0,2470,1658,1929,0.450716
0,1929,3283,2199,0.776454
0,3283,1387,1387,0.361045
0,1658,1658,4096,0.661093
0,4096,3554,3283,2.66732
0,1658,3012,32,0.0306587
0,3012,32,3554,0.0810099
0,3825,2741,1116,0.686363
0,3554,2741,4096,2.20971
0,303,1929,1658,0.0587695
0,1116,4096,303,0.069023
0,303,2741,2470,0.130581
0,3554,574,3012,0.359295
0,32,1116,3825,0.0276421
0,2470,3012,3012,1.25919
0,845,2741,2470,0.348859
0,32,2470,303,0.00925332
0,845,303,32,0.00256812
0,1658,1387,845,0.10943
0,2199,2199,845,0.232477
0,1658,3825,2741,0.965579
0,3012,1387,1387,0.3389
0,1387,2199,3012,0.526947
0,3825,2470,1658,0.859349
0,574,3012,1929,0.206412
0,3012,2199,2741,1.01402
0,1387,845,574,0.0418236
0,2199,32,1116,0.0184459
0,2741,2741,3554,1.48946
0,2741,1929,574,0.176867
0,32,1929,32,0.0027281
0,845,4096,303,0.0533258
0,1929,1387,1116,0.167268
0,32,3283,2470,0.0679678
0,845,574,2741,0.0825003
0,4096,2741,2199,1.41003
0,2199,3012,1929,0.713798
0,3283,2470,32,0.0513703
0,4096,303,303,0.0245602
0,574,1658,3012,0.165979
0,1387,32,3283,0.0317255
0,4096,1387,2741,0.926914
0,3554,3554,574,0.417199
0,2741,2470,303,0.123342
0,303,845,845,0.013514
0,2741,574,2199,0.208419
0,1116,845,1116,0.0610813
0,2470,3283,2470,1.12153
0,1929,1658,1658,0.29783
0,2470,1929,32,0.0265247
0,3283,1116,2741,0.58886
0,1658,303,3825,0.131966
0,4096,574,3554,0.474001
0,3012,303,574,0.0349045
0,3825,1387,1387,0.421708
0,4096,303,3554,0.292261
0,1387,1929,1929,0.300375
0,303,32,1929,0.00610466
0,1116,3825,574,0.15376
0,3283,845,4096,0.633476
0,1116,1116,4096,0.284115
0,3554,845,3283,0.586917
0,32,845,4096,0.0242907
0,2470,1116,2741,0.431593
0,3554,3825,845,0.625852
0,1658,1116,32,0.0128286
0,2199,1929,574,0.142559
0,1658,2470,3012,0.692088
0,574,303,2470,0.0287894
0,3012,574,1116,0.110747
0,1387,2470,2199,0.424602
0,3825,2199,1387,0.633685
0,574,2741,32,0.0098535
0,3825,574,3825,0.495181
0,2741,3554,3283,1.78833
0,32,1658,845,0.0123248
0,845,3283,32,0.0193691
0,1929,2741,1387,0.404689
0,2470,845,1387,0.170826
0,845,845,2470,0.107796
0,4096,3012,3012,2.06759
0,2199,2741,1116,0.389092
0,3283,2199,1929,0.789034
0,2199,32,3554,0.0663316
0,32,3825,4096,0.113932
0,3012,1658,3825,1.08643
0,574,2470,2741,0.221219
0,1387,303,4096,0.121334
0,2741,2199,574,0.207491
0,303,3283,574,0.0371823
0,2741,1387,2470,0.544829
0,1116,574,1929,0.0776308
0,2470,3554,2741,1.33998
0,1929,1929,1387,0.302435
0,2470,32,303,0.00568459
0,1929,3554,3825,1.49726
0,3283,3012,3012,1.68348
0,1658,32,3554,0.0439437
0,4096,845,3825,0.745722
0,3012,3825,845,0.550699
0,3825,1116,1658,0.406708
0,574,3825,1387,0.174811
0,303,303,1116,0.00716148
0,1116,3554,845,0.194885
0,303,3012,3554,0.195276
0,3554,1116,3554,0.804129
0,32,574,3283,0.0147429
0,2470,1387,2470,0.488552
0,845,2199,3012,0.323099
0,1658,1929,303,0.0524803
0,2199,1658,303,0.0680463
0,3283,3283,1116,0.671113
0,1658,2199,2199,0.440796
0,574,32,2741,0.0129148
0,3012,845,1929,0.281448
0,1387,2741,2470,0.531885
0,3825,3012,1116,0.723932
0,574,3554,303,0.041053
0,1387,1387,32,0.0118521
0,2741,3283,4096,2.10004
0,32,1387,574,0.0084263
0,3554,3283,3825,2.49325
0,1929,3012,1658,0.556483
0,32,2741,3012,0.0756979
0,3283,574,1387,0.153074
0,4096,2199,2741,1.39597
0,2199,2470,1387,0.423835
0,3283,4096,1658,1.24133
0,4096,1929,845,0.395855
0,3012,1929,3554,1.15257
0,574,2199,2470,0.186628
0,1387,574,3825,0.180277
0,574,32,574,0.002417
0,2741,3012,845,0.391001
0,303,3554,303,0.0228436
0,2741,1116,2741,0.499464
0,1116,303,1658,0.0342268
0,2470,3825,3012,1.60848
0,1929,1116,1116,0.1426
0,2470,303,574,0.0276868
0,3283,2741,2199,1.08014
0,1658,845,3283,0.278794
0,4096,32,4096,0.0779373
0,3012,4096,32,0.0780813
0,3825,1929,1929,0.779202
0,303,574,1387,0.0168236
0,1116,3283,3283,0.69654
0,3554,1387,3825,1.07775
0,32,303,3554,0.00896204
0,2470,1658,2199,0.505142
0,845,2470,1116,0.13527
0,3554,1116,2470,0.553217
0,1658,1658,1658,0.267086
0,2199,1387,32,0.0209194
0,1658,3012,2470,0.687859
0,574,845,3012,0.0888813
0,3012,32,1658,0.0387235
0,1387,3012,3825,0.86171
0,3825,2741,3012,1.75369
0,574,3283,574,0.067025
0,1387,1658,303,0.0367194
0,2741,4096,3825,2.38793
0,3554,4096,32,0.0720651
0,32,1116,1387,0.0138426
0,3554,3554,3554,2.47335
0,1929,2199,1929,0.467738
0,32,2470,2741,0.0578003
0,3283,303,1116,0.0722707
0,4096,2470,3554,1.93357
0,2199,2199,2741,0.740002
0,3283,3825,1387,0.990654
0,4096,1116,574,0.173431
0,3012,1116,3283,0.625387
0,1387,2199,32,0.0218161
0,574,3012,2199,0.228225
0,3825,1929,303,0.115536
0,1387,845,2470,0.170245
0,2741,2741,1116,0.482795
0,1116,3012,2199,0.430612
0,303,3825,32,0.00586435
0,2741,1929,3012,0.89568
0,1116,32,303,0.00293082
0,2470,4096,3283,1.87666
0,2741,32,1387,0.0296883
0,1929,1387,3012,0.472014
0,2470,574,845,0.0769896
0,4096,2741,303,0.205377
0,3283,2470,2470,1.13396
0,1658,574,845,0.0477355
0,4096,303,2199,0.185327
0,3825,3554,2470,1.87802
0,3012,3283,303,0.189708
0,3825,1658,32,0.0401813
0,303,845,2741,0.0463718
0,1116,845,3554,0.193511
0,3554,3825,574,0.460473
0,3554,1658,4096,1.34864
0,32,32,574,0.000482562
0,2470,1929,4096,1.07132
0,845,1658,1387,0.116293
0,2199,4096,1658,0.883404
0,1658,303,1929,0.0620027
0,2199,1116,1929,0.26975
0,574,574,3283,0.0739607
0,3012,303,2470,0.142861
0,1387,3283,4096,1.03391
0,3825,1387,2741,0.827291
0,574,4096,845,0.121613
0,2741,3825,303,0.171051
0,1116,1116,1658,0.120711
0,845,3012,1658,0.26125
0,32,845,1116,0.00745524
0,845,3012,1387,0.20767
0,1929,2470,32,0.0291442
0,845,303,3825,0.0665797
0,3283,32,845,0.0221007
0,4096,3825,3283,2.88326
0,2199,1929,3012,0.726364
0,3283,3554,1116,0.740171
0,3554,303,2470,0.170465
0,3012,1387,3012,0.69097
0,1387,2470,845,0.167895
0,574,2741,4096,0.38795
0,1387,1116,2199,0.193734
0,845,32,303,0.00275604
0,303,1116,1658,0.0365144
0,2741,3554,1387,0.769414
0,1116,2741,3012,0.528643
0,1658,2470,2741,0.631162
0,303,4096,1929,0.161714
0,845,2741,4096,0.518597
0,1116,1929,32,0.0135618
0,32,1929,3825,0.0552367
0,2470,2199,3554,1.0952
0,574,3554,3825,0.460576
0,1929,2741,2741,0.818279
0,4096,3012,574,0.438213
0,3283,2199,3825,1.55184
0,1658,3554,574,0.199045
0,4096,1658,2470,0.934288
0,3012,1658,1929,0.54845
0,3825,3283,2741,1.95165
0,3012,3554,1658,0.971806
0,3825,303,303,0.0218752
0,2741,2470,4096,1.50272
0,303,3283,3012,0.188393
0,1116,574,3825,0.158349
0,1387,1387,2741,0.322571
0,3554,1929,32,0.0366302
0,1116,1387,3283,0.30246
0,2470,32,3825,0.0769288
0,845,1929,1658,0.153615
0,1929,3554,1387,0.557775
0,2199,3825,1387,0.649777
0,3825,574,4096,0.529469
0,2199,845,1658,0.18063
0,1658,2741,3554,0.918308
0,574,1387,3554,0.168172
0,3012,3825,2199,1.39055
0,1387,3554,3283,0.930248
0,3825,1116,2470,0.60353
0,2741,303,32,0.00598826
0,3554,3283,2741,1.74818
0,303,3012,1116,0.0702928
0,3554,32,3283,0.0655169
0,1929,845,2741,0.269536
0,32,574,1929,0.00912186
0,845,2199,1116,0.120316
0,32,2199,3283,0.0627554
0,3283,1929,574,0.228079
0,4096,4096,4096,3.81468
0,2199,1658,2199,0.467438
0,1387,1116,4096,0.360443
0,3012,574,2741,0.30129
0,1387,2741,574,0.132706
0,3283,574,2470,0.265101
0,3012,2470,845,0.363592
0,1387,1387,3012,0.329939
0,845,32,2199,0.0148979
0,303,1387,1387,0.0399164
0,2741,3283,1658,0.864876
0,1116,2470,2741,0.433267
0,2741,1658,3012,0.806252
0,1116,1658,845,0.091853
0,32,1658,3554,0.0423758
0,2470,2470,3825,1.28283
0,3554,3283,303,0.213932
0,1929,3012,2470,0.830843
0,32,3012,2741,0.0638331
0,4096,2199,845,0.425951
0,3283,4096,4096,2.96805
